document,pre_sanity_row,current_row,action,details
arxiv/1_58,8,7,probe_text_cleanup+fact_text_cleanup,natural language processing tasks.
arxiv/1_58,12,11,probe_text_cleanup, low-bit models
arxiv/1_58,21,19,probe_text_cleanup+fact_text_cleanup,matrix multiplication.
arxiv/1_58,38,35,needs_review,question_shaped_cloze_review:  the inclusion of 0 in the model weights
arxiv/1_58,46,42,needs_review,question_shaped_cloze_review: the zero-point quantization.
arxiv/1_58,121,117,needs_review,question_shaped_cloze_review:  the context length.
arxiv/BOFT,116,116,needs_review,question_shaped_cloze_review:  the semantic knowledge from pretraining.
arxiv/BOFT,123,123,probe_text_cleanup+fact_text_cleanup," $\text{diag}(\bm{R}_1,\bm{R}_2,\cdots,\bm{R}_r)$."
arxiv/BOFT,144,144,needs_review,"short_target_review: $(3,1)."
arxiv/BOFT,160,160,needs_review,question_shaped_cloze_review:  the orthogonality.
arxiv/BOFT,179,179,probe_text_cleanup+fact_text_cleanup," $\tilde{\bm{B}}(d,2)$."
arxiv/BOFT,195,195,probe_text_cleanup+fact_text_cleanup," $\prod_{i=1}^m \tilde{\bm{B}}^b_{(d,i)}$."
arxiv/BOFT,198,198,probe_text_cleanup+fact_text_cleanup, $\mathbb{R}^{d\times d}$.
arxiv/BOFT,200,200,probe_text_cleanup+fact_text_cleanup, $b\geq 2$.
arxiv/BOFT,218,218,needs_review,short_target_review:  LoRA
arxiv/BOFT,232,232,probe_text_cleanup+fact_text_cleanup," $\thickmuskip=2mu \medmuskip=2mu \bm{R}^G(m_1,b_1,m_2,b_2,l)=\bm{R}_{l,1}(m_1,b_1)\bm{R}_{l,2}^T(m_2,b_2)\cdots\bm{R}_{1,1}(m_1,b_1)\bm{R}_{1,2}^T(m_2,b_2)$."
arxiv/BOFT,249,249,needs_review,short_target_review:  $\bm{R}$
arxiv/BOFT,258,258,needs_review,short_target_review:  BOFT.
arxiv/ByteLatent,18,17,needs_review,short_target_review: byte.
arxiv/ByteLatent,40,39,needs_review,question_shaped_cloze_review: Segmenting bytes into \textit{patches}
arxiv/ByteLatent,51,50,needs_review,question_shaped_cloze_review:  whitespace.
arxiv/ByteLatent,86,85,probe_text_cleanup+fact_text_cleanup, the rest of the sequence
arxiv/ByteLatent,104,103,needs_review,short_target_review:  $x_i$.
arxiv/ByteLatent,113,112,needs_review,question_shaped_cloze_review:  the byte $b_i$.
arxiv/ByteLatent,167,166,needs_review,question_shaped_cloze_review: the receptive field of the model.
