document,row_1based_pre_sanity_v13,decision,reason,target,probe,fact
arxiv/1_58,6,still_dropped_hard_criteria,hard drop from reviewer/judge list, Large Language Models (LLMs).,"According to the paper, in recent years, the field of AI has seen rapid growth in the size and capabilities of","According to the paper, in recent years, the field of AI has seen rapid growth in the size and capabilities of Large Language Models (LLMs).
"
arxiv/1_58,8,restored_for_review_or_repair,previously repair/review class; duplicate/repairable wording is not a drop criterion,natural language processing tasks.,"According to the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", according to the authors of ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits,"" large language models have demonstrated remarkable performance on","According to the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", according to the authors of ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits,"" large language models have demonstrated remarkable performance on natural language processing tasks.
"
arxiv/1_58,12,restored_for_review_or_repair,previously repair/review class; duplicate/repairable wording is not a drop criterion, low-bit models,"According to the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", one approach to address the deployment, energy, and memory challenges of large language models is to use post-training quantization for inference to create:","According to the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", one approach to address the deployment, energy, and memory challenges of large language models is to use post-training quantization for inference to create low-bit models.
"
arxiv/1_58,14,still_dropped_hard_criteria,hard drop from reviewer/judge list, LLMs,"According to the paper, post-training quantization methods that reduce the precision of weights and activations significantly reduce memory and computational requirements for","According to the paper, post-training quantization methods that reduce the precision of weights and activations significantly reduce memory and computational requirements for LLMs
"
arxiv/1_58,18,restored_for_review_or_repair,previously repair/review class; duplicate/repairable wording is not a drop criterion, industry LLMs.,"According to the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", post-training quantization is widely used in the type of large language models described as sub-optimal, namely","According to the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", post-training quantization is widely used in the type of large language models described as sub-optimal, namely industry LLMs.
"
arxiv/1_58,20,restored_for_review_or_repair,previously repair/review class; duplicate/repairable wording is not a drop criterion, floating values.,"According to the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits,"" most operations in vanilla LLMs are performed using 16-bit:","According to the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits,"" most operations in vanilla LLMs are performed using 16-bit floating values.
"
arxiv/1_58,21,restored_for_review_or_repair,previously repair/review class; duplicate/repairable wording is not a drop criterion,matrix multiplication.,"According to the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"" states that the bulk of vanilla LLMs, represented in 16-bit floating values such as FP16 or BF16, is","According to the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"" states that the bulk of vanilla LLMs, represented in 16-bit floating values such as FP16 or BF16, is matrix multiplication.
"
arxiv/1_58,37,still_dropped_hard_criteria,hard drop from reviewer/judge list, 1.58 bits.,"According to the paper, adding an additional value of $0$ to the original 1-bit BitNet results in a binary system with","According to the paper, adding an additional value of $0$ to the original 1-bit BitNet results in a binary system with 1.58 bits.
"
arxiv/1_58,38,restored_for_review_or_repair,previously repair/review class; duplicate/repairable wording is not a drop criterion, the inclusion of 0 in the model weights,"In the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits,"" what gives BitNet b1.58 explicit support for feature filtering and thereby strengthens its modeling capability is","In the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits,"" what gives BitNet b1.58 explicit support for feature filtering and thereby strengthens its modeling capability is the inclusion of 0 in the model weights
"
arxiv/1_58,39,still_dropped_hard_criteria,hard drop from reviewer/judge list,1-bit LLMs.,"According to the paper, the authors state that BitNet b1.58 has stronger modeling capability because it explicitly supports feature filtering through the inclusion of $0$ in the model weights, which can significantly improve the performance of","According to the paper, the authors state that BitNet b1.58 has stronger modeling capability because it explicitly supports feature filtering through the inclusion of $0$ in the model weights, which can significantly improve the performance of 1-bit LLMs.
"
