document,v14_filtered_row,section,target,probe,fact,raw_knowledge_statement
America_First_Legal_Foundation_v_Jamieson_Greer,0,I,"a fair, efficient, and lawfully-conducted Civil Service.","According to the opinion in ""America First Legal Foundation v. Jamieson Greer,"" the Office of Special Counsel (OSC), described as an investigative and prosecutorial agency, was established to seek","According to the opinion in ""America First Legal Foundation v. Jamieson Greer,"" the Office of Special Counsel (OSC), described as an investigative and prosecutorial agency, was established to seek a fair, efficient, and lawfully-conducted Civil Service.","The Office of Special Counsel (OSC) is an investigative and prosecutorial agency established to seek “a fair, efficient, and lawfully-conducted Civil Service.”"
America_First_Legal_Foundation_v_Jamieson_Greer,10,II,arbitrary FOIA withholdings.,"According to the opinion in ""America First Legal Foundation v. Jamieson Greer,"" when describing AFL’s speculative causal chain for standing based on OSC’s failure to investigate DOJ under 5 U.S.C. § 1216, the court said the MSPB might have sanctioned the DOJ employees for","According to the opinion in ""America First Legal Foundation v. Jamieson Greer,"" when describing AFL’s speculative causal chain for standing based on OSC’s failure to investigate DOJ under 5 U.S.C. § 1216, the court said the MSPB might have sanctioned the DOJ employees for arbitrary FOIA withholdings.","Then, the MSPB might have decided to sanction those employees for arbitrary FOIA withholdings."
America_First_Legal_Foundation_v_Jamieson_Greer,13,Header,the Office of Special Counsel,"According to the opinion in ""America First Legal Foundation v. Jamieson Greer,"" America First Legal Foundation sued to compel an investigation into whether a federal agency arbitrarily denied AFL's Freedom of Information Act request, and AFL sought to force that investigation to be conducted by","According to the opinion in ""America First Legal Foundation v. Jamieson Greer,"" America First Legal Foundation sued to compel an investigation into whether a federal agency arbitrarily denied AFL's Freedom of Information Act request, and AFL sought to force that investigation to be conducted by the Office of Special Counsel",America First Legal Foundation brought this lawsuit to compel the Office of Special Counsel to investigate whether a federal agency arbitrarily denied AFL’s Freedom of Information Act request.
America_First_Legal_Foundation_v_Jamieson_Greer,14,Header,AFL’s Freedom of Information Act request.,"According to the opinion in ""America First Legal Foundation v. Jamieson Greer,"" decided by the United States Court of Appeals for the District of Columbia Circuit, America First Legal Foundation sued to compel the Office of Special Counsel to investigate whether a federal agency had arbitrarily denied","According to the opinion in ""America First Legal Foundation v. Jamieson Greer,"" decided by the United States Court of Appeals for the District of Columbia Circuit, America First Legal Foundation sued to compel the Office of Special Counsel to investigate whether a federal agency had arbitrarily denied AFL’s Freedom of Information Act request.",America First Legal Foundation brought this lawsuit to compel the Office of Special Counsel to investigate whether a federal agency arbitrarily denied AFL’s Freedom of Information Act request.
America_First_Legal_Foundation_v_Jamieson_Greer,18,I,Section 1216,"According to the opinion in ""America First Legal Foundation v. Jamieson Greer,"" the opinion explains that, under the Civil Service Reform Act, the Office of Special Counsel is empowered to investigate and seek corrective action for certain other forms of misconduct by government employees under","According to the opinion in ""America First Legal Foundation v. Jamieson Greer,"" the opinion explains that, under the Civil Service Reform Act, the Office of Special Counsel is empowered to investigate and seek corrective action for certain other forms of misconduct by government employees under Section 1216",Section 1216 empowers OSC to investigate and seek corrective action for certain other forms of misconduct by government employees.
America_First_Legal_Foundation_v_Jamieson_Greer,19,I,arbitrary or capricious withholding of information prohibited under section 552,"According to the opinion in ""America First Legal Foundation v. Jamieson Greer,"" the court explained that 5 U.S.C. § 1216 requires the Office of Special Counsel to investigate an allegation of","According to the opinion in ""America First Legal Foundation v. Jamieson Greer,"" the court explained that 5 U.S.C. § 1216 requires the Office of Special Counsel to investigate an allegation of arbitrary or capricious withholding of information prohibited under section 552","As relevant here, it provides that OSC “shall … conduct an investigation of any allegation concerning arbitrary or capricious withholding of information prohibited under section 552”—in other words, withholdings prohibited by the Freedom of Information Act."
America_First_Legal_Foundation_v_Jamieson_Greer,22,I,"“acted arbitrarily or capriciously with respect to the withholding,”","According to the opinion in ""America First Legal Foundation v. Jamieson Greer,"" FOIA includes a separate enforcement provision involving the Office of Special Counsel, and under that provision a court must specifically question whether the agency","According to the opinion in ""America First Legal Foundation v. Jamieson Greer,"" FOIA includes a separate enforcement provision involving the Office of Special Counsel, and under that provision a court must specifically question whether the agency “acted arbitrarily or capriciously with respect to the withholding,”","It states that if a court (1) orders production of agency records improperly withheld under FOIA, (2) awards attorneys’ fees against the agency, and (3) specifically questions whether the agency “acted arbitrarily or capriciously with respect to the withholding,” then OSC “shall promptly initiate a proceeding to determine whether disciplinary action is warranted against the officer or employee who was primarily responsible for the withholding.”"
America_First_Legal_Foundation_v_Jamieson_Greer,23,I,the officer or employee who was primarily responsible for the withholding,"According to the opinion in ""America First Legal Foundation v. Jamieson Greer,"" FOIA contains a separate enforcement provision involving the Office of Special Counsel, under which, if a court orders production of improperly withheld agency records, awards attorneys’ fees against the agency, and specifically questions whether the agency acted arbitrarily or capriciously in withholding the records, OSC must determine whether disciplinary action is warranted against","According to the opinion in ""America First Legal Foundation v. Jamieson Greer,"" FOIA contains a separate enforcement provision involving the Office of Special Counsel, under which, if a court orders production of improperly withheld agency records, awards attorneys’ fees against the agency, and specifically questions whether the agency acted arbitrarily or capriciously in withholding the records, OSC must determine whether disciplinary action is warranted against the officer or employee who was primarily responsible for the withholding","It states that if a court (1) orders production of agency records improperly withheld under FOIA, (2) awards attorneys’ fees against the agency, and (3) specifically questions whether the agency “acted arbitrarily or capriciously with respect to the withholding,” then OSC “shall promptly initiate a proceeding to determine whether disciplinary action is warranted against the officer or employee who was primarily responsible for the withholding.”"
America_First_Legal_Foundation_v_Jamieson_Greer,31,I,section 1216.,"According to the opinion in ""America First Legal Foundation v. Jamieson Greer,"" where the district court held that 5 U.S.C. § 552(a)(4)(F)(i) does not limit the Office of Special Counsel’s authority to investigate alleged FOIA violations, the opinion states that this investigative power arises under","According to the opinion in ""America First Legal Foundation v. Jamieson Greer,"" where the district court held that 5 U.S.C. § 552(a)(4)(F)(i) does not limit the Office of Special Counsel’s authority to investigate alleged FOIA violations, the opinion states that this investigative power arises under section 1216.",The court concluded that section 552(a)(4)(F)(i) does not limit OSC’s power to investigate alleged FOIA violations under section 1216.
America_First_Legal_Foundation_v_Jamieson_Greer,35,II,a legally protected interest,"According to the opinion in ""America First Legal Foundation v. Jamieson Greer,"" when discussing the requirements for Article III standing, the injury must be an invasion of","According to the opinion in ""America First Legal Foundation v. Jamieson Greer,"" when discussing the requirements for Article III standing, the injury must be an invasion of a legally protected interest","The injury must be “an invasion of a legally protected interest” that is “concrete and particularized” and “actual or imminent, not conjectural or hypothetical.”"
