row_1based,decision,issue_type,reason,old_target,new_target,old_probe,new_probe,old_fact,new_fact
1,repair,source_framing_issue,normalized the cloze to legal opinion/case framing with the case title; also adjusted cloze spacing or terminal punctuation so fact equals probe plus target,whether her kids were okay., whether her kids were okay.,"In United States v. Jaison L. Coleman, while responding to a 911 domestic-violence call, Officer Jamie Kizer asked Lisa Coleman","According to the opinion in ""United States v. Jaison L. Coleman,"" while responding to a 911 domestic-violence call, Officer Jamie Kizer asked Lisa Coleman","In United States v. Jaison L. Coleman, while responding to a 911 domestic-violence call, Officer Jamie Kizer asked Lisa Coleman whether her kids were okay.","According to the opinion in ""United States v. Jaison L. Coleman,"" while responding to a 911 domestic-violence call, Officer Jamie Kizer asked Lisa Coleman whether her kids were okay."
2,repair,source_framing_issue|target_source_repair,normalized the cloze to legal opinion/case framing with the case title; repaired the target to an exact source-supported answer span while preserving the same fact; also adjusted cloze spacing or terminal punctuation so fact equals probe plus target,friendly and said they would not bite., friendly and would not bite.,"In United States v. Jaison L. Coleman, after Lisa Coleman agreed to let Officer Jamie Kizer come inside, she described her dogs as","According to the opinion in ""United States v. Jaison L. Coleman,"" after Lisa Coleman agreed to let Officer Jamie Kizer come inside, she described her dogs as","In United States v. Jaison L. Coleman, after Lisa Coleman agreed to let Officer Jamie Kizer come inside, she described her dogs as friendly and said they would not bite.","According to the opinion in ""United States v. Jaison L. Coleman,"" after Lisa Coleman agreed to let Officer Jamie Kizer come inside, she described her dogs as friendly and would not bite."
3,repair,source_framing_issue,normalized the cloze to legal opinion/case framing with the case title, in her bedroom., in her bedroom.,"In United States v. Jaison L. Coleman, when Officer Kizer arrived at the Coleman home and Lisa stepped onto the porch, she said her children were","According to the opinion in ""United States v. Jaison L. Coleman,"" when Officer Kizer arrived at the Coleman home and Lisa stepped onto the porch, she said her children were","In United States v. Jaison L. Coleman, when Officer Kizer arrived at the Coleman home and Lisa stepped onto the porch, she said her children were in her bedroom.","According to the opinion in ""United States v. Jaison L. Coleman,"" when Officer Kizer arrived at the Coleman home and Lisa stepped onto the porch, she said her children were in her bedroom."
4,repair,source_framing_issue,normalized the cloze to legal opinion/case framing with the case title, “um … I’d prefer you not.”, “um … I’d prefer you not.”,"In United States v. Jaison L. Coleman, when Officer Kizer asked if he could enter the home, Lisa said","According to the opinion in ""United States v. Jaison L. Coleman,"" when Officer Kizer asked if he could enter the home, Lisa said","In United States v. Jaison L. Coleman, when Officer Kizer asked if he could enter the home, Lisa said “um … I’d prefer you not.”","According to the opinion in ""United States v. Jaison L. Coleman,"" when Officer Kizer asked if he could enter the home, Lisa said “um … I’d prefer you not.”"
5,repair,source_framing_issue,normalized the cloze to legal opinion/case framing with the case title, if she was okay., if she was okay.,"In United States v. Jaison L. Coleman, after Lisa said she needed to go inside to get her shoes and did not come back outside for some time, Officer Kizer called into the house several times, asking","According to the opinion in ""United States v. Jaison L. Coleman,"" after Lisa said she needed to go inside to get her shoes and did not come back outside for some time, Officer Kizer called into the house several times, asking","In United States v. Jaison L. Coleman, after Lisa said she needed to go inside to get her shoes and did not come back outside for some time, Officer Kizer called into the house several times, asking if she was okay.","According to the opinion in ""United States v. Jaison L. Coleman,"" after Lisa said she needed to go inside to get her shoes and did not come back outside for some time, Officer Kizer called into the house several times, asking if she was okay."
6,repair,source_framing_issue,normalized the cloze to legal opinion/case framing with the case title, by brushing her dogs away., by brushing her dogs away.,"In United States v. Jaison L. Coleman, after Lisa opened the door for Officer Kizer and his colleagues to enter the home, she facilitated their entry","According to the opinion in ""United States v. Jaison L. Coleman,"" after Lisa opened the door for Officer Kizer and his colleagues to enter the home, she facilitated their entry","In United States v. Jaison L. Coleman, after Lisa opened the door for Officer Kizer and his colleagues to enter the home, she facilitated their entry by brushing her dogs away.","According to the opinion in ""United States v. Jaison L. Coleman,"" after Lisa opened the door for Officer Kizer and his colleagues to enter the home, she facilitated their entry by brushing her dogs away."
7,repair,source_framing_issue,normalized the cloze to legal opinion/case framing with the case title, she did not know., she did not know.,"In United States v. Jaison L. Coleman, after Lisa had opened the door and led Officer Kizer and the other officers into the home, Officer Kizer did not see Coleman and asked Lisa where he was, and Lisa responded that","According to the opinion in ""United States v. Jaison L. Coleman,"" after Lisa had opened the door and led Officer Kizer and the other officers into the home, Officer Kizer did not see Coleman and asked Lisa where he was, and Lisa responded that","In United States v. Jaison L. Coleman, after Lisa had opened the door and led Officer Kizer and the other officers into the home, Officer Kizer did not see Coleman and asked Lisa where he was, and Lisa responded that she did not know.","According to the opinion in ""United States v. Jaison L. Coleman,"" after Lisa had opened the door and led Officer Kizer and the other officers into the home, Officer Kizer did not see Coleman and asked Lisa where he was, and Lisa responded that she did not know."
8,repair,source_framing_issue,normalized the cloze to legal opinion/case framing with the case title, Lisa and Coleman, Lisa and Coleman.,"In United States v. Jaison L. Coleman, after officers entered the home and spoke with the two children, the children said that the people who had been fighting were","According to the opinion in ""United States v. Jaison L. Coleman,"" after officers entered the home and spoke with the two children, the children said that the people who had been fighting were","In United States v. Jaison L. Coleman, after officers entered the home and spoke with the two children, the children said that the people who had been fighting were Lisa and Coleman","According to the opinion in ""United States v. Jaison L. Coleman,"" after officers entered the home and spoke with the two children, the children said that the people who had been fighting were Lisa and Coleman."
9,keep,,"retained as source-supported, framed, answerable, and target-source valid", clear error., clear error.,"According to the opinion in ""United States v. Jaison L. Coleman,"" the appellate court reviews a district court's ruling on a challenge to the scope of consent under the Fourth Amendment for","According to the opinion in ""United States v. Jaison L. Coleman,"" the appellate court reviews a district court's ruling on a challenge to the scope of consent under the Fourth Amendment for","According to the opinion in ""United States v. Jaison L. Coleman,"" the appellate court reviews a district court's ruling on a challenge to the scope of consent under the Fourth Amendment for clear error.","According to the opinion in ""United States v. Jaison L. Coleman,"" the appellate court reviews a district court's ruling on a challenge to the scope of consent under the Fourth Amendment for clear error."
10,repair,source_framing_issue|target_source_repair,normalized the cloze to legal opinion/case framing with the case title; repaired the target to an exact source-supported answer span while preserving the same fact; also adjusted cloze spacing or terminal punctuation so fact equals probe plus target,"denied Officer Kizer’s request to enter, which helped show that she did not have to consent.", initially denied his request.,"According to the opinion in United States v. Jaison L. Coleman, Lisa initially","According to the opinion in ""United States v. Jaison L. Coleman,"" the court explained that Lisa understood she did not have to allow Officer Kizer into her home partly because she","According to the opinion in United States v. Jaison L. Coleman, Lisa initially denied Officer Kizer’s request to enter, which helped show that she did not have to consent.","According to the opinion in ""United States v. Jaison L. Coleman,"" the court explained that Lisa understood she did not have to allow Officer Kizer into her home partly because she initially denied his request."
