v13_row_0based,v13_row_1based,decision,issue_type,filter_reason,review_reason,probe,target,fact,raw_knowledge_statement,section
6,7,keep_rejected,unsupported_or_unclear,"Criterion 5: the probe is incompletely formulated relative to the source fact, since the paper says it presents the first flop controlled scaling study of byte-level models, but the target truncates that claim to the vague phrase 'flop controlled scaling study.'","Question or target is malformed, incomplete, ambiguous, or not source-faithful enough to restore.","According to the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", the authors present a",flop controlled scaling study,"According to the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", the authors present a flop controlled scaling study",We present the first flop controlled scaling study of byte-level models up to 8B parameters and 4T training bytes.,Title/Abstract
9,10,keep_rejected,too_generic_target|weak_distractor_space,"It is unsuitable under criterion 3 because the target, ""the feasibility,"" is a trivially short generic phrase that lacks enough conceptual specificity to support five meaningful distractors.",Target remains too generic or low-information for restoration.,"According to the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", the results demonstrate, for scaling models trained on raw bytes without a fixed vocabulary,",the feasibility,"According to the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", the results demonstrate, for scaling models trained on raw bytes without a fixed vocabulary, the feasibility",Our results demonstrate the feasibility of scaling models trained on raw bytes without a fixed vocabulary.,Title/Abstract
22,23,keep_rejected,too_generic_target|weak_distractor_space,"It fails criterion 3 because the target is the overly generic single word ""predictions,"" which is too trivial and underspecified to support five meaningful, conceptually distinct answer options.",Target remains too generic or low-information for restoration.,"According to the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", when discussing tokenization-based LLMs that allocate the same amount of compute to every token, compression heuristics are said to be not always correlated with the complexity of",predictions.,"According to the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", when discussing tokenization-based LLMs that allocate the same amount of compute to every token, compression heuristics are said to be not always correlated with the complexity of predictions.","This trades efficiency for performance, since tokens are induced with compression heuristics that are not always correlated with the complexity of predictions.",Introduction
23,24,keep_rejected,too_generic_target|weak_distractor_space,"It is unsuitable under criterion 3 because the target is a trivially short, generic phrase ('where it is needed') that offers little conceptual specificity and would make it hard to create five meaningful distractors.",Target remains too generic or low-information for restoration.,"In the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", according to the authors’ central architectural idea, models should dynamically allocate compute",where it is needed.,"In the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", according to the authors’ central architectural idea, models should dynamically allocate compute where it is needed.",Central to our architecture is the idea that models should dynamically allocate compute where it is needed.,Introduction
34,35,keep_rejected,tautological_stem|weak_distractor_space,"Unsuitable because the answer is effectively exposed by the probe itself: the paper title names Byte Latent Transformer, so completing it with BLT models is nearly tautological and violates criterion 2 (and borderline 1).",Visible stem makes the completion too easy or too weakly distractible.,"According to the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", model size and patch size can be simultaneously increased while maintaining the same inference flop budget with",{\textsc BLT} models.,"According to the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", model size and patch size can be simultaneously increased while maintaining the same inference flop budget with {\textsc BLT} models.","Finally, with {\textsc BLT} models, we can simultaneously increase model size and patch size  while maintaining the same inference flop budget.",Introduction
35,36,keep_rejected,tautological_stem|weak_distractor_space,"Unsuitable under criterion 1 because the target 'save compute' is essentially a circular restatement of the probe’s own premise that compute can be reallocated, making the completion tautological rather than a distinct concept.",Visible stem makes the completion too easy or too weakly distractible.,"According to the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", longer patch sizes on average allow compute to be reallocated to grow the size of the global latent transformer because they",save compute.,"According to the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", longer patch sizes on average allow compute to be reallocated to grow the size of the global latent transformer because they save compute.","Longer patch sizes, on average, save compute which can be reallocated to grow the size of the global latent transformer, because it is run less often.",Introduction
39,40,keep_rejected,too_generic_target|weak_distractor_space,"It fails criterion 3 because the target is the single generic word ""context,"" which is too trivially short and underspecified to support five meaningful, discriminative answer choices.",Target remains too generic or low-information for restoration.,"According to the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", segmenting bytes into patches allows \textsc{BLT} to dynamically allocate compute based on",context.,"According to the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", segmenting bytes into patches allows \textsc{BLT} to dynamically allocate compute based on context.",Segmenting bytes into \textit{patches} allows {\textsc BLT} to dynamically allocate compute based on context.,Patching: From Individual Bytes to Groups of Bytes
40,41,keep_rejected,near_binary_answer_space,"It is unsuitable because the target is just the binary set {0,1}, making it trivially short and hard to construct five meaningful distractors (criteria 3 and 4).",Answer space is too narrow for robust five-option MCQA.,"According to the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", in the formal definition of the patching function \(f_p\), each \(x_i\) is mapped to the set","\{0,1\}.","According to the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", in the formal definition of the patching function \(f_p\), each \(x_i\) is mapped to the set \{0,1\}.","Formally, a patching function $f_p$ segments a sequence of bytes $\pmb{x}=\{x_i,|i=1,\ldots n\}$ of length $n$ into a sequence of $m < n$ patches $\pmb{p}=\{p_j|j=1,\ldots,m\}$ by mapping each $x_i$ to the set \{0,1\} where 1 indicates the start of a new patch.",Patching: From Individual Bytes to Groups of Bytes
41,42,keep_rejected,near_binary_answer_space,"Unsuitable under criteria 3 and 4: the target is a trivially short binary value ('1'), and it would be unnatural to construct five meaningful distractors for such a yes/no-style indicator choice.",Answer space is too narrow for robust five-option MCQA.,"According to the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", in the formal definition of the patching function $f_p$, the binary indicator value that indicates the start of a new patch is",1.,"According to the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", in the formal definition of the patching function $f_p$, the binary indicator value that indicates the start of a new patch is 1.","Formally, a patching function $f_p$ segments a sequence of bytes $\pmb{x}=\{x_i,|i=1,\ldots n\}$ of length $n$ into a sequence of $m < n$ patches $\pmb{p}=\{p_j|j=1,\ldots,m\}$ by mapping each $x_i$ to the set \{0,1\} where 1 indicates the start of a new patch.",Patching: From Individual Bytes to Groups of Bytes
45,46,keep_rejected,too_generic_target|weak_distractor_space,"It fails criterion 3 because the target, 'encode the data,' is a very generic short phrase with little conceptual specificity, making it hard to create five meaningful and discriminative MCQA options.",Target remains too generic or low-information for restoration.,"According to the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", in BLT, the computational cost of processing data is determined by the number of patches needed, using a given patching function, to",encode the data,"According to the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", in BLT, the computational cost of processing data is determined by the number of patches needed, using a given patching function, to encode the data","In {\textsc BLT}, this is the number of patches needed to encode the data with a given patching function.",Patching: From Individual Bytes to Groups of Bytes
