target,probe,fact,inference_type,source_fact(s),derivation,question,answer,source_facts,text_sentences
 high-quality data,"According to the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', from the 7B-vs-540B comparison, the paper implies that having far fewer parameters can be partly compensated for by","According to the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', from the 7B-vs-540B comparison, the paper implies that having far fewer parameters can be partly compensated for by high-quality data",Synthesized Insight,"['""Our pre-trained base model DeepSeekMath-Base 7B achieves comparable performance with Minerva 540B \\citep{minerva}, indicating the number of parameters is not the only key factor in mathematical reasoning capability.""', '""A smaller model pre-trained on high-quality data could achieve strong performance as well.""']",The comparison shows that better data quality can compensate for much smaller model size.,"From the 7B-vs-540B comparison, what factor does the paper imply can partly compensate for having far fewer parameters?",high-quality data,"['""Our pre-trained base model DeepSeekMath-Base 7B achieves comparable performance with Minerva 540B \\citep{minerva}, indicating the number of parameters is not the only key factor in mathematical reasoning capability.""', '""A smaller model pre-trained on high-quality data could achieve strong performance as well.""']","['""Our pre-trained base model DeepSeekMath-Base 7B achieves comparable performance with Minerva 540B \\citep{minerva}, indicating the number of parameters is not the only key factor in mathematical reasoning capability.""', '""A smaller model pre-trained on high-quality data could achieve strong performance as well.""']"
 one-stage mixed training,"According to the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', if the goal is to improve program-aided mathematical reasoning without sacrificing coding performance, the training setup favored over two-stage code-then-math training is","According to the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', if the goal is to improve program-aided mathematical reasoning without sacrificing coding performance, the training setup favored over two-stage code-then-math training is one-stage mixed training",Multi-Fact Integration,"['Math training following code training degrades coding performance.', 'Interestingly, under the one-stage training setting, mixing code tokens and math tokens effectively mitigates the issue of catastrophic forgetting that arises from two-stage training, and also synergizes coding (Table \\ref{tab:code-math-general-eval}) and program-aided mathematical reasoning (Table \\ref{tab:code-math}).']","Since two-stage code-then-math hurts coding but one-stage mixing preserves coding while helping program-aided math, the mixed setup better fits that goal.","If the goal is to improve program-aided mathematical reasoning without sacrificing coding performance, which training setup is favored over two-stage code-then-math training?",one-stage mixed training,"['Math training following code training degrades coding performance.', 'Interestingly, under the one-stage training setting, mixing code tokens and math tokens effectively mitigates the issue of catastrophic forgetting that arises from two-stage training, and also synergizes coding (Table \\ref{tab:code-math-general-eval}) and program-aided mathematical reasoning (Table \\ref{tab:code-math}).']","['Math training following code training degrades coding performance.', 'Interestingly, under the one-stage training setting, mixing code tokens and math tokens effectively mitigates the issue of catastrophic forgetting that arises from two-stage training, and also synergizes coding (Table \\ref{tab:code-math-general-eval}) and program-aided mathematical reasoning (Table \\ref{tab:code-math}).']"
 same-question comparisons,"According to the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', the group-relative way that GRPO leverages to calculate the advantages aligns well with the comparative nature of reward-model training, as reward models are typically trained on datasets of","According to the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', the group-relative way that GRPO leverages to calculate the advantages aligns well with the comparative nature of reward-model training, as reward models are typically trained on datasets of same-question comparisons",Synthesized Insight,"['The group relative way that GRPO leverages to calculate the advantages, aligns well with the comparative nature of rewards models,  as reward models are typically trained on datasets of comparisons between outputs on the same question.']","Because reward models are trained by comparing outputs for the same question, GRPO's within-group relative comparisons match that training signal.",What feature of reward-model training makes GRPO's group-relative advantage estimation a natural match?,same-question comparisons,"['The group relative way that GRPO leverages to calculate the advantages, aligns well with the comparative nature of rewards models,  as reward models are typically trained on datasets of comparisons between outputs on the same question.']","['The group relative way that GRPO leverages to calculate the advantages, aligns well with the comparative nature of rewards models,  as reward models are typically trained on datasets of comparisons between outputs on the same question.']"
 high-quality non-English data,"According to the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', the property of the pre-training corpus that most plausibly explains DeepSeekMath-Base's advantage on Chinese benchmarks over English-centric prior works is","According to the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', the property of the pre-training corpus that most plausibly explains DeepSeekMath-Base's advantage on Chinese benchmarks over English-centric prior works is high-quality non-English data",Multi-Fact Integration,"['The DeepSeekMath~Corpus encompasses data in multiple languages, predominantly featuring English and Chinese as the two most represented languages.', ""Notably, DeepSeekMath-Base is superior on Chinese benchmarks, likely because we don't follow previous works \\citep{minerva,llemma} to collect English-only math pre-training data, and also include high-quality non-English ones.""]","Because the corpus includes substantial multilingual data rather than only English, the paper links its Chinese benchmark gains to that non-English content.",What property of the pre-training corpus most plausibly explains DeepSeekMath-Base's advantage on Chinese benchmarks over English-centric prior works?,high-quality non-English data,"['The DeepSeekMath~Corpus encompasses data in multiple languages, predominantly featuring English and Chinese as the two most represented languages.', ""Notably, DeepSeekMath-Base is superior on Chinese benchmarks, likely because we don't follow previous works \\citep{minerva,llemma} to collect English-only math pre-training data, and also include high-quality non-English ones.""]","['The DeepSeekMath~Corpus encompasses data in multiple languages, predominantly featuring English and Chinese as the two most represented languages.', ""Notably, DeepSeekMath-Base is superior on Chinese benchmarks, likely because we don't follow previous works \\citep{minerva,llemma} to collect English-only math pre-training data, and also include high-quality non-English ones.""]"
 code tokens,"According to the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', if the goal is to preserve coding performance, what should be kept in continual math training is","According to the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', if the goal is to preserve coding performance, what should be kept in continual math training is code tokens",Multi-Fact Integration,"['""Additionally, by including code tokens for continual training, DeepSeekMath-Base 7B effectively maintains the performance of DeepSeek-Coder-Base-v1.5 on the two coding benchmarks.""', '""Math training following code training degrades coding performance.""', '""mixing code tokens and math tokens effectively mitigates the issue of catastrophic forgetting that arises from two-stage training""']","Because pure follow-up math training hurts coding but including code tokens preserves it, code tokens are the ingredient needed to avoid losing coding ability.",What should be kept in continual math training if the goal is to preserve coding performance?,code tokens,"['""Additionally, by including code tokens for continual training, DeepSeekMath-Base 7B effectively maintains the performance of DeepSeek-Coder-Base-v1.5 on the two coding benchmarks.""', '""Math training following code training degrades coding performance.""', '""mixing code tokens and math tokens effectively mitigates the issue of catastrophic forgetting that arises from two-stage training""']","['""Additionally, by including code tokens for continual training, DeepSeekMath-Base 7B effectively maintains the performance of DeepSeek-Coder-Base-v1.5 on the two coding benchmarks.""', '""Math training following code training degrades coding performance.""', '""mixing code tokens and math tokens effectively mitigates the issue of catastrophic forgetting that arises from two-stage training""']"
 less repeated data,"According to the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', training on the DeepSeekMath Corpus can keep improving for longer than training on the smaller baseline corpora because it has","According to the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', training on the DeepSeekMath Corpus can keep improving for longer than training on the smaller baseline corpora because it has less repeated data",Multi-Fact Integration,"['The DeepSeekMath~Corpus is several times larger than existing mathematical corpora.', 'As depicted in Figure \\ref{fig:corpora_comparisons}, DeepSeek-LLM 1.3B, when trained on the DeepSeekMath~Corpus, shows a steeper learning curve along with more lasting improvements.', 'In contrast, the baseline corpora are much smaller, and have already been repeated multiple rounds during training, with the resulting model performance quickly reaching a plateau.']","The paper contrasts longer-lasting gains on the larger corpus with early plateaus on smaller corpora that get repeated many times, implying repetition is the limiting factor.",Why can training on the DeepSeekMath Corpus keep improving for longer than training on the smaller baseline corpora?,less repeated data,"['The DeepSeekMath~Corpus is several times larger than existing mathematical corpora.', 'As depicted in Figure \\ref{fig:corpora_comparisons}, DeepSeek-LLM 1.3B, when trained on the DeepSeekMath~Corpus, shows a steeper learning curve along with more lasting improvements.', 'In contrast, the baseline corpora are much smaller, and have already been repeated multiple rounds during training, with the resulting model performance quickly reaching a plateau.']","['The DeepSeekMath~Corpus is several times larger than existing mathematical corpora.', 'As depicted in Figure \\ref{fig:corpora_comparisons}, DeepSeek-LLM 1.3B, when trained on the DeepSeekMath~Corpus, shows a steeper learning curve along with more lasting improvements.', 'In contrast, the baseline corpora are much smaller, and have already been repeated multiple rounds during training, with the resulting model performance quickly reaching a plateau.']"
 penalizing incorrect responses,"According to the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', GRPO performs better than Online RFT in the paper's analysis when it has the additional kind of update signal of","According to the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', GRPO performs better than Online RFT in the paper's analysis when it has the additional kind of update signal of penalizing incorrect responses",Synthesized Insight,"['""GRPO uniquely adjusts its gradient coefficient based on the reward value provided by the reward model. This allows for differential reinforcement and penalization of responses according to their varying magnitudes.""', '""In contrast, Online RFT lacks this feature; it does not penalize incorrect responses and uniformly reinforces all responses with correct answers at the same level of intensity.""', '""As demonstrated in Figure \\ref{fig:rl-analysis}, GRPO surpasses online RFT""']","The stated mechanism missing from Online RFT but present in GRPO is punishment for bad responses, which the paper links to GRPO's advantage.","Relative to Online RFT, what additional kind of update signal helps GRPO perform better in the paper's analysis?",penalizing incorrect responses,"['""GRPO uniquely adjusts its gradient coefficient based on the reward value provided by the reward model. This allows for differential reinforcement and penalization of responses according to their varying magnitudes.""', '""In contrast, Online RFT lacks this feature; it does not penalize incorrect responses and uniformly reinforces all responses with correct answers at the same level of intensity.""', '""As demonstrated in Figure \\ref{fig:rl-analysis}, GRPO surpasses online RFT""']","['""GRPO uniquely adjusts its gradient coefficient based on the reward value provided by the reward model. This allows for differential reinforcement and penalization of responses according to their varying magnitudes.""', '""In contrast, Online RFT lacks this feature; it does not penalize incorrect responses and uniformly reinforces all responses with correct answers at the same level of intensity.""', '""As demonstrated in Figure \\ref{fig:rl-analysis}, GRPO surpasses online RFT""']"
 Chinese benchmarks,"According to the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', compared with the English-centric math corpora discussed in the paper, the benchmark category that should benefit more from training on the DeepSeekMath Corpus is","According to the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', compared with the English-centric math corpora discussed in the paper, the benchmark category that should benefit more from training on the DeepSeekMath Corpus is Chinese benchmarks",Synthesized Insight,"['""The DeepSeekMath~Corpus encompasses data in multiple languages, predominantly featuring English and Chinese as the two most represented languages.""', '""In contrast, existing mathematical corpora, which are primarily English-centric, show limited improvement and may even hinder performance in Chinese mathematical reasoning.""']","Because DeepSeekMath includes substantial Chinese data while the baselines are mostly English-only, its training should help more on Chinese math tasks.","Compared with the English-centric math corpora discussed in the paper, which benchmark category should benefit more from training on the DeepSeekMath Corpus?",Chinese benchmarks,"['""The DeepSeekMath~Corpus encompasses data in multiple languages, predominantly featuring English and Chinese as the two most represented languages.""', '""In contrast, existing mathematical corpora, which are primarily English-centric, show limited improvement and may even hinder performance in Chinese mathematical reasoning.""']","['""The DeepSeekMath~Corpus encompasses data in multiple languages, predominantly featuring English and Chinese as the two most represented languages.""', '""In contrast, existing mathematical corpora, which are primarily English-centric, show limited improvement and may even hinder performance in Chinese mathematical reasoning.""']"
 out-of-domain improvement,"According to the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', because RL used only GSM8K and MATH chain-of-thought questions yet still improved the other benchmarks, those gains should be characterized as","According to the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', because RL used only GSM8K and MATH chain-of-thought questions yet still improved the other benchmarks, those gains should be characterized as out-of-domain improvement",Multi-Fact Integration,"['""The training data of RL are chain-of-thought-format questions related to GSM8K and MATH from the SFT data, which consists of around 144K questions.""', '""We exclude other SFT questions to investigate the impact of RL on benchmarks that lack data throughout the RL phase.""', '""Despite the constrained scope of its training data, it outperforms DeepSeekMath-Instruct 7B across all evaluation metrics""']","Since RL was trained only on GSM8K and MATH questions yet improved metrics on other benchmarks too, those gains must be out-of-domain improvements.","Because RL used only GSM8K and MATH chain-of-thought questions yet still improved the other benchmarks, how should those gains be characterized?",out-of-domain improvement,"['""The training data of RL are chain-of-thought-format questions related to GSM8K and MATH from the SFT data, which consists of around 144K questions.""', '""We exclude other SFT questions to investigate the impact of RL on benchmarks that lack data throughout the RL phase.""', '""Despite the constrained scope of its training data, it outperforms DeepSeekMath-Instruct 7B across all evaluation metrics""']","['""The training data of RL are chain-of-thought-format questions related to GSM8K and MATH from the SFT data, which consists of around 144K questions.""', '""We exclude other SFT questions to investigate the impact of RL on benchmarks that lack data throughout the RL phase.""', '""Despite the constrained scope of its training data, it outperforms DeepSeekMath-Instruct 7B across all evaluation metrics""']"
 rewards at each reasoning step,"According to the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', since GRPO+PS beat GRPO+OS and outcome supervision only rewards the final output, the extra signal that appears helpful for hard math tasks is","According to the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', since GRPO+PS beat GRPO+OS and outcome supervision only rewards the final output, the extra signal that appears helpful for hard math tasks is rewards at each reasoning step",Synthesized Insight,"['Outcome supervision only provides a reward at the end of each output, which may not be sufficient and efficient to supervise the policy in complex mathematical tasks.', 'Following \\cite{wang2023math}, we also explore process supervision, which provides a reward at the end of each reasoning step.', 'As demonstrated in Figure \\ref{fig:rl-analysis}, GRPO+PS shows superior performance compared to GRPO+OS, indicating the benefits of using fine-grained, step-aware gradient coefficients.']","Since final-output rewards were insufficient and process supervision with step-level rewards performed better, step-level feedback is the helpful extra signal.","Since GRPO+PS beat GRPO+OS and outcome supervision only rewards the final output, what extra signal appears helpful for hard math tasks?",rewards at each reasoning step,"['Outcome supervision only provides a reward at the end of each output, which may not be sufficient and efficient to supervise the policy in complex mathematical tasks.', 'Following \\cite{wang2023math}, we also explore process supervision, which provides a reward at the end of each reasoning step.', 'As demonstrated in Figure \\ref{fig:rl-analysis}, GRPO+PS shows superior performance compared to GRPO+OS, indicating the benefits of using fine-grained, step-aware gradient coefficients.']","['Outcome supervision only provides a reward at the end of each output, which may not be sufficient and efficient to supervise the policy in complex mathematical tasks.', 'Following \\cite{wang2023math}, we also explore process supervision, which provides a reward at the end of each reasoning step.', 'As demonstrated in Figure \\ref{fig:rl-analysis}, GRPO+PS shows superior performance compared to GRPO+OS, indicating the benefits of using fine-grained, step-aware gradient coefficients.']"
