target,probe,fact,question,text_sentences,inference_type,answer
 rank indicates math quality,"In the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', preserving only the top-ranking pages predicted by the fastText model as part of the math corpus rests on the unstated assumption that","In the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', preserving only the top-ranking pages predicted by the fastText model as part of the math corpus rests on the unstated assumption that rank indicates math quality",What unstated assumption underlies preserving only the top-ranking pages predicted by the fastText model as part of the math corpus?,"['To filter out low-quality mathematical content, we rank the collected pages according to their scores predicted by the fastText model, and only preserve the top-ranking ones.', 'The evaluation results indicate that the large-scale corpus is of high quality, as our base model DeepSeekMath-Base 7B achieves 64.2% on GSM8K and 36.2% on the competition-level MATH dataset, outperforming Minerva 540B.', 'Figure \\ref{fig:corpora_comparisons} shows that the model trained on the DeepSeekMath Corpus demonstrates better performance than Proof-Pile-2 at 50B tokens (1 full epoch of Proof-Pile-2), indicating the average quality of DeepSeekMath Corpus is higher.']",New Insight,rank indicates math quality
 lower math performance,"According to the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', based on the authors' initialization choice, the expected outcome if DeepSeekMath had been initialized from a general LLM instead of a code-trained model is","According to the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', based on the authors' initialization choice, the expected outcome if DeepSeekMath had been initialized from a general LLM instead of a code-trained model is lower math performance","Based on the authors' initialization choice, what is the expected outcome if DeepSeekMath had been initialized from a general LLM instead of a code-trained model?","['DeepSeekMath-Base is initialized with DeepSeek-Coder-Base-v1.5 7B, as we notice that starting from a code training model is a better choice compared to a general LLM.', ""Code training prior to math training improves models' ability to solve mathematical problems both with and without tool use."", 'Code training also improves mathematical reasoning without tool use.']",Predicting Hypothetical,lower math performance
 decreased math performance,"According to the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', initializing the model from a general LLM rather than from a code-initialized checkpoint such as DeepSeek-Coder would most likely lead to","According to the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', initializing the model from a general LLM rather than from a code-initialized checkpoint such as DeepSeek-Coder would most likely lead to decreased math performance","If the team had initialized from a general LLM rather than DeepSeek-Coder (code-initialized), what is the most likely directional change in math performance implied by the paper's observations?","['DeepSeekMath-Base is initialized with DeepSeek-Coder-Base-v1.5 7B, as we notice that starting from a code training model is a better choice compared to a general LLM.', 'We believe it does, at least for mathematical reasoning.', ""Code training prior to math training improves models' ability to solve mathematical problems both with and without tool use."", 'Code training also improves mathematical reasoning without tool use.']",Predicting Hypothetical,decreased math performance
 domain homogeneity,"According to the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', the iterative domain-expansion step marks a domain as math-related when over $10\%$ of its pages are collected; the implicit assumption underlying using that heuristic to add other pages from the same domain to the seed corpus is","According to the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', the iterative domain-expansion step marks a domain as math-related when over $10\%$ of its pages are collected; the implicit assumption underlying using that heuristic to add other pages from the same domain to the seed corpus is domain homogeneity",The iterative domain-expansion step marks a domain as math-related when over 10% of its pages are collected; what implicit assumption underlies using that heuristic to add other pages from the same domain to the seed corpus?,"['For each domain, we calculate the percentage of web pages that are collected in the first iteration. Domains where over 10% of the web pages have been collected are classified as math-related (e.g., mathoverflow.net).', 'Web pages linked to these URLs, yet uncollected, will be added to the seed corpus.', 'Specifically, we first organize the entire Common Crawl into disjoint domains; a domain is defined as web pages sharing the same base URL.', 'Subsequently, we manually annotate the URLs associated with mathematical content within these identified domains (e.g., \\url{mathoverflow.net/questions}).']",New Insight,domain homogeneity
 seed diversification,"In the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', a concrete change to the fastText training seed that improved its ability to recall more mathematical pages during later iterations was","In the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', a concrete change to the fastText training seed that improved its ability to recall more mathematical pages during later iterations was seed diversification",Which concrete change to the fastText training seed improved its ability to recall more mathematical pages during later iterations?,"['After the first iteration of data collection, numerous mathematical web pages remain uncollected, mainly because the fastText model is trained on a set of positive examples that lacks sufficient diversity.', 'We therefore identify additional mathematical web sources to enrich the seed corpus, so that we can optimize the fastText model.', 'Web pages linked to these URLs, yet uncollected, will be added to the seed corpus.', 'This approach enables us to gather more positive examples, thereby training an improved fastText model capable of recalling more mathematical data in the subsequent iteration.']",Conceptual Synthesis,seed diversification
 a code-trained model,"In the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', the authors claim that the prior initialization choice that causally improved downstream mathematical reasoning compared to starting from a general LLM was","In the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', the authors claim that the prior initialization choice that causally improved downstream mathematical reasoning compared to starting from a general LLM was a code-trained model",Which prior initialization choice does the paper claim causally improved downstream mathematical reasoning compared to starting from a general LLM?,"['DeepSeekMath-Base is initialized with DeepSeek-Coder-Base-v1.5 7B, as we notice that starting from a code training model is a better choice compared to a general LLM.', 'We believe it does, at least for mathematical reasoning.', ""Code training prior to math training improves models' ability to solve mathematical problems both with and without tool use."", ""We attempt to offer a partial response to this, particularly within the mathematical domain: code training improves models' ability to do mathematical reasoning both with and without tool use.""]",Conceptual Synthesis,code-trained model
 include code tokens,"According to the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', to preserve coding performance while doing extensive math pretraining, the authors explicitly chose to","According to the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', to preserve coding performance while doing extensive math pretraining, the authors explicitly chose to include code tokens",What explicit procedural choice did the authors use to preserve coding performance while doing extensive math pretraining?,"['The distribution of the data is as follows: 56% is from the DeepSeekMath Corpus, 4% from AlgebraicStack, 10% from arXiv, 20% is Github code, and the remaining 10% is natural language data from Common Crawl in both English and Chinese.', 'by including code tokens for continual training, DeepSeekMath-Base 7B effectively maintains the performance of DeepSeek-Coder-Base-v1.5 on the two coding benchmarks.', 'Math training following code training degrades coding performance.', 'Interestingly, under the one-stage training setting, mixing code tokens and math tokens effectively mitigates the issue of catastrophic forgetting that arises from two-stage training, and also synergizes coding (Table \\ref{tab:code-math-general-eval}) and program-aided mathematical reasoning (Table \\ref{tab:code-math}).']",Conceptual Synthesis,include code tokens
 a 10-gram exact match suffices,"In the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', the decontamination procedure removes any text segment that contains an exact n-gram match with evaluation benchmarks, and therefore the rule implicitly assumes that","In the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', the decontamination procedure removes any text segment that contains an exact n-gram match with evaluation benchmarks, and therefore the rule implicitly assumes that a 10-gram exact match suffices",What implicit assumption does the decontamination rule using 10-gram exact matches rely upon to avoid benchmark leakage?,"['To avoid benchmark contamination, we follow \\cite{deepseek-coder} to filter out web pages containing questions or answers from English mathematical benchmarks such as GSM8K \\citep{gsm8k} and MATH \\citep{MATH} and Chinese benchmarks such as CMATH \\citep{wei2023cmath} and AGIEval \\citep{agieval}.', 'The filtering criteria are as follows: any text segment containing a 10-gram string that matches exactly with any sub-string from the evaluation benchmarks is removed from our math training corpus.', 'For benchmark texts that are shorter than 10 grams but have at least 3 grams, we employ exact matching to filter out contaminated web pages.']",New Insight,10-gram suffices
 no notable change,"According to the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', the authors analyze the role of arXiv papers in their pretraining experiments and describe the experiments carried out to measure their effect on mathematical benchmarks; based on that discussion, removing arXiv entirely from the pretraining mix would most likely result in","According to the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', the authors analyze the role of arXiv papers in their pretraining experiments and describe the experiments carried out to measure their effect on mathematical benchmarks; based on that discussion, removing arXiv entirely from the pretraining mix would most likely result in no notable change","The authors state that training on arXiv 'brings no notable improvements' on their benchmarks. If the team removed arXiv entirely from the pretraining mix, what is the most likely effect on benchmark performance according to their claim?","['Although training on arXiv papers is common, especially in many math-related papers, it brings no notable improvements on all mathematical benchmarks adopted in this paper.', 'Perhaps counter-intuitively, according to our experiments, arXiv papers seem ineffective in improving mathematical reasoning.', 'When trained on a arXiv-only corpus, both models display no notable improvements or even deterioration across various mathematical benchmarks of different complexities employed in this study.']",Predicting Hypothetical,no notable change
 model capacity,"In the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', the authors conjecture that mixing code and math tokens in one-stage training harmed math reasoning without tool use for their $1.3\text{B}$ model because of","In the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', the authors conjecture that mixing code and math tokens in one-stage training harmed math reasoning without tool use for their $1.3\text{B}$ model because of model capacity",Why do the authors conjecture that mixing code and math tokens in one-stage training harmed math reasoning without tool use for their 1.3B model?,"['One conjecture is that DeepSeek-LLM 1.3B, due to its limited scale, lacks the capacity to fully assimilate both code and mathematical data simultaneously.', 'However, combining code tokens and math tokens for one-stage training compromises mathematical reasoning without tool use.', 'We apply math training to a general pre-trained language model with 1.3B parameters, which shares the same framework as the DeepSeek LLMs \\citep{deepseek-llm}, denoted as DeepSeek-LLM 1.3B.', 'In addition, restricted by the model scale, DeepSeekMath~is worse than GPT-4 on few-shot capability.']",Conceptual Synthesis,model capacity limit
 larger model scale,"According to the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', the authors' negative finding about arXiv data effectiveness is accompanied by caveats, and they explicitly mention that the conclusion about arXiv's usefulness might change with","According to the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', the authors' negative finding about arXiv data effectiveness is accompanied by caveats, and they explicitly mention that the conclusion about arXiv's usefulness might change with larger model scale",The authors' negative finding about arXiv data effectiveness is accompanied by caveats. Which condition do they explicitly mention that might change the conclusion about arXiv's usefulness?,"['Whether the benefits of arXiv papers would manifest themselves at a larger model scale.', 'Thus, further exploration is required, which we leave for future studies.', 'However, this conclusion has its limitations and should be taken with a grain of salt.', 'We experiment with models of different sizes, including DeepSeek-LLM 1.3B and DeepSeek-Coder-Base-v1.5 7B \\citep{deepseek-coder}, using arXiv corpora that underwent varied processing pipelines:']",Conceptual Synthesis,larger model scale
 larger model scale,"In the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', the authors mention a plausible scenario where arXiv tokens might still benefit mathematical reasoning: when models are trained at","In the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', the authors mention a plausible scenario where arXiv tokens might still benefit mathematical reasoning: when models are trained at larger model scale",What plausible scenario do the authors mention where arXiv tokens might still benefit mathematical reasoning?,"['We have not yet studied: ... Whether the benefits of arXiv papers would manifest themselves at a larger model scale.', 'Thus, further exploration is required, which we leave for future studies.', 'We experiment with models of different sizes, including DeepSeek-LLM 1.3B and DeepSeek-Coder-Base-v1.5 7B \\citep{deepseek-coder}, using arXiv corpora that underwent varied processing pipelines:', 'When trained on a arXiv-only corpus, both models display no notable improvements or even deterioration across various mathematical benchmarks of different complexities employed in this study.']",Conceptual Synthesis,larger model scale
 mixed code and math,"According to the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', if your priority is program-aided math without forgetting, the training recipe that best fits is","According to the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', if your priority is program-aided math without forgetting, the training recipe that best fits is mixed code and math","If your priority is program-aided math without forgetting, which training recipe best fits?","['mixing code tokens and math tokens effectively mitigates the issue of catastrophic forgetting that arises from two-stage training, and also synergizes coding (Table \\ref{tab:code-math-general-eval}) and program-aided mathematical reasoning (Table \\ref{tab:code-math}).', 'Code training benefits program-aided mathematical reasoning, both under the two-stage training and one-stage training settings.', 'Math training following code training degrades coding performance. We investigate whether code tokens, when mixed with math tokens for one-stage training, would still improve mathematical reasoning and also alleviate the problem of catastrophic forgetting.', 'Additionally, by including code tokens for continual training, DeepSeekMath-Base 7B effectively maintains the performance of DeepSeek-Coder-Base-v1.5 on the two coding benchmarks.']",Conceptual Synthesis,mixed code and math
