target,probe,fact,question,text_sentences,inference_type,answer
 cross-lingual transfer,"In the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', GRPO was applied using only a subset of English instruction tuning data yet improved a Chinese benchmark ($\text{CMATH}$), demonstrating","In the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', GRPO was applied using only a subset of English instruction tuning data yet improved a Chinese benchmark ($\text{CMATH}$), demonstrating cross-lingual transfer",GRPO was applied using only a subset of English instruction tuning data yet improved a Chinese benchmark (CMATH). What phenomenon best describes this cross-language improvement?,"['By solely using a subset of English instruction tuning data, GRPO obtains a substantial improvement over the strong DeepSeekMath-Instruct, including both in-domain (GSM8K: 82.9% → 88.2%, MATH: 46.8% → 51.7%) and out-of-domain mathematical tasks (e.g., CMATH: 84.6% → 88.8%) during the reinforcement learning phase.', 'The training data of RL are chain-of-thought-format questions related to GSM8K and MATH from the SFT data, which consists of around 144K questions.', 'Chinese benchmarks include MGSM-zh \\citep{mgsm}, CMATH \\citep{wei2023cmath}, Gaokao-MathCloze \\citep{agieval}, and Gaokao-MathQA \\citep{agieval}.']",New Insight,cross-lingual transfer
 higher compute cost,"According to the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', if GRPO were modified to reintroduce a learned critic, the primary tradeoff to expect is","According to the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', if GRPO were modified to reintroduce a learned critic, the primary tradeoff to expect is higher compute cost","If GRPO were modified to reintroduce a learned critic, what primary tradeoff should be expected according to the paper's description?","['GRPO foregoes the critic model, instead estimating the baseline from group scores, significantly reducing training resources compared to Proximal Policy Optimization (PPO).', 'As the value function employed in PPO is typically another model of comparable size as the policy model, it brings a substantial memory and computational burden.']",Predicting Hypothetical,higher compute cost
 rank indicates math quality,"In the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', preserving only the top-ranking pages predicted by the fastText model as part of the math corpus rests on the unstated assumption that","In the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', preserving only the top-ranking pages predicted by the fastText model as part of the math corpus rests on the unstated assumption that rank indicates math quality",What unstated assumption underlies preserving only the top-ranking pages predicted by the fastText model as part of the math corpus?,"['To filter out low-quality mathematical content, we rank the collected pages according to their scores predicted by the fastText model, and only preserve the top-ranking ones.', 'The evaluation results indicate that the large-scale corpus is of high quality, as our base model DeepSeekMath-Base 7B achieves 64.2% on GSM8K and 36.2% on the competition-level MATH dataset, outperforming Minerva 540B.', 'Figure \\ref{fig:corpora_comparisons} shows that the model trained on the DeepSeekMath Corpus demonstrates better performance than Proof-Pile-2 at 50B tokens (1 full epoch of Proof-Pile-2), indicating the average quality of DeepSeekMath Corpus is higher.']",New Insight,rank indicates math quality
 lower math performance,"According to the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', based on the authors' initialization choice, the expected outcome if DeepSeekMath had been initialized from a general LLM instead of a code-trained model is","According to the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', based on the authors' initialization choice, the expected outcome if DeepSeekMath had been initialized from a general LLM instead of a code-trained model is lower math performance","Based on the authors' initialization choice, what is the expected outcome if DeepSeekMath had been initialized from a general LLM instead of a code-trained model?","['DeepSeekMath-Base is initialized with DeepSeek-Coder-Base-v1.5 7B, as we notice that starting from a code training model is a better choice compared to a general LLM.', ""Code training prior to math training improves models' ability to solve mathematical problems both with and without tool use."", 'Code training also improves mathematical reasoning without tool use.']",Predicting Hypothetical,lower math performance
 decreased math performance,"According to the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', initializing the model from a general LLM rather than from a code-initialized checkpoint such as DeepSeek-Coder would most likely lead to","According to the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', initializing the model from a general LLM rather than from a code-initialized checkpoint such as DeepSeek-Coder would most likely lead to decreased math performance","If the team had initialized from a general LLM rather than DeepSeek-Coder (code-initialized), what is the most likely directional change in math performance implied by the paper's observations?","['DeepSeekMath-Base is initialized with DeepSeek-Coder-Base-v1.5 7B, as we notice that starting from a code training model is a better choice compared to a general LLM.', 'We believe it does, at least for mathematical reasoning.', ""Code training prior to math training improves models' ability to solve mathematical problems both with and without tool use."", 'Code training also improves mathematical reasoning without tool use.']",Predicting Hypothetical,decreased math performance
 worse performance,"According to the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', if the DeepSeekMath Corpus had been English-only, the authors would most likely expect the model's performance on Chinese mathematical benchmarks to be","According to the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', if the DeepSeekMath Corpus had been English-only, the authors would most likely expect the model's performance on Chinese mathematical benchmarks to be worse performance","If the DeepSeekMath Corpus had been English-only, what would the authors most likely expect for Chinese benchmark performance?","['The DeepSeekMath~Corpus encompasses data in multiple languages, predominantly featuring English and Chinese as the two most represented languages.', 'As shown in Table \\ref{tab:corpora_comparison}, training on the DeepSeekMath~Corpus enhances mathematical reasoning performance in both English and Chinese.', 'In contrast, existing mathematical corpora, which are primarily English-centric, show limited improvement and may even hinder performance in Chinese mathematical reasoning.', 'In addition, the DeepSeekMath Corpus is multilingual, so we notice an improvement in Chinese mathematical benchmarks \\citep{wei2023cmath,agieval}.', ""Notably, DeepSeekMath-Base is superior on Chinese benchmarks, likely because we don't follow previous works \\citep{minerva,llemma} to collect English-only math pre-training data, and also include high-quality non-English ones.""]",Predicting Hypothetical,worse performance
 domain homogeneity,"According to the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', the iterative domain-expansion step marks a domain as math-related when over $10\%$ of its pages are collected; the implicit assumption underlying using that heuristic to add other pages from the same domain to the seed corpus is","According to the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', the iterative domain-expansion step marks a domain as math-related when over $10\%$ of its pages are collected; the implicit assumption underlying using that heuristic to add other pages from the same domain to the seed corpus is domain homogeneity",The iterative domain-expansion step marks a domain as math-related when over 10% of its pages are collected; what implicit assumption underlies using that heuristic to add other pages from the same domain to the seed corpus?,"['For each domain, we calculate the percentage of web pages that are collected in the first iteration. Domains where over 10% of the web pages have been collected are classified as math-related (e.g., mathoverflow.net).', 'Web pages linked to these URLs, yet uncollected, will be added to the seed corpus.', 'Specifically, we first organize the entire Common Crawl into disjoint domains; a domain is defined as web pages sharing the same base URL.', 'Subsequently, we manually annotate the URLs associated with mathematical content within these identified domains (e.g., \\url{mathoverflow.net/questions}).']",New Insight,domain homogeneity
 a reliable reward model,"According to the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', an implicit assumption about the reward source that must hold for GRPO to reliably improve model behavior is that the reward source is","According to the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', an implicit assumption about the reward source that must hold for GRPO to reliably improve model behavior is that the reward source is a reliable reward model",What implicit assumption about the reward source must hold for GRPO to reliably improve model behaviour?,"['However, it is impossible to ensure the reward signal is always reliable, especially in extremely complex tasks.', 'To this end, we will explore the reinforcement learning algorithm that is robust against noisy reward signals.', 'In RL, the reward function is usually the neural reward model.', 'The reward model must be effectively generalized to handle out-of-distribution questions and advanced decoding outputs; otherwise, reinforcement learning may merely stabilize the distribution of LLMs rather than improve their fundamental capabilities;']",New Insight,reliable reward model
 a 10-gram exact match suffices,"In the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', the decontamination procedure removes any text segment that contains an exact n-gram match with evaluation benchmarks, and therefore the rule implicitly assumes that","In the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', the decontamination procedure removes any text segment that contains an exact n-gram match with evaluation benchmarks, and therefore the rule implicitly assumes that a 10-gram exact match suffices",What implicit assumption does the decontamination rule using 10-gram exact matches rely upon to avoid benchmark leakage?,"['To avoid benchmark contamination, we follow \\cite{deepseek-coder} to filter out web pages containing questions or answers from English mathematical benchmarks such as GSM8K \\citep{gsm8k} and MATH \\citep{MATH} and Chinese benchmarks such as CMATH \\citep{wei2023cmath} and AGIEval \\citep{agieval}.', 'The filtering criteria are as follows: any text segment containing a 10-gram string that matches exactly with any sub-string from the evaluation benchmarks is removed from our math training corpus.', 'For benchmark texts that are shorter than 10 grams but have at least 3 grams, we employ exact matching to filter out contaminated web pages.']",New Insight,10-gram suffices
 no notable change,"According to the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', the authors analyze the role of arXiv papers in their pretraining experiments and describe the experiments carried out to measure their effect on mathematical benchmarks; based on that discussion, removing arXiv entirely from the pretraining mix would most likely result in","According to the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', the authors analyze the role of arXiv papers in their pretraining experiments and describe the experiments carried out to measure their effect on mathematical benchmarks; based on that discussion, removing arXiv entirely from the pretraining mix would most likely result in no notable change","The authors state that training on arXiv 'brings no notable improvements' on their benchmarks. If the team removed arXiv entirely from the pretraining mix, what is the most likely effect on benchmark performance according to their claim?","['Although training on arXiv papers is common, especially in many math-related papers, it brings no notable improvements on all mathematical benchmarks adopted in this paper.', 'Perhaps counter-intuitively, according to our experiments, arXiv papers seem ineffective in improving mathematical reasoning.', 'When trained on a arXiv-only corpus, both models display no notable improvements or even deterioration across various mathematical benchmarks of different complexities employed in this study.']",Predicting Hypothetical,no notable change
