target,probe,fact,question,text_sentences,inference_type,answer
 cross-lingual transfer,"In the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', GRPO was applied using only a subset of English instruction tuning data yet improved a Chinese benchmark ($\text{CMATH}$), demonstrating","In the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', GRPO was applied using only a subset of English instruction tuning data yet improved a Chinese benchmark ($\text{CMATH}$), demonstrating cross-lingual transfer",GRPO was applied using only a subset of English instruction tuning data yet improved a Chinese benchmark (CMATH). What phenomenon best describes this cross-language improvement?,"['By solely using a subset of English instruction tuning data, GRPO obtains a substantial improvement over the strong DeepSeekMath-Instruct, including both in-domain (GSM8K: 82.9% → 88.2%, MATH: 46.8% → 51.7%) and out-of-domain mathematical tasks (e.g., CMATH: 84.6% → 88.8%) during the reinforcement learning phase.']",Counterfactual Scenarios - Predicting Hypotheticals,cross-lingual transfer
 generalization,"In the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', the observed improvement on out-of-domain tasks after GRPO-based RL suggests that this RL phase induces","In the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', the observed improvement on out-of-domain tasks after GRPO-based RL suggests that this RL phase induces generalization",What does the observed improvement on out-of-domain tasks after GRPO-based RL suggest about the influence of this RL phase?,"['By solely using a subset of English instruction tuning data, GRPO obtains a substantial improvement over the strong DeepSeekMath-Instruct, including both in-domain (GSM8K: 82.9% → 88.2%, MATH: 46.8% → 51.7%) and out-of-domain mathematical tasks (e.g., CMATH: 84.6% → 88.8%) during the reinforcement learning phase.']",Conceptual Synthesis - Generalization Inference,generalization boost
 data selection and GRPO,"In the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', the authors attribute DeepSeekMath's improved mathematical reasoning to two key factors:","In the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', the authors attribute DeepSeekMath's improved mathematical reasoning to two key factors: data selection and GRPO",Which two key factors do the authors attribute DeepSeekMath's improved mathematical reasoning to?,"['The mathematical reasoning capability of DeepSeekMath~is attributed to two key factors: First, we harness the significant potential of publicly available web data through a meticulously engineered data selection pipeline.', 'Second, we introduce Group Relative Policy Optimization (GRPO), a variant of Proximal Policy Optimization (PPO), that enhances mathematical reasoning abilities while concurrently optimizing the memory usage of PPO.']",Conceptual Synthesis - Core Insight,data selection and GRPO
 majority vote,"In the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', when the authors report 'Self-consistency over $64$ samples from DeepSeekMath~7B achieves $60.9\%$ on MATH', the self-consistency mechanism is most likely implementing a","In the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', when the authors report 'Self-consistency over $64$ samples from DeepSeekMath~7B achieves $60.9\%$ on MATH', the self-consistency mechanism is most likely implementing a majority vote",What mechanism is 'self-consistency' most likely implementing when the authors report 'Self-consistency over 64 samples from DeepSeekMath~7B achieves 60.9% on MATH'?,['Self-consistency over 64 samples from DeepSeekMath~7B achieves 60.9% on MATH.'],Mathematical Understanding - Method Interpretation,majority vote
 symbolic manipulation,"In the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', the authors suggest that code pre-training most likely enhances the cognitive or problem-solving skill involved in","In the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', the authors suggest that code pre-training most likely enhances the cognitive or problem-solving skill involved in symbolic manipulation","Which cognitive or problem-solving skill is code pre-training most likely enhancing to improve subsequent mathematical reasoning, as suggested by the authors?","[""Code training prior to math training improves models' ability to solve mathematical problems both with and without tool use. This offers a partial answer to the long-standing question: does code training improve reasoning abilities? We believe it does, at least for mathematical reasoning.""]",Analogous Understanding - Intuitive Analogy,symbolic manipulation
 value function,"In the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', the authors explain that GRPO estimates the baseline from group scores, thereby replacing the standard RL component used as a learned baseline:","In the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', the authors explain that GRPO estimates the baseline from group scores, thereby replacing the standard RL component used as a learned baseline: value function","In GRPO, estimating the baseline from group scores replaces which standard RL component?","['GRPO foregoes the critic model, instead estimating the baseline from group scores, significantly reducing training resources compared to Proximal Policy Optimization (PPO).']",Mathematical Understanding - Equation/Component Interpretation,value function
 higher compute cost,"According to the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', if GRPO were modified to reintroduce a learned critic, the primary tradeoff to expect is","According to the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', if GRPO were modified to reintroduce a learned critic, the primary tradeoff to expect is higher compute cost","If GRPO were modified to reintroduce a learned critic, what primary tradeoff should be expected according to the paper's description?","['GRPO foregoes the critic model, instead estimating the baseline from group scores, significantly reducing training resources compared to Proximal Policy Optimization (PPO).']",Counterfactual Scenarios - Predicting Hypotheticals,higher compute cost
 critic model,"According to the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', compared to standard PPO, GRPO deliberately removes a particular additional model to lower training resource requirements:","According to the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', compared to standard PPO, GRPO deliberately removes a particular additional model to lower training resource requirements: critic model","Compared to standard PPO, which component does GRPO deliberately remove to lower training resource requirements?","['Group Relative Policy Optimization (GRPO), a variant reinforcement learning (RL) algorithm of Proximal Policy Optimization (PPO). GRPO foregoes the critic model, instead estimating the baseline from group scores, significantly reducing training resources.', 'GRPO foregoes the critic model, instead estimating the baseline from group scores, significantly reducing training resources.']",Mathematical Understanding - Equation/Algorithm Interpretation,critic model
 high-quality data,"In the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', the authors attribute a $7\mathrm{B}$ model matching the performance of much larger models like Minerva $540\mathrm{B}$ primarily to","In the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', the authors attribute a $7\mathrm{B}$ model matching the performance of much larger models like Minerva $540\mathrm{B}$ primarily to high-quality data",Which primary factor do the authors attribute to a 7B model matching the performance of much larger models like Minerva 540B?,"['Our pre-trained base model DeepSeekMath-Base 7B achieves 64.2% on GSM8K and 36.2% on the competition-level MATH dataset, outperforming Minerva 540B \\citep{minerva}.', 'Our research provides compelling evidence that the publicly accessible Common Crawl data contains valuable information for mathematical purposes. By implementing a meticulously designed data selection pipeline, we successfully construct the DeepSeekMath Corpus, a high-quality dataset of 120B tokens from web pages filtered for mathematical content, which is almost 7 times the size of the math web pages used by Minerva \\citep{minerva} and 9 times the size of the recently released OpenWebMath \\citep{openwebmath}.']",Conceptual Synthesis - Causal Mechanism,high-quality data
 no critic,"In the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', the specific design choice in GRPO that is claimed to significantly reduce training resources is","In the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', the specific design choice in GRPO that is claimed to significantly reduce training resources is no critic",What specific design choice in GRPO is claimed to significantly reduce training resources?,"['GRPO foregoes the critic model, instead estimating the baseline from group scores, significantly reducing training resources.']",Causal Mechanism - Ablation Inference,no critic
