row_index,keep,drop_reason,review_notes,replacement_probe,replacement_target,duplicate_of
0,false,duplicate,Same sixth-factor similarity-scope concept as row 12; row 12 is more case-specific and better grounded in the affirmed service finding.,,,12
1,false,recall_not_composition,The crowded-field consequence of lack of commercial strength is stated directly in the sixth-factor discussion.,,,
2,false,recall_not_composition,The settled service-similarity premise is directly stated in the disposition and remand instruction.,,,
3,false,duplicate,The Board’s overly narrow similarity definition is the same legal flaw tested more concretely by row 12.,,,12
4,true,keep,Links reconsideration of factor six to a possible change in commercial strength or weakness affecting factor one.,,,
5,false,recall_not_composition,The consumer response to a crowded field is stated directly in the opinion.,,,
6,false,duplicate,"Same factor-six-to-factor-one relationship as row 4, with a less informative target.",,,4
7,false,duplicate,"Same remand scope issue as row 12, which states the complete service scope rather than only the added category.",,,12
8,true,keep,Applies the stated third-party-use rule to the remand scenario: weakness narrows the mark’s protection.,,,
9,false,duplicate,Same legal-standard error as rows 3 and 12; row 12 gives the operational scope the Board must use.,,,12
10,false,recall_not_composition,"This is a simple procedural chronology lookup: after publication, CC Serve filed an opposition.",,,
11,false,too_minor,The probe is only arithmetic over two counts of marks and the bare-number target is not a meaningful legal inference.,,,
12,true,keep,Composes the affirmed factor-two service overlap with the rule that factor-six third-party marks use the same similarity scope.,,,
13,true,keep,Uses the dependence of likelihood of confusion on DuPont factor findings to infer that the ultimate issue remains open on remand.,,,
14,false,recall_not_composition,The legally-identical-in-part conclusion is stated directly in the second-factor analysis.,,,
15,false,duplicate,Same factor-six effect on the first-factor commercial-impression inquiry as row 4.,,,4
16,false,recall_not_composition,The result follows directly from the procedural history that the Board sustained the opposition and refused registration.,,,
17,false,duplicate,"Same sixth-factor remand task as row 12, but with a generic target.",,,12
