domain_group,document,accept,fix,reject,reviewed_rows
arxiv,1_58,3,1,0,4
arxiv,BOFT,5,5,0,10
arxiv,ByteLatent,9,7,0,16
arxiv,DPO,4,0,0,4
arxiv,FeatLLM,9,1,0,10
arxiv,GRPO,8,1,0,9
arxiv,GSPO,10,0,0,10
arxiv,LongRoPE,10,3,0,13
arxiv,OFT,11,2,0,13
arxiv,QLoRA,16,2,0,18
arxiv,fa3,18,0,0,18
arxiv,xLSTM,16,1,0,17
legal,America_First_Legal_Foundation_v_Jamieson_Greer,1,10,0,11
legal,Apex_Bank_v_Cc_Serve_Corp,4,0,0,4
legal,Bruce_Cohen_v_Consilio_LLC,6,0,0,6
legal,Finesse_Wireless_LLC_v_Att_Mobility_LLC,5,2,0,7
legal,Foad_Farahi_v_FBI,5,1,0,6
legal,Jimenez_v_Bondi,4,0,7,11
legal,Pacito_v_Trump,0,0,10,10
legal,Santos_v_Kimmel,3,1,3,7
legal,United_States_v_Constantinescu,0,8,0,8
legal,United_States_v_Jaison_Coleman,0,6,0,6
legal,United_States_v_Justin_Cutbank,4,2,0,6
legal,Williams_v_GoAuto_Insurance,8,1,0,9
medical,Acute_neurological_Behets_disease_complicated_by_a_syndrome,8,0,0,8
medical,Autoimmune_heparininduced_thrombocytopenia_following_cardiac,2,6,0,8
medical,Central_hypoventilation_and_choking_episodes_revealing_Chiar,0,5,0,5
medical,Dermatomyositis_masquerading_as_angioedema_a_crucial_differe,3,1,0,4
medical,From_dog_bite_to_dialysis_complementmediated_haemolytic_urae,4,1,0,5
medical,Immunemediated_necrotising_myopathy_following_semaglutide_tr,4,1,0,5
medical,Management_of_atypical_complicated_abdominal_masses_in_the_s,5,0,0,5
medical,Monoallelic_PARN_mutation_presenting_as_pancytopenia_hepatic,4,0,0,4
medical,Multiphasic_anaphylaxis_in_the_emergency_and_intensive_care,5,0,0,5
medical,Nontype_1_and_nontype_2_diabetes_in_a_young_man_due_to_novel,8,0,0,8
medical,Pancreatopleural_fistula_in_childhood,4,1,0,5
medical,TAVinTAVinTAV_after_treated_endocarditis_procedural_strategy,10,1,0,11
