review_id,domain_group,document,mcqa_row_index,question_stem,target,correct_label,option_a,option_b,option_c,option_d,option_e,distractors,formatted_question,contextualized_question,fact,source_facts,text_sentences,derivation,question,answer,decision,issue_categories,review_reason,fixed_question_stem,fixed_option_a,fixed_option_b,fixed_option_c,fixed_option_d,fixed_option_e,fixed_correct_label,fixed_target,validation_error,fixed_formatted_question,fixed_formatted_question_5shot,fixed_distractors
arxiv/1_58/0,arxiv,1_58,0,"In the context of the paper 'The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits', what limitation needed to be addressed for BitNet b1.58 70B to enable larger batch sizes and improve throughput?",GPU memory limit,(C),memory bandwidth bottleneck,sequence length constraint,GPU memory limit,inter-GPU communication overhead,GPU compute throughput ceiling,"[""sequence length constraint"", ""GPU compute throughput ceiling"", ""memory bandwidth bottleneck"", ""inter-GPU communication overhead""]","In the context of the paper 'The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits', what limitation needed to be addressed for BitNet b1.58 70B to enable larger batch sizes and improve throughput?
(A) memory bandwidth bottleneck
(B) sequence length constraint
(C) GPU memory limit
(D) inter-GPU communication overhead
(E) GPU compute throughput ceiling","In the context of the paper 'The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits', what limitation needed to be addressed for BitNet b1.58 70B to enable larger batch sizes and improve throughput?","In the paper 'The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits', the bottleneck that had to be relaxed for BitNet b1.58 70B to support much larger batch sizes and achieve higher throughput was the GPU memory limit","['We increased the batch size until the GPU memory limit was reached, with a sequence length of 512.', 'Table~\\ref{tab:throughput} shows that BitNet b1.58 70B can support up to 11 times the batch size of LLaMA LLM, resulting an 8.9 times higher throughput.']","['We increased the batch size until the GPU memory limit was reached, with a sequence length of 512.', 'Table~\\ref{tab:throughput} shows that BitNet b1.58 70B can support up to 11 times the batch size of LLaMA LLM, resulting an 8.9 times higher throughput.']","Since batch size was increased until memory ran out, supporting much larger batches means the limiting bottleneck was GPU memory.",What bottleneck had to be relaxed for BitNet b1.58 70B to support much larger batch sizes and achieve higher throughput?,GPU memory limit,accept,,,,,,,,,,,,,,
arxiv/1_58/1,arxiv,1_58,1,"In the context of the paper 'The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits', what overhead is eliminated if a 1.58-bit MoE model is fully integrated onto a single chip?",transferring activations across networks,(E),dequantizing 1.58-bit weights back to higher precision,loading model weights from off-chip memory into cache,storing the KV cache for long-context inference,recomputing expert-routing scores for each token,transferring activations across networks,"[""recomputing expert-routing scores for each token"", ""loading model weights from off-chip memory into cache"", ""dequantizing 1.58-bit weights back to higher precision"", ""storing the KV cache for long-context inference""]","In the context of the paper 'The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits', what overhead is eliminated if a 1.58-bit MoE model is fully integrated onto a single chip?
(A) dequantizing 1.58-bit weights back to higher precision
(B) loading model weights from off-chip memory into cache
(C) storing the KV cache for long-context inference
(D) recomputing expert-routing scores for each token
(E) transferring activations across networks","In the context of the paper 'The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits', what overhead is eliminated if a 1.58-bit MoE model is fully integrated onto a single chip?","According to the paper 'The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits', if a 1.58-bit MoE model could be placed entirely on a single chip, the overhead that would vanish is transferring activations across networks","['Moreover, it significantly reduces the overhead of transferring activations across networks.', 'Ultimately, there would be no overhead if the entire models could be placed on a single chip.']","['Moreover, it significantly reduces the overhead of transferring activations across networks.', 'Ultimately, there would be no overhead if the entire models could be placed on a single chip.']","If the whole model fits on one chip, the paper says the network-transfer overhead for activations disappears.","If a 1.58-bit MoE model could be placed entirely on a single chip, what overhead would vanish?",transferring activations across networks,accept,,,,,,,,,,,,,,
arxiv/1_58/3,arxiv,1_58,3,What change in matrix multiplication is highlighted in the paper 'The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits' as a key factor for the improved energy efficiency and speed of BitNet b1.58 compared to FP16 LLMs?,integer addition,(C),reduced memory-bandwidth usage,floating-point addition,integer addition,low-bit integer multiplication,mixed-precision multiply-accumulate,"[""low-bit integer multiplication"", ""floating-point addition"", ""mixed-precision multiply-accumulate"", ""reduced memory-bandwidth usage""]","What change in matrix multiplication is highlighted in the paper 'The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits' as a key factor for the improved energy efficiency and speed of BitNet b1.58 compared to FP16 LLMs?
(A) reduced memory-bandwidth usage
(B) floating-point addition
(C) integer addition
(D) low-bit integer multiplication
(E) mixed-precision multiply-accumulate",What change in matrix multiplication is highlighted in the paper 'The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits' as a key factor for the improved energy efficiency and speed of BitNet b1.58 compared to FP16 LLMs?,"According to the paper 'The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits', the change in matrix multiplication that mainly explains why BitNet b1.58 can be both more energy-efficient and faster than FP16 LLMs is integer addition","['Vanilla LLMs are in 16-bit floating values (i.e., FP16 or BF16), and the bulk of any LLMs is matrix multiplication. Therefore, the major computation cost comes from the floating-point addition and multiplication operations.', 'In contrast, the matrix multiplication of BitNet only involves integer addition, which saves orders of energy cost for LLMs.', 'As the fundamental limit to compute performance in many chips is power, the energy savings can also be translated into faster computation.']","['Vanilla LLMs are in 16-bit floating values (i.e., FP16 or BF16), and the bulk of any LLMs is matrix multiplication. Therefore, the major computation cost comes from the floating-point addition and multiplication operations.', 'In contrast, the matrix multiplication of BitNet only involves integer addition, which saves orders of energy cost for LLMs.', 'As the fundamental limit to compute performance in many chips is power, the energy savings can also be translated into faster computation.']","Since most computation is matrix multiplication and BitNet replaces floating-point multiply-add work there with integer addition, its energy savings also imply faster computation under power limits.","According to the paper, what change in matrix multiplication mainly explains why BitNet b1.58 can be both more energy-efficient and faster than FP16 LLMs?",integer addition,accept,,,,,,,,,,,,,,
arxiv/BOFT/0,arxiv,BOFT,0,"In the context of the BOFT paper, how does the use of a butterfly matrix affect the parameter scaling with respect to the dimension $d$?",from $d^2$ to $d\log d$,(E),from d^2 to \log d,from d\log d to d^2,from d^2 to d,from d^2 to 2d,from $d^2$ to $d\log d$,"[""from d\\log d to d^2"", ""from d^2 to d"", ""from d^2 to \\log d"", ""from d^2 to 2d""]","In the context of the BOFT paper, how does the use of a butterfly matrix affect the parameter scaling with respect to the dimension $d$?
(A) from d^2 to \log d
(B) from d\log d to d^2
(C) from d^2 to d
(D) from d^2 to 2d
(E) from $d^2$ to $d\log d$","In the context of the BOFT paper, how does the use of a butterfly matrix affect the parameter scaling with respect to the dimension $d$?","According to the paper 'Parameter-Efficient Orthogonal Finetuning via Factorization', when BOFT uses the butterfly matrix instead of a full dense orthogonal matrix, the parameter scaling changes with dimension $d$ from $d^2$ to $d\log d$","['If we use the butterfly matrix, \\emph{i.e.}, $m=\\log d,b=2$, BOFT uses $\\mathcal{O}(d\\log d)$ parameters.', 'In contrast, the original OFT with a full dense orthogonal matrix uses $\\mathcal{O}(d^2)$ parameters']","['If we use the butterfly matrix, \\emph{i.e.}, $m=\\log d,b=2$, BOFT uses $\\mathcal{O}(d\\log d)$ parameters.', 'In contrast, the original OFT with a full dense orthogonal matrix uses $\\mathcal{O}(d^2)$ parameters']",Comparing the two asymptotic counts shows that butterfly BOFT reduces parameter growth from quadratic in $d$ to $d\log d$.,"When BOFT uses the butterfly matrix instead of a full dense orthogonal matrix, how does the parameter scaling change with dimension $d$?",from $d^2$ to $d\log d$,accept,,,,,,,,,,,,,,
arxiv/BOFT/6,arxiv,BOFT,6,"In the context of the paper 'Parameter-Efficient Orthogonal Finetuning via Factorization', what assumption related to the grouping of neuron dimensions is circumvented by the use of a dense orthogonal transformation in BOFT?",index-based groups,(A),index-based groups,layer-wise shared orthogonal matrices,sparse block connectivity,neuron-based groups,rank-constrained factorization,"[""neuron-based groups"", ""rank-constrained factorization"", ""layer-wise shared orthogonal matrices"", ""sparse block connectivity""]","In the context of the paper 'Parameter-Efficient Orthogonal Finetuning via Factorization', what assumption related to the grouping of neuron dimensions is circumvented by the use of a dense orthogonal transformation in BOFT?
(A) index-based groups
(B) layer-wise shared orthogonal matrices
(C) sparse block connectivity
(D) neuron-based groups
(E) rank-constrained factorization","In the context of the paper 'Parameter-Efficient Orthogonal Finetuning via Factorization', what assumption related to the grouping of neuron dimensions is circumvented by the use of a dense orthogonal transformation in BOFT?","According to the paper 'Parameter-Efficient Orthogonal Finetuning via Factorization', the questionable assumption of block-diagonal OFT avoided when BOFT uses a dense orthogonal transformation is the assumption of index-based groups","['the block-diagonal structure comes at a price -- it introduces an assumption that the dimensions of a neuron (\\emph{i.e.}, a column vector of the weight matrix $\\bm{W}^0$) are divided by $r$ groups and dimensions in different groups are transformed separately using different orthogonal matrices.', 'Despite the empirical effectiveness of the block-diagonal structure, it makes no sense to divide the dimensions of a neuron into $r$ groups based on their indices, which makes dense orthogonal matrices desirable.']","['the block-diagonal structure comes at a price -- it introduces an assumption that the dimensions of a neuron (\\emph{i.e.}, a column vector of the weight matrix $\\bm{W}^0$) are divided by $r$ groups and dimensions in different groups are transformed separately using different orthogonal matrices.', 'Despite the empirical effectiveness of the block-diagonal structure, it makes no sense to divide the dimensions of a neuron into $r$ groups based on their indices, which makes dense orthogonal matrices desirable.']","Since block-diagonal OFT separates dimensions by fixed groups based on their positions, using a dense orthogonal matrix removes that index-based grouping assumption.",What questionable assumption of block-diagonal OFT is avoided when BOFT uses a dense orthogonal transformation instead?,index-based groups,accept,,,,,,,,,,,,,,
arxiv/BOFT/7,arxiv,BOFT,7,"In the context of the BOFT method described in the paper 'Parameter-Efficient Orthogonal Finetuning via Factorization', what is the effective weight matrix utilized during the modified forward pass at the beginning of finetuning when all butterfly components are initialized as identity?",the pretrained weight matrix,(C),the zero-initialized skew-symmetric matrix,the orthogonal matrix R,the pretrained weight matrix,the identity matrix,the butterfly-factorized orthogonal matrix,"[""the orthogonal matrix R"", ""the identity matrix"", ""the butterfly-factorized orthogonal matrix"", ""the zero-initialized skew-symmetric matrix""]","In the context of the BOFT method described in the paper 'Parameter-Efficient Orthogonal Finetuning via Factorization', what is the effective weight matrix utilized during the modified forward pass at the beginning of finetuning when all butterfly components are initialized as identity?
(A) the zero-initialized skew-symmetric matrix
(B) the orthogonal matrix R
(C) the pretrained weight matrix
(D) the identity matrix
(E) the butterfly-factorized orthogonal matrix","In the context of the BOFT method described in the paper 'Parameter-Efficient Orthogonal Finetuning via Factorization', what is the effective weight matrix utilized during the modified forward pass at the beginning of finetuning when all butterfly components are initialized as identity?","According to the paper 'Parameter-Efficient Orthogonal Finetuning via Factorization', after BOFT initializes all butterfly components as identity, the effective weight matrix used in the modified forward pass at the very start of finetuning is the pretrained weight matrix","['Concretely, OFT optimizes an orthogonal matrix $\\bm{R}\\in\\mathbb{R}^{d\\times d}$ for a pretrained linear layer $\\bm{W}^0\\in\\mathbb{R}^{d\\times n}$, and modifies the forward pass from $\\bm{z}=(\\bm{W}^0)^\\top\\bm{x}$ to $\\bm{z}=(\\bm{R}\\bm{W}^0)^\\top\\bm{x}$', 'The orthogonal matrix $\\bm{R}(m,b)\\in\\mathbb{R}^{d\\times d}$ is composed of a product of multiple orthogonal butterfly components.', 'In BOFT, we initialize all the butterfly components with identity matrices (\\emph{i.e.}, the skew-symmetric matrix is initialized as zeros in Cayley transform).']","['Concretely, OFT optimizes an orthogonal matrix $\\bm{R}\\in\\mathbb{R}^{d\\times d}$ for a pretrained linear layer $\\bm{W}^0\\in\\mathbb{R}^{d\\times n}$, and modifies the forward pass from $\\bm{z}=(\\bm{W}^0)^\\top\\bm{x}$ to $\\bm{z}=(\\bm{R}\\bm{W}^0)^\\top\\bm{x}$', 'The orthogonal matrix $\\bm{R}(m,b)\\in\\mathbb{R}^{d\\times d}$ is composed of a product of multiple orthogonal butterfly components.', 'In BOFT, we initialize all the butterfly components with identity matrices (\\emph{i.e.}, the skew-symmetric matrix is initialized as zeros in Cayley transform).']","If every butterfly component starts as identity, their product $\bm{R}$ is identity, so the effective weight in $\bm{R}\bm{W}^0$ is just the original pretrained matrix.","After BOFT initializes all butterfly components as identity, what is the effective weight matrix used in the modified forward pass at the very start of finetuning?",the pretrained weight matrix,accept,,,,,,,,,,,,,,
arxiv/BOFT/8,arxiv,BOFT,8,"In the context of the paper 'Parameter-Efficient Orthogonal Finetuning via Factorization', which method is capable of generating a dense orthogonal matrix while maintaining a block size smaller than d?",BOFT,(E),a block-diagonal orthogonal factorization,original OFT,the block butterfly matrix $\bm{B}^{\frac{b}{2}}(d)$,OFT with block size $b=d$,BOFT,"[""original OFT"", ""OFT with block size $b=d$"", ""the block butterfly matrix $\\bm{B}^{\\frac{b}{2}}(d)$"", ""a block-diagonal orthogonal factorization""]","In the context of the paper 'Parameter-Efficient Orthogonal Finetuning via Factorization', which method is capable of generating a dense orthogonal matrix while maintaining a block size smaller than d?
(A) a block-diagonal orthogonal factorization
(B) original OFT
(C) the block butterfly matrix $\bm{B}^{\frac{b}{2}}(d)$
(D) OFT with block size $b=d$
(E) BOFT","In the context of the paper 'Parameter-Efficient Orthogonal Finetuning via Factorization', which method is capable of generating a dense orthogonal matrix while maintaining a block size smaller than d?","According to the paper 'Parameter-Efficient Orthogonal Finetuning via Factorization', the method that can still produce a dense orthogonal matrix even when the block size is kept smaller than $d$ is BOFT","['BOFT($\\log \\frac{2d}{b}$,$b$) uses the block butterfly matrix $\\bm{B}^{\\frac{b}{2}}(d)$ as $\\bm{R}$, and yields a dense orthogonal matrix $\\bm{R}$.', 'Therefore, the original OFT has to use the block size $b=d$ to generate a dense orthogonal matrix, while BOFT can use any $b$ to achieve this.']","['BOFT($\\log \\frac{2d}{b}$,$b$) uses the block butterfly matrix $\\bm{B}^{\\frac{b}{2}}(d)$ as $\\bm{R}$, and yields a dense orthogonal matrix $\\bm{R}$.', 'Therefore, the original OFT has to use the block size $b=d$ to generate a dense orthogonal matrix, while BOFT can use any $b$ to achieve this.']","Since original OFT needs b=d for density but BOFT can stay dense with any b, BOFT is the one that keeps small blocks without losing density.",Which method can still produce a dense orthogonal matrix even when the block size is kept smaller than d?,BOFT,accept,,,,,,,,,,,,,,
arxiv/BOFT/9,arxiv,BOFT,9,"In the context of the paper 'Parameter-Efficient Orthogonal Finetuning via Factorization', what is the reason for only requiring the orthogonality of the $2b\times 2b$ blocks when constructing larger block butterfly components?",block-wise permutations,(C),preserving the same non-zero pattern with sparse masking,a final global orthogonalization of the assembled butterfly matrix,block-wise permutations,recursive Kronecker expansion of the base 2b×2b block,shared orthogonal parameter tying across butterfly stages,"[""shared orthogonal parameter tying across butterfly stages"", ""preserving the same non-zero pattern with sparse masking"", ""recursive Kronecker expansion of the base 2b\u00d72b block"", ""a final global orthogonalization of the assembled butterfly matrix""]","In the context of the paper 'Parameter-Efficient Orthogonal Finetuning via Factorization', what is the reason for only requiring the orthogonality of the $2b\times 2b$ blocks when constructing larger block butterfly components?
(A) preserving the same non-zero pattern with sparse masking
(B) a final global orthogonalization of the assembled butterfly matrix
(C) block-wise permutations
(D) recursive Kronecker expansion of the base 2b×2b block
(E) shared orthogonal parameter tying across butterfly stages","In the context of the paper 'Parameter-Efficient Orthogonal Finetuning via Factorization', what is the reason for only requiring the orthogonality of the $2b\times 2b$ blocks when constructing larger block butterfly components?","According to the paper 'Parameter-Efficient Orthogonal Finetuning via Factorization', it is enough to make only the $2b\times 2b$ blocks orthogonal when constructing larger block butterfly components because the remaining structure can be handled by block-wise permutations","['""To guarantee the block butterfly component $\\tilde{\\bm{B}}^b(d,2)$ to be orthogonal, we parameterize each $2b\\times 2b$ block matrix to be orthogonal.""', '""The non-zero pattern of the other butterfly components $\\tilde{\\bm{B}}^b(d,k),k>2$ are the block-wise permutation of the non-zero pattern of $\\tilde{\\bm{B}}^b(d,2)$ and therefore can be similarly turned into orthogonal matrices.""']","['""To guarantee the block butterfly component $\\tilde{\\bm{B}}^b(d,2)$ to be orthogonal, we parameterize each $2b\\times 2b$ block matrix to be orthogonal.""', '""The non-zero pattern of the other butterfly components $\\tilde{\\bm{B}}^b(d,k),k>2$ are the block-wise permutation of the non-zero pattern of $\\tilde{\\bm{B}}^b(d,2)$ and therefore can be similarly turned into orthogonal matrices.""']","Because larger butterfly components only rearrange the same block pattern, making the base 2b×2b blocks orthogonal is enough to extend orthogonality to the larger components.",Why is it enough to make only the 2b×2b blocks orthogonal when constructing larger block butterfly components?,block-wise permutations,accept,,,,,,,,,,,,,,
arxiv/ByteLatent/0,arxiv,ByteLatent,0,"In the context of the paper 'Byte Latent Transformer: Patches Scale Better Than Tokens', what patching method allows for direct tuning of processing costs, which is a limitation of space patching?",entropy patching,(A),entropy patching,first-byte patching,token patching,space patching,word-boundary patching,"[""space patching"", ""token patching"", ""word-boundary patching"", ""first-byte patching""]","In the context of the paper 'Byte Latent Transformer: Patches Scale Better Than Tokens', what patching method allows for direct tuning of processing costs, which is a limitation of space patching?
(A) entropy patching
(B) first-byte patching
(C) token patching
(D) space patching
(E) word-boundary patching","In the context of the paper 'Byte Latent Transformer: Patches Scale Better Than Tokens', what patching method allows for direct tuning of processing costs, which is a limitation of space patching?","According to the paper 'Byte Latent Transformer: Patches Scale Better Than Tokens', the patching method that gives BLT a direct way to tune processing cost that space patching lacks is entropy patching","['However, space patching cannot gracefully handle all languages and domains, and most importantly cannot vary the patch size.', 'Next, we introduce a new patching method that uses the insight that the first bytes in words are typically most difficult to predict, but that provides a natural mechanism for controlling patch size.', 'Consequently, the average size of a patch, or simply \\textit{patch size}, is the main factor for determining the cost of processing data during both training and inference with a given patching function']","['However, space patching cannot gracefully handle all languages and domains, and most importantly cannot vary the patch size.', 'Next, we introduce a new patching method that uses the insight that the first bytes in words are typically most difficult to predict, but that provides a natural mechanism for controlling patch size.', 'Consequently, the average size of a patch, or simply \\textit{patch size}, is the main factor for determining the cost of processing data during both training and inference with a given patching function']","Because patch size controls cost and space patching cannot vary patch size, the new entropy-based method is the one that directly supports cost tuning.",Which patching method gives BLT a direct way to tune processing cost that space patching lacks?,entropy patching,accept,,,,,,,,,,,,,,
arxiv/ByteLatent/2,arxiv,ByteLatent,2,"In the context of the paper 'Byte Latent Transformer: Patches Scale Better Than Tokens', which layers are responsible for carrying byte order information due to the absence of positional embeddings in cross-attention?",the self-attention layers,(B),the pre-LayerNorm layers,the self-attention layers,"the query, key, and value projection layers",the cross-attention layers,the feed-forward layers,"[""the cross-attention layers"", ""the feed-forward layers"", ""the query, key, and value projection layers"", ""the pre-LayerNorm layers""]","In the context of the paper 'Byte Latent Transformer: Patches Scale Better Than Tokens', which layers are responsible for carrying byte order information due to the absence of positional embeddings in cross-attention?
(A) the pre-LayerNorm layers
(B) the self-attention layers
(C) the query, key, and value projection layers
(D) the cross-attention layers
(E) the feed-forward layers","In the context of the paper 'Byte Latent Transformer: Patches Scale Better Than Tokens', which layers are responsible for carrying byte order information due to the absence of positional embeddings in cross-attention?","According to the paper 'Byte Latent Transformer: Patches Scale Better Than Tokens', because cross-attention uses no positional embeddings, the layers that must carry byte order information are the self-attention layers","['Finally, we use a pre-LayerNorm on the queries, keys and values and no positional embeddings are used in this cross-attention module.', 'For all the transformer blocks in {\\textsc BLT}, i.e. both local and global models, we largely follow the architecture of Llama~3~\\citep{dubey2024llama}; we use the SwiGLU activation function~\\citep{swiglu} in the feed-forward layers, rotary positional embeddings (RoPE)~\\citep{RoPe} with $\\theta=500000$~\\citep{xiong2024effective} only in self-attention layers']","['Finally, we use a pre-LayerNorm on the queries, keys and values and no positional embeddings are used in this cross-attention module.', 'For all the transformer blocks in {\\textsc BLT}, i.e. both local and global models, we largely follow the architecture of Llama~3~\\citep{dubey2024llama}; we use the SwiGLU activation function~\\citep{swiglu} in the feed-forward layers, rotary positional embeddings (RoPE)~\\citep{RoPe} with $\\theta=500000$~\\citep{xiong2024effective} only in self-attention layers']","Since cross-attention has no positional embeddings and RoPE is only in self-attention, sequence order must come from the self-attention layers.","Because cross-attention uses no positional embeddings, which layers must carry byte order information?",the self-attention layers,accept,,,,,,,,,,,,,,
