review_id,decision,issue_categories,review_reason,fixed_question_stem,fixed_option_a,fixed_option_b,fixed_option_c,fixed_option_d,fixed_option_e,fixed_correct_label,fixed_target
medical/Autoimmune_heparininduced_thrombocytopenia_following_cardiac/0,fix,"['naturalness', 'validity']",The question stem is slightly awkward and can be made more concise.,"In the case report 'Autoimmune heparin-induced thrombocytopenia following cardiac surgery', what caused the thrombocytopenia to worsen even after stopping heparin treatment?",classic heparin-dependent HIT antibody activation,heparin-independent platelet activation,fondaparinux-associated platelet activation,persistent heparin-dependent platelet activation from residual UFH,postoperative consumptive platelet activation after cardiac surgery,(B),heparin-independent platelet activation
medical/Autoimmune_heparininduced_thrombocytopenia_following_cardiac/1,fix,"['naturalness', 'validity']",The question stem can be simplified for clarity.,"In the case report 'Autoimmune heparin-induced thrombocytopenia following cardiac surgery', what aspect of the platelet trajectory raised concerns about postoperative thrombocytopenia?",progressive decline to POD5,minor early decline on POD1,POD1 nadir with subsequent recovery,stable thrombocytopenia without further fall after surgery,transient postoperative drop limited to the first day,(A),progressive decline to POD5
medical/Autoimmune_heparininduced_thrombocytopenia_following_cardiac/3,fix,"['naturalness', 'validity']",The question stem can be made more straightforward.,"In the case report 'Autoimmune heparin-induced thrombocytopenia following cardiac surgery', which cause of the falling platelet count was argued against based on the stable hemoglobin trend observed on POD5?",expected early surgical blood loss,cardiopulmonary bypass-related thrombocytopenia,haemodilution from perioperative fluid administration,autoimmune heparin-induced thrombocytopenia,ongoing bleeding,(E),ongoing bleeding
medical/Autoimmune_heparininduced_thrombocytopenia_following_cardiac/4,fix,"['naturalness', 'validity']",The question stem can be simplified for better clarity.,"In the case report 'Autoimmune heparin-induced thrombocytopenia following cardiac surgery', which diagnosis was considered most likely after ruling out other causes of postoperative thrombocytopenia and noting the presence of stroke along with a strong-positive PF4/polyanion ELISA?",post-transfusion purpura,HIT,infection-related thrombocytopenia,drug-induced immune thrombocytopenia,post-surgery thrombotic thrombocytopenic purpura,(B),HIT
medical/Autoimmune_heparininduced_thrombocytopenia_following_cardiac/5,fix,"['naturalness', 'validity']",The question stem can be made more concise.,"In the case report 'Autoimmune heparin-induced thrombocytopenia following cardiac surgery', what diagnosis is indicated by a serotonin release assay showing platelet activation at 0 U/mL heparin but no activation at 100 U/mL UFH?",autoimmune HIT,disseminated intravascular coagulation,immune thrombocytopenia,classic heparin-dependent HIT,post-cardiac surgery thrombocytopenia,(A),autoimmune HIT
medical/Autoimmune_heparininduced_thrombocytopenia_following_cardiac/6,fix,"['naturalness', 'validity']",The question stem can be simplified for clarity.,"In the case report 'Autoimmune heparin-induced thrombocytopenia following cardiac surgery', what heparin exposure is suggested to explain the thrombocytopenia that began earlier than the typical post-cardiac surgery HIT window?",preoperative heart catheterisation UFH,intraoperative UFH during CPB,preoperative LMWH bridging anticoagulation,heparin-coated bypass circuit exposure,postoperative UFH thromboprophylaxis,(A),preoperative heart catheterisation UFH
medical/Central_hypoventilation_and_choking_episodes_revealing_Chiar/0,fix,"['naturalness', 'validity']",The question stem can be made more concise.,"In the case report 'Central hypoventilation and choking episodes revealing Chiari malformation type I', what type of hypoxia is suggested by the patient's repeated episodes of oxygen saturation dropping to 70%–80% while maintaining normal oxygenation during examination?",sustained nocturnal hypoxia,intermittent hypoxia,chronic resting hypoxemia,persistent hypoxia,continuous room-air hypoxia,(B),intermittent hypoxia
medical/Central_hypoventilation_and_choking_episodes_revealing_Chiar/1,fix,"['naturalness', 'validity']",The question stem can be simplified for clarity.,"In the case report 'Central hypoventilation and choking episodes revealing Chiari malformation type I', which component of the breathing control system was impaired during sleep or distraction despite preserved voluntary ventilation?",cortical ventilatory control,automatic respiratory drive,voluntary respiratory drive,airway protective reflexes,diaphragmatic neuromuscular function,(B),automatic respiratory drive
medical/Central_hypoventilation_and_choking_episodes_revealing_Chiar/2,fix,"['naturalness', 'validity']",The question stem can be made more concise.,"In the case report 'Central hypoventilation and choking episodes revealing Chiari malformation type I', what type of origin should have been considered earlier for the patient's choking episodes, given the normal findings from her gastrointestinal and ENT evaluations?",gastroenterological origin,neurological origin,otolaryngological structural cause,psychogenic origin,primary pulmonary origin,(B),neurological origin
medical/Central_hypoventilation_and_choking_episodes_revealing_Chiar/3,fix,"['naturalness', 'validity']",The question stem can be simplified for clarity.,"In the case report 'Central hypoventilation and choking episodes revealing Chiari malformation type I', what surgical intervention is suggested to address respiratory issues caused by compression if the patient's condition deteriorates?",posterior fossa decompression,noninvasive positive-pressure ventilation,ventriculoperitoneal shunt placement,adenotonsillectomy,tracheostomy with long-term airway support,(A),posterior fossa decompression
