row_1based,decision,issue_type,reason,old_target,new_target,old_probe,new_probe,old_fact,new_fact
1,repair,source_framing_issue,"Repaired to required legal case/opinion framing with the cleaned source title ""United States v. Justin Cutbank""; retained the source-supported legal fact and normalized cloze spacing where needed.", being a felon in possession of a firearm., being a felon in possession of a firearm.,"In United States v. Justin Lyle Cutbank, the jury convicted Justin Cutbank under 18 U.S.C. §§ 922(g)(1) and 924(e) of","In the case ""United States v. Justin Cutbank"", the jury convicted Justin Cutbank under 18 U.S.C. §§ 922(g)(1) and 924(e) of","In United States v. Justin Lyle Cutbank, the jury convicted Justin Cutbank under 18 U.S.C. §§ 922(g)(1) and 924(e) of being a felon in possession of a firearm.","In the case ""United States v. Justin Cutbank"", the jury convicted Justin Cutbank under 18 U.S.C. §§ 922(g)(1) and 924(e) of being a felon in possession of a firearm."
2,repair,source_framing_issue,"Repaired to required legal case/opinion framing with the cleaned source title ""United States v. Justin Cutbank""; retained the source-supported legal fact and normalized cloze spacing where needed.",in the garage and refused to leave., in the garage and refused to leave.,"In United States v. Justin Lyle Cutbank, after D.F. called the police, officers also received a separate report from a house about a half mile away that a man was","In the case ""United States v. Justin Cutbank"", after D.F. called the police, officers also received a separate report from a house about a half mile away that a man was","In United States v. Justin Lyle Cutbank, after D.F. called the police, officers also received a separate report from a house about a half mile away that a man wasin the garage and refused to leave.","In the case ""United States v. Justin Cutbank"", after D.F. called the police, officers also received a separate report from a house about a half mile away that a man was in the garage and refused to leave."
3,repair,source_framing_issue,"Repaired to required legal case/opinion framing with the cleaned source title ""United States v. Justin Cutbank""; retained the source-supported legal fact and normalized cloze spacing where needed.", a weapon., a weapon.,"In United States v. Justin Lyle Cutbank, after police responded to a report that a man was in a nearby garage and refusing to leave, and Cutbank barricaded himself inside and made erratic statements over several hours, he claimed to have","In the case ""United States v. Justin Cutbank"", after police responded to a report that a man was in a nearby garage and refusing to leave, and Cutbank barricaded himself inside and made erratic statements over several hours, he claimed to have","In United States v. Justin Lyle Cutbank, after police responded to a report that a man was in a nearby garage and refusing to leave, and Cutbank barricaded himself inside and made erratic statements over several hours, he claimed to have a weapon.","In the case ""United States v. Justin Cutbank"", after police responded to a report that a man was in a nearby garage and refusing to leave, and Cutbank barricaded himself inside and made erratic statements over several hours, he claimed to have a weapon."
4,repair,source_framing_issue,"Repaired to required legal case/opinion framing with the cleaned source title ""United States v. Justin Cutbank""; retained the source-supported legal fact and normalized cloze spacing where needed.", the face and neck, the face and neck,"In United States v. Justin Lyle Cutbank, when officers attempted to detain Cutbank after he barricaded himself in a garage, he bit an officer during the struggle on","In the case ""United States v. Justin Cutbank"", when officers attempted to detain Cutbank after he barricaded himself in a garage, he bit an officer during the struggle on","In United States v. Justin Lyle Cutbank, when officers attempted to detain Cutbank after he barricaded himself in a garage, he bit an officer during the struggle on the face and neck","In the case ""United States v. Justin Cutbank"", when officers attempted to detain Cutbank after he barricaded himself in a garage, he bit an officer during the struggle on the face and neck"
5,repair,source_framing_issue,"Repaired to required legal case/opinion framing with the cleaned source title ""United States v. Justin Cutbank""; retained the source-supported legal fact and normalized cloze spacing where needed.", § 924(e)., § 924(e).,"In United States v. Justin Lyle Cutbank, the jury found Cutbank guilty of the charged felon-in-possession offense and also found that he had previously been convicted of at least three violent felonies, which triggered the enhanced penalty provisions of","In the case ""United States v. Justin Cutbank"", the jury found Cutbank guilty of the charged felon-in-possession offense and also found that he had previously been convicted of at least three violent felonies, which triggered the enhanced penalty provisions of","In United States v. Justin Lyle Cutbank, the jury found Cutbank guilty of the charged felon-in-possession offense and also found that he had previously been convicted of at least three violent felonies, which triggered the enhanced penalty provisions of § 924(e).","In the case ""United States v. Justin Cutbank"", the jury found Cutbank guilty of the charged felon-in-possession offense and also found that he had previously been convicted of at least three violent felonies, which triggered the enhanced penalty provisions of § 924(e)."
6,repair,source_framing_issue|poor_wording,"Repaired to required legal case/opinion framing with the cleaned source title ""United States v. Justin Cutbank""; retained the source-supported legal fact and normalized cloze spacing where needed. Reworded the witness-identification cloze so the target completes the sentence instead of trailing after the rifle description.", D.F. and C.F., D.F. and C.F.,"In United States v. Justin Lyle Cutbank, before trial Cutbank moved to exclude testimony under Federal Rule of Evidence 404(b), seeking to prevent the two witnesses from testifying that they had previously seen him with the sawed-off Marlin .22 caliber rifle,","In the case ""United States v. Justin Cutbank"", before trial Cutbank moved under Federal Rule of Evidence 404(b) to prevent testimony from","In United States v. Justin Lyle Cutbank, before trial Cutbank moved to exclude testimony under Federal Rule of Evidence 404(b), seeking to prevent the two witnesses from testifying that they had previously seen him with the sawed-off Marlin .22 caliber rifle, D.F. and C.F.","In the case ""United States v. Justin Cutbank"", before trial Cutbank moved under Federal Rule of Evidence 404(b) to prevent testimony from D.F. and C.F."
7,repair,source_framing_issue,"Repaired to required legal case/opinion framing with the cleaned source title ""United States v. Justin Cutbank""; retained the source-supported legal fact and normalized cloze spacing where needed.", ownership or control of the weapon., ownership or control of the weapon.,"In United States v. Justin Lyle Cutbank, citing United States v. Battle on the relevance of prior firearm possession to a later possession charge, the court stated that prior possession helps establish","In the case ""United States v. Justin Cutbank"", citing United States v. Battle on the relevance of prior firearm possession to a later possession charge, the court stated that prior possession helps establish","In United States v. Justin Lyle Cutbank, citing United States v. Battle on the relevance of prior firearm possession to a later possession charge, the court stated that prior possession helps establish ownership or control of the weapon.","In the case ""United States v. Justin Cutbank"", citing United States v. Battle on the relevance of prior firearm possession to a later possession charge, the court stated that prior possession helps establish ownership or control of the weapon."
8,repair,source_framing_issue,"Repaired to required legal case/opinion framing with the cleaned source title ""United States v. Justin Cutbank""; retained the source-supported legal fact and normalized cloze spacing where needed.", abuse of discretion., abuse of discretion.,"In United States v. Justin Lyle Cutbank, the standard of review that applies on appeal to a district court’s decision not to give a limiting instruction is","In the case ""United States v. Justin Cutbank"", the standard of review that applies on appeal to a district court’s decision not to give a limiting instruction is","In United States v. Justin Lyle Cutbank, the standard of review that applies on appeal to a district court’s decision not to give a limiting instruction is abuse of discretion.","In the case ""United States v. Justin Cutbank"", the standard of review that applies on appeal to a district court’s decision not to give a limiting instruction is abuse of discretion."
9,repair,source_framing_issue,"Repaired to required legal case/opinion framing with the cleaned source title ""United States v. Justin Cutbank""; retained the source-supported legal fact and normalized cloze spacing where needed.", if the court provides an appropriate instruction at the close of trial., if the court provides an appropriate instruction at the close of trial.,"According to the opinion in ""United States v. Justin Lyle Cutbank,"" a district court may decline to instruct the jury about each item of evidence at the time that evidence is admitted","According to the opinion in ""United States v. Justin Cutbank"", a district court may decline to instruct the jury about each item of evidence at the time that evidence is admitted","According to the opinion in ""United States v. Justin Lyle Cutbank,"" a district court may decline to instruct the jury about each item of evidence at the time that evidence is admitted if the court provides an appropriate instruction at the close of trial.","According to the opinion in ""United States v. Justin Cutbank"", a district court may decline to instruct the jury about each item of evidence at the time that evidence is admitted if the court provides an appropriate instruction at the close of trial."
10,repair,source_framing_issue,"Repaired to required legal case/opinion framing with the cleaned source title ""United States v. Justin Cutbank""; retained the source-supported legal fact and normalized cloze spacing where needed.", cross-examining her about prior statements she made to a police investigator., cross-examining her about prior statements she made to a police investigator.,"In United States v. Justin Lyle Cutbank, the defense tried to undermine C.F.’s testimony that she had seen the gun used during the incident “once or twice” before by","In the case ""United States v. Justin Cutbank"", the defense tried to undermine C.F.’s testimony that she had seen the gun used during the incident “once or twice” before by","In United States v. Justin Lyle Cutbank, the defense tried to undermine C.F.’s testimony that she had seen the gun used during the incident “once or twice” before by cross-examining her about prior statements she made to a police investigator.","In the case ""United States v. Justin Cutbank"", the defense tried to undermine C.F.’s testimony that she had seen the gun used during the incident “once or twice” before by cross-examining her about prior statements she made to a police investigator."
11,repair,source_framing_issue,"Repaired to required legal case/opinion framing with the cleaned source title ""United States v. Justin Cutbank""; retained the source-supported legal fact and normalized cloze spacing where needed.", four-level sentencing enhancement, four-level sentencing enhancement,"In United States v. Justin Lyle Cutbank, on appeal from the district court’s application of U.S.S.G. § 2K2.1(b)(6)(B) for possessing a firearm in connection with another felony offense, Cutbank argued that the district court incorrectly applied a","In the case ""United States v. Justin Cutbank"", on appeal from the district court’s application of U.S.S.G. § 2K2.1(b)(6)(B) for possessing a firearm in connection with another felony offense, Cutbank argued that the district court incorrectly applied a","In United States v. Justin Lyle Cutbank, on appeal from the district court’s application of U.S.S.G. § 2K2.1(b)(6)(B) for possessing a firearm in connection with another felony offense, Cutbank argued that the district court incorrectly applied a four-level sentencing enhancement","In the case ""United States v. Justin Cutbank"", on appeal from the district court’s application of U.S.S.G. § 2K2.1(b)(6)(B) for possessing a firearm in connection with another felony offense, Cutbank argued that the district court incorrectly applied a four-level sentencing enhancement"
12,repair,source_framing_issue,"Repaired to required legal case/opinion framing with the cleaned source title ""United States v. Justin Cutbank""; retained the source-supported legal fact and normalized cloze spacing where needed.", a total offense level of 34., a total offense level of 34.,"In United States v. Justin Lyle Cutbank, after the jury found that Cutbank had three or more prior violent felony convictions triggering Armed Career Criminal Act penalties, the opinion stated that under the Armed Career Criminal Guideline it would have produced","In the case ""United States v. Justin Cutbank"", after the jury found that Cutbank had three or more prior violent felony convictions triggering Armed Career Criminal Act penalties, the opinion stated that under the Armed Career Criminal Guideline it would have produced","In United States v. Justin Lyle Cutbank, after the jury found that Cutbank had three or more prior violent felony convictions triggering Armed Career Criminal Act penalties, the opinion stated that under the Armed Career Criminal Guideline it would have produced a total offense level of 34.","In the case ""United States v. Justin Cutbank"", after the jury found that Cutbank had three or more prior violent felony convictions triggering Armed Career Criminal Act penalties, the opinion stated that under the Armed Career Criminal Guideline it would have produced a total offense level of 34."
13,repair,source_framing_issue,"Repaired to required legal case/opinion framing with the cleaned source title ""United States v. Justin Cutbank""; retained the source-supported legal fact and normalized cloze spacing where needed.", [Cutbank’s] arguments, [Cutbank’s] arguments,"According to the opinion in United States v. Justin Lyle Cutbank, when the Eighth Circuit applied the presumption quoted from United States v. Masood during review of Cutbank’s within-Guidelines sentence, it said the district court was aware of","According to the opinion in ""United States v. Justin Cutbank"", when the Eighth Circuit applied the presumption quoted from United States v. Masood during review of Cutbank’s within-Guidelines sentence, it said the district court was aware of","According to the opinion in United States v. Justin Lyle Cutbank, when the Eighth Circuit applied the presumption quoted from United States v. Masood during review of Cutbank’s within-Guidelines sentence, it said the district court was aware of [Cutbank’s] arguments","According to the opinion in ""United States v. Justin Cutbank"", when the Eighth Circuit applied the presumption quoted from United States v. Masood during review of Cutbank’s within-Guidelines sentence, it said the district court was aware of [Cutbank’s] arguments"
14,repair,source_framing_issue,"Repaired to required legal case/opinion framing with the cleaned source title ""United States v. Justin Cutbank""; retained the source-supported legal fact and normalized cloze spacing where needed.", the Armed Career Criminal Act, the Armed Career Criminal Act,"In United States v. Justin Lyle Cutbank, after a jury convicted Justin Cutbank of being a felon in possession of a firearm under 18 U.S.C. §§ 922(g)(1) and 924(e), he was sentenced under","In the case ""United States v. Justin Cutbank"", after a jury convicted Justin Cutbank of being a felon in possession of a firearm under 18 U.S.C. §§ 922(g)(1) and 924(e), he was sentenced under","In United States v. Justin Lyle Cutbank, after a jury convicted Justin Cutbank of being a felon in possession of a firearm under 18 U.S.C. §§ 922(g)(1) and 924(e), he was sentenced under the Armed Career Criminal Act","In the case ""United States v. Justin Cutbank"", after a jury convicted Justin Cutbank of being a felon in possession of a firearm under 18 U.S.C. §§ 922(g)(1) and 924(e), he was sentenced under the Armed Career Criminal Act"
15,repair,source_framing_issue,"Repaired to required legal case/opinion framing with the cleaned source title ""United States v. Justin Cutbank""; retained the source-supported legal fact and normalized cloze spacing where needed.", 292 months imprisonment, 292 months imprisonment,"In United States v. Justin Lyle Cutbank, after the jury convicted Justin Cutbank of being a felon in possession of a firearm and the district court sentenced him under the Armed Career Criminal Act, the court imposed","In the case ""United States v. Justin Cutbank"", after the jury convicted Justin Cutbank of being a felon in possession of a firearm and the district court sentenced him under the Armed Career Criminal Act, the court imposed","In United States v. Justin Lyle Cutbank, after the jury convicted Justin Cutbank of being a felon in possession of a firearm and the district court sentenced him under the Armed Career Criminal Act, the court imposed 292 months imprisonment","In the case ""United States v. Justin Cutbank"", after the jury convicted Justin Cutbank of being a felon in possession of a firearm and the district court sentenced him under the Armed Career Criminal Act, the court imposed 292 months imprisonment"
16,repair,source_framing_issue,"Repaired to required legal case/opinion framing with the cleaned source title ""United States v. Justin Cutbank""; retained the source-supported legal fact and normalized cloze spacing where needed.", a USSG § 2K2.1(b)(6)(B) sentencing enhancement, a USSG § 2K2.1(b)(6)(B) sentencing enhancement,"In United States v. Justin Lyle Cutbank before the Eighth Circuit, Cutbank appealed his conviction and sentence after arguing that the district court made evidentiary and procedural errors and also misapplied a sentencing enhancement that increased his advisory Guidelines range, namely","In the case ""United States v. Justin Cutbank"", before the Eighth Circuit, Cutbank appealed his conviction and sentence after arguing that the district court made evidentiary and procedural errors and also misapplied a sentencing enhancement that increased his advisory Guidelines range, namely","In United States v. Justin Lyle Cutbank before the Eighth Circuit, Cutbank appealed his conviction and sentence after arguing that the district court made evidentiary and procedural errors and also misapplied a sentencing enhancement that increased his advisory Guidelines range, namely a USSG § 2K2.1(b)(6)(B) sentencing enhancement","In the case ""United States v. Justin Cutbank"", before the Eighth Circuit, Cutbank appealed his conviction and sentence after arguing that the district court made evidentiary and procedural errors and also misapplied a sentencing enhancement that increased his advisory Guidelines range, namely a USSG § 2K2.1(b)(6)(B) sentencing enhancement"
17,repair,source_framing_issue,"Repaired to required legal case/opinion framing with the cleaned source title ""United States v. Justin Cutbank""; retained the source-supported legal fact and normalized cloze spacing where needed.", a fair trial, a fair trial,"In United States v. Justin Lyle Cutbank before the Eighth Circuit, Cutbank argued on appeal from his felon-in-possession conviction and sentence that the district court's multiple evidentiary and procedural errors deprived him of","In the case ""United States v. Justin Cutbank"", before the Eighth Circuit, Cutbank argued on appeal from his felon-in-possession conviction and sentence that the district court's multiple evidentiary and procedural errors deprived him of","In United States v. Justin Lyle Cutbank before the Eighth Circuit, Cutbank argued on appeal from his felon-in-possession conviction and sentence that the district court's multiple evidentiary and procedural errors deprived him of a fair trial","In the case ""United States v. Justin Cutbank"", before the Eighth Circuit, Cutbank argued on appeal from his felon-in-possession conviction and sentence that the district court's multiple evidentiary and procedural errors deprived him of a fair trial"
18,repair,source_framing_issue,"Repaired to required legal case/opinion framing with the cleaned source title ""United States v. Justin Cutbank""; retained the source-supported legal fact and normalized cloze spacing where needed.", methamphetamine, methamphetamine,"In United States v. Justin Lyle Cutbank, the drug Cutbank had used before he awakened his girlfriend, D.F., during the night of November 19-20, 2020, was","In the case ""United States v. Justin Cutbank"", the drug Cutbank had used before he awakened his girlfriend, D.F., during the night of November 19-20, 2020, was","In United States v. Justin Lyle Cutbank, the drug Cutbank had used before he awakened his girlfriend, D.F., during the night of November 19-20, 2020, was methamphetamine","In the case ""United States v. Justin Cutbank"", the drug Cutbank had used before he awakened his girlfriend, D.F., during the night of November 19-20, 2020, was methamphetamine"
19,repair,source_framing_issue,"Repaired to required legal case/opinion framing with the cleaned source title ""United States v. Justin Cutbank""; retained the source-supported legal fact and normalized cloze spacing where needed.",into a closet., into a closet.,"In United States v. Justin Lyle Cutbank, after Cutbank pointed a gun at his girlfriend D.F.’s face during the night of November 19-20, 2020, he directed her","In the case ""United States v. Justin Cutbank"", after Cutbank pointed a gun at his girlfriend D.F.’s face during the night of November 19-20, 2020, he directed her","In United States v. Justin Lyle Cutbank, after Cutbank pointed a gun at his girlfriend D.F.’s face during the night of November 19-20, 2020, he directed herinto a closet.","In the case ""United States v. Justin Cutbank"", after Cutbank pointed a gun at his girlfriend D.F.’s face during the night of November 19-20, 2020, he directed her into a closet."
20,repair,source_framing_issue,"Repaired to required legal case/opinion framing with the cleaned source title ""United States v. Justin Cutbank""; retained the source-supported legal fact and normalized cloze spacing where needed.", for what D.F. testified felt like hours, for what D.F. testified felt like hours,"In United States v. Justin Lyle Cutbank, during the November 19-20, 2020 incident in which Cutbank kept D.F. in a closet at gunpoint, D.F. testified that the ordeal lasted","In the case ""United States v. Justin Cutbank"", during the November 19-20, 2020 incident in which Cutbank kept D.F. in a closet at gunpoint, D.F. testified that the ordeal lasted","In United States v. Justin Lyle Cutbank, during the November 19-20, 2020 incident in which Cutbank kept D.F. in a closet at gunpoint, D.F. testified that the ordeal lasted for what D.F. testified felt like hours","In the case ""United States v. Justin Cutbank"", during the November 19-20, 2020 incident in which Cutbank kept D.F. in a closet at gunpoint, D.F. testified that the ordeal lasted for what D.F. testified felt like hours"
21,repair,source_framing_issue,"Repaired to required legal case/opinion framing with the cleaned source title ""United States v. Justin Cutbank""; retained the source-supported legal fact and normalized cloze spacing where needed.", striking her across the face with the gun, striking her across the face with the gun,"In United States v. Justin Lyle Cutbank, during the November 19-20, 2020 incident in which Cutbank kept D.F. in a closet at gunpoint and threatened her life, he was also described as","In the case ""United States v. Justin Cutbank"", during the November 19-20, 2020 incident in which Cutbank kept D.F. in a closet at gunpoint and threatened her life, he was also described as","In United States v. Justin Lyle Cutbank, during the November 19-20, 2020 incident in which Cutbank kept D.F. in a closet at gunpoint and threatened her life, he was also described as striking her across the face with the gun","In the case ""United States v. Justin Cutbank"", during the November 19-20, 2020 incident in which Cutbank kept D.F. in a closet at gunpoint and threatened her life, he was also described as striking her across the face with the gun"
