step,probe_index,mcqa_accuracy,predicted_idx,predicted_label,correct_idx
0,0,1.0,0,A,0
0,1,0.0,1,B,2
0,2,0.0,0,A,3
0,3,1.0,2,C,2
0,4,1.0,1,B,1
0,5,0.0,2,C,4
0,6,0.0,0,A,3
0,7,1.0,2,C,2
4,0,1.0,0,A,0
4,1,0.0,1,B,2
4,2,0.0,0,A,3
4,3,1.0,2,C,2
4,4,1.0,1,B,1
4,5,0.0,2,C,4
4,6,0.0,0,A,3
4,7,1.0,2,C,2
8,0,1.0,0,A,0
8,1,0.0,1,B,2
8,2,0.0,0,A,3
8,3,1.0,2,C,2
8,4,1.0,1,B,1
8,5,0.0,2,C,4
8,6,0.0,0,A,3
8,7,1.0,2,C,2
12,0,1.0,0,A,0
12,1,0.0,1,B,2
12,2,0.0,0,A,3
12,3,1.0,2,C,2
12,4,1.0,1,B,1
12,5,0.0,2,C,4
12,6,0.0,2,C,3
12,7,1.0,2,C,2
16,0,1.0,0,A,0
16,1,0.0,1,B,2
16,2,0.0,0,A,3
16,3,1.0,2,C,2
16,4,0.0,0,A,1
16,5,0.0,2,C,4
16,6,0.0,2,C,3
16,7,1.0,2,C,2
20,0,1.0,0,A,0
20,1,0.0,1,B,2
20,2,0.0,0,A,3
20,3,1.0,2,C,2
20,4,1.0,1,B,1
20,5,0.0,2,C,4
20,6,0.0,2,C,3
20,7,1.0,2,C,2
24,0,1.0,0,A,0
24,1,0.0,1,B,2
24,2,0.0,0,A,3
24,3,1.0,2,C,2
24,4,1.0,1,B,1
24,5,0.0,2,C,4
24,6,0.0,2,C,3
24,7,1.0,2,C,2
28,0,1.0,0,A,0
28,1,0.0,1,B,2
28,2,0.0,0,A,3
28,3,1.0,2,C,2
28,4,1.0,1,B,1
28,5,0.0,2,C,4
28,6,0.0,2,C,3
28,7,1.0,2,C,2
32,0,1.0,0,A,0
32,1,0.0,1,B,2
32,2,0.0,0,A,3
32,3,1.0,2,C,2
32,4,1.0,1,B,1
32,5,0.0,2,C,4
32,6,0.0,2,C,3
32,7,1.0,2,C,2
36,0,1.0,0,A,0
36,1,0.0,1,B,2
36,2,0.0,0,A,3
36,3,0.0,3,D,2
36,4,1.0,1,B,1
36,5,0.0,0,A,4
36,6,0.0,2,C,3
36,7,1.0,2,C,2
40,0,1.0,0,A,0
40,1,0.0,1,B,2
40,2,0.0,0,A,3
40,3,0.0,3,D,2
40,4,1.0,1,B,1
40,5,0.0,2,C,4
40,6,0.0,2,C,3
40,7,1.0,2,C,2
44,0,1.0,0,A,0
44,1,0.0,1,B,2
44,2,0.0,0,A,3
44,3,0.0,3,D,2
44,4,1.0,1,B,1
44,5,0.0,2,C,4
44,6,0.0,2,C,3
44,7,1.0,2,C,2
48,0,1.0,0,A,0
48,1,0.0,1,B,2
48,2,0.0,0,A,3
48,3,1.0,2,C,2
48,4,1.0,1,B,1
48,5,0.0,2,C,4
48,6,0.0,2,C,3
48,7,1.0,2,C,2
52,0,1.0,0,A,0
52,1,0.0,1,B,2
52,2,0.0,0,A,3
52,3,0.0,3,D,2
52,4,1.0,1,B,1
52,5,0.0,2,C,4
52,6,0.0,2,C,3
52,7,1.0,2,C,2
56,0,1.0,0,A,0
56,1,0.0,1,B,2
56,2,0.0,0,A,3
56,3,0.0,3,D,2
56,4,1.0,1,B,1
56,5,0.0,2,C,4
56,6,0.0,2,C,3
56,7,1.0,2,C,2
60,0,1.0,0,A,0
60,1,0.0,1,B,2
60,2,0.0,0,A,3
60,3,0.0,3,D,2
60,4,1.0,1,B,1
60,5,0.0,2,C,4
60,6,0.0,2,C,3
60,7,1.0,2,C,2
64,0,1.0,0,A,0
64,1,0.0,1,B,2
64,2,0.0,0,A,3
64,3,0.0,3,D,2
64,4,1.0,1,B,1
64,5,0.0,2,C,4
64,6,0.0,2,C,3
64,7,1.0,2,C,2
68,0,1.0,0,A,0
68,1,0.0,1,B,2
68,2,0.0,0,A,3
68,3,0.0,3,D,2
68,4,1.0,1,B,1
68,5,0.0,2,C,4
68,6,0.0,2,C,3
68,7,1.0,2,C,2
72,0,1.0,0,A,0
72,1,0.0,1,B,2
72,2,0.0,0,A,3
72,3,0.0,3,D,2
72,4,1.0,1,B,1
72,5,0.0,2,C,4
72,6,0.0,2,C,3
72,7,1.0,2,C,2
76,0,1.0,0,A,0
76,1,0.0,1,B,2
76,2,0.0,0,A,3
76,3,0.0,3,D,2
76,4,1.0,1,B,1
76,5,0.0,2,C,4
76,6,0.0,2,C,3
76,7,1.0,2,C,2
80,0,1.0,0,A,0
80,1,0.0,1,B,2
80,2,0.0,0,A,3
80,3,0.0,3,D,2
80,4,1.0,1,B,1
80,5,0.0,2,C,4
80,6,0.0,2,C,3
80,7,1.0,2,C,2
84,0,1.0,0,A,0
84,1,0.0,1,B,2
84,2,0.0,0,A,3
84,3,0.0,3,D,2
84,4,1.0,1,B,1
84,5,0.0,2,C,4
84,6,0.0,2,C,3
84,7,1.0,2,C,2
88,0,1.0,0,A,0
