document,input_rows,retained_rows,dropped_rows,keep,repair,drop,issues
America_First_Legal_Foundation_v_Jamieson_Greer,78,78,0,18,60,0,leakage:1;poor_wording:1;source_framing_issue:60;target_source_repair:1
Apex_Bank_v_Cc_Serve_Corp,74,74,0,19,55,0,leakage:8;poor_wording:10;source_framing_issue:54;target_source_repair:2
Bruce_Cohen_v_Consilio_LLC,82,81,1,0,81,1,poor_wording:3;source_framing_issue:81;target_source_repair:5;title_leakage:1
Finesse_Wireless_LLC_v_Att_Mobility_LLC,103,103,0,16,87,0,insufficient_context:1;poor_wording:9;source_framing_issue:85;target_source_repair:1
Foad_Farahi_v_FBI,98,98,0,2,96,0,insufficient_context:1;leakage:4;poor_wording:13;source_framing_issue:96;target_source_repair:3
Jimenez_v_Bondi,164,164,0,16,148,0,poor_wording:19;source_framing_issue:148;target_source_repair:3
Pacito_v_Trump,67,67,0,51,16,0,insufficient_context:1;leakage:1;poor_wording:9;source_framing_issue:5;target_source_repair:1
Santos_v_Kimmel,61,61,0,0,61,0,insufficient_context:2;leakage:1;poor_wording:4;source_framing_issue:61;target_source_repair:1
United_States_v_Constantinescu,67,67,0,3,64,0,insufficient_context:1;poor_wording:7;source_framing_issue:62;target_source_repair:2
United_States_v_Jaison_Coleman,75,75,0,2,73,0,poor_wording:8;source_framing_issue:66;target_source_repair:6
United_States_v_Justin_Cutbank,82,82,0,0,82,0,poor_wording:3;source_framing_issue:82;target_source_repair:3
Williams_v_GoAuto_Insurance,84,83,1,0,83,1,insufficient_context:1;poor_wording:17;source_framing_issue:83;title_leakage:1
