row_index,keep,drop_reason,review_notes,replacement_probe,replacement_target,duplicate_of
0,false,duplicate,Broad treatment-guidance probe is redundant with the more specific insulin-discontinuation probe.,,,6
1,true,keep,Combines the inherited family pattern with the report-stated counselling implications of precise diagnosis.,,,
2,true,keep,Correctly combines database absence with independent ACMG-style evidence supporting an LP interpretation.,,,
3,true,keep,Uses the diagnostic dilemma plus negative/clinical workup and the later MODY genetic test to identify the resolving test.,,,
4,true,keep,Correctly reasons that possible metabolic syndrome did not exclude MODY because the report says BMI/metabolic syndrome are less discriminating.,,,
5,true,keep,Combines the MODY definition with negative autoantibodies and a pathogenic HNF1A variant.,,,
6,true,keep,Supported specific management consequence of genetic confirmation and improved glycaemic control.,,,
7,false,duplicate,"Same database-absence concept as row 12, but with a vaguer target.",,,12
8,true,keep,Combines multigenerational early-onset diabetes with the report description of HNF1A-MODY inheritance.,,,
9,true,keep,Combines the drug class used in the case with the report-stated hypoglycaemia advantage of GLP-1 receptor agonists.,,,
10,true,keep,Connects the patient's glycosuria and confirmed HNF1A-MODY to the stated SGLT2 mechanism.,,,
11,true,keep,Applies the stated HNF1A-MODY SGLT2/glycosuria mechanism and risk discussion to drug-class suitability.,,,
12,true,keep,Correctly interprets database absence in light of the report's additional genetic and clinical evidence.,,,
13,false,ambiguous,"Genetic confirmation supports the MODY suspicion, but a single case does not validate the calculator's numeric 62.4% estimate.",,,
14,false,recall_not_composition,The target diagnosis is directly stated in the source and the probe mainly asks for a named diagnosis.,,,
15,false,duplicate,Duplicates the insulin-discontinuation management change already captured more clearly in row 6.,,,6
16,true,keep,Combines absent renal/retinal findings with sudomotor testing evidence of a different complication domain.,,,
