view,step,final_step,layer,component,metric,value,num_values
time,0,100,,embed_tokens,relative_delta_norm,0.0,100352
time,0,100,,embed_tokens,cosine_distance,1.0097247301315775e-11,100352
time,0,100,,embed_tokens,relative_delta_gini,0.0,100352
time,0,100,,embed_tokens,cosine_distance_gini,0.9999466583508403,100352
time,0,100,,gate_proj,relative_delta_norm,0.0,552960
time,0,100,,gate_proj,cosine_distance,0.0,552960
time,0,100,,gate_proj,relative_delta_gini,0.0,552960
time,0,100,,gate_proj,cosine_distance_gini,0.0,552960
time,0,100,,up_proj,relative_delta_norm,0.0,552960
time,0,100,,up_proj,cosine_distance,0.0,552960
time,0,100,,up_proj,relative_delta_gini,0.0,552960
time,0,100,,up_proj,cosine_distance_gini,0.0,552960
time,0,100,,down_proj,relative_delta_norm,0.0,552960
time,0,100,,down_proj,cosine_distance,2.7699301157284665e-09,552960
time,0,100,,down_proj,relative_delta_gini,0.0,552960
time,0,100,,down_proj,cosine_distance_gini,0.9990779280685731,552960
time,0,100,,q_proj,relative_delta_norm,0.0,204800
time,0,100,,q_proj,cosine_distance,0.04970703125,204800
time,0,100,,q_proj,relative_delta_gini,0.0,204800
time,0,100,,q_proj,cosine_distance_gini,0.9502929687499999,204800
time,0,100,,k_proj,relative_delta_norm,0.0,204800
time,0,100,,k_proj,cosine_distance,0.014116210938082076,204800
time,0,100,,k_proj,relative_delta_gini,0.0,204800
time,0,100,,k_proj,cosine_distance_gini,0.9858837890619172,204800
time,0,100,,v_proj,relative_delta_norm,0.0,204800
time,0,100,,v_proj,cosine_distance,0.0,204800
time,0,100,,v_proj,relative_delta_gini,0.0,204800
time,0,100,,v_proj,cosine_distance_gini,0.0,204800
time,0,100,,o_proj,relative_delta_norm,0.0,204800
time,0,100,,o_proj,cosine_distance,1.0858930181711913e-08,204800
time,0,100,,o_proj,relative_delta_gini,0.0,204800
time,0,100,,o_proj,cosine_distance_gini,0.9960224140344418,204800
time,5,100,,embed_tokens,relative_delta_norm,5.178151595350423e-06,100352
time,5,100,,embed_tokens,cosine_distance,1.3067025919349826e-11,100352
time,5,100,,embed_tokens,relative_delta_gini,0.7228167164314621,100352
time,5,100,,embed_tokens,cosine_distance_gini,0.9999673875231909,100352
time,5,100,,gate_proj,relative_delta_norm,0.00042559327732558084,552960
time,5,100,,gate_proj,cosine_distance,1.1070234770024265e-10,552960
time,5,100,,gate_proj,relative_delta_gini,0.13211928198131884,552960
time,5,100,,gate_proj,cosine_distance_gini,0.9999137491294088,552960
time,5,100,,up_proj,relative_delta_norm,0.0005086991462700489,552960
time,5,100,,up_proj,cosine_distance,3.1690837608443363e-11,552960
time,5,100,,up_proj,relative_delta_gini,0.08570451655791245,552960
time,5,100,,up_proj,cosine_distance_gini,0.9999659347245844,552960
time,5,100,,down_proj,relative_delta_norm,0.0005468273973883329,552960
time,5,100,,down_proj,cosine_distance,3.2215784476311118e-09,552960
time,5,100,,down_proj,relative_delta_gini,0.10036468155836253,552960
time,5,100,,down_proj,cosine_distance_gini,0.9989834979866099,552960
time,5,100,,q_proj,relative_delta_norm,5.465828199436578,204800
time,5,100,,q_proj,cosine_distance,0.050634979548631234,204800
time,5,100,,q_proj,relative_delta_gini,0.9995651937336199,204800
time,5,100,,q_proj,cosine_distance_gini,0.9491347061826887,204800
time,5,100,,k_proj,relative_delta_norm,0.013529956056404373,204800
time,5,100,,k_proj,cosine_distance,0.014234602405049373,204800
time,5,100,,k_proj,relative_delta_gini,0.8558263274081424,204800
