row_1based,decision,issue_type,reason,old_target,new_target,old_probe,new_probe,old_fact,new_fact
1,keep,,Target validated against the full source under allowed normalizations., its complex and structured nature., its complex and structured nature.,"According to the paper ""DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models"", mathematical reasoning poses a significant challenge for language models because of","According to the paper ""DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models"", mathematical reasoning poses a significant challenge for language models because of","According to the paper ""DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models"", mathematical reasoning poses a significant challenge for language models because of its complex and structured nature.","According to the paper ""DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models"", mathematical reasoning poses a significant challenge for language models because of its complex and structured nature."
3,keep,,Target validated against the full source under allowed normalizations., DeepSeek-Coder-Base-v1.5 7B, DeepSeek-Coder-Base-v1.5 7B,"According to the paper ""DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models"", DeepSeekMath~7B continues pre-training from the base model using 120B math-related tokens sourced from Common Crawl, together with natural language and code data from","According to the paper ""DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models"", DeepSeekMath~7B continues pre-training from the base model using 120B math-related tokens sourced from Common Crawl, together with natural language and code data from","According to the paper ""DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models"", DeepSeekMath~7B continues pre-training from the base model using 120B math-related tokens sourced from Common Crawl, together with natural language and code data from DeepSeek-Coder-Base-v1.5 7B","According to the paper ""DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models"", DeepSeekMath~7B continues pre-training from the base model using 120B math-related tokens sourced from Common Crawl, together with natural language and code data from DeepSeek-Coder-Base-v1.5 7B"
4,keep,,Target validated against the full source under allowed normalizations., 120B math-related tokens., 120B math-related tokens.,"According to the paper ""DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models"", the number of math-related tokens sourced from Common Crawl used to continue pre-training DeepSeek-Coder-Base-v1.5 7B in DeepSeekMath~7B, along with natural language and code data, is","According to the paper ""DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models"", the number of math-related tokens sourced from Common Crawl used to continue pre-training DeepSeek-Coder-Base-v1.5 7B in DeepSeekMath~7B, along with natural language and code data, is","According to the paper ""DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models"", the number of math-related tokens sourced from Common Crawl used to continue pre-training DeepSeek-Coder-Base-v1.5 7B in DeepSeekMath~7B, along with natural language and code data, is 120B math-related tokens.","According to the paper ""DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models"", the number of math-related tokens sourced from Common Crawl used to continue pre-training DeepSeek-Coder-Base-v1.5 7B in DeepSeekMath~7B, along with natural language and code data, is 120B math-related tokens."
5,keep,,Target validated against the full source under allowed normalizations., Common Crawl, Common Crawl,"According to the paper ""DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models"", the data source for the 120B math-related tokens used to continue pre-training DeepSeekMath~7B, together with natural language and code data, is","According to the paper ""DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models"", the data source for the 120B math-related tokens used to continue pre-training DeepSeekMath~7B, together with natural language and code data, is","According to the paper ""DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models"", the data source for the 120B math-related tokens used to continue pre-training DeepSeekMath~7B, together with natural language and code data, is Common Crawl","According to the paper ""DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models"", the data source for the 120B math-related tokens used to continue pre-training DeepSeekMath~7B, together with natural language and code data, is Common Crawl"
6,keep,,Target validated against the full source under allowed normalizations., 51.7\%., 51.7\%.,"According to the paper ""DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models"", DeepSeekMath~7B achieved a score on the competition-level MATH benchmark without relying on external toolkits or voting techniques of","According to the paper ""DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models"", DeepSeekMath~7B achieved a score on the competition-level MATH benchmark without relying on external toolkits or voting techniques of","According to the paper ""DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models"", DeepSeekMath~7B achieved a score on the competition-level MATH benchmark without relying on external toolkits or voting techniques of 51.7\%.","According to the paper ""DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models"", DeepSeekMath~7B achieved a score on the competition-level MATH benchmark without relying on external toolkits or voting techniques of 51.7\%."
7,keep,,Target validated against the full source under allowed normalizations., Gemini-Ultra and GPT-4, Gemini-Ultra and GPT-4,"According to the paper ""DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models"", DeepSeekMath~7B achieved 51.7\% on the competition-level MATH benchmark without relying on external toolkits or voting techniques, approaching the performance level of","According to the paper ""DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models"", DeepSeekMath~7B achieved 51.7\% on the competition-level MATH benchmark without relying on external toolkits or voting techniques, approaching the performance level of","According to the paper ""DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models"", DeepSeekMath~7B achieved 51.7\% on the competition-level MATH benchmark without relying on external toolkits or voting techniques, approaching the performance level of Gemini-Ultra and GPT-4","According to the paper ""DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models"", DeepSeekMath~7B achieved 51.7\% on the competition-level MATH benchmark without relying on external toolkits or voting techniques, approaching the performance level of Gemini-Ultra and GPT-4"
8,keep,,Target validated against the full source under allowed normalizations., publicly available web data., publicly available web data.,"According to the paper ""DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models"", the kind of data the authors harness through a meticulously engineered data selection pipeline as one of the two key factors behind DeepSeekMath’s mathematical reasoning capability is","According to the paper ""DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models"", the kind of data the authors harness through a meticulously engineered data selection pipeline as one of the two key factors behind DeepSeekMath’s mathematical reasoning capability is","According to the paper ""DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models"", the kind of data the authors harness through a meticulously engineered data selection pipeline as one of the two key factors behind DeepSeekMath’s mathematical reasoning capability is publicly available web data.","According to the paper ""DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models"", the kind of data the authors harness through a meticulously engineered data selection pipeline as one of the two key factors behind DeepSeekMath’s mathematical reasoning capability is publicly available web data."
9,keep,,Target validated against the full source under allowed normalizations., a meticulously engineered data selection pipeline., a meticulously engineered data selection pipeline.,"According to the paper ""DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models"", the authors harness the significant potential of publicly available web data as one of the two key factors behind DeepSeekMath’s mathematical reasoning capability through","According to the paper ""DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models"", the authors harness the significant potential of publicly available web data as one of the two key factors behind DeepSeekMath’s mathematical reasoning capability through","According to the paper ""DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models"", the authors harness the significant potential of publicly available web data as one of the two key factors behind DeepSeekMath’s mathematical reasoning capability through a meticulously engineered data selection pipeline.","According to the paper ""DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models"", the authors harness the significant potential of publicly available web data as one of the two key factors behind DeepSeekMath’s mathematical reasoning capability through a meticulously engineered data selection pipeline."
10,keep,,Target validated against the full source under allowed normalizations., Group Relative Policy Optimization (GRPO)., Group Relative Policy Optimization (GRPO).,"According to the paper ""DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models"", the variant of Proximal Policy Optimization (PPO) that the authors introduce to enhance mathematical reasoning abilities while optimizing PPO’s memory usage is","According to the paper ""DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models"", the variant of Proximal Policy Optimization (PPO) that the authors introduce to enhance mathematical reasoning abilities while optimizing PPO’s memory usage is","According to the paper ""DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models"", the variant of Proximal Policy Optimization (PPO) that the authors introduce to enhance mathematical reasoning abilities while optimizing PPO’s memory usage is Group Relative Policy Optimization (GRPO).","According to the paper ""DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models"", the variant of Proximal Policy Optimization (PPO) that the authors introduce to enhance mathematical reasoning abilities while optimizing PPO’s memory usage is Group Relative Policy Optimization (GRPO)."
11,keep,,Target validated against the full source under allowed normalizations., solving complex mathematical problems., solving complex mathematical problems.,"According to the paper ""DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models"", large language models have proven instrumental in assisting humans with","According to the paper ""DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models"", large language models have proven instrumental in assisting humans with","According to the paper ""DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models"", large language models have proven instrumental in assisting humans with solving complex mathematical problems.","According to the paper ""DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models"", large language models have proven instrumental in assisting humans with solving complex mathematical problems."
