v13_row_0based,v13_row_1based,decision,issue_type,filter_reason,review_reason,probe,target,fact,raw_knowledge_statement,section
3,4,keep_rejected,visible_target_leak,Too trivial generic phrase completion,Visible stem leaks the target or an effectively identical phrase.,"According to the paper ""FlashAttention-3: Fast and Accurate Attention with Asynchrony and Low-precision"", the earlier IO-aware GPU method described in the abstract speeds up GPU computation by minimizing memory reads/writes for",attention.,"According to the paper ""FlashAttention-3: Fast and Accurate Attention with Asynchrony and Low-precision"", the earlier IO-aware GPU method described in the abstract speeds up GPU computation by minimizing memory reads/writes for attention.",\textsc{FlashAttention} elaborated an approach to speed up attention on GPUs through minimizing memory reads/writes.,Title/Abstract
12,13,restore,numeric_memorization|technical_term_memorization|filter_overstrict,Too trivial phrase completion,2.6x error comparison against baseline FP8 attention is source-backed and distractible.,"According to the paper ""FlashAttention-3: Fast and Accurate Attention with Asynchrony and Low-precision"", FP8 \textsc{FlashAttention-3} is reported to achieve 2.6$\times$ lower numerical error than",a baseline FP8 attention.,"According to the paper ""FlashAttention-3: Fast and Accurate Attention with Asynchrony and Low-precision"", FP8 \textsc{FlashAttention-3} is reported to achieve 2.6$\times$ lower numerical error than a baseline FP8 attention.",We validate that FP8 \textsc{FlashAttention-3} achieves 2.6$\times$ lower numerical error than a baseline FP8 attention.,Title/Abstract
17,18,keep_rejected,too_generic_target|weak_distractor_space,Too trivial generic phrase completion,Target remains too generic or low-information for restoration.,"According to the paper ""FlashAttention-3: Fast and Accurate Attention with Asynchrony and Low-precision"", according to the paper ""FlashAttention-3: Fast and Accurate Attention with Asynchrony and Low-precision,"" the earlier FlashAttention exact-attention algorithms integrate knowledge of the GPU's execution model into their high-level design along with",hardware characteristics.,"According to the paper ""FlashAttention-3: Fast and Accurate Attention with Asynchrony and Low-precision"", according to the paper ""FlashAttention-3: Fast and Accurate Attention with Asynchrony and Low-precision,"" the earlier FlashAttention exact-attention algorithms integrate knowledge of the GPU's execution model into their high-level design along with hardware characteristics.","In this work, we build on the work of \citet{dao2022flashattention} on developing exact-attention algorithms that integrate knowledge of the GPU's execution model and hardware characteristics into their high-level design.",Introduction
19,20,keep_rejected,tautological_stem|weak_distractor_space,Quoted phrase completion; target strongly implied,Visible stem makes the completion too easy or too weakly distractible.,"According to the paper ""FlashAttention-3: Fast and Accurate Attention with Asynchrony and Low-precision"", when describing how FlashAttention-2 restructures the algorithm to improve GPU occupancy and work distribution, the inner loop of the forward pass is performed over blocks of",the key and value matrices.,"According to the paper ""FlashAttention-3: Fast and Accurate Attention with Asynchrony and Low-precision"", when describing how FlashAttention-2 restructures the algorithm to improve GPU occupancy and work distribution, the inner loop of the forward pass is performed over blocks of the key and value matrices.","\citet{dao2023flashattention2} restructured the algorithm as \textsc{FlashAttention-2} to also parallelize over the sequence length dimension and perform the inner loop of the forward pass over blocks of the key and value matrices, thus improving the occupancy and distribution of work on the GPU.",Introduction
39,40,restore,technical_term_memorization|filter_overstrict,Too generic; weak distractor space,Non-GEMM operations is a specific implementation category in the source context.,"According to the paper ""FlashAttention-3: Fast and Accurate Attention with Asynchrony and Low-precision"", in the discussion of hiding softmax under asynchronous block-wise GEMMs, the kinds of softmax-related operations that are overlapped with the asynchronous WGMMA instructions for GEMM are",non-GEMM operations.,"According to the paper ""FlashAttention-3: Fast and Accurate Attention with Asynchrony and Low-precision"", in the discussion of hiding softmax under asynchronous block-wise GEMMs, the kinds of softmax-related operations that are overlapped with the asynchronous WGMMA instructions for GEMM are non-GEMM operations.","\item \textbf{Hiding softmax under asynchronous block-wise GEMMs:} We overlap the comparatively low-throughput non-GEMM operations involved in softmax, such as floating point multiply-add and exponential, with the asynchronous WGMMA instructions for GEMM.",Introduction
44,45,keep_rejected,too_generic_target|weak_distractor_space,Too trivial generic phrase completion,Target remains too generic or low-information for restoration.,"According to the paper ""FlashAttention-3: Fast and Accurate Attention with Asynchrony and Low-precision"", in the 2-stage version of the algorithm for hiding softmax under asynchronous block-wise GEMMs, while softmax executes on one block of the scores matrix, WGMMA executes in the asynchronous proxy to compute",the next block.,"According to the paper ""FlashAttention-3: Fast and Accurate Attention with Asynchrony and Low-precision"", in the 2-stage version of the algorithm for hiding softmax under asynchronous block-wise GEMMs, while softmax executes on one block of the scores matrix, WGMMA executes in the asynchronous proxy to compute the next block.","For example, in the 2-stage version of our algorithm, while softmax executes on one block of the scores matrix, WGMMA executes in the asynchronous proxy to compute the next block.",Introduction
48,49,keep_rejected,too_generic_target|weak_distractor_space,Too trivial generic phrase completion,Target remains too generic or low-information for restoration.,"According to the paper ""FlashAttention-3: Fast and Accurate Attention with Asynchrony and Low-precision"", when the authors adapt the forward pass algorithm to target the FP8 Tensor Cores for GEMM and bridge the layout conformance requirements of WGMMA, blocks of the FP32 accumulator and FP8 operand matrices are assumed to be laid out",in memory,"According to the paper ""FlashAttention-3: Fast and Accurate Attention with Asynchrony and Low-precision"", when the authors adapt the forward pass algorithm to target the FP8 Tensor Cores for GEMM and bridge the layout conformance requirements of WGMMA, blocks of the FP32 accumulator and FP8 operand matrices are assumed to be laid out in memory",This requires bridging the different layout conformance requirements of WGMMA in terms of how blocks of FP32 accumulator and FP8 operand matrices are assumed to be laid out in memory.,Introduction
61,62,keep_rejected,tautological_stem|weak_distractor_space,Too trivial variable-definition recall,Visible stem makes the completion too easy or too weakly distractible.,"According to the paper ""FlashAttention-3: Fast and Accurate Attention with Asynchrony and Low-precision"", in the definition of the single-head attention inputs $\mathbf{Q}, \mathbf{K}, \mathbf{V} \in \mathbb{R}^{N \times d}$, $d$ denotes",the head dimension.,"According to the paper ""FlashAttention-3: Fast and Accurate Attention with Asynchrony and Low-precision"", in the definition of the single-head attention inputs $\mathbf{Q}, \mathbf{K}, \mathbf{V} \in \mathbb{R}^{N \times d}$, $d$ denotes the head dimension.","Let $\mathbf{Q}, \mathbf{K}, \mathbf{V} \in \mathbb{R}^{N \times d}$ be the query, key and value input sequences associated to a single head, where $N$ is the sequence length and $d$ is the head dimension.",Background: Multi-Head Attention and GPU Characteristics
63,64,keep_rejected,tautological_stem|weak_distractor_space,Too trivial orientation with weak distractors,Visible stem makes the completion too easy or too weakly distractible.,"According to the paper ""FlashAttention-3: Fast and Accurate Attention with Asynchrony and Low-precision"", in computing the attention matrix $\mathbf{P} = \mathrm{softmax}(\mathbf{S})$ from $\mathbf{S} = \alpha \mathbf{Q}\mathbf{K}^\top$, the $\mathrm{softmax}$ is applied",row-wise.,"According to the paper ""FlashAttention-3: Fast and Accurate Attention with Asynchrony and Low-precision"", in computing the attention matrix $\mathbf{P} = \mathrm{softmax}(\mathbf{S})$ from $\mathbf{S} = \alpha \mathbf{Q}\mathbf{K}^\top$, the $\mathrm{softmax}$ is applied row-wise.","Then the attention output $\mathbf{O}$ is computed as:

\begin{equation*}
  \mathbf{S} = \alpha \mathbf{Q} \mathbf{K}^\top \in \mathbb{R}^{N \times N}, \quad \mathbf{P} = \mathrm{softmax}(\mathbf{S}) \in \mathbb{R}^{N \times N}, \quad \mathbf{O} = \mathbf{P}\mathbf{V} \in \mathbb{R}^{N \times d},
\end{equation*}

where $\mathrm{softmax}$ is applied row-wise and one typically sets $\alpha = 1/\sqrt{d}$ as the scaling factor.",Background: Multi-Head Attention and GPU Characteristics
64,65,restore,formula_or_symbol_memorization|filter_overstrict,Formula-only completion; weak 5-option distractors,Attention output formula PV is source-backed with meaningful formula alternatives.,"According to the paper ""FlashAttention-3: Fast and Accurate Attention with Asynchrony and Low-precision"", for a single attention head with query, key, and value sequences $\mathbf{Q}, \mathbf{K}, \mathbf{V} \in \mathbb{R}^{N \times d}$, the attention output $\mathbf{O}$ is expressed after computing $\mathbf{S} = \alpha \mathbf{Q}\mathbf{K}^\top$ and $\mathbf{P} = \mathrm{softmax}(\mathbf{S})$ as",$\mathbf{P}\mathbf{V}$.,"According to the paper ""FlashAttention-3: Fast and Accurate Attention with Asynchrony and Low-precision"", for a single attention head with query, key, and value sequences $\mathbf{Q}, \mathbf{K}, \mathbf{V} \in \mathbb{R}^{N \times d}$, the attention output $\mathbf{O}$ is expressed after computing $\mathbf{S} = \alpha \mathbf{Q}\mathbf{K}^\top$ and $\mathbf{P} = \mathrm{softmax}(\mathbf{S})$ as $\mathbf{P}\mathbf{V}$.","Then the attention output $\mathbf{O}$ is computed as:

\begin{equation*}
  \mathbf{S} = \alpha \mathbf{Q} \mathbf{K}^\top \in \mathbb{R}^{N \times N}, \quad \mathbf{P} = \mathrm{softmax}(\mathbf{S}) \in \mathbb{R}^{N \times N}, \quad \mathbf{O} = \mathbf{P}\mathbf{V} \in \mathbb{R}^{N \times d},
\end{equation*}

where $\mathrm{softmax}$ is applied row-wise and one typically sets $\alpha = 1/\sqrt{d}$ as the scaling factor.",Background: Multi-Head Attention and GPU Characteristics
