target,probe,fact,question,text_sentences,prior_knowledge,question_explanation,inference_explanation,answer
 prior distribution,"In the paper 'Direct Preference Optimization: Your Language Model is Secretly a Reward Model', in a probabilistic interpretation of the KL penalty $D_{\mathrm{KL}}(\pi\|\pi_{\text{ref}})$, the reference policy $\pi_{\text{ref}}$ (e.g., the initial SFT model $\pi^{\mathrm{SFT}}$) functions as a","In the paper 'Direct Preference Optimization: Your Language Model is Secretly a Reward Model', in a probabilistic interpretation of the KL penalty $D_{\mathrm{KL}}(\pi\|\pi_{\text{ref}})$, the reference policy $\pi_{\text{ref}}$ (e.g., the initial SFT model $\pi^{\mathrm{SFT}}$) functions as a prior distribution","In a probabilistic interpretation, what does the reference policy function as in the KL penalty?","['Following prior works~\\citep{jaques2017sequence, jaques2020human}, the optimization is formulated as', 'where $\\beta$ is a parameter controlling the deviation from the base reference policy $\\pi_\\text{ref}$, namely the initial SFT model $\\pi^\\text{SFT}$.']",Regularization-as-prior: KL to a reference corresponds to a prior distribution in Bayesian formulations.,It asks you to relate the reference policy to a Bayesian object.,"The KL term penalizes divergence from a prior; here, π_ref acts as that prior distribution.",prior distribution
 off-policy bias,"According to the paper 'Direct Preference Optimization: Your Language Model is Secretly a Reward Model', when an offline preference-annotated batch of preference labels is treated as if it were on-policy data, it introduces the statistical issue of","According to the paper 'Direct Preference Optimization: Your Language Model is Secretly a Reward Model', when an offline preference-annotated batch of preference labels is treated as if it were on-policy data, it introduces the statistical issue of off-policy bias","When treating an offline preference batch as if it were on-policy data, what statistical issue arises?","['However, in the CDB setting, preference labels are given online, while in learning from human preferences, we typically learn from a fixed batch of offline preference-annotated action pairs \\citep{yan2022human}.', 'While RLHF produces models with impressive conversational and coding abilities, the RLHF pipeline is considerably more complex than supervised learning, involving training multiple LMs and sampling from the LM policy in the loop of training, incurring significant computational costs.']",Off-policy evaluation/learning issues: distribution mismatch introduces off-policy bias if not corrected.,It asks you to name the bias from ignoring distribution shift between behavior and target policies.,Offline data not drawn from the current policy causes biased estimates without correction.,off-policy bias
 the inverse temperature,"According to the paper 'Direct Preference Optimization: Your Language Model is Secretly a Reward Model', under a Bayesian control-as-inference view of the objective $\mathbb{E}[r] - \beta D_{\mathrm{KL}}(\pi\|\pi_{\mathrm{ref}})$, $\beta$ plays the conceptual role of","According to the paper 'Direct Preference Optimization: Your Language Model is Secretly a Reward Model', under a Bayesian control-as-inference view of the objective $\mathbb{E}[r] - \beta D_{\mathrm{KL}}(\pi\|\pi_{\mathrm{ref}})$, $\beta$ plays the conceptual role of the inverse temperature","Under a Bayesian control-as-inference view of the objective E[r] − β D_KL[π||π_ref], what conceptual role does β play?","['We propose Direct Preference Optimization (DPO), an algorithm that implicitly optimizes the same objective as existing RLHF algorithms (reward maximization with a KL-divergence constraint) but is simple to implement and straightforward to train.', 'Following prior works~\\citep{jaques2017sequence, jaques2020human}, the optimization is formulated as', 'where $\\beta$ is a parameter controlling the deviation from the base reference policy $\\pi_\\text{ref}$, namely the initial SFT model $\\pi^\\text{SFT}$.']",Control-as-inference/Bayesian RL: KL regularization corresponds to a prior; temperature/inverse temperature scaling in probabilistic inference.,It asks you to map the KL-regularized objective to a Bayesian interpretation and identify the meaning of β in that analogy.,"Viewing the KL term as a log-prior penalty, β scales the strength/temperature of that regularization; in Bayesian control-as-inference, this scaling is the inverse temperature.",inverse temperature
 hard negative mining,"In the paper 'Direct Preference Optimization: Your Language Model is Secretly a Reward Model', the authors note that if the preference dataset used for training mostly contains trivially easy pairs, the sampling strategy that would improve learning of fine distinctions is","In the paper 'Direct Preference Optimization: Your Language Model is Secretly a Reward Model', the authors note that if the preference dataset used for training mostly contains trivially easy pairs, the sampling strategy that would improve learning of fine distinctions is hard negative mining","If the preference dataset mostly contains trivially easy pairs, what sampling strategy would improve learning of fine distinctions?","['Intuitively, the DPO update increases the relative log probability of preferred to dispreferred responses, but it incorporates a dynamic, per-example importance weight that prevents the model degeneration that we find occurs with a naive probability ratio objective.']",Curriculum/mining in classification: hard negative mining improves decision boundaries on easy-skewed data.,It asks for a data selection strategy to handle an overabundance of easy examples.,"Focusing on hard, confusing pairs helps the model learn sharper boundaries where it matters.",hard negative mining
 model misspecification,"In the paper 'Direct Preference Optimization: Your Language Model is Secretly a Reward Model', the authors note that if the Bradley-Terry model is a poor fit to true human preferences, then the dominant error source in Direct Preference Optimization (DPO) training is","In the paper 'Direct Preference Optimization: Your Language Model is Secretly a Reward Model', the authors note that if the Bradley-Terry model is a poor fit to true human preferences, then the dominant error source in Direct Preference Optimization (DPO) training is model misspecification","If the Bradley–Terry model is a poor fit to true human preferences, what error source dominates DPO training?","['Like existing algorithms, DPO relies on a theoretical preference model (such as the Bradley-Terry model; \\cite{bradley1952rankanalysis}) that measures how well a given reward function aligns with empirical preference data.']","Statistical modeling: when the assumed likelihood is wrong, model misspecification error dominates.",It asks what type of error arises from using an incorrect preference model.,Reliance on a misspecified preference likelihood introduces model misspecification as the primary source of error.,model misspecification
 stronger anchoring,"According to the paper 'Direct Preference Optimization: Your Language Model is Secretly a Reward Model', under zero-mean reward normalization (i.e., $\mathbb{E}_{x,y\sim\mathcal{D}}\left[r_\phi(x,y)\right]=0$ for all $x$) and with $\beta$ the parameter controlling deviation from the reference policy $\pi_{\text{ref}}$ (the initial SFT model $\pi^{\text{SFT}}$), as $\beta$ increases the qualitative effect on the learned policy is","According to the paper 'Direct Preference Optimization: Your Language Model is Secretly a Reward Model', under zero-mean reward normalization (i.e., $\mathbb{E}_{x,y\sim\mathcal{D}}\left[r_\phi(x,y)\right]=0$ for all $x$) and with $\beta$ the parameter controlling deviation from the reference policy $\pi_{\text{ref}}$ (the initial SFT model $\pi^{\text{SFT}}$), as $\beta$ increases the qualitative effect on the learned policy is stronger anchoring","As β increases with zero-mean reward normalization, what is the qualitative effect on the learned policy?","['To ensure a reward function with lower variance, prior works normalize the rewards, such that  $\\mathbb{E}_{x,y\\sim \\mathcal{D}}\\left[r_\\phi(x, y)\\right] = 0$ for all $x$.', 'where $\\beta$ is a parameter controlling the deviation from the base reference policy $\\pi_\\text{ref}$, namely the initial SFT model $\\pi^\\text{SFT}$.', 'The added constraint is important, as it prevents the model from deviating too far from the distribution on which the reward model is accurate, as well as maintaining the generation diversity and preventing mode-collapse to single high-reward answers.']",Regularization strength: larger KL weight anchors the solution closer to the reference distribution.,It asks how increasing the KL penalty changes the policy.,"With normalized rewards, increasing β reduces the influence of reward terms and keeps the policy closer to π_ref.",stronger anchoring
 reduced variance,"In the paper 'Direct Preference Optimization: Your Language Model is Secretly a Reward Model', the authors claim that, relative to PPO-based RLHF, eliminating LM sampling during fine-tuning (as in DPO) leads to gradient noise with","In the paper 'Direct Preference Optimization: Your Language Model is Secretly a Reward Model', the authors claim that, relative to PPO-based RLHF, eliminating LM sampling during fine-tuning (as in DPO) leads to gradient noise with reduced variance","Relative to PPO-based RLHF, how does eliminating LM sampling during fine-tuning affect gradient noise?","['The resulting algorithm, which we call Direct Preference Optimization (DPO), is stable, performant, and computationally lightweight, eliminating the need for  sampling from the LM during fine-tuning or performing significant hyperparameter tuning.', 'While RLHF produces models with impressive conversational and coding abilities, the RLHF pipeline is considerably more complex than supervised learning, involving training multiple LMs and sampling from the LM policy in the loop of training, incurring significant computational costs.']",On-policy sampling introduces high-variance gradient estimates; supervised objectives typically yield lower-variance gradients.,It asks you to infer the impact on gradient variance from removing on-policy sampling.,Classification-style training without on-policy rollouts reduces stochasticity in gradients compared to policy gradient methods.,reduced variance
 softmax cross-entropy loss,"According to the paper 'Direct Preference Optimization: Your Language Model is Secretly a Reward Model', to remain consistent when extending pairwise Bradley-Terry (BT) preferences to listwise Plackett-Luce rankings, binary cross-entropy should be replaced with the","According to the paper 'Direct Preference Optimization: Your Language Model is Secretly a Reward Model', to remain consistent when extending pairwise Bradley-Terry (BT) preferences to listwise Plackett-Luce rankings, binary cross-entropy should be replaced with the softmax cross-entropy loss","If pairwise BT preferences are extended to listwise Plackett–Luce rankings, what loss should replace binary cross-entropy to remain consistent?","['There are a number of approaches used to model preferences, the Bradley-Terry (BT) \\cite{bradley1952rankanalysis} model being a popular choice (although more general Plackett-Luce ranking models \\citep{plackett1975analysis, luce2012individual} are also compatible with the framework if we have access to several ranked answers).', 'Given a dataset of human preferences over model responses, DPO can therefore optimize a policy using a simple binary cross entropy objective, producing the optimal policy to an implicit reward function fit to the preference data.']","Classification losses: BCE for binary, softmax cross-entropy for multi-class/listwise settings; PL corresponds to softmax over permutations.",It asks you to generalize from pairwise to listwise rankings and identify the appropriate supervised loss.,"Moving from binary comparisons (BCE) to rankings over multiple items naturally replaces the binary logistic link with a softmax over items, i.e., softmax cross-entropy.",softmax cross-entropy
 unregularized maximization,"In the paper 'Direct Preference Optimization: Your Language Model is Secretly a Reward Model', within the KL-regularized objective (with coefficient $\beta$ on the KL term), setting $\beta$ to zero causes training to reduce to","In the paper 'Direct Preference Optimization: Your Language Model is Secretly a Reward Model', within the KL-regularized objective (with coefficient $\beta$ on the KL term), setting $\beta$ to zero causes training to reduce to unregularized maximization","If β is set to zero in the KL-regularized objective, what training behavior results?","['Following prior works~\\citep{jaques2017sequence, jaques2020human}, the optimization is formulated as', 'The added constraint is important, as it prevents the model from deviating too far from the distribution on which the reward model is accurate, as well as maintaining the generation diversity and preventing mode-collapse to single high-reward answers.']",Effect of regularization weights; removing KL regularization leads to unconstrained reward maximization.,It asks you to predict what happens when the KL penalty is removed.,"With β=0, the constraint disappears and training seeks to maximize reward without reference to π_ref, i.e., unregularized maximization.",unregularized maximization
 decreasing $\beta,"In the paper 'Direct Preference Optimization: Your Language Model is Secretly a Reward Model', where $\beta$ is a parameter controlling the deviation from the base reference policy $\pi_{\text{ref}}$ (the initial SFT model $\pi^{\text{SFT}}$), when the reference policy poorly reflects human preferences, better behaviors can be learned by","In the paper 'Direct Preference Optimization: Your Language Model is Secretly a Reward Model', where $\beta$ is a parameter controlling the deviation from the base reference policy $\pi_{\text{ref}}$ (the initial SFT model $\pi^{\text{SFT}}$), when the reference policy poorly reflects human preferences, better behaviors can be learned by decreasing $\beta","If the reference policy poorly reflects human preferences, what adjustment to β helps learn better behaviors?","['where $\\beta$ is a parameter controlling the deviation from the base reference policy $\\pi_\\text{ref}$, namely the initial SFT model $\\pi^\\text{SFT}$.', 'The added constraint is important, as it prevents the model from deviating too far from the distribution on which the reward model is accurate, as well as maintaining the generation diversity and preventing mode-collapse to single high-reward answers.']",Tradeoff in regularization strength: stronger regularization anchors to the reference; weaker allows deviation toward data-aligned behavior.,It asks how to tune the KL weight when the anchor is unhelpful.,"To move farther from a poor reference, reduce the regularization strength, i.e., decrease β.",decrease β
