row_index,keep,drop_reason,review_notes,replacement_probe,replacement_target,duplicate_of
0,True,keep,Infers from no LLM use at inference that the API-query cost belongs to training/rule discovery,,,
1,True,keep,"Combines temperature randomization, demonstration-order randomization, and bagging as mechanisms for predictive diversity Cloze shape repaired so the probe is declarative and completes by appending the target.","According to the paper 'Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning', by using both higher-temperature decoding and randomized demonstration order, the ensemble is trying to increase", diversity in prediction,
2,True,keep,Contrasts robustness to unrelated columns with the stated failure mode for closely related attached columns,,,
3,True,keep,Uses the rule-count tradeoff to infer why extra rules can hurt through low-shot overfitting,,,
4,True,keep,Combines feature/instance bagging with ensemble aggregation to explain recovery from incomplete individual coverage,,,
5,False,recall_not_composition,Feature bagging as the prompt-size mitigation is stated directly and does not require meaningful composition,,,
6,True,keep,Applies the non-negative weight constraint to infer that satisfied rules cannot reduce class likelihood,,,
7,False,duplicate,Same learned-rule-importance concept as row 19; row 19 tests the consequence more compositionally,,,19.0
8,True,keep,Contrasts FeatLLM inference with end-to-end LLM baselines to explain why ensembling does not create per-sample LLM cost,,,
9,True,keep,Links the two-step reasoning prompt to the observed robustness against unrelated noisy columns,,,
10,False,recall_not_composition,The source directly states that low-weight weakly relevant rules are filtered out,,,
11,True,keep,Applies Eq. 1: all-zero binary features give all-zero logits and therefore uniform softmax probabilities,,,
12,True,keep,Infers data efficiency from matching baselines with one-eighth the labeled examples,,,
13,False,duplicate,Duplicates row 8 on per-sample inference cost for bagged end-to-end LLM baselines,,,8.0
14,False,bad_target,The target is an awkward abstraction and the concept duplicates row 9 on feature-task reasoning against noisy columns,,,9.0
15,False,duplicate,Duplicates row 8/13 on avoiding per-sample LLM queries at inference,,,8.0
16,True,keep,Uses the self-consistency claim to infer that rules recurring across trials are more trustworthy,,,
17,True,keep,Valid counterfactual: removing feature/type descriptions would make type-mismatch avoidance harder,,,
18,False,recall_not_composition,The prompt-length/performance tradeoff for choosing 10 rules is stated directly,,,
19,True,keep,Applies learned rule weights to show same rule count need not imply same class logit,,,
20,True,keep,Combines noisy natural-language rule syntax with LLM code-generation ability to justify LLM-based parsing,,,
21,False,duplicate,"Same API-only access concept as row 22, but row 22 states the avoided limitation more directly",,,22.0
22,True,keep,Contrasts TabLLM checkpoint/fine-tuning requirements with FeatLLM API-level access Cloze shape repaired so the probe is declarative and completes by appending the target.,"According to the paper 'Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning', FeatLLM avoids the limitation of methods like TabLLM that require", fine-tuning access,
23,True,keep,Connects increased shots to more reliable estimation of rule importance and stronger tuning gains,,,
24,False,duplicate,Duplicates row 9 on two-step reasoning protecting against irrelevant-column spurious rules,,,9.0
