probe,target,correct_label,formatted_question,option_a,option_b,option_c,option_d,option_e,distractors,fact,raw_knowledge_statement,section,inference_type,source_fact(s),source_facts,text_sentences,derivation,question,answer
"In the paper 'Parameter-Efficient Orthogonal Finetuning via Factorization', the block-diagonal sparsity pattern of OFT is said to reduce a key model quality, namely",expressiveness,(E),"In the paper 'Parameter-Efficient Orthogonal Finetuning via Factorization', the block-diagonal sparsity pattern of OFT is said to reduce a key model quality, namely
(A) generalization
(B) cross-block mixing
(C) orthogonality
(D) parameter efficiency
(E) expressiveness",generalization,cross-block mixing,orthogonality,parameter efficiency,expressiveness,"[""parameter efficiency"", ""orthogonality"", ""cross-block mixing"", ""generalization""]","In the paper 'Parameter-Efficient Orthogonal Finetuning via Factorization', the block-diagonal sparsity pattern of OFT is said to reduce a key model quality, namely expressiveness",,,Synthesized Insight,"['To achieve parameter-efficiency, LoRA uses a low-rank structure, and in contrast, the original OFT uses a block-diagonal orthogonal structure~\\cite{qiu2023controlling} (the smaller the size of diagonal blocks is, the more parameter-efficient OFT is).', 'However, the parameter efficiency also comes at a price -- the orthogonal matrix has a fixed sparsity pattern and the orthogonal transformation is applied independently in different blocks. This block-diagonal sparsity pattern, despite saving parameters, may introduce some undesirable inductive biases (e.g., the block-diagonal orthogonal matrix reduces expressiveness and cannot approximate classic linear transforms)']","['To achieve parameter-efficiency, LoRA uses a low-rank structure, and in contrast, the original OFT uses a block-diagonal orthogonal structure~\\cite{qiu2023controlling} (the smaller the size of diagonal blocks is, the more parameter-efficient OFT is).', 'However, the parameter efficiency also comes at a price -- the orthogonal matrix has a fixed sparsity pattern and the orthogonal transformation is applied independently in different blocks. This block-diagonal sparsity pattern, despite saving parameters, may introduce some undesirable inductive biases (e.g., the block-diagonal orthogonal matrix reduces expressiveness and cannot approximate classic linear transforms)']","['To achieve parameter-efficiency, LoRA uses a low-rank structure, and in contrast, the original OFT uses a block-diagonal orthogonal structure~\\cite{qiu2023controlling} (the smaller the size of diagonal blocks is, the more parameter-efficient OFT is).', 'However, the parameter efficiency also comes at a price -- the orthogonal matrix has a fixed sparsity pattern and the orthogonal transformation is applied independently in different blocks. This block-diagonal sparsity pattern, despite saving parameters, may introduce some undesirable inductive biases (e.g., the block-diagonal orthogonal matrix reduces expressiveness and cannot approximate classic linear transforms)']",The paper states that making OFT more parameter-efficient with smaller block-diagonal structure reduces what the matrix can express.,"As OFT makes its diagonal blocks smaller to save parameters, what capability is it explicitly said to lose?",expressiveness
"According to the paper 'Parameter-Efficient Orthogonal Finetuning via Factorization', after BOFT initializes all butterfly components as identity, the effective weight matrix used in the modified forward pass at the very start of finetuning is",the pretrained weight matrix,(D),"According to the paper 'Parameter-Efficient Orthogonal Finetuning via Factorization', after BOFT initializes all butterfly components as identity, the effective weight matrix used in the modified forward pass at the very start of finetuning is
(A) the identity matrix
(B) the orthogonal matrix \(\mathbf{R}\)
(C) the pretrained weight matrix plus a zero-initialized Cayley-transform update
(D) the pretrained weight matrix
(E) the product of the identity-initialized butterfly component matrices",the identity matrix,the orthogonal matrix \(\mathbf{R}\),the pretrained weight matrix plus a zero-initialized Cayley-transform update,the pretrained weight matrix,the product of the identity-initialized butterfly component matrices,"[""the identity matrix"", ""the orthogonal matrix \\(\\mathbf{R}\\)"", ""the product of the identity-initialized butterfly component matrices"", ""the pretrained weight matrix plus a zero-initialized Cayley-transform update""]","According to the paper 'Parameter-Efficient Orthogonal Finetuning via Factorization', after BOFT initializes all butterfly components as identity, the effective weight matrix used in the modified forward pass at the very start of finetuning is the pretrained weight matrix",,,Multi-Fact Integration,"['Concretely, OFT optimizes an orthogonal matrix $\\bm{R}\\in\\mathbb{R}^{d\\times d}$ for a pretrained linear layer $\\bm{W}^0\\in\\mathbb{R}^{d\\times n}$, and modifies the forward pass from $\\bm{z}=(\\bm{W}^0)^\\top\\bm{x}$ to $\\bm{z}=(\\bm{R}\\bm{W}^0)^\\top\\bm{x}$', 'The orthogonal matrix $\\bm{R}(m,b)\\in\\mathbb{R}^{d\\times d}$ is composed of a product of multiple orthogonal butterfly components.', 'In BOFT, we initialize all the butterfly components with identity matrices (\\emph{i.e.}, the skew-symmetric matrix is initialized as zeros in Cayley transform).']","['Concretely, OFT optimizes an orthogonal matrix $\\bm{R}\\in\\mathbb{R}^{d\\times d}$ for a pretrained linear layer $\\bm{W}^0\\in\\mathbb{R}^{d\\times n}$, and modifies the forward pass from $\\bm{z}=(\\bm{W}^0)^\\top\\bm{x}$ to $\\bm{z}=(\\bm{R}\\bm{W}^0)^\\top\\bm{x}$', 'The orthogonal matrix $\\bm{R}(m,b)\\in\\mathbb{R}^{d\\times d}$ is composed of a product of multiple orthogonal butterfly components.', 'In BOFT, we initialize all the butterfly components with identity matrices (\\emph{i.e.}, the skew-symmetric matrix is initialized as zeros in Cayley transform).']","['Concretely, OFT optimizes an orthogonal matrix $\\bm{R}\\in\\mathbb{R}^{d\\times d}$ for a pretrained linear layer $\\bm{W}^0\\in\\mathbb{R}^{d\\times n}$, and modifies the forward pass from $\\bm{z}=(\\bm{W}^0)^\\top\\bm{x}$ to $\\bm{z}=(\\bm{R}\\bm{W}^0)^\\top\\bm{x}$', 'The orthogonal matrix $\\bm{R}(m,b)\\in\\mathbb{R}^{d\\times d}$ is composed of a product of multiple orthogonal butterfly components.', 'In BOFT, we initialize all the butterfly components with identity matrices (\\emph{i.e.}, the skew-symmetric matrix is initialized as zeros in Cayley transform).']","If every butterfly component starts as identity, their product $\bm{R}$ is identity, so the effective weight in $\bm{R}\bm{W}^0$ is just the original pretrained matrix.","After BOFT initializes all butterfly components as identity, what is the effective weight matrix used in the modified forward pass at the very start of finetuning?",the pretrained weight matrix
"According to the paper 'Parameter-Efficient Orthogonal Finetuning via Factorization', the structure inspired by the Cooley-Tukey algorithm that can densely connect $d$ source nodes and $d$ receiver nodes with $\\mathcal{O}(d\log d)$ edges, thereby meeting the graph desiderata of dense connectivity and minimum free edges, is the",butterfly structure,(E),"According to the paper 'Parameter-Efficient Orthogonal Finetuning via Factorization', the structure inspired by the Cooley-Tukey algorithm that can densely connect $d$ source nodes and $d$ receiver nodes with $\\mathcal{O}(d\log d)$ edges, thereby meeting the graph desiderata of dense connectivity and minimum free edges, is the
(A) low-rank factorized structure
(B) expander graph topology
(C) block-diagonal orthogonal structure
(D) fully connected bipartite graph
(E) butterfly structure",low-rank factorized structure,expander graph topology,block-diagonal orthogonal structure,fully connected bipartite graph,butterfly structure,"[""fully connected bipartite graph"", ""low-rank factorized structure"", ""expander graph topology"", ""block-diagonal orthogonal structure""]","According to the paper 'Parameter-Efficient Orthogonal Finetuning via Factorization', the structure inspired by the Cooley-Tukey algorithm that can densely connect $d$ source nodes and $d$ receiver nodes with $\\mathcal{O}(d\log d)$ edges, thereby meeting the graph desiderata of dense connectivity and minimum free edges, is the butterfly structure",,,Multi-Fact Integration,"['Under the information transmission view, the general desiderata towards our goal are (i) dense connectivity: every node in the first level has at least one path to every node in the last level, and (ii) minimum free edges: the total number of edges should be as small as possible under the orthogonality constraint.', 'We draw inspiration from an interesting topology from the Cooley-Tukey algorithm, called butterfly graphs~\\cite{cooley1965algorithm}, which can densely connect $d$ source nodes and $d$ receiver nodes efficiently with $\\mathcal{O}(d\\log d)$ edges.']","['Under the information transmission view, the general desiderata towards our goal are (i) dense connectivity: every node in the first level has at least one path to every node in the last level, and (ii) minimum free edges: the total number of edges should be as small as possible under the orthogonality constraint.', 'We draw inspiration from an interesting topology from the Cooley-Tukey algorithm, called butterfly graphs~\\cite{cooley1965algorithm}, which can densely connect $d$ source nodes and $d$ receiver nodes efficiently with $\\mathcal{O}(d\\log d)$ edges.']","['Under the information transmission view, the general desiderata towards our goal are (i) dense connectivity: every node in the first level has at least one path to every node in the last level, and (ii) minimum free edges: the total number of edges should be as small as possible under the orthogonality constraint.', 'We draw inspiration from an interesting topology from the Cooley-Tukey algorithm, called butterfly graphs~\\cite{cooley1965algorithm}, which can densely connect $d$ source nodes and $d$ receiver nodes efficiently with $\\mathcal{O}(d\\log d)$ edges.']","Because butterfly graphs keep full source-to-receiver connectivity while using only O(d log d) edges, they match both dense connectivity and minimal free-edge goals.",Which structure is implied to meet the paper's graph desiderata by keeping full reachability while using far fewer edges than a dense matrix?,butterfly structure
"According to the paper 'Parameter-Efficient Orthogonal Finetuning via Factorization', the method that can still produce a dense orthogonal matrix even when the block size is kept smaller than $d$ is",BOFT,(C),"According to the paper 'Parameter-Efficient Orthogonal Finetuning via Factorization', the method that can still produce a dense orthogonal matrix even when the block size is kept smaller than $d$ is
(A) OFT
(B) block-diagonal orthogonal finetuning
(C) BOFT
(D) the original OFT setting with b=d
(E) full-block OFT",OFT,block-diagonal orthogonal finetuning,BOFT,the original OFT setting with b=d,full-block OFT,"[""OFT"", ""full-block OFT"", ""the original OFT setting with b=d"", ""block-diagonal orthogonal finetuning""]","According to the paper 'Parameter-Efficient Orthogonal Finetuning via Factorization', the method that can still produce a dense orthogonal matrix even when the block size is kept smaller than $d$ is BOFT",,,Multi-Fact Integration,"['BOFT($\\log \\frac{2d}{b}$,$b$) uses the block butterfly matrix $\\bm{B}^{\\frac{b}{2}}(d)$ as $\\bm{R}$, and yields a dense orthogonal matrix $\\bm{R}$.', 'Therefore, the original OFT has to use the block size $b=d$ to generate a dense orthogonal matrix, while BOFT can use any $b$ to achieve this.']","['BOFT($\\log \\frac{2d}{b}$,$b$) uses the block butterfly matrix $\\bm{B}^{\\frac{b}{2}}(d)$ as $\\bm{R}$, and yields a dense orthogonal matrix $\\bm{R}$.', 'Therefore, the original OFT has to use the block size $b=d$ to generate a dense orthogonal matrix, while BOFT can use any $b$ to achieve this.']","['BOFT($\\log \\frac{2d}{b}$,$b$) uses the block butterfly matrix $\\bm{B}^{\\frac{b}{2}}(d)$ as $\\bm{R}$, and yields a dense orthogonal matrix $\\bm{R}$.', 'Therefore, the original OFT has to use the block size $b=d$ to generate a dense orthogonal matrix, while BOFT can use any $b$ to achieve this.']","Since original OFT needs b=d for density but BOFT can stay dense with any b, BOFT is the one that keeps small blocks without losing density.",Which method can still produce a dense orthogonal matrix even when the block size is kept smaller than d?,BOFT
"According to the paper 'Parameter-Efficient Orthogonal Finetuning via Factorization', when BOFT uses the butterfly matrix instead of a full dense orthogonal matrix, the parameter scaling changes with dimension $d$",from $d^2$ to $d\log d$,(A),"According to the paper 'Parameter-Efficient Orthogonal Finetuning via Factorization', when BOFT uses the butterfly matrix instead of a full dense orthogonal matrix, the parameter scaling changes with dimension $d$
(A) from $d^2$ to $d\log d$
(B) from $d^2$ to $d$
(C) from $d\log d$ to $d^2$
(D) from $d^2$ to $2d$
(E) from $d^2$ to $\log d$",from $d^2$ to $d\log d$,from $d^2$ to $d$,from $d\log d$ to $d^2$,from $d^2$ to $2d$,from $d^2$ to $\log d$,"[""from $d^2$ to $d$"", ""from $d^2$ to $\\log d$"", ""from $d\\log d$ to $d^2$"", ""from $d^2$ to $2d$""]","According to the paper 'Parameter-Efficient Orthogonal Finetuning via Factorization', when BOFT uses the butterfly matrix instead of a full dense orthogonal matrix, the parameter scaling changes with dimension $d$ from $d^2$ to $d\log d$",,,Reasoning Step,"['If we use the butterfly matrix, \\emph{i.e.}, $m=\\log d,b=2$, BOFT uses $\\mathcal{O}(d\\log d)$ parameters.', 'In contrast, the original OFT with a full dense orthogonal matrix uses $\\mathcal{O}(d^2)$ parameters']","['If we use the butterfly matrix, \\emph{i.e.}, $m=\\log d,b=2$, BOFT uses $\\mathcal{O}(d\\log d)$ parameters.', 'In contrast, the original OFT with a full dense orthogonal matrix uses $\\mathcal{O}(d^2)$ parameters']","['If we use the butterfly matrix, \\emph{i.e.}, $m=\\log d,b=2$, BOFT uses $\\mathcal{O}(d\\log d)$ parameters.', 'In contrast, the original OFT with a full dense orthogonal matrix uses $\\mathcal{O}(d^2)$ parameters']",Comparing the two asymptotic counts shows that butterfly BOFT reduces parameter growth from quadratic in $d$ to $d\log d$.,"When BOFT uses the butterfly matrix instead of a full dense orthogonal matrix, how does the parameter scaling change with dimension $d$?",from $d^2$ to $d\log d$
"According to the paper 'Parameter-Efficient Orthogonal Finetuning via Factorization', in BOFT, selected blocks must be replaced with blocks so they behave like dropout without breaking the multiplicative update,",identity matrices,(E),"According to the paper 'Parameter-Efficient Orthogonal Finetuning via Factorization', in BOFT, selected blocks must be replaced with blocks so they behave like dropout without breaking the multiplicative update,
(A) orthogonal matrices
(B) zero matrices
(C) scaled identity matrices
(D) diagonal matrices
(E) identity matrices",orthogonal matrices,zero matrices,scaled identity matrices,diagonal matrices,identity matrices,"[""zero matrices"", ""diagonal matrices"", ""orthogonal matrices"", ""scaled identity matrices""]","According to the paper 'Parameter-Efficient Orthogonal Finetuning via Factorization', in BOFT, selected blocks must be replaced with blocks so they behave like dropout without breaking the multiplicative update, identity matrices",,,Reasoning Step,"['The conventional Dropout~\\cite{srivastava2014dropout} naturally works for LoRA, but not for BOFT due to our multiplicative weight update.', 'The multiplicative Dropout first randomly picks $p_1$ percent of the butterfly components and $p_2$ percent of the diagonal blocks in each butterfly component, and then replaces these blocks as identity matrices.']","['The conventional Dropout~\\cite{srivastava2014dropout} naturally works for LoRA, but not for BOFT due to our multiplicative weight update.', 'The multiplicative Dropout first randomly picks $p_1$ percent of the butterfly components and $p_2$ percent of the diagonal blocks in each butterfly component, and then replaces these blocks as identity matrices.']","['The conventional Dropout~\\cite{srivastava2014dropout} naturally works for LoRA, but not for BOFT due to our multiplicative weight update.', 'The multiplicative Dropout first randomly picks $p_1$ percent of the butterfly components and $p_2$ percent of the diagonal blocks in each butterfly component, and then replaces these blocks as identity matrices.']","Because BOFT updates weights multiplicatively, dropping a block must preserve multiplicative structure, which is done by replacing the selected block with identity.","In BOFT, what must selected blocks be replaced with so they behave like dropout without breaking the multiplicative update?",identity matrices
"According to the paper 'Parameter-Efficient Orthogonal Finetuning via Factorization', under the information-transmission view, if every first-level node can reach every last-level node, then the composed matrix must be",dense,(A),"According to the paper 'Parameter-Efficient Orthogonal Finetuning via Factorization', under the information-transmission view, if every first-level node can reach every last-level node, then the composed matrix must be
(A) dense
(B) block-diagonal
(C) orthogonal
(D) low-rank
(E) sparse",dense,block-diagonal,orthogonal,low-rank,sparse,"[""sparse"", ""low-rank"", ""orthogonal"", ""block-diagonal""]","According to the paper 'Parameter-Efficient Orthogonal Finetuning via Factorization', under the information-transmission view, if every first-level node can reach every last-level node, then the composed matrix must be dense",,,Reasoning Step,"['For the matrix $\\bm{R}$, if the element $R_{ij}$ is zero, then it indicates that information from the $j$-th node cannot flow to the $i$-th node. If $R_{ij}$ is non-zero, then the information can be transmitted.', 'Generally, for a matrix $\\bm{R}\\in\\mathbb{R}^{d\\times d}$ to be dense, the $m$ factorization matrices $\\bm{B}_m,\\cdots,\\bm{B}_1$ needs to correspond to a set of directed edges on a $d\\times (m+1)$ grid where one directed edge can only connect two nodes between adjacent levels (\\emph{i.e.}, columns), such that information from every node in the first level can be transmitted to every node in the $(m+1)$-th level.']","['For the matrix $\\bm{R}$, if the element $R_{ij}$ is zero, then it indicates that information from the $j$-th node cannot flow to the $i$-th node. If $R_{ij}$ is non-zero, then the information can be transmitted.', 'Generally, for a matrix $\\bm{R}\\in\\mathbb{R}^{d\\times d}$ to be dense, the $m$ factorization matrices $\\bm{B}_m,\\cdots,\\bm{B}_1$ needs to correspond to a set of directed edges on a $d\\times (m+1)$ grid where one directed edge can only connect two nodes between adjacent levels (\\emph{i.e.}, columns), such that information from every node in the first level can be transmitted to every node in the $(m+1)$-th level.']","['For the matrix $\\bm{R}$, if the element $R_{ij}$ is zero, then it indicates that information from the $j$-th node cannot flow to the $i$-th node. If $R_{ij}$ is non-zero, then the information can be transmitted.', 'Generally, for a matrix $\\bm{R}\\in\\mathbb{R}^{d\\times d}$ to be dense, the $m$ factorization matrices $\\bm{B}_m,\\cdots,\\bm{B}_1$ needs to correspond to a set of directed edges on a $d\\times (m+1)$ grid where one directed edge can only connect two nodes between adjacent levels (\\emph{i.e.}, columns), such that information from every node in the first level can be transmitted to every node in the $(m+1)$-th level.']","If every source node can reach every receiver node, then every entry can be non-zero, which means the composed matrix is dense.","Under the paper's information-transmission view, if every first-level node can reach every last-level node, what must the composed matrix be?",dense
"According to the paper 'Parameter-Efficient Orthogonal Finetuning via Factorization', what questionable assumption of block-diagonal OFT is avoided when BOFT uses a dense orthogonal transformation instead? the assumption of",index-based groups,(B),"According to the paper 'Parameter-Efficient Orthogonal Finetuning via Factorization', what questionable assumption of block-diagonal OFT is avoided when BOFT uses a dense orthogonal transformation instead? the assumption of
(A) fixed block-sparse updates
(B) index-based groups
(C) layerwise parameter sharing
(D) low-rank update matrices
(E) equal-sized dimension groups",fixed block-sparse updates,index-based groups,layerwise parameter sharing,low-rank update matrices,equal-sized dimension groups,"[""equal-sized dimension groups"", ""fixed block-sparse updates"", ""layerwise parameter sharing"", ""low-rank update matrices""]","According to the paper 'Parameter-Efficient Orthogonal Finetuning via Factorization', what questionable assumption of block-diagonal OFT is avoided when BOFT uses a dense orthogonal transformation instead? the assumption of index-based groups",,,Synthesized Insight,"['the block-diagonal structure comes at a price -- it introduces an assumption that the dimensions of a neuron (\\emph{i.e.}, a column vector of the weight matrix $\\bm{W}^0$) are divided by $r$ groups and dimensions in different groups are transformed separately using different orthogonal matrices.', 'Despite the empirical effectiveness of the block-diagonal structure, it makes no sense to divide the dimensions of a neuron into $r$ groups based on their indices, which makes dense orthogonal matrices desirable.']","['the block-diagonal structure comes at a price -- it introduces an assumption that the dimensions of a neuron (\\emph{i.e.}, a column vector of the weight matrix $\\bm{W}^0$) are divided by $r$ groups and dimensions in different groups are transformed separately using different orthogonal matrices.', 'Despite the empirical effectiveness of the block-diagonal structure, it makes no sense to divide the dimensions of a neuron into $r$ groups based on their indices, which makes dense orthogonal matrices desirable.']","['the block-diagonal structure comes at a price -- it introduces an assumption that the dimensions of a neuron (\\emph{i.e.}, a column vector of the weight matrix $\\bm{W}^0$) are divided by $r$ groups and dimensions in different groups are transformed separately using different orthogonal matrices.', 'Despite the empirical effectiveness of the block-diagonal structure, it makes no sense to divide the dimensions of a neuron into $r$ groups based on their indices, which makes dense orthogonal matrices desirable.']","Since block-diagonal OFT separates dimensions by fixed groups based on their positions, using a dense orthogonal matrix removes that index-based grouping assumption.",What questionable assumption of block-diagonal OFT is avoided when BOFT uses a dense orthogonal transformation instead?,index-based groups
"According to the paper 'Parameter-Efficient Orthogonal Finetuning via Factorization', it is enough to make only the $2b\times 2b$ blocks orthogonal when constructing larger block butterfly components because the remaining structure can be handled by",block-wise permutations,(A),"According to the paper 'Parameter-Efficient Orthogonal Finetuning via Factorization', it is enough to make only the $2b\times 2b$ blocks orthogonal when constructing larger block butterfly components because the remaining structure can be handled by
(A) block-wise permutations
(B) stage-wise normalization of the larger butterfly factors
(C) Kronecker-style expansion of the base orthogonal blocks
(D) the repeated non-zero pattern itself enforcing orthogonality
(E) reusing the same orthogonal parameterization at every butterfly stage",block-wise permutations,stage-wise normalization of the larger butterfly factors,Kronecker-style expansion of the base orthogonal blocks,the repeated non-zero pattern itself enforcing orthogonality,reusing the same orthogonal parameterization at every butterfly stage,"[""reusing the same orthogonal parameterization at every butterfly stage"", ""the repeated non-zero pattern itself enforcing orthogonality"", ""Kronecker-style expansion of the base orthogonal blocks"", ""stage-wise normalization of the larger butterfly factors""]","According to the paper 'Parameter-Efficient Orthogonal Finetuning via Factorization', it is enough to make only the $2b\times 2b$ blocks orthogonal when constructing larger block butterfly components because the remaining structure can be handled by block-wise permutations",,,Reasoning Step,"['""To guarantee the block butterfly component $\\tilde{\\bm{B}}^b(d,2)$ to be orthogonal, we parameterize each $2b\\times 2b$ block matrix to be orthogonal.""', '""The non-zero pattern of the other butterfly components $\\tilde{\\bm{B}}^b(d,k),k>2$ are the block-wise permutation of the non-zero pattern of $\\tilde{\\bm{B}}^b(d,2)$ and therefore can be similarly turned into orthogonal matrices.""']","['""To guarantee the block butterfly component $\\tilde{\\bm{B}}^b(d,2)$ to be orthogonal, we parameterize each $2b\\times 2b$ block matrix to be orthogonal.""', '""The non-zero pattern of the other butterfly components $\\tilde{\\bm{B}}^b(d,k),k>2$ are the block-wise permutation of the non-zero pattern of $\\tilde{\\bm{B}}^b(d,2)$ and therefore can be similarly turned into orthogonal matrices.""']","['""To guarantee the block butterfly component $\\tilde{\\bm{B}}^b(d,2)$ to be orthogonal, we parameterize each $2b\\times 2b$ block matrix to be orthogonal.""', '""The non-zero pattern of the other butterfly components $\\tilde{\\bm{B}}^b(d,k),k>2$ are the block-wise permutation of the non-zero pattern of $\\tilde{\\bm{B}}^b(d,2)$ and therefore can be similarly turned into orthogonal matrices.""']","Because larger butterfly components only rearrange the same block pattern, making the base 2b×2b blocks orthogonal is enough to extend orthogonality to the larger components.",Why is it enough to make only the 2b×2b blocks orthogonal when constructing larger block butterfly components?,block-wise permutations
"According to the paper 'Parameter-Efficient Orthogonal Finetuning via Factorization', with block size $b$ fixed, if $m$ is increased from $1$ to $\log \frac{2d}{b}$, BOFT moves from one matrix form to another:",block-diagonal to dense,(B),"According to the paper 'Parameter-Efficient Orthogonal Finetuning via Factorization', with block size $b$ fixed, if $m$ is increased from $1$ to $\log \frac{2d}{b}$, BOFT moves from one matrix form to another:
(A) dense to block-diagonal
(B) block-diagonal to dense
(C) block-diagonal to another block-diagonal matrix with smaller blocks
(D) block-diagonal to a sparse butterfly matrix
(E) diagonal to dense",dense to block-diagonal,block-diagonal to dense,block-diagonal to another block-diagonal matrix with smaller blocks,block-diagonal to a sparse butterfly matrix,diagonal to dense,"[""dense to block-diagonal"", ""block-diagonal to another block-diagonal matrix with smaller blocks"", ""diagonal to dense"", ""block-diagonal to a sparse butterfly matrix""]","According to the paper 'Parameter-Efficient Orthogonal Finetuning via Factorization', with block size $b$ fixed, if $m$ is increased from $1$ to $\log \frac{2d}{b}$, BOFT moves from one matrix form to another: block-diagonal to dense",,,Multi-Fact Integration,"['When $m=1$, then BOFT($1$,$b$) reduces to the block-diagonal OFT~\\cite{qiu2023controlling} with the block size $b$.', 'BOFT($\\log \\frac{2d}{b}$,$b$) uses the block butterfly matrix $\\bm{B}^{\\frac{b}{2}}(d)$ as $\\bm{R}$, and yields a dense orthogonal matrix $\\bm{R}$.']","['When $m=1$, then BOFT($1$,$b$) reduces to the block-diagonal OFT~\\cite{qiu2023controlling} with the block size $b$.', 'BOFT($\\log \\frac{2d}{b}$,$b$) uses the block butterfly matrix $\\bm{B}^{\\frac{b}{2}}(d)$ as $\\bm{R}$, and yields a dense orthogonal matrix $\\bm{R}$.']","['When $m=1$, then BOFT($1$,$b$) reduces to the block-diagonal OFT~\\cite{qiu2023controlling} with the block size $b$.', 'BOFT($\\log \\frac{2d}{b}$,$b$) uses the block butterfly matrix $\\bm{B}^{\\frac{b}{2}}(d)$ as $\\bm{R}$, and yields a dense orthogonal matrix $\\bm{R}$.']","With the same block size, increasing $m$ from 1 to $\log(2d/b)$ moves BOFT from the block-diagonal OFT case to a dense orthogonal matrix.","With block size $b$ fixed, if $m$ is increased from 1 to $\log(2d/b)$, BOFT moves from what kind of matrix to what kind of matrix?",block-diagonal to dense
