row_index,keep,drop_reason,review_notes,replacement_probe,replacement_target,duplicate_of
0,false,recall_not_composition,A single source sentence directly states that the listed factors led to laparotomy.,,,
1,true,keep,Combines the need for better diagnostic accuracy with pregnancy-related avoidance of gadolinium contrast.,,,
2,false,recall_not_composition,The probe is essentially the source sentence stated management aim.,,,
3,true,keep,Requires contrasting upper-mass evidence with caudal continuity with uterine tissue.,,,
4,false,duplicate,Overlaps with row 3 on caudal uterine/myomatous origin and is more recall-like.,,,3
5,true,keep,Combines leaving the caudal mass in situ with its later mechanical obstruction of labor.,,,
6,true,keep,Combines the twisted/leaking operative finding with pathology showing ischemic necrosis near the pedicle.,,,
7,true,keep,Requires combining upper pedicle-related risk with caudal obstetric risk to infer the limited operative extent.,,,
8,true,keep,Connects the stated indication for myomectomy with the intraoperative finding of a twisted pedunculated mass.,,,
9,true,keep,"Uses fetal monitoring, progesterone support, and the stated surgical priority to infer pregnancy preservation.",,,
10,false,recall_not_composition,The answer is directly stated in the fetal viability monitoring sentence.,,,
11,false,incorrect,"The target is incomplete because the decision drivers also included diagnostic need, possible growth, CA-125 concern, and uterine space limits.",,,
12,false,duplicate,Duplicates the noncontrast MRI rationale in row 1 with more direct lookup wording.,,,1
13,false,duplicate,Repeats the pregnancy-preservation concept tested more concretely in row 9.,,,9
14,false,recall_not_composition,The risk of uterine scar rupture is stated directly in one sentence.,,,
15,false,recall_not_composition,The mechanical obstacle to fetal head progression is stated directly in one sentence.,,,
