probe,target,correct_label,formatted_question,option_a,option_b,option_c,option_d,option_e,distractors,fact,raw_knowledge_statement,section
"According to the paper ""Group Sequence Policy Optimization"", unlike previous algorithms that adopt token-level importance ratios, the GSPO importance ratio is based on",sequence likelihood,(D),"According to the paper ""Group Sequence Policy Optimization"", unlike previous algorithms that adopt token-level importance ratios, the GSPO importance ratio is based on
(A) group-wise advantage estimates
(B) MoE routing probabilities
(C) sequence-level reward signals
(D) sequence likelihood
(E) token-level policy entropy",group-wise advantage estimates,MoE routing probabilities,sequence-level reward signals,sequence likelihood,token-level policy entropy,"[""group-wise advantage estimates"", ""sequence-level reward signals"", ""token-level policy entropy"", ""MoE routing probabilities""]","According to the paper ""Group Sequence Policy Optimization"", unlike previous algorithms that adopt token-level importance ratios, the GSPO importance ratio is based on sequence likelihood","Unlike previous algorithms that adopt token-level importance ratios, GSPO defines the importance ratio based on sequence likelihood and performs sequence-level clipping, rewarding, and optimization.",Title/Abstract
"In the paper ""Group Sequence Policy Optimization"", the instability of GRPO hinders efforts to push the capability boundaries of language models through",continued RL training,(A),"In the paper ""Group Sequence Policy Optimization"", the instability of GRPO hinders efforts to push the capability boundaries of language models through
(A) continued RL training
(B) large-scale reward modeling
(C) gigantic model pretraining
(D) importance-weighted policy updates
(E) deeper supervised fine-tuning",continued RL training,large-scale reward modeling,gigantic model pretraining,importance-weighted policy updates,deeper supervised fine-tuning,"[""large-scale reward modeling"", ""deeper supervised fine-tuning"", ""importance-weighted policy updates"", ""gigantic model pretraining""]","In the paper ""Group Sequence Policy Optimization"", the instability of GRPO hinders efforts to push the capability boundaries of language models through continued RL training",This instability hinders efforts to push the capability boundaries of language models through continued RL training.,Introduction
"According to the paper ""Group Sequence Policy Optimization"", GSPO is demonstrated to achieve superior training efficiency and performance compared to",the GRPO algorithm.,(B),"According to the paper ""Group Sequence Policy Optimization"", GSPO is demonstrated to achieve superior training efficiency and performance compared to
(A) the PPO algorithm with token-level importance ratios.
(B) the GRPO algorithm.
(C) the RLOO algorithm in token-level large-language-model RL.
(D) actor-critic RLHF baselines built on token-level clipping.
(E) sequence-level REINFORCE methods for Mixture-of-Experts training.",the PPO algorithm with token-level importance ratios.,the GRPO algorithm.,the RLOO algorithm in token-level large-language-model RL.,actor-critic RLHF baselines built on token-level clipping.,sequence-level REINFORCE methods for Mixture-of-Experts training.,"[""the PPO algorithm with token-level importance ratios."", ""the RLOO algorithm in token-level large-language-model RL."", ""sequence-level REINFORCE methods for Mixture-of-Experts training."", ""actor-critic RLHF baselines built on token-level clipping.""]","According to the paper ""Group Sequence Policy Optimization"", GSPO is demonstrated to achieve superior training efficiency and performance compared to the GRPO algorithm.","We demonstrate that GSPO achieves superior training efficiency and performance compared to the GRPO algorithm, notably stabilizes Mixture-of-Experts (MoE) RL training, and has the potential for simplifying the design of RL infrastructure.",Title/Abstract
"According to the paper ""Group Sequence Policy Optimization"", a pivotal paradigm for scaling language models is",Reinforcement learning (RL).,(E),"According to the paper ""Group Sequence Policy Optimization"", a pivotal paradigm for scaling language models is
(A) Test-time compute scaling for longer reasoning.
(B) Large-scale supervised fine-tuning (SFT).
(C) Curriculum learning for competition-level mathematics.
(D) Preference optimization with human feedback.
(E) Reinforcement learning (RL).",Test-time compute scaling for longer reasoning.,Large-scale supervised fine-tuning (SFT).,Curriculum learning for competition-level mathematics.,Preference optimization with human feedback.,Reinforcement learning (RL).,"[""Large-scale supervised fine-tuning (SFT)."", ""Test-time compute scaling for longer reasoning."", ""Curriculum learning for competition-level mathematics."", ""Preference optimization with human feedback.""]","According to the paper ""Group Sequence Policy Optimization"", a pivotal paradigm for scaling language models is Reinforcement learning (RL).","Reinforcement learning (RL) has emerged as a pivotal paradigm for scaling language models \citep{o1,dpsk-r1,qwq32b,qwen3}.",Introduction
"According to the paper ""Group Sequence Policy Optimization"", the authors state that these merits of GSPO have contributed to remarkable improvements in the latest",Qwen3 models,(B),"According to the paper ""Group Sequence Policy Optimization"", the authors state that these merits of GSPO have contributed to remarkable improvements in the latest
(A) Llama 3.1 instruction models
(B) Qwen3 models
(C) Mixture-of-Experts language models
(D) GRPO-based reasoning models
(E) RLHF-trained open-source LLMs",Llama 3.1 instruction models,Qwen3 models,Mixture-of-Experts language models,GRPO-based reasoning models,RLHF-trained open-source LLMs,"[""Mixture-of-Experts language models"", ""GRPO-based reasoning models"", ""Llama 3.1 instruction models"", ""RLHF-trained open-source LLMs""]","According to the paper ""Group Sequence Policy Optimization"", the authors state that these merits of GSPO have contributed to remarkable improvements in the latest Qwen3 models",These merits of GSPO have contributed to the remarkable improvements in the latest Qwen3 models.,Title/Abstract
"According to the paper ""Group Sequence Policy Optimization"", unlike previous algorithms that adopt token-level importance ratios, GSPO performs clipping, rewarding, and optimization at the",sequence-level.,(D),"According to the paper ""Group Sequence Policy Optimization"", unlike previous algorithms that adopt token-level importance ratios, GSPO performs clipping, rewarding, and optimization at the
(A) policy-level.
(B) group-level.
(C) likelihood-level.
(D) sequence-level.
(E) model-level.",policy-level.,group-level.,likelihood-level.,sequence-level.,model-level.,"[""group-level."", ""policy-level."", ""likelihood-level."", ""model-level.""]","According to the paper ""Group Sequence Policy Optimization"", unlike previous algorithms that adopt token-level importance ratios, GSPO performs clipping, rewarding, and optimization at the sequence-level.","Unlike previous algorithms that adopt token-level importance ratios, GSPO defines the importance ratio based on sequence likelihood and performs sequence-level clipping, rewarding, and optimization.",Title/Abstract
"According to the paper ""Group Sequence Policy Optimization"", the authors identify the foremost prerequisite for successfully scaling RL with greater computational investment as",maintaining stable and robust training dynamics,(A),"According to the paper ""Group Sequence Policy Optimization"", the authors identify the foremost prerequisite for successfully scaling RL with greater computational investment as
(A) maintaining stable and robust training dynamics
(B) scaling inference-time compute in tandem with large-scale RL objectives
(C) expanding exploration to solve competition-level mathematics and programming problems
(D) improving sample efficiency for gigantic language models under GRPO-style policy optimization
(E) designing reward signals that encourage deeper and longer reasoning processes",maintaining stable and robust training dynamics,scaling inference-time compute in tandem with large-scale RL objectives,expanding exploration to solve competition-level mathematics and programming problems,improving sample efficiency for gigantic language models under GRPO-style policy optimization,designing reward signals that encourage deeper and longer reasoning processes,"[""improving sample efficiency for gigantic language models under GRPO-style policy optimization"", ""designing reward signals that encourage deeper and longer reasoning processes"", ""expanding exploration to solve competition-level mathematics and programming problems"", ""scaling inference-time compute in tandem with large-scale RL objectives""]","According to the paper ""Group Sequence Policy Optimization"", the authors identify the foremost prerequisite for successfully scaling RL with greater computational investment as maintaining stable and robust training dynamics","To successfully scale RL with greater computational investment, the foremost prerequisite is maintaining stable and robust training dynamics.",Introduction
"According to the paper ""Group Sequence Policy Optimization"", GSPO has the potential to simplify the design of",RL infrastructure.,(E),"According to the paper ""Group Sequence Policy Optimization"", GSPO has the potential to simplify the design of
(A) MoE training stacks.
(B) policy optimization frameworks.
(C) LLM serving systems.
(D) token-level reward models.
(E) RL infrastructure.",MoE training stacks.,policy optimization frameworks.,LLM serving systems.,token-level reward models.,RL infrastructure.,"[""MoE training stacks."", ""policy optimization frameworks."", ""token-level reward models."", ""LLM serving systems.""]","According to the paper ""Group Sequence Policy Optimization"", GSPO has the potential to simplify the design of RL infrastructure.","We demonstrate that GSPO achieves superior training efficiency and performance compared to the GRPO algorithm, notably stabilizes Mixture-of-Experts (MoE) RL training, and has the potential for simplifying the design of RL infrastructure.",Title/Abstract
"In the paper ""Group Sequence Policy Optimization"", the examples of sophisticated problems that language models can tackle through large-scale RL by undertaking deeper and longer reasoning processes are",competition-level mathematics and programming,(C),"In the paper ""Group Sequence Policy Optimization"", the examples of sophisticated problems that language models can tackle through large-scale RL by undertaking deeper and longer reasoning processes are
(A) multi-step scientific reasoning and data analysis
(B) long-horizon planning and sequential decision-making
(C) competition-level mathematics and programming
(D) interactive theorem proving and robotic control
(E) formal verification and strategic game playing",multi-step scientific reasoning and data analysis,long-horizon planning and sequential decision-making,competition-level mathematics and programming,interactive theorem proving and robotic control,formal verification and strategic game playing,"[""long-horizon planning and sequential decision-making"", ""multi-step scientific reasoning and data analysis"", ""formal verification and strategic game playing"", ""interactive theorem proving and robotic control""]","In the paper ""Group Sequence Policy Optimization"", the examples of sophisticated problems that language models can tackle through large-scale RL by undertaking deeper and longer reasoning processes are competition-level mathematics and programming","Through large-scale RL, language models develop the capability to tackle sophisticated problems, such as competition-level mathematics and programming, by undertaking deeper and longer reasoning processes.",Introduction
"According to the paper ""Group Sequence Policy Optimization"", through large-scale RL, language models develop the capability to tackle sophisticated problems such as competition-level mathematics and programming by undertaking",deeper and longer reasoning processes.,(D),"According to the paper ""Group Sequence Policy Optimization"", through large-scale RL, language models develop the capability to tackle sophisticated problems such as competition-level mathematics and programming by undertaking
(A) broader exploration over long-horizon reward landscapes
(B) iterative policy updates with stable training dynamics
(C) hierarchical planning across mathematics and programming tasks
(D) deeper and longer reasoning processes.
(E) reward-guided search with explicit solution verification",broader exploration over long-horizon reward landscapes,iterative policy updates with stable training dynamics,hierarchical planning across mathematics and programming tasks,deeper and longer reasoning processes.,reward-guided search with explicit solution verification,"[""broader exploration over long-horizon reward landscapes"", ""iterative policy updates with stable training dynamics"", ""hierarchical planning across mathematics and programming tasks"", ""reward-guided search with explicit solution verification""]","According to the paper ""Group Sequence Policy Optimization"", through large-scale RL, language models develop the capability to tackle sophisticated problems such as competition-level mathematics and programming by undertaking deeper and longer reasoning processes.","Through large-scale RL, language models develop the capability to tackle sophisticated problems, such as competition-level mathematics and programming, by undertaking deeper and longer reasoning processes.",Introduction
"According to the paper ""Group Sequence Policy Optimization"", the authors identify that the instability of GRPO stems from the fundamental misapplication and invalidation of",importance sampling weights.,(C),"According to the paper ""Group Sequence Policy Optimization"", the authors identify that the instability of GRPO stems from the fundamental misapplication and invalidation of
(A) stability-driven KL regularization
(B) response-length advantage estimates
(C) importance sampling weights.
(D) clipping-based trust-region constraints
(E) high-variance return estimators",stability-driven KL regularization,response-length advantage estimates,importance sampling weights.,clipping-based trust-region constraints,high-variance return estimators,"[""clipping-based trust-region constraints"", ""response-length advantage estimates"", ""high-variance return estimators"", ""stability-driven KL regularization""]","According to the paper ""Group Sequence Policy Optimization"", the authors identify that the instability of GRPO stems from the fundamental misapplication and invalidation of importance sampling weights.","In this paper, we identify that the instability of GRPO stems from the fundamental misapplication and invalidation of importance sampling weights in its algorithmic design.",Introduction
"In the paper ""Group Sequence Policy Optimization"", to ensure alignment between sequence-level rewarding and optimization, GSPO computes the advantages of multiple responses to a query as",the normalized rewards.,(C),"In the paper ""Group Sequence Policy Optimization"", to ensure alignment between sequence-level rewarding and optimization, GSPO computes the advantages of multiple responses to a query as
(A) the token-level discounted rewards with baselines
(B) the KL-regularized pairwise reward differences
(C) the normalized rewards.
(D) the clipped sequence-level importance-weighted returns
(E) the GRPO-style normalized importance ratios",the token-level discounted rewards with baselines,the KL-regularized pairwise reward differences,the normalized rewards.,the clipped sequence-level importance-weighted returns,the GRPO-style normalized importance ratios,"[""the clipped sequence-level importance-weighted returns"", ""the token-level discounted rewards with baselines"", ""the GRPO-style normalized importance ratios"", ""the KL-regularized pairwise reward differences""]","In the paper ""Group Sequence Policy Optimization"", to ensure alignment between sequence-level rewarding and optimization, GSPO computes the advantages of multiple responses to a query as the normalized rewards.","Additionally, GSPO computes the normalized rewards as the advantages of multiple responses to a query, ensuring the alignment between sequence-level rewarding and optimization.",Introduction
"According to the paper ""Group Sequence Policy Optimization"", the authors state that the key innovation of GSPO is its theoretically grounded definition of importance ratio based on",sequence likelihood.,(D),"According to the paper ""Group Sequence Policy Optimization"", the authors state that the key innovation of GSPO is its theoretically grounded definition of importance ratio based on
(A) token-level policy probabilities.
(B) query-conditioned trajectory distributions.
(C) response-length-adjusted advantage estimates.
(D) sequence likelihood.
(E) normalized rewards over multiple responses.",token-level policy probabilities.,query-conditioned trajectory distributions.,response-length-adjusted advantage estimates.,sequence likelihood.,normalized rewards over multiple responses.,"[""token-level policy probabilities."", ""normalized rewards over multiple responses."", ""response-length-adjusted advantage estimates."", ""query-conditioned trajectory distributions.""]","According to the paper ""Group Sequence Policy Optimization"", the authors state that the key innovation of GSPO is its theoretically grounded definition of importance ratio based on sequence likelihood.","The key innovation of GSPO lies in its theoretically grounded definition of importance ratio based on sequence likelihood \citep{click}, aligning with the basic principle of importance sampling.",Introduction
"According to the paper ""Group Sequence Policy Optimization"", GSPO notably stabilizes",Mixture-of-Experts (MoE) RL training.,(C),"According to the paper ""Group Sequence Policy Optimization"", GSPO notably stabilizes
(A) token-level importance-ratio estimation for LLM alignment.
(B) sequence-level reward clipping in policy training.
(C) Mixture-of-Experts (MoE) RL training.
(D) GRPO-style large language model RL optimization.
(E) Qwen3 reinforcement-learning infrastructure design.",token-level importance-ratio estimation for LLM alignment.,sequence-level reward clipping in policy training.,Mixture-of-Experts (MoE) RL training.,GRPO-style large language model RL optimization.,Qwen3 reinforcement-learning infrastructure design.,"[""GRPO-style large language model RL optimization."", ""sequence-level reward clipping in policy training."", ""Qwen3 reinforcement-learning infrastructure design."", ""token-level importance-ratio estimation for LLM alignment.""]","According to the paper ""Group Sequence Policy Optimization"", GSPO notably stabilizes Mixture-of-Experts (MoE) RL training.","We demonstrate that GSPO achieves superior training efficiency and performance compared to the GRPO algorithm, notably stabilizes Mixture-of-Experts (MoE) RL training, and has the potential for simplifying the design of RL infrastructure.",Title/Abstract
