source,document_id,path,query_type,sample_index,query,index,count,approx,latency_ms,token_count,error,error_code
arxiv,1_58,data/arxiv/raw/1_58.tex,title,0,The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits,v4_olmo-mix-1124_llama,0,False,0.8807182312011719,26,,
arxiv,1_58,data/arxiv/raw/1_58.tex,body_sentence,1,"Furthermore, it enables a new computation paradigm and opens the door for designing specific hardware optimized for 1-bit LLMs. .",v4_olmo-mix-1124_llama,0,False,0.8494853973388672,30,,
arxiv,1_58,data/arxiv/raw/1_58.tex,body_sentence,2,"There have been attempts to enlarge SRAM to improve throughput, but this introduces significantly higher costs than DRAM.",v4_olmo-mix-1124_llama,0,False,0.8442401885986328,25,,
arxiv,1_58,data/arxiv/raw/1_58.tex,body_sentence,3,"Secondly, our experiments show that BitNet b1.58 can match full precision (i.e., FP16) baselines in terms of both perplexity and end-task performance, starting from a 3B size, when using the same configuration (e.g., model size, training tokens, etc.). .",v4_olmo-mix-1124_llama,0,False,0.8337497711181641,70,,
arxiv,1_58,data/arxiv/raw/1_58.tex,body_sentence,4,BitNet b1.58 is enabling a new scaling law with respect to model performance and inference cost.,v4_olmo-mix-1124_llama,0,False,0.8566379547119141,23,,
arxiv,1_58,data/arxiv/raw/1_58.tex,body_sentence,5,"30B BitNet b1.58 is more efficient, in terms of latency, memory usage and energy consumption, than 7B FP16 LLM.",v4_olmo-mix-1124_llama,0,False,0.8707046508789062,37,,
arxiv,1_58,data/arxiv/raw/1_58.tex,body_sentence,6,1-bit Mixture-of-Experts (MoE) LLMs Mixture-of-Experts (MoE) have proven to be a cost-effective approach for LLMs.,v4_olmo-mix-1124_llama,0,False,0.827789306640625,45,,
arxiv,1_58,data/arxiv/raw/1_58.tex,body_sentence,7,"Firstly, the reduced memory footprint reduces the number of devices required to deploy MoE models.",v4_olmo-mix-1124_llama,0,False,0.9031295776367188,20,,
arxiv,1_58,data/arxiv/raw/1_58.tex,body_sentence,8,LLMs on Edge and Mobile The use of 1.58-bit LLMs has the potential to greatly improve the performance of language models on edge and mobile devices.,v4_olmo-mix-1124_llama,0,False,0.8983612060546875,37,,
arxiv,1_58,data/arxiv/raw/1_58.tex,body_sentence,9,"These devices are often limited by their memory and computational power, which can restrict the performance and the scale of LLMs.",v4_olmo-mix-1124_llama,0,False,0.827789306640625,25,,
arxiv,1_58,data/arxiv/raw/1_58.tex,body_sentence,10,This can greatly enhance the capabilities of edge and mobile devices and enable new and exciting applications of LLMs.,v4_olmo-mix-1124_llama,0,False,0.9622573852539062,24,,
arxiv,BOFT,data/arxiv/raw/BOFT.tex,title,0,Parameter-Efficient Orthogonal Finetuning via Factorization,v4_olmo-mix-1124_llama,0,False,0.8783340454101562,13,,
arxiv,BOFT,data/arxiv/raw/BOFT.tex,body_sentence,1,"Large foundation models are becoming ubiquitous, but training them from scratch is prohibitively expensive.",v4_olmo-mix-1124_llama,0,False,0.8265972137451172,22,,
arxiv,BOFT,data/arxiv/raw/BOFT.tex,body_sentence,2,"Thus, efficiently adapting these powerful models to downstream tasks is increasingly important.",v4_olmo-mix-1124_llama,0,False,0.9398460388183594,17,,
arxiv,BOFT,data/arxiv/raw/BOFT.tex,body_sentence,3,"There are primarily three ways to perform efficient task adaptation: model finetuning , where the model architecture remains unchanged and a subset of the model parameters gets finetuned; adapter tuning , where additional trainable parameters are added to the original model; and prompt tuning , where additional trainable prefix tokens are attached to the input.",v4_olmo-mix-1124_llama,0,False,0.8995532989501953,69,,
