source,document_id,path,title,num_queries,expected_num_queries,num_body_sentence_queries,title_count,max_body_sentence_count,num_hit_queries,num_error_queries,status
arxiv,1_58,data/arxiv/raw/1_58.tex,The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits,11,11,10,0,0,0,0,no_evidence
arxiv,BOFT,data/arxiv/raw/BOFT.tex,Parameter-Efficient Orthogonal Finetuning via Factorization,11,11,10,0,0,0,0,no_evidence
arxiv,ByteLatent,data/arxiv/raw/ByteLatent.tex,Byte Latent Transformer: Patches Scale Better Than Tokens,11,11,10,0,0,0,0,no_evidence
arxiv,DPO,data/arxiv/raw/DPO.tex,Direct Preference Optimization: Your Language Model is Secretly a Reward Model,11,11,10,0,0,0,0,no_evidence
arxiv,FeatLLM,data/arxiv/raw/FeatLLM.tex,Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning,11,11,10,0,0,0,0,no_evidence
arxiv,GRPO,data/arxiv/raw/GRPO.tex,DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models,11,11,10,0,0,0,0,no_evidence
arxiv,GSPO,data/arxiv/raw/GSPO.tex,Group Sequence Policy Optimization,11,11,10,0,0,0,0,no_evidence
arxiv,LongRoPE,data/arxiv/raw/LongRoPE.tex,LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens,11,11,10,0,0,0,0,no_evidence
arxiv,OFT,data/arxiv/raw/OFT.tex,Controlling Text-to-Image Diffusion by Orthogonal Finetuning,11,11,10,0,0,0,0,no_evidence
arxiv,QLoRA,data/arxiv/raw/QLoRA.tex,QLoRA: Efficient Finetuning of Quantized LLMs,11,11,10,0,0,0,0,no_evidence
arxiv,fa3,data/arxiv/raw/fa3.tex,FlashAttention-3: Fast and Accurate Attention with Asynchrony and Low-precision,11,11,10,0,0,0,0,no_evidence
arxiv,xLSTM,data/arxiv/raw/xLSTM.tex,xLSTM: Extended Long Short-Term Memory,11,11,10,0,0,0,0,no_evidence
