probe,target,correct_label,formatted_question,option_a,option_b,option_c,option_d,option_e,distractors,fact,raw_knowledge_statement,section,inference_type,source_fact(s),source_facts,text_sentences,derivation,question,answer
"According to the paper 'QLoRA: Efficient Finetuning of Quantized LLMs', regular 16-bit finetuning of a 65B parameter model requires over 780 GB of GPU memory, while QLoRA reduces this to under 48 GB, so regular finetuning uses more GPU memory than QLoRA by",more than 16 times,(E),"According to the paper 'QLoRA: Efficient Finetuning of Quantized LLMs', regular 16-bit finetuning of a 65B parameter model requires over 780 GB of GPU memory, while QLoRA reduces this to under 48 GB, so regular finetuning uses more GPU memory than QLoRA by
(A) less than 16 times
(B) about 8 times
(C) roughly 12 times
(D) about 48 times
(E) more than 16 times",less than 16 times,about 8 times,roughly 12 times,about 48 times,more than 16 times,"[""about 8 times"", ""roughly 12 times"", ""about 48 times"", ""less than 16 times""]","According to the paper 'QLoRA: Efficient Finetuning of Quantized LLMs', regular 16-bit finetuning of a 65B parameter model requires over 780 GB of GPU memory, while QLoRA reduces this to under 48 GB, so regular finetuning uses more GPU memory than QLoRA by more than 16 times",,,Reasoning Step,"['""regular 16-bit finetuning of a LLaMA 65B parameter model~\\citep{touvron2023llama} requires more than 780 GB of GPU memory.""', '""\\textsc{QLoRA} reduces the average memory requirements of finetuning a 65B parameter model from $>$780GB of GPU memory to $<$48GB""']","['""regular 16-bit finetuning of a LLaMA 65B parameter model~\\citep{touvron2023llama} requires more than 780 GB of GPU memory.""', '""\\textsc{QLoRA} reduces the average memory requirements of finetuning a 65B parameter model from $>$780GB of GPU memory to $<$48GB""']","['""regular 16-bit finetuning of a LLaMA 65B parameter model~\\citep{touvron2023llama} requires more than 780 GB of GPU memory.""', '""\\textsc{QLoRA} reduces the average memory requirements of finetuning a 65B parameter model from $>$780GB of GPU memory to $<$48GB""']","Since 780 divided by 48 is greater than 16, regular 16-bit finetuning needs over sixteen times as much GPU memory as QLoRA for a 65B model.","For a 65B model, approximately how much more GPU memory does regular 16-bit finetuning require than QLoRA?",more than 16 times
"According to the paper 'QLoRA: Efficient Finetuning of Quantized LLMs', the learned component that recovers the performance lost from 4-bit quantization is",LoRA adapters,(C),"According to the paper 'QLoRA: Efficient Finetuning of Quantized LLMs', the learned component that recovers the performance lost from 4-bit quantization is
(A) the frozen 4-bit base model weights
(B) the base-model weight gradients
(C) LoRA adapters
(D) the quantization constants from double quantization
(E) the dequantized computation-time weights",the frozen 4-bit base model weights,the base-model weight gradients,LoRA adapters,the quantization constants from double quantization,the dequantized computation-time weights,"[""the frozen 4-bit base model weights"", ""the dequantized computation-time weights"", ""the quantization constants from double quantization"", ""the base-model weight gradients""]","According to the paper 'QLoRA: Efficient Finetuning of Quantized LLMs', the learned component that recovers the performance lost from 4-bit quantization is LoRA adapters",,,Synthesized Insight,"['""We dequantize the storage data type to the computation data type to perform the forward and backward pass, but we only compute weight gradients for the LoRA parameters""', '""This suggests that the performance lost due to the imprecise quantization can be fully recovered through adapter finetuning after quantization.""']","['""We dequantize the storage data type to the computation data type to perform the forward and backward pass, but we only compute weight gradients for the LoRA parameters""', '""This suggests that the performance lost due to the imprecise quantization can be fully recovered through adapter finetuning after quantization.""']","['""We dequantize the storage data type to the computation data type to perform the forward and backward pass, but we only compute weight gradients for the LoRA parameters""', '""This suggests that the performance lost due to the imprecise quantization can be fully recovered through adapter finetuning after quantization.""']","Since only LoRA parameters are updated and adapter finetuning recovers the lost quantized performance, the adapters are the component that compensates for quantization error.","In QLoRA, what learned component recovers the performance lost from 4-bit quantization?",LoRA adapters
"According to the paper 'QLoRA: Efficient Finetuning of Quantized LLMs', under a fixed memory budget, these comparisons suggest that the favorable model change is",more parameters at lower precision,(C),"According to the paper 'QLoRA: Efficient Finetuning of Quantized LLMs', under a fixed memory budget, these comparisons suggest that the favorable model change is
(A) prioritizing instruction tuning over model scale
(B) fewer parameters at higher precision
(C) more parameters at lower precision
(D) keeping parameter count fixed while increasing weight precision
(E) smaller models at full 16-bit precision",prioritizing instruction tuning over model scale,fewer parameters at higher precision,more parameters at lower precision,keeping parameter count fixed while increasing weight precision,smaller models at full 16-bit precision,"[""fewer parameters at higher precision"", ""smaller models at full 16-bit precision"", ""keeping parameter count fixed while increasing weight precision"", ""prioritizing instruction tuning over model scale""]","According to the paper 'QLoRA: Efficient Finetuning of Quantized LLMs', under a fixed memory budget, these comparisons suggest that the favorable model change is more parameters at lower precision",,,Synthesized Insight,"['""{Guanaco} 33B has more parameters than the Vicuna 13B model, but uses only 4-bit precision for its weights and is thus much more memory efficient at 21 GB vs 26 GB, providing a three percentage points of improvement over Vicuna 13B.""', '""our smallest \\textbf{Guanaco} model (7B parameters) requires just 5 GB of memory and outperforms a 26 GB Alpaca model by more than 20 percentage points on the Vicuna benchmark""']","['""{Guanaco} 33B has more parameters than the Vicuna 13B model, but uses only 4-bit precision for its weights and is thus much more memory efficient at 21 GB vs 26 GB, providing a three percentage points of improvement over Vicuna 13B.""', '""our smallest \\textbf{Guanaco} model (7B parameters) requires just 5 GB of memory and outperforms a 26 GB Alpaca model by more than 20 percentage points on the Vicuna benchmark""']","['""{Guanaco} 33B has more parameters than the Vicuna 13B model, but uses only 4-bit precision for its weights and is thus much more memory efficient at 21 GB vs 26 GB, providing a three percentage points of improvement over Vicuna 13B.""', '""our smallest \\textbf{Guanaco} model (7B parameters) requires just 5 GB of memory and outperforms a 26 GB Alpaca model by more than 20 percentage points on the Vicuna benchmark""']",These examples show that lowering precision can free enough memory to use models that are either larger or more efficient while still improving results.,"Under a fixed memory budget, what model change do these comparisons suggest is favorable?",more parameters at lower precision
"According to the paper 'QLoRA: Efficient Finetuning of Quantized LLMs', NF4 is a particularly well-matched 4-bit format because pretrained weights follow a",zero-centered normal distribution,(D),"According to the paper 'QLoRA: Efficient Finetuning of Quantized LLMs', NF4 is a particularly well-matched 4-bit format because pretrained weights follow a
(A) log-normal distribution with positive support
(B) distribution with equal expected numbers of values in each quantization bin
(C) zero-centered uniform distribution
(D) zero-centered normal distribution
(E) symmetric heavy-tailed Laplace distribution",log-normal distribution with positive support,distribution with equal expected numbers of values in each quantization bin,zero-centered uniform distribution,zero-centered normal distribution,symmetric heavy-tailed Laplace distribution,"[""zero-centered uniform distribution"", ""symmetric heavy-tailed Laplace distribution"", ""log-normal distribution with positive support"", ""distribution with equal expected numbers of values in each quantization bin""]","According to the paper 'QLoRA: Efficient Finetuning of Quantized LLMs', NF4 is a particularly well-matched 4-bit format because pretrained weights follow a zero-centered normal distribution",,,Synthesized Insight,"['Since pretrained neural network weights usually have a zero-centered normal distribution with standard deviation $\\sigma$ (see Appendix~\\ref{app:normality}),', 'We term the resulting data type that has equal expected number of values in each quantization bin \\emph{k-bit NormalFloat} (NFk), since the data type is information-theoretically optimal for zero-centered normally distributed data.']","['Since pretrained neural network weights usually have a zero-centered normal distribution with standard deviation $\\sigma$ (see Appendix~\\ref{app:normality}),', 'We term the resulting data type that has equal expected number of values in each quantization bin \\emph{k-bit NormalFloat} (NFk), since the data type is information-theoretically optimal for zero-centered normally distributed data.']","['Since pretrained neural network weights usually have a zero-centered normal distribution with standard deviation $\\sigma$ (see Appendix~\\ref{app:normality}),', 'We term the resulting data type that has equal expected number of values in each quantization bin \\emph{k-bit NormalFloat} (NFk), since the data type is information-theoretically optimal for zero-centered normally distributed data.']","If pretrained weights are usually zero-centered normal and NF4 is optimal for that distribution, then NF4 is naturally well matched to pretrained weights.",What property of pretrained weights makes NF4 a particularly well-matched 4-bit format?,zero-centered normal distribution
"According to the paper 'QLoRA: Efficient Finetuning of Quantized LLMs', if training computes in BF16 but only updates adapter gradients, the parameters that can stay frozen in 4-bit storage throughout finetuning are",pretrained model weights,(C),"According to the paper 'QLoRA: Efficient Finetuning of Quantized LLMs', if training computes in BF16 but only updates adapter gradients, the parameters that can stay frozen in 4-bit storage throughout finetuning are
(A) all model weights including the adapters
(B) LoRA adapter weights
(C) pretrained model weights
(D) dequantized BF16 copies of the base weights
(E) optimizer states for the quantized base weights",all model weights including the adapters,LoRA adapter weights,pretrained model weights,dequantized BF16 copies of the base weights,optimizer states for the quantized base weights,"[""LoRA adapter weights"", ""dequantized BF16 copies of the base weights"", ""all model weights including the adapters"", ""optimizer states for the quantized base weights""]","According to the paper 'QLoRA: Efficient Finetuning of Quantized LLMs', if training computes in BF16 but only updates adapter gradients, the parameters that can stay frozen in 4-bit storage throughout finetuning are pretrained model weights",,,Multi-Fact Integration,"['In practice, this means whenever a \\textsc{QLoRA} weight tensor is used, we dequantize the tensor to BFloat16, and then perform a matrix multiplication in 16-bit.', 'For parameter updates only the gradient with respect to the error for the adapters weights $\\frac{\\partial E}{\\partial \\mathbf{L}_i}$ are needed, and not for 4-bit weights $\\frac{\\partial E}{\\partial \\mathbf{W}}$.']","['In practice, this means whenever a \\textsc{QLoRA} weight tensor is used, we dequantize the tensor to BFloat16, and then perform a matrix multiplication in 16-bit.', 'For parameter updates only the gradient with respect to the error for the adapters weights $\\frac{\\partial E}{\\partial \\mathbf{L}_i}$ are needed, and not for 4-bit weights $\\frac{\\partial E}{\\partial \\mathbf{W}}$.']","['In practice, this means whenever a \\textsc{QLoRA} weight tensor is used, we dequantize the tensor to BFloat16, and then perform a matrix multiplication in 16-bit.', 'For parameter updates only the gradient with respect to the error for the adapters weights $\\frac{\\partial E}{\\partial \\mathbf{L}_i}$ are needed, and not for 4-bit weights $\\frac{\\partial E}{\\partial \\mathbf{W}}$.']","Since computation uses dequantized BF16 but gradients are only needed for adapter weights, the original pretrained weights do not need to be updated and can remain in 4-bit storage.","If training computes in BF16 but only updates adapter gradients, which parameters can stay frozen in 4-bit storage throughout finetuning?",pretrained model weights
"According to the paper 'QLoRA: Efficient Finetuning of Quantized LLMs', Paged optimizers would actually need to move optimizer states between CPU and GPU in",long-sequence mini-batches,(D),"According to the paper 'QLoRA: Efficient Finetuning of Quantized LLMs', Paged optimizers would actually need to move optimizer states between CPU and GPU in
(A) mini-batches dominated by quantization overhead
(B) large-batch mini-batches
(C) gradient-checkpointed mini-batches
(D) long-sequence mini-batches
(E) short-sequence mini-batches",mini-batches dominated by quantization overhead,large-batch mini-batches,gradient-checkpointed mini-batches,long-sequence mini-batches,short-sequence mini-batches,"[""large-batch mini-batches"", ""gradient-checkpointed mini-batches"", ""short-sequence mini-batches"", ""mini-batches dominated by quantization overhead""]","According to the paper 'QLoRA: Efficient Finetuning of Quantized LLMs', Paged optimizers would actually need to move optimizer states between CPU and GPU in long-sequence mini-batches",,,Multi-Fact Integration,"['Paged Optimizers, using NVIDIA unified memory to avoid the gradient checkpointing memory spikes that occur when processing a mini-batch with a long sequence length.', 'we do not provide hard measurements for Paged Optimizers since the paging only occurs when processing mini-batches with long sequence lengths, which is rare.']","['Paged Optimizers, using NVIDIA unified memory to avoid the gradient checkpointing memory spikes that occur when processing a mini-batch with a long sequence length.', 'we do not provide hard measurements for Paged Optimizers since the paging only occurs when processing mini-batches with long sequence lengths, which is rare.']","['Paged Optimizers, using NVIDIA unified memory to avoid the gradient checkpointing memory spikes that occur when processing a mini-batch with a long sequence length.', 'we do not provide hard measurements for Paged Optimizers since the paging only occurs when processing mini-batches with long sequence lengths, which is rare.']","Both statements identify the same trigger, so paging is mainly needed for mini-batches with long sequence lengths.",In what kind of batches would paged optimizers actually need to move optimizer states between CPU and GPU?,long-sequence mini-batches
"According to the paper 'QLoRA: Efficient Finetuning of Quantized LLMs', if the goal is to match 16-bit LoRA rather than trail it by about 1 point, the 4-bit format that should be chosen is",NF4,(E),"According to the paper 'QLoRA: Efficient Finetuning of Quantized LLMs', if the goal is to match 16-bit LoRA rather than trail it by about 1 point, the 4-bit format that should be chosen is
(A) FP4 with double quantization
(B) the 16-bit bfloat format
(C) FP4
(D) INT4
(E) NF4",FP4 with double quantization,the 16-bit bfloat format,FP4,INT4,NF4,"[""FP4"", ""FP4 with double quantization"", ""INT4"", ""the 16-bit bfloat format""]","According to the paper 'QLoRA: Efficient Finetuning of Quantized LLMs', if the goal is to match 16-bit LoRA rather than trail it by about 1 point, the 4-bit format that should be chosen is NF4",,,Multi-Fact Integration,"['Results are shown in Table~\\ref{tbl:llama-datatype} where we see that NF4 with double quantization fully recovers the 16-bit LoRA MMLU performance.', 'In addition, we also note that \\textsc{QLoRA} with FP4 lags behind the 16-bit brain float LoRA baseline by about 1 percentage point.']","['Results are shown in Table~\\ref{tbl:llama-datatype} where we see that NF4 with double quantization fully recovers the 16-bit LoRA MMLU performance.', 'In addition, we also note that \\textsc{QLoRA} with FP4 lags behind the 16-bit brain float LoRA baseline by about 1 percentage point.']","['Results are shown in Table~\\ref{tbl:llama-datatype} where we see that NF4 with double quantization fully recovers the 16-bit LoRA MMLU performance.', 'In addition, we also note that \\textsc{QLoRA} with FP4 lags behind the 16-bit brain float LoRA baseline by about 1 percentage point.']","Because NF4 fully recovers the 16-bit baseline while FP4 still trails it, NF4 is the format needed to match 16-bit LoRA.","If the goal is to match 16-bit LoRA rather than trail it by about 1 point, which 4-bit format should be chosen?",NF4
"According to the paper 'QLoRA: Efficient Finetuning of Quantized LLMs', if 4-bit quantization alone hurts model quality, the additional step that restores $16$-bit-level performance is",adapter finetuning,(A),"According to the paper 'QLoRA: Efficient Finetuning of Quantized LLMs', if 4-bit quantization alone hurts model quality, the additional step that restores $16$-bit-level performance is
(A) adapter finetuning
(B) dequantizing the model back to 16-bit before finetuning
(C) paged optimizer training
(D) switching to the NF4 quantization format
(E) double quantization",adapter finetuning,dequantizing the model back to 16-bit before finetuning,paged optimizer training,switching to the NF4 quantization format,double quantization,"[""double quantization"", ""switching to the NF4 quantization format"", ""paged optimizer training"", ""dequantizing the model back to 16-bit before finetuning""]","According to the paper 'QLoRA: Efficient Finetuning of Quantized LLMs', if 4-bit quantization alone hurts model quality, the additional step that restores $16$-bit-level performance is adapter finetuning",,,Synthesized Insight,"['recent findings have established that 4-bit quantization for \\emph{inference} is possible, but leads to performance degradation relative to 16-bit', 'This suggests that the performance lost due to the imprecise quantization can be fully recovered through adapter finetuning after quantization.']","['recent findings have established that 4-bit quantization for \\emph{inference} is possible, but leads to performance degradation relative to 16-bit', 'This suggests that the performance lost due to the imprecise quantization can be fully recovered through adapter finetuning after quantization.']","['recent findings have established that 4-bit quantization for \\emph{inference} is possible, but leads to performance degradation relative to 16-bit', 'This suggests that the performance lost due to the imprecise quantization can be fully recovered through adapter finetuning after quantization.']","The paper contrasts degraded 4-bit inference with recovered performance after finetuning, so the extra step that restores quality is adapter finetuning.","If 4-bit quantization alone hurts model quality, what additional step restores 16-bit-level performance according to the paper?",adapter finetuning
"In the paper 'QLoRA: Efficient Finetuning of Quantized LLMs', during a long-sequence memory spike, what is moved off the GPU so training can continue without an out-of-memory error is the following:",optimizer states,(B),"In the paper 'QLoRA: Efficient Finetuning of Quantized LLMs', during a long-sequence memory spike, what is moved off the GPU so training can continue without an out-of-memory error is the following:
(A) parameter gradients
(B) optimizer states
(C) activation tensors
(D) LoRA adapter weights
(E) 4-bit quantized model weights",parameter gradients,optimizer states,activation tensors,LoRA adapter weights,4-bit quantized model weights,"[""parameter gradients"", ""activation tensors"", ""4-bit quantized model weights"", ""LoRA adapter weights""]","In the paper 'QLoRA: Efficient Finetuning of Quantized LLMs', during a long-sequence memory spike, what is moved off the GPU so training can continue without an out-of-memory error is the following: optimizer states",,,Multi-Fact Integration,"['""Paged Optimizers use the NVIDIA unified memory feature wich does automatic page-to-page transfers between the CPU and GPU for error-free GPU processing in the scenario where the GPU occasionally runs out-of-memory.""', '""We use this feature to allocate paged memory for the optimizer states which are then automatically evicted to CPU RAM when the GPU runs out-of-memory""']","['""Paged Optimizers use the NVIDIA unified memory feature wich does automatic page-to-page transfers between the CPU and GPU for error-free GPU processing in the scenario where the GPU occasionally runs out-of-memory.""', '""We use this feature to allocate paged memory for the optimizer states which are then automatically evicted to CPU RAM when the GPU runs out-of-memory""']","['""Paged Optimizers use the NVIDIA unified memory feature wich does automatic page-to-page transfers between the CPU and GPU for error-free GPU processing in the scenario where the GPU occasionally runs out-of-memory.""', '""We use this feature to allocate paged memory for the optimizer states which are then automatically evicted to CPU RAM when the GPU runs out-of-memory""']","The unified-memory paging is specifically applied to optimizer states, so those states are what move to CPU RAM during memory spikes.","During a long-sequence memory spike, what is moved off the GPU so training can continue without an out-of-memory error?",optimizer states
"According to the paper 'QLoRA: Efficient Finetuning of Quantized LLMs', if you want to match full finetuning performance without materially increasing training memory, the LoRA adapters should be placed in",all linear layers,(C),"According to the paper 'QLoRA: Efficient Finetuning of Quantized LLMs', if you want to match full finetuning performance without materially increasing training memory, the LoRA adapters should be placed in
(A) the attention projection layers only
(B) the feed-forward MLP layers only
(C) all linear layers
(D) the token embedding and final output layers
(E) the query and value matrices in each transformer block",the attention projection layers only,the feed-forward MLP layers only,all linear layers,the token embedding and final output layers,the query and value matrices in each transformer block,"[""the attention projection layers only"", ""the query and value matrices in each transformer block"", ""the feed-forward MLP layers only"", ""the token embedding and final output layers""]","According to the paper 'QLoRA: Efficient Finetuning of Quantized LLMs', if you want to match full finetuning performance without materially increasing training memory, the LoRA adapters should be placed in all linear layers",,,Multi-Fact Integration,"['""aggressively reducing the amount of LoRA parameter yields only minor memory benefits. This means we can use more adapters without significantly increasing the overall training memory footprint""', '""LoRA on all linear transformer block layers are required to match full finetuning performance.""']","['""aggressively reducing the amount of LoRA parameter yields only minor memory benefits. This means we can use more adapters without significantly increasing the overall training memory footprint""', '""LoRA on all linear transformer block layers are required to match full finetuning performance.""']","['""aggressively reducing the amount of LoRA parameter yields only minor memory benefits. This means we can use more adapters without significantly increasing the overall training memory footprint""', '""LoRA on all linear transformer block layers are required to match full finetuning performance.""']","If using more adapters barely changes memory and matching full finetuning requires LoRA on all linear layers, then the preferred placement is all linear layers.","If you want to match full finetuning performance without materially increasing training memory, where should the LoRA adapters be placed?",all linear layers
