target,probe,fact,inference_type,text_sentences,question,answer
 stabilize training,"In the paper 'QLoRA: Efficient Finetuning of Quantized LLMs', the authors halved the learning rate and doubled the batch size for larger models to","In the paper 'QLoRA: Efficient Finetuning of Quantized LLMs', the authors halved the learning rate and doubled the batch size for larger models to stabilize training",Conceptual Synthesis - Causal Mechanism,"['We do small hyperparameter searches for the 13B and 33B LLaMA models and we find that all hyperparameter settings found at 7B generalize (including number of epochs) except learning rate and batch size.', 'We halve the learning rate for 33B and 65B while doubling the batch size.']",Why did the authors halve the learning rate and double batch size for larger models?,stabilize training
 to control ordering effects,"In the paper 'QLoRA: Efficient Finetuning of Quantized LLMs', the purpose of repeating the Elo computation with many random seeds is","In the paper 'QLoRA: Efficient Finetuning of Quantized LLMs', the purpose of repeating the Elo computation with many random seeds is to control ordering effects",Causal Mechanism - Experimental Design,"['Similar to \\citet{vicuna2023}, we repeat this procedure 10,000 times with different random seeds to control for ordering effects, e.g., the effect of which model pairs compete with each other first.']",What is the purpose of repeating the Elo computation with many random seeds?,control ordering effects
 LoRA adapters,"In the paper 'QLoRA: Efficient Finetuning of Quantized LLMs', the authors attribute the recovery of performance after quantization primarily to the","In the paper 'QLoRA: Efficient Finetuning of Quantized LLMs', the authors attribute the recovery of performance after quantization primarily to the LoRA adapters",Causal Mechanism: Source of Effect,"['finetuning after quantization seems to recover most of the information that is lost during quantization', 'In our work, we show that LoRA adapters are able to reach full 16-bit finetuning performance.']",Which component do the authors attribute as primarily responsible for recovering performance after quantization?,LoRA adapters
 large rating change,"According to the paper 'QLoRA: Efficient Finetuning of Quantized LLMs', Elo updates adjust players' ratings proportionally to the surprise of the result; an unexpected upset causes a","According to the paper 'QLoRA: Efficient Finetuning of Quantized LLMs', Elo updates adjust players' ratings proportionally to the surprise of the result; an unexpected upset causes a large rating change",Mathematical Understanding: Mechanism in Metric,"['The Elo rating changes after each match proportionally to the expected outcome, that is, an unexpected upset leads to a large change in Elo rating while an expected outcome leads to a small change.']","In Elo updates, what is the effect of an unexpected upset on a player's rating change?",large rating change
 smaller memory footprint,"According to the paper 'QLoRA: Efficient Finetuning of Quantized LLMs', if $3$-bit base quantization plus LoRA worked as hypothesized, the most likely resource outcome would be a","According to the paper 'QLoRA: Efficient Finetuning of Quantized LLMs', if $3$-bit base quantization plus LoRA worked as hypothesized, the most likely resource outcome would be a smaller memory footprint",Counterfactual - Predicting Hypotheticals,"['Since finetuning after quantization seems to recover most of the information that is lost during quantization this might enable much more aggressive quantization.', 'For example, 3-bit GPTQ quantization of the basemodel with LoRA might also yield 16-bit full finetuning performance after finetuning.']","If 3-bit base quantization plus LoRA worked as hypothesized, which resource outcome is most likely?",smaller memory footprint
 a consistent absolute scale,"According to the paper 'QLoRA: Efficient Finetuning of Quantized LLMs', Elo ranking is preferable when one implicitly assumes that the $10$-point rating scale is","According to the paper 'QLoRA: Efficient Finetuning of Quantized LLMs', Elo ranking is preferable when one implicitly assumes that the $10$-point rating scale is a consistent absolute scale",Implicit Assumptions - Evaluation,"['We find a significant ordering effect with GPT-4 increasing the score of the response occurring earlier in the prompt.', 'We hypothesize that this uncertainty comes from the lack of clear specification of scale, e.g., it is unclear what 8 on a 10 point scale means across different scenarios. As such, we instead recommend using the Elo ranking method.']",What implicit assumption about the 10-point rating scale makes Elo ranking preferable?,consistent absolute scale
 distribution match,"According to the paper 'QLoRA: Efficient Finetuning of Quantized LLMs', the implicit data-related condition that explains why finetuned models excel on some benchmarks but not others is","According to the paper 'QLoRA: Efficient Finetuning of Quantized LLMs', the implicit data-related condition that explains why finetuned models excel on some benchmarks but not others is distribution match",Implicit Assumptions - Data and Evaluation,"['From the evidence presented, it appears that the performance of these benchmarks likely depends how similar the finetuning data is to the benchmark dataset.', 'For example, FLAN v2 is similar to MMLU, but dissimilar to chatbot benchmarks and vice versa for the Chip2 dataset and both models score accordingly on the MMLU and Vicuna benchmarks.']",What implicit data-related condition explains why finetuned models excel on some benchmarks but not others?,distribution match
 incomplete assessment,"According to the paper 'QLoRA: Efficient Finetuning of Quantized LLMs', the authors implicitly raise a caution about their bias evaluation, namely that it is an","According to the paper 'QLoRA: Efficient Finetuning of Quantized LLMs', the authors implicitly raise a caution about their bias evaluation, namely that it is an incomplete assessment",Implicit Assumptions - Responsible AI,"['While we provide a detailed evaluation for general chatbot performance, another limitation is that we only do a limited responsible AI evaluation of {Guanaco}.', 'While these results are encouraging, it is unclear if {Guanaco} does also well when assessed on other types of biases. We leave further evaluation of analyzing biases in {Guanaco} and similar chatbots to future work.']",What caution do the authors implicitly raise about their bias evaluation?,incomplete assessment
 equalizing access,"In the paper 'QLoRA: Efficient Finetuning of Quantized LLMs', the authors attribute to QLoRA the socio-technical role of","In the paper 'QLoRA: Efficient Finetuning of Quantized LLMs', the authors attribute to QLoRA the socio-technical role of equalizing access",Analogous Understanding - Socio-technical Implication,"['We believe that our method will make finetuning widespread and common in particular for the researchers that have the least resources, a big win for the accessibility of state of the art NLP technology.', 'QLoRA can be seen as an equalizing factor that helps to close the resource gap between large corporations and small teams with consumer GPUs.']",What socio-technical role do the authors attribute to QLoRA?,equalizing access
 memory spikes,"In the paper 'QLoRA: Efficient Finetuning of Quantized LLMs', double quantization and paged optimizers are introduced to reduce quantization-constant storage and to manage optimizer state transfers between devices; they primarily address","In the paper 'QLoRA: Efficient Finetuning of Quantized LLMs', double quantization and paged optimizers are introduced to reduce quantization-constant storage and to manage optimizer state transfers between devices; they primarily address memory spikes",Causal Mechanism - Ablation Interpretation,['we use NF4 \\textsc{QLoRA} with double quantization and paged optimizers to prevent memory spikes during gradient checkpointing.'],What primary problem do double quantization and paged optimizers address during QLoRA finetuning?,memory spikes
