v13_row_0based,v13_row_1based,decision,issue_type,filter_reason,review_reason,probe,target,fact,raw_knowledge_statement,section
5,6,keep_rejected,too_generic_target|weak_distractor_space,"Unsuitable under criterion 3 because the target ""remarkable improvements"" is a generic, low-concept phrase rather than a distinctive concept or term, making it hard to build five meaningful discriminative options.",Target remains too generic or low-information for restoration.,"According to the paper ""Group Sequence Policy Optimization"", the authors state that the merits of GSPO have contributed to",remarkable improvements,"According to the paper ""Group Sequence Policy Optimization"", the authors state that the merits of GSPO have contributed to remarkable improvements",These merits of GSPO have contributed to the remarkable improvements in the latest Qwen3 models.,Title/Abstract
11,12,keep_rejected,tautological_stem|weak_distractor_space,It fails criterion 1 because the target is essentially a tautological restatement of the probe itself: asking what 'issues' the algorithms exhibit and answering 'severe stability issues' adds little beyond repeating the question.,Visible stem makes the completion too easy or too weakly distractible.,"According to the paper ""Group Sequence Policy Optimization"", the issues current state-of-the-art RL algorithms exemplified by GRPO exhibit when training gigantic language models are",severe stability issues,"According to the paper ""Group Sequence Policy Optimization"", the issues current state-of-the-art RL algorithms exemplified by GRPO exhibit when training gigantic language models are severe stability issues","However, current state-of-the-art RL algorithms, exemplified by GRPO \citep{grpo}, exhibit severe stability issues when training gigantic language models, often resulting in catastrophic and irreversible model collapse \citep{qwen3, minimax-m1}.",Introduction
20,21,keep_rejected,too_generic_target|weak_distractor_space,"It fails criterion 3 because the target, ""a query,"" is a trivially short generic phrase with little conceptual depth, making it hard to create five meaningful and discriminative options.",Target remains too generic or low-information for restoration.,"In the paper ""Group Sequence Policy Optimization"", GSPO computes the normalized rewards as the advantages of multiple responses to",a query.,"In the paper ""Group Sequence Policy Optimization"", GSPO computes the normalized rewards as the advantages of multiple responses to a query.","Additionally, GSPO computes the normalized rewards as the advantages of multiple responses to a query, ensuring the alignment between sequence-level rewarding and optimization.",Introduction
21,22,keep_rejected,tautological_stem|weak_distractor_space,It fails criterion 1 because the probe effectively paraphrases the answer—asking for the 'training-related robustness aspect' makes 'training stability' an almost tautological completion rather than a discriminative MCQ target.,Visible stem makes the completion too easy or too weakly distractible.,"According to the paper ""Group Sequence Policy Optimization"", in the empirical evaluation comparing GSPO with GRPO, the training-related robustness aspect in which the authors said GSPO was significantly superior was",training stability.,"According to the paper ""Group Sequence Policy Optimization"", in the empirical evaluation comparing GSPO with GRPO, the training-related robustness aspect in which the authors said GSPO was significantly superior was training stability.","Our empirical evaluation demonstrates the significant superiority of GSPO over GRPO in training stability, efficiency, and performance.",Introduction
23,24,keep_rejected,too_generic_target|weak_distractor_space,"It fails criterion 3 because the target is a trivially short, generic word completing the common phrase 'overall performance,' making it too obvious and not rich enough for 5 meaningful distractors.",Target remains too generic or low-information for restoration.,"According to the paper ""Group Sequence Policy Optimization"", the empirical evaluation demonstrates that GSPO is significantly superior to GRPO in training stability, efficiency, and overall",performance.,"According to the paper ""Group Sequence Policy Optimization"", the empirical evaluation demonstrates that GSPO is significantly superior to GRPO in training stability, efficiency, and overall performance.","Our empirical evaluation demonstrates the significant superiority of GSPO over GRPO in training stability, efficiency, and performance.",Introduction
27,28,keep_rejected,too_generic_target|weak_distractor_space,"It fails criterion 3 because the target is a single generic adjective ('exceptional'), making the completion trivially shallow and not conceptually rich enough to support five meaningful MCQA options.",Target remains too generic or low-information for restoration.,"According to the paper ""Group Sequence Policy Optimization"", the performance improvements in the latest Qwen3 models are described as",exceptional,"According to the paper ""Group Sequence Policy Optimization"", the performance improvements in the latest Qwen3 models are described as exceptional",These merits of GSPO ultimately contributed to the exceptional performance improvements in the latest Qwen3 models.,Introduction
29,30,restore,formula_or_symbol_memorization|filter_overstrict,"It fails criterion 1 (tautological/circular) because the probe already specifies that the likelihood is written using the token-level autoregressive factorization over the tokens in y, so the target is just that factorization spelled out.",Autoregressive likelihood factorization is a source-backed formula with meaningful formula distractors.,"According to the paper ""Group Sequence Policy Optimization"", the likelihood of a response $y$ to a query $x$ under the policy $\pi_\theta$ is denoted, using the token-level autoregressive factorization over the tokens in $y$, by","$\pi_\theta (y | x)=\prod_{t=1}^{|y|} \pi_\theta (y_t | x, y_{<t} )$","According to the paper ""Group Sequence Policy Optimization"", the likelihood of a response $y$ to a query $x$ under the policy $\pi_\theta$ is denoted, using the token-level autoregressive factorization over the tokens in $y$, by $\pi_\theta (y | x)=\prod_{t=1}^{|y|} \pi_\theta (y_t | x, y_{<t} )$","Given a response $y$ to a query $x$, its likelihood under the policy $\pi_\theta$ is denoted as $\pi_\theta (y | x)=\prod_{t=1}^{|y|} \pi_\theta (y_t | x, y_{<t} )$ where $|y|$ denotes the number of tokens in $y$.",Preliminaries
41,42,keep_rejected,tautological_stem|weak_distractor_space,"Unsuitable under criterion 1 because the probe is effectively tautological: it already signals that PPO relies on a value estimator, so the target 'a reliable value model' is just a near-restatement of that cue.",Visible stem makes the completion too easy or too weakly distractible.,"According to the paper ""Group Sequence Policy Optimization"", given PPO's heavy reliance on a value estimator, the model that is inherently challenging to acquire is",a reliable value model.,"According to the paper ""Group Sequence Policy Optimization"", given PPO's heavy reliance on a value estimator, the model that is inherently challenging to acquire is a reliable value model.","While acquiring a reliable value model is inherently challenging, ensuring its scalability to longer responses and more complex tasks presents an even greater challenge.",Preliminaries
51,52,keep_rejected,too_generic_target|weak_distractor_space,"It fails criterion 3 because the target, ""gradient updates,"" is a very generic short phrase with little conceptual specificity, making it hard to create five meaningful, discriminative MCQA options.",Target remains too generic or low-information for restoration.,"According to the paper ""Group Sequence Policy Optimization"", to improve sample efficiency during RL, the standard practice of partitioning a large batch of rollout data into multiple mini-batches is used for",gradient updates.,"According to the paper ""Group Sequence Policy Optimization"", to improve sample efficiency during RL, the standard practice of partitioning a large batch of rollout data into multiple mini-batches is used for gradient updates.","To improve sample efficiency, it is standard practice to partition a large batch of rollout data into multiple mini-batches for gradient updates.",Motivation
54,55,keep_rejected,tautological_stem|weak_distractor_space,"It fails criterion 1 because the probe already frames the situation as an off-policy learning setting, making the target 'overly off-policy samples' an almost direct restatement rather than a distinct concept suitable for 5 meaningful options.",Visible stem makes the completion too easy or too weakly distractible.,"According to the paper ""Group Sequence Policy Optimization"", in the off-policy learning setting created when large batches of rollout data are partitioned into mini-batches for gradient updates, the clipping mechanism in PPO and GRPO prevents the involvement of",overly ``off-policy'' samples.,"According to the paper ""Group Sequence Policy Optimization"", in the off-policy learning setting created when large batches of rollout data are partitioned into mini-batches for gradient updates, the clipping mechanism in PPO and GRPO prevents the involvement of overly ``off-policy'' samples.","This also explains the necessity of the clipping mechanism in PPO and GRPO, which prevents overly ``off-policy'' samples from being involved in gradient estimation.",Motivation
56,57,keep_rejected,tautological_stem|weak_distractor_space,"It fails criterion 1 because the target 'off-policy discrepancy' is essentially just a paraphrase of the probe’s own description of an off-policy setting, making the completion too tautological for a meaningful 5-option MCQA.",Visible stem makes the completion too easy or too weakly distractible.,"According to the paper ""Group Sequence Policy Optimization"", in the off-policy learning setting where responses $y$ are sampled from an old policy $\pi_{\theta_\text{old}}$ rather than the current policy $\pi_\theta$ being optimized, mechanisms like clipping aim to manage",off-policy discrepancy.,"According to the paper ""Group Sequence Policy Optimization"", in the off-policy learning setting where responses $y$ are sampled from an old policy $\pi_{\theta_\text{old}}$ rather than the current policy $\pi_\theta$ being optimized, mechanisms like clipping aim to manage off-policy discrepancy.","While mechanisms like clipping aim to manage this off-policy discrepancy, we identify a more fundamental issue in GRPO: \textit{its objective is ill-posed}.",Motivation
69,70,keep_rejected,weak_distractor_space,"Unsuitable under criterion 4 because the target is a simple qualitative phrase ('often irreversible') about severity/recoverability, making it hard to create five natural, meaningful distractors rather than arbitrary wording variants.",No strong restoration rationale under the restoration rubric.,"According to the paper ""Group Sequence Policy Optimization"", the authors say that the model collapse caused by the high-variance noise in the training gradients is",often irreversible.,"According to the paper ""Group Sequence Policy Optimization"", the authors say that the model collapse caused by the high-variance noise in the training gradients is often irreversible.",We have empirically observed that this can lead to model collapse that is often irreversible.,Motivation
