row_1based,decision,issue_type,reason,old_target,new_target,old_probe,new_probe,old_fact,new_fact
1,keep,,"No v13 issue found; target is meaningful, source-backed, and locatable in the full source under allowed normalizations.", \textbf{\text{BitNet b1.58}}, \textbf{\text{BitNet b1.58}},"According to the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", the name of the 1-bit LLM variant introduced by the authors in which every single parameter of the LLM is ternary $\{-1, 0, 1\}$ is","According to the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", the name of the 1-bit LLM variant introduced by the authors in which every single parameter of the LLM is ternary $\{-1, 0, 1\}$ is","According to the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", the name of the 1-bit LLM variant introduced by the authors in which every single parameter of the LLM is ternary $\{-1, 0, 1\}$ is \textbf{\text{BitNet b1.58}}","According to the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", the name of the 1-bit LLM variant introduced by the authors in which every single parameter of the LLM is ternary $\{-1, 0, 1\}$ is \textbf{\text{BitNet b1.58}}"
2,keep,,"No v13 issue found; target is meaningful, source-backed, and locatable in the full source under allowed normalizations."," ternary \{-1, 0, 1\}."," ternary \{-1, 0, 1\}.","According to the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", in the 1-bit LLM variant BitNet b1.58, the value set used for every single parameter, or weight, of the LLM is","According to the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", in the 1-bit LLM variant BitNet b1.58, the value set used for every single parameter, or weight, of the LLM is","According to the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", in the 1-bit LLM variant BitNet b1.58, the value set used for every single parameter, or weight, of the LLM is ternary \{-1, 0, 1\}.","According to the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", in the 1-bit LLM variant BitNet b1.58, the value set used for every single parameter, or weight, of the LLM is ternary \{-1, 0, 1\}."
3,repair,source_framing_issue,Probe lacked required paper-title source framing; prepended the correct title without changing the fact.," full-precision (i.e., FP16 or BF16) Transformer LLM."," full-precision (i.e., FP16 or BF16) Transformer LLM.","In terms of perplexity and end-task performance, BitNet b1.58 matches a","According to the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", in terms of perplexity and end-task performance, BitNet b1.58 matches a","In terms of perplexity and end-task performance, BitNet b1.58 matches a full-precision (i.e., FP16 or BF16) Transformer LLM.","According to the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", in terms of perplexity and end-task performance, BitNet b1.58 matches a full-precision (i.e., FP16 or BF16) Transformer LLM."
4,keep,,"No v13 issue found; target is meaningful, source-backed, and locatable in the full source under allowed normalizations.", training tokens, training tokens,"According to the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", BitNet b1.58 matches the full-precision Transformer LLM in terms of perplexity and end-task performance when they have the same model size and","According to the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", BitNet b1.58 matches the full-precision Transformer LLM in terms of perplexity and end-task performance when they have the same model size and","According to the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", BitNet b1.58 matches the full-precision Transformer LLM in terms of perplexity and end-task performance when they have the same model size and training tokens","According to the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", BitNet b1.58 matches the full-precision Transformer LLM in terms of perplexity and end-task performance when they have the same model size and training tokens"
5,keep,,"No v13 issue found; target is meaningful, source-backed, and locatable in the full source under allowed normalizations."," latency, memory, throughput, and energy consumption."," latency, memory, throughput, and energy consumption.","According to the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", BitNet b1.58 is significantly more cost-effective than the full-precision Transformer LLM with the same model size and training tokens in terms of","According to the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", BitNet b1.58 is significantly more cost-effective than the full-precision Transformer LLM with the same model size and training tokens in terms of","According to the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", BitNet b1.58 is significantly more cost-effective than the full-precision Transformer LLM with the same model size and training tokens in terms of latency, memory, throughput, and energy consumption.","According to the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", BitNet b1.58 is significantly more cost-effective than the full-precision Transformer LLM with the same model size and training tokens in terms of latency, memory, throughput, and energy consumption."
6,repair,source_framing_issue,"Probe said only ""the paper"" without the required title; added the correct paper title.", Large Language Models (LLMs)., Large Language Models (LLMs).,"According to the paper, in recent years, the field of AI has seen rapid growth in the size and capabilities of","According to the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", in recent years, the field of AI has seen rapid growth in the size and capabilities of","According to the paper, in recent years, the field of AI has seen rapid growth in the size and capabilities of Large Language Models (LLMs).","According to the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", in recent years, the field of AI has seen rapid growth in the size and capabilities of Large Language Models (LLMs)."
7,keep,,"No v13 issue found; target is meaningful, source-backed, and locatable in the full source under allowed normalizations.", capabilities., capabilities.,"According to the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", in recent years, the aspect of Large Language Models (LLMs) that has seen rapid growth along with their size is","According to the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", in recent years, the aspect of Large Language Models (LLMs) that has seen rapid growth along with their size is","According to the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", in recent years, the aspect of Large Language Models (LLMs) that has seen rapid growth along with their size is capabilities.","According to the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", in recent years, the aspect of Large Language Models (LLMs) that has seen rapid growth along with their size is capabilities."
8,keep,,"No v13 issue found; target is meaningful, source-backed, and locatable in the full source under allowed normalizations.", natural language processing tasks., natural language processing tasks.,"According to the authors of ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits,"" large language models have demonstrated remarkable performance on","According to the authors of ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits,"" large language models have demonstrated remarkable performance on","According to the authors of ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits,"" large language models have demonstrated remarkable performance on natural language processing tasks.","According to the authors of ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits,"" large language models have demonstrated remarkable performance on natural language processing tasks."
9,keep,,"No v13 issue found; target is meaningful, source-backed, and locatable in the full source under allowed normalizations.", deployment., deployment.,"According to the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", the increasing size of large language models has posed challenges for","According to the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", the increasing size of large language models has posed challenges for","According to the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", the increasing size of large language models has posed challenges for deployment.","According to the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", the increasing size of large language models has posed challenges for deployment."
10,keep,,"No v13 issue found; target is meaningful, source-backed, and locatable in the full source under allowed normalizations.", high energy consumption., high energy consumption.,"According to the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", the factor identified as causing concerns about the environmental and economic impact of the increasing size of large language models is","According to the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", the factor identified as causing concerns about the environmental and economic impact of the increasing size of large language models is","According to the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", the factor identified as causing concerns about the environmental and economic impact of the increasing size of large language models is high energy consumption.","According to the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", the factor identified as causing concerns about the environmental and economic impact of the increasing size of large language models is high energy consumption."
