original_row_index,target,probe,fact,inference_type,source_fact(s),derivation,question,answer,source_facts,text_sentences,review_id,document,v13_row_index,v13_path,v13_mcqa_path
9, AT concentrate,"According to the case report 'Autoimmune heparin-induced thrombocytopenia following cardiac surgery', because fondaparinux is AT-dependent and the patient's AT level was mildly reduced, the adjunctive treatment that logically came first was","According to the case report 'Autoimmune heparin-induced thrombocytopenia following cardiac surgery', because fondaparinux is AT-dependent and the patient's AT level was mildly reduced, the adjunctive treatment that logically came first was AT concentrate",Reasoning Step,"['Given that fondaparinux is an indirect antithrombin (AT)-dependent factor Xa inhibitor, supplemental AT concentrate (1000 U) was given prior to starting fondaparinux; the pre-infusion AT level was mildly reduced at 0.70\u2009U/mL (RR 0.80–1.40\u2009U/mL).']","Because the chosen anticoagulant depends on antithrombin and the measured AT level was low, the report describes correcting AT first.","Because fondaparinux is AT-dependent and the patient's AT level was mildly reduced, what adjunctive treatment logically came first?",AT concentrate,"['Given that fondaparinux is an indirect antithrombin (AT)-dependent factor Xa inhibitor, supplemental AT concentrate (1000 U) was given prior to starting fondaparinux; the pre-infusion AT level was mildly reduced at 0.70\u2009U/mL (RR 0.80–1.40\u2009U/mL).']","['Given that fondaparinux is an indirect antithrombin (AT)-dependent factor Xa inhibitor, supplemental AT concentrate (1000 U) was given prior to starting fondaparinux; the pre-infusion AT level was mildly reduced at 0.70\u2009U/mL (RR 0.80–1.40\u2009U/mL).']",medical/Autoimmune_heparininduced_thrombocytopenia_following_cardiac/5,Autoimmune_heparininduced_thrombocytopenia_following_cardiac,5,probes/medical/Autoimmune_heparininduced_thrombocytopenia_following_cardiac/inference/probes_v13.csv,probes/medical/Autoimmune_heparininduced_thrombocytopenia_following_cardiac/inference/probes_v13_mcqa.csv
13, Valsalva-precipitated headache,"According to the case report 'Central hypoventilation and choking episodes revealing Chiari malformation type I', the classic feature absent in this patient was","According to the case report 'Central hypoventilation and choking episodes revealing Chiari malformation type I', the classic feature absent in this patient was Valsalva-precipitated headache",Reasoning Step,"['The cardinal symptom is paroxysmal occipital headache precipitated by Valsalva manoeuvres, present in over 80% of cases.', 'The headaches were not exacerbated by coughing, straining or other Valsalva manoeuvres.']",Comparing the usual Chiari headache pattern with her history shows that the classic Valsalva trigger was absent.,"Compared with the typical Chiari headache pattern described in the report, what classic feature was absent in this patient?",Valsalva-precipitated headache,"['The cardinal symptom is paroxysmal occipital headache precipitated by Valsalva manoeuvres, present in over 80% of cases.', 'The headaches were not exacerbated by coughing, straining or other Valsalva manoeuvres.']","['The cardinal symptom is paroxysmal occipital headache precipitated by Valsalva manoeuvres, present in over 80% of cases.', 'The headaches were not exacerbated by coughing, straining or other Valsalva manoeuvres.']",medical/Central_hypoventilation_and_choking_episodes_revealing_Chiar/3,Central_hypoventilation_and_choking_episodes_revealing_Chiar,3,probes/medical/Central_hypoventilation_and_choking_episodes_revealing_Chiar/inference/probes_v13.csv,probes/medical/Central_hypoventilation_and_choking_episodes_revealing_Chiar/inference/probes_v13_mcqa.csv
15, acquired central hypoventilation,"According to the case report 'Central hypoventilation and choking episodes revealing Chiari malformation type I', the syndrome pattern suggested by preserved voluntary breathing but impaired automatic control during sleep or distraction is","According to the case report 'Central hypoventilation and choking episodes revealing Chiari malformation type I', the syndrome pattern suggested by preserved voluntary breathing but impaired automatic control during sleep or distraction is acquired central hypoventilation",Multi-Fact Integration,"['Central alveolar hypoventilation syndrome (acquired Ondine’s curse) was strongly suggested by preserved voluntary breathing with impaired automatic control during distraction or sleep.', 'Our patient preserved voluntary ventilation yet lost automatic respiratory drive, a phenotype reminiscent of congenital central hypoventilation syndrome, although via a different pathophysiological mechanism.']",The report explicitly links intact voluntary breathing but failed automatic breathing to an acquired central hypoventilation pattern.,What syndrome pattern is suggested by preserved voluntary breathing but impaired automatic control during sleep or distraction?,acquired central hypoventilation,"['Central alveolar hypoventilation syndrome (acquired Ondine’s curse) was strongly suggested by preserved voluntary breathing with impaired automatic control during distraction or sleep.', 'Our patient preserved voluntary ventilation yet lost automatic respiratory drive, a phenotype reminiscent of congenital central hypoventilation syndrome, although via a different pathophysiological mechanism.']","['Central alveolar hypoventilation syndrome (acquired Ondine’s curse) was strongly suggested by preserved voluntary breathing with impaired automatic control during distraction or sleep.', 'Our patient preserved voluntary ventilation yet lost automatic respiratory drive, a phenotype reminiscent of congenital central hypoventilation syndrome, although via a different pathophysiological mechanism.']",medical/Central_hypoventilation_and_choking_episodes_revealing_Chiar/4,Central_hypoventilation_and_choking_episodes_revealing_Chiar,4,probes/medical/Central_hypoventilation_and_choking_episodes_revealing_Chiar/inference/probes_v13.csv,probes/medical/Central_hypoventilation_and_choking_episodes_revealing_Chiar/inference/probes_v13_mcqa.csv
11, creatine kinase level,"According to the case report 'Dermatomyositis masquerading as angioedema: a crucial differential not to overlook', the investigation that helped shift the case from suspected angioedema toward dermatomyositis was the","According to the case report 'Dermatomyositis masquerading as angioedema: a crucial differential not to overlook', the investigation that helped shift the case from suspected angioedema toward dermatomyositis was the creatine kinase level",Reasoning Step,"['A creatine kinase level was promptly requested due to the atypical nature of neck oedema that was inconsistent with angioedema, along with the presence of skin and nail changes.', 'A creatine kinase level was requested and was found on the next day to be significantly elevated at 16\u2009184\u2009U/L.', 'The patient was given a provisional diagnosis of dermatomyositis']","Because the edema looked atypical for angioedema and cutaneous clues were present, CK testing served as the key investigation that redirected the diagnosis toward dermatomyositis.",Which investigation helped shift the case from suspected angioedema toward dermatomyositis?,creatine kinase level,"['A creatine kinase level was promptly requested due to the atypical nature of neck oedema that was inconsistent with angioedema, along with the presence of skin and nail changes.', 'A creatine kinase level was requested and was found on the next day to be significantly elevated at 16\u2009184\u2009U/L.', 'The patient was given a provisional diagnosis of dermatomyositis']","['A creatine kinase level was promptly requested due to the atypical nature of neck oedema that was inconsistent with angioedema, along with the presence of skin and nail changes.', 'A creatine kinase level was requested and was found on the next day to be significantly elevated at 16\u2009184\u2009U/L.', 'The patient was given a provisional diagnosis of dermatomyositis']",medical/Dermatomyositis_masquerading_as_angioedema_a_crucial_differe/4,Dermatomyositis_masquerading_as_angioedema_a_crucial_differe,4,probes/medical/Dermatomyositis_masquerading_as_angioedema_a_crucial_differe/inference/probes_v13.csv,probes/medical/Dermatomyositis_masquerading_as_angioedema_a_crucial_differe/inference/probes_v13_mcqa.csv
0, partial renal recovery,"According to the case report 'From dog bite to dialysis: complement-mediated haemolytic uraemic syndrome', since she went from complete anuria to adequate urine output but still had reduced kidney function, the overall renal outcome was","According to the case report 'From dog bite to dialysis: complement-mediated haemolytic uraemic syndrome', since she went from complete anuria to adequate urine output but still had reduced kidney function, the overall renal outcome was partial renal recovery",Multi-Fact Integration,"['After transfer to the ICU, she became completely anuric with rapidly worsening renal function.', 'Following the complex medical management, the patient is in good general condition with adequate urine output. Kidney function remains reduced (serum creatine 175\u2009µmol/L)', 'haematological remission was achieved, and her kidney function partially recovered.']",Going from complete anuria to adequate urine output but still reduced kidney function fits the report’s overall outcome of incomplete yet real renal improvement.,"Since she went from complete anuria to adequate urine output but still had reduced kidney function, what overall renal outcome followed?",partial renal recovery,"['After transfer to the ICU, she became completely anuric with rapidly worsening renal function.', 'Following the complex medical management, the patient is in good general condition with adequate urine output. Kidney function remains reduced (serum creatine 175\u2009µmol/L)', 'haematological remission was achieved, and her kidney function partially recovered.']","['After transfer to the ICU, she became completely anuric with rapidly worsening renal function.', 'Following the complex medical management, the patient is in good general condition with adequate urine output. Kidney function remains reduced (serum creatine 175\u2009µmol/L)', 'haematological remission was achieved, and her kidney function partially recovered.']",medical/From_dog_bite_to_dialysis_complementmediated_haemolytic_urae/0,From_dog_bite_to_dialysis_complementmediated_haemolytic_urae,0,probes/medical/From_dog_bite_to_dialysis_complementmediated_haemolytic_urae/inference/probes_v13.csv,probes/medical/From_dog_bite_to_dialysis_complementmediated_haemolytic_urae/inference/probes_v13_mcqa.csv
3, idiopathic IMNM,"According to the case report 'Immune-mediated necrotising myopathy following semaglutide treatment: a contributing factor?', because she improved after semaglutide withdrawal with only a short steroid course and no further IVIG, the alternative form of IMNM that became less likely was","According to the case report 'Immune-mediated necrotising myopathy following semaglutide treatment: a contributing factor?', because she improved after semaglutide withdrawal with only a short steroid course and no further IVIG, the alternative form of IMNM that became less likely was idiopathic IMNM",Reasoning Step,"['This clinical course aligns more closely with drug-induced IMNM, which can improve with brief immunosuppression after withdrawal of the offending agent, rather than idiopathic IMNM, which often requires prolonged and intensive immunosuppressive therapy.', 'Due to this, she was able to be successfully weaned off her prednisone rapidly over the course of 2 months.', 'she did not receive any additional IVIG beyond the initial course during her hospitalisation.']",Rapid steroid weaning and no need for further IVIG fit the report’s description of drug-induced IMNM and make idiopathic IMNM less likely.,"Because she improved after semaglutide withdrawal with only a short steroid course and no further IVIG, which alternative form of IMNM became less likely?",idiopathic IMNM,"['This clinical course aligns more closely with drug-induced IMNM, which can improve with brief immunosuppression after withdrawal of the offending agent, rather than idiopathic IMNM, which often requires prolonged and intensive immunosuppressive therapy.', 'Due to this, she was able to be successfully weaned off her prednisone rapidly over the course of 2 months.', 'she did not receive any additional IVIG beyond the initial course during her hospitalisation.']","['This clinical course aligns more closely with drug-induced IMNM, which can improve with brief immunosuppression after withdrawal of the offending agent, rather than idiopathic IMNM, which often requires prolonged and intensive immunosuppressive therapy.', 'Due to this, she was able to be successfully weaned off her prednisone rapidly over the course of 2 months.', 'she did not receive any additional IVIG beyond the initial course during her hospitalisation.']",medical/Immunemediated_necrotising_myopathy_following_semaglutide_tr/1,Immunemediated_necrotising_myopathy_following_semaglutide_tr,1,probes/medical/Immunemediated_necrotising_myopathy_following_semaglutide_tr/inference/probes_v13.csv,probes/medical/Immunemediated_necrotising_myopathy_following_semaglutide_tr/inference/probes_v13_mcqa.csv
5, telomere length measurement,"According to the case report 'Monoallelic PARN mutation presenting as pancytopenia, hepatic fibrosis and idiopathic pulmonary fibrosis', in the discussion of suspected TBD, the additional gold-standard diagnostic component mentioned but not reported as performed in this case was","According to the case report 'Monoallelic PARN mutation presenting as pancytopenia, hepatic fibrosis and idiopathic pulmonary fibrosis', in the discussion of suspected TBD, the additional gold-standard diagnostic component mentioned but not reported as performed in this case was telomere length measurement",Reasoning Step,"['The gold standard for diagnosing suspected TBD includes genetic testing through next-generation sequencing and flow cytometry-based fluorescence in situ hybridisation assays to measure telomere length.', 'Clinical exome sequencing identified a monoallelic missense variant in the PARN gene (c.613T>C; p.Cys205Arg, exon 8).']","Since the report names both genetic testing and telomere length testing as gold-standard components, performing exome sequencing alone means one gold-standard element was not described.",Which additional gold-standard diagnostic component for suspected TBD was mentioned in the discussion but not reported as performed in this case?,telomere length measurement,"['The gold standard for diagnosing suspected TBD includes genetic testing through next-generation sequencing and flow cytometry-based fluorescence in situ hybridisation assays to measure telomere length.', 'Clinical exome sequencing identified a monoallelic missense variant in the PARN gene (c.613T>C; p.Cys205Arg, exon 8).']","['The gold standard for diagnosing suspected TBD includes genetic testing through next-generation sequencing and flow cytometry-based fluorescence in situ hybridisation assays to measure telomere length.', 'Clinical exome sequencing identified a monoallelic missense variant in the PARN gene (c.613T>C; p.Cys205Arg, exon 8).']",medical/Monoallelic_PARN_mutation_presenting_as_pancytopenia_hepatic/2,Monoallelic_PARN_mutation_presenting_as_pancytopenia_hepatic,2,probes/medical/Monoallelic_PARN_mutation_presenting_as_pancytopenia_hepatic/inference/probes_v13.csv,probes/medical/Monoallelic_PARN_mutation_presenting_as_pancytopenia_hepatic/inference/probes_v13_mcqa.csv
10, hepatic and pulmonary fibrosis,"According to the case report 'Monoallelic PARN mutation presenting as pancytopenia, hepatic fibrosis and idiopathic pulmonary fibrosis', the combined extra-haematologic pattern that helped shift suspicion from isolated deficiency toward a syndromic disorder was","According to the case report 'Monoallelic PARN mutation presenting as pancytopenia, hepatic fibrosis and idiopathic pulmonary fibrosis', the combined extra-haematologic pattern that helped shift suspicion from isolated deficiency toward a syndromic disorder was hepatic and pulmonary fibrosis",Multi-Fact Integration,"['Transient elastography showed grade II hepatic steatosis (controlled attenuation parameter: 295\u2009dB/m) and cirrhosis (liver stiffness: 18.1\u2009kPa).', 'Diffuse ground-glass haziness with multiple fibrotic and subpleural atelectatic changes was noted in both lung fields, along with hepatosplenomegaly and ascites, but without evidence of overt malignancy or granulomatous disease (figures 1 and 2).', 'The unique constellation of premature ageing features, persistent cytopenia and fibrotic involvement of the lungs and liver in a young adult shifted clinical suspicion toward a cryptic inherited disorder.']",Combining the liver and lung imaging findings yields the extra-haematologic fibrotic pattern that pushed the team toward a syndromic diagnosis.,What combined extra-haematologic pattern helped shift suspicion from isolated deficiency toward a syndromic disorder?,hepatic and pulmonary fibrosis,"['Transient elastography showed grade II hepatic steatosis (controlled attenuation parameter: 295\u2009dB/m) and cirrhosis (liver stiffness: 18.1\u2009kPa).', 'Diffuse ground-glass haziness with multiple fibrotic and subpleural atelectatic changes was noted in both lung fields, along with hepatosplenomegaly and ascites, but without evidence of overt malignancy or granulomatous disease (figures 1 and 2).', 'The unique constellation of premature ageing features, persistent cytopenia and fibrotic involvement of the lungs and liver in a young adult shifted clinical suspicion toward a cryptic inherited disorder.']","['Transient elastography showed grade II hepatic steatosis (controlled attenuation parameter: 295\u2009dB/m) and cirrhosis (liver stiffness: 18.1\u2009kPa).', 'Diffuse ground-glass haziness with multiple fibrotic and subpleural atelectatic changes was noted in both lung fields, along with hepatosplenomegaly and ascites, but without evidence of overt malignancy or granulomatous disease (figures 1 and 2).', 'The unique constellation of premature ageing features, persistent cytopenia and fibrotic involvement of the lungs and liver in a young adult shifted clinical suspicion toward a cryptic inherited disorder.']",medical/Monoallelic_PARN_mutation_presenting_as_pancytopenia_hepatic/5,Monoallelic_PARN_mutation_presenting_as_pancytopenia_hepatic,5,probes/medical/Monoallelic_PARN_mutation_presenting_as_pancytopenia_hepatic/inference/probes_v13.csv,probes/medical/Monoallelic_PARN_mutation_presenting_as_pancytopenia_hepatic/inference/probes_v13_mcqa.csv
12, pulmonary fibrosis,"According to the case report 'Monoallelic PARN mutation presenting as pancytopenia, hepatic fibrosis and idiopathic pulmonary fibrosis', the patient’s major organ finding that most directly matched the phenotype said to be more common with monoallelic PARN variants was","According to the case report 'Monoallelic PARN mutation presenting as pancytopenia, hepatic fibrosis and idiopathic pulmonary fibrosis', the patient’s major organ finding that most directly matched the phenotype said to be more common with monoallelic PARN variants was pulmonary fibrosis",Reasoning Step,"['Among the various mutations identified in this group of disorders, PARN variants demonstrate a distinct phenotype, with biallelic variants causing autosomal recessive dyskeratosis congenita (DKCB6), while monoallelic variants more often underlie telomere-related pulmonary fibrosis and/or bone marrow failure (PFBMFT4).', 'Investigations showed pancytopenia, dimorphic anaemia, severe vitamin B12 deficiency, hepatic fibrosis and pulmonary fibrosis.']","Comparing the stated monoallelic PARN phenotype with this patient's findings, pulmonary fibrosis is the clearest direct match.","Of the patient’s major organ findings, which one most directly matches the phenotype said to be more common with monoallelic PARN variants?",pulmonary fibrosis,"['Among the various mutations identified in this group of disorders, PARN variants demonstrate a distinct phenotype, with biallelic variants causing autosomal recessive dyskeratosis congenita (DKCB6), while monoallelic variants more often underlie telomere-related pulmonary fibrosis and/or bone marrow failure (PFBMFT4).', 'Investigations showed pancytopenia, dimorphic anaemia, severe vitamin B12 deficiency, hepatic fibrosis and pulmonary fibrosis.']","['Among the various mutations identified in this group of disorders, PARN variants demonstrate a distinct phenotype, with biallelic variants causing autosomal recessive dyskeratosis congenita (DKCB6), while monoallelic variants more often underlie telomere-related pulmonary fibrosis and/or bone marrow failure (PFBMFT4).', 'Investigations showed pancytopenia, dimorphic anaemia, severe vitamin B12 deficiency, hepatic fibrosis and pulmonary fibrosis.']",medical/Monoallelic_PARN_mutation_presenting_as_pancytopenia_hepatic/6,Monoallelic_PARN_mutation_presenting_as_pancytopenia_hepatic,6,probes/medical/Monoallelic_PARN_mutation_presenting_as_pancytopenia_hepatic/inference/probes_v13.csv,probes/medical/Monoallelic_PARN_mutation_presenting_as_pancytopenia_hepatic/inference/probes_v13_mcqa.csv
16, autoimmune cytopenia,"According to the case report 'Monoallelic PARN mutation presenting as pancytopenia, hepatic fibrosis and idiopathic pulmonary fibrosis', despite the positive DAT, the low reticulocyte response, marrow findings, negative autoimmune serologies, and lack of systemic features argued against this diagnosis:","According to the case report 'Monoallelic PARN mutation presenting as pancytopenia, hepatic fibrosis and idiopathic pulmonary fibrosis', despite the positive DAT, the low reticulocyte response, marrow findings, negative autoimmune serologies, and lack of systemic features argued against this diagnosis: autoimmune cytopenia",Multi-Fact Integration,"['The direct antiglobulin test (DAT) was positive for IgG (2+), while the indirect test was negative. Despite this, the low reticulocyte response and marrow findings were more consistent with ineffective erythropoiesis rather than peripheral immune-mediated destruction.', 'Yet, the absence of haemolysis, negative autoimmune serologies and lack of systemic features argued against autoimmune cytopenia or connective tissue disease.']","A positive DAT was outweighed by the reticulocyte, marrow, and serologic findings, making immune destruction a weaker explanation.","Despite the positive DAT, what cause of her cytopenias became less likely when the reticulocyte, marrow, and autoimmune data were combined?",autoimmune cytopenia,"['The direct antiglobulin test (DAT) was positive for IgG (2+), while the indirect test was negative. Despite this, the low reticulocyte response and marrow findings were more consistent with ineffective erythropoiesis rather than peripheral immune-mediated destruction.', 'Yet, the absence of haemolysis, negative autoimmune serologies and lack of systemic features argued against autoimmune cytopenia or connective tissue disease.']","['The direct antiglobulin test (DAT) was positive for IgG (2+), while the indirect test was negative. Despite this, the low reticulocyte response and marrow findings were more consistent with ineffective erythropoiesis rather than peripheral immune-mediated destruction.', 'Yet, the absence of haemolysis, negative autoimmune serologies and lack of systemic features argued against autoimmune cytopenia or connective tissue disease.']",medical/Monoallelic_PARN_mutation_presenting_as_pancytopenia_hepatic/7,Monoallelic_PARN_mutation_presenting_as_pancytopenia_hepatic,7,probes/medical/Monoallelic_PARN_mutation_presenting_as_pancytopenia_hepatic/inference/probes_v13.csv,probes/medical/Monoallelic_PARN_mutation_presenting_as_pancytopenia_hepatic/inference/probes_v13_mcqa.csv
