document,accept,fix,reject,reviewed_rows
Autoimmune_heparininduced_thrombocytopenia_following_cardiac,1,0,0,1
Central_hypoventilation_and_choking_episodes_revealing_Chiar,2,0,0,2
Dermatomyositis_masquerading_as_angioedema_a_crucial_differe,1,0,0,1
From_dog_bite_to_dialysis_complementmediated_haemolytic_urae,1,0,0,1
Immunemediated_necrotising_myopathy_following_semaglutide_tr,1,0,0,1
Monoallelic_PARN_mutation_presenting_as_pancytopenia_hepatic,4,0,0,4
Multiphasic_anaphylaxis_in_the_emergency_and_intensive_care,1,0,0,1
Nontype_1_and_nontype_2_diabetes_in_a_young_man_due_to_novel,2,0,0,2
Pancreatopleural_fistula_in_childhood,2,0,0,2
TAVinTAVinTAV_after_treated_endocarditis_procedural_strategy,2,0,0,2
