document,before_rows,appended_rows,after_rows,path,backup_path
Autoimmune_heparininduced_thrombocytopenia_following_cardiac,8,1,9,probes/medical/Autoimmune_heparininduced_thrombocytopenia_following_cardiac/inference/probes_v13_mcqa.csv,reports/medical_mcqa_recovery_v13/canonical_backups/Autoimmune_heparininduced_thrombocytopenia_following_cardiac/inference/probes_v13_mcqa.csv
Central_hypoventilation_and_choking_episodes_revealing_Chiar,5,2,7,probes/medical/Central_hypoventilation_and_choking_episodes_revealing_Chiar/inference/probes_v13_mcqa.csv,reports/medical_mcqa_recovery_v13/canonical_backups/Central_hypoventilation_and_choking_episodes_revealing_Chiar/inference/probes_v13_mcqa.csv
Dermatomyositis_masquerading_as_angioedema_a_crucial_differe,4,1,5,probes/medical/Dermatomyositis_masquerading_as_angioedema_a_crucial_differe/inference/probes_v13_mcqa.csv,reports/medical_mcqa_recovery_v13/canonical_backups/Dermatomyositis_masquerading_as_angioedema_a_crucial_differe/inference/probes_v13_mcqa.csv
From_dog_bite_to_dialysis_complementmediated_haemolytic_urae,5,1,6,probes/medical/From_dog_bite_to_dialysis_complementmediated_haemolytic_urae/inference/probes_v13_mcqa.csv,reports/medical_mcqa_recovery_v13/canonical_backups/From_dog_bite_to_dialysis_complementmediated_haemolytic_urae/inference/probes_v13_mcqa.csv
Immunemediated_necrotising_myopathy_following_semaglutide_tr,5,1,6,probes/medical/Immunemediated_necrotising_myopathy_following_semaglutide_tr/inference/probes_v13_mcqa.csv,reports/medical_mcqa_recovery_v13/canonical_backups/Immunemediated_necrotising_myopathy_following_semaglutide_tr/inference/probes_v13_mcqa.csv
Monoallelic_PARN_mutation_presenting_as_pancytopenia_hepatic,4,4,8,probes/medical/Monoallelic_PARN_mutation_presenting_as_pancytopenia_hepatic/inference/probes_v13_mcqa.csv,reports/medical_mcqa_recovery_v13/canonical_backups/Monoallelic_PARN_mutation_presenting_as_pancytopenia_hepatic/inference/probes_v13_mcqa.csv
Multiphasic_anaphylaxis_in_the_emergency_and_intensive_care,5,1,6,probes/medical/Multiphasic_anaphylaxis_in_the_emergency_and_intensive_care/inference/probes_v13_mcqa.csv,reports/medical_mcqa_recovery_v13/canonical_backups/Multiphasic_anaphylaxis_in_the_emergency_and_intensive_care/inference/probes_v13_mcqa.csv
Nontype_1_and_nontype_2_diabetes_in_a_young_man_due_to_novel,8,2,10,probes/medical/Nontype_1_and_nontype_2_diabetes_in_a_young_man_due_to_novel/inference/probes_v13_mcqa.csv,reports/medical_mcqa_recovery_v13/canonical_backups/Nontype_1_and_nontype_2_diabetes_in_a_young_man_due_to_novel/inference/probes_v13_mcqa.csv
Pancreatopleural_fistula_in_childhood,5,2,7,probes/medical/Pancreatopleural_fistula_in_childhood/inference/probes_v13_mcqa.csv,reports/medical_mcqa_recovery_v13/canonical_backups/Pancreatopleural_fistula_in_childhood/inference/probes_v13_mcqa.csv
TAVinTAVinTAV_after_treated_endocarditis_procedural_strategy,11,2,13,probes/medical/TAVinTAVinTAV_after_treated_endocarditis_procedural_strategy/inference/probes_v13_mcqa.csv,reports/medical_mcqa_recovery_v13/canonical_backups/TAVinTAVinTAV_after_treated_endocarditis_procedural_strategy/inference/probes_v13_mcqa.csv
