v13_row_0based,v13_row_1based,decision,issue_type,filter_reason,review_reason,probe,target,fact,raw_knowledge_statement,section
0,1,keep_rejected,too_generic_target|weak_distractor_space,"It is unsuitable because the target is just a generic descriptive phrase completing the sentence from the paper rather than a distinct concept or named method, making it low-depth and hard to create five meaningful, non-arbitrary distractors (criterion 3).",Target remains too generic or low-information for restoration.,"According to the paper ""Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning"", Large Language Models (LLMs) are described as having a remarkable ability to tackle",challenging and unseen reasoning problems.,"According to the paper ""Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning"", Large Language Models (LLMs) are described as having a remarkable ability to tackle challenging and unseen reasoning problems.","Large Language Models (LLMs), with their remarkable ability to tackle challenging and unseen reasoning problems, hold immense potential for tabular learning, that is vital for many real-world applications.",Title/Abstract
5,6,keep_rejected,unsupported_or_unclear,"It fails criterion 5 because the target phrase is not self-contained and relies on the paper’s deictic wording ('this simple predictive model'), making the probe incorrectly formulated for a standalone MCQA.","Question or target is malformed, incomplete, ambiguous, or not source-faithful enough to restore.","According to the paper ""Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning"", at inference time, after the features have been discovered, the proposed `\textsf{FeatLLM}` framework uses",this simple predictive model with the discovered features.,"According to the paper ""Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning"", at inference time, after the features have been discovered, the proposed `\textsf{FeatLLM}` framework uses this simple predictive model with the discovered features.",The proposed \textsf{FeatLLM} framework only uses this simple predictive model with the discovered features at inference time.,Title/Abstract
6,7,keep_rejected,unsupported_or_unclear,"It fails criterion 5 because the target phrase is incorrectly formulated for the probe: 'this simple predictive model' has no antecedent in the question text, so the question-answer pair does not stand alone properly even though the underlying fact could be made into a good MCQA.","Question or target is malformed, incomplete, ambiguous, or not source-faithful enough to restore.","According to the paper ""Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning"", at inference time, the proposed FeatLLM framework uses",this simple predictive model with the discovered features.,"According to the paper ""Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning"", at inference time, the proposed FeatLLM framework uses this simple predictive model with the discovered features.",The proposed \textsf{FeatLLM} framework only uses this simple predictive model with the discovered features at inference time.,Title/Abstract
14,15,keep_rejected,too_generic_target|weak_distractor_space,"It is unsuitable under criterion 3 because the target, ""suitable responses,"" is a generic short phrase with little conceptual specificity, making it hard to create five meaningful and discriminative answer options.",Target remains too generic or low-information for restoration.,"According to the paper ""Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning"", Large Language Models (LLMs) have shown impressive abilities to generate, for previously unseen tasks without requiring task-specific fine-tuning,",suitable responses.,"According to the paper ""Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning"", Large Language Models (LLMs) have shown impressive abilities to generate, for previously unseen tasks without requiring task-specific fine-tuning, suitable responses.","In recent years, Large Language Models (LLMs) have shown impressive abilities for generating suitable responses for previously unseen tasks without requiring task-specific fine-tuning~\cite{creswell2022selection,imani2023mathprompter,taylor2022galactica}.",Introduction
17,18,keep_rejected,weak_distractor_space,"It fails criterion 1 because the probe effectively paraphrases the target by describing an application 'involving conversation,' making 'dialogue analysis' largely recoverable from the wording itself rather than from recalled paper-specific knowledge.",No strong restoration rationale under the restoration rubric.,"According to the paper ""Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning"", the rich prior knowledge of LLMs plays a crucial role in the automation of the application involving conversation known as",dialogue analysis.,"According to the paper ""Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning"", the rich prior knowledge of LLMs plays a crucial role in the automation of the application involving conversation known as dialogue analysis.","Trained on extensive text corpora, the rich prior knowledge of LLMs can substitute the need for expert domain knowledge in many areas~\cite{Genomes2021,singhal2023large,wilcox2003role}, playing a crucial role in the automation of diverse applications, including dialogue analysis~\cite{finch2023leveraging} and program repair~\cite{fan2023automated}.",Introduction
20,21,keep_rejected,too_generic_target|weak_distractor_space,"It is unsuitable under criterion 3 because the target is a very generic descriptive phrase ('important features and examples') rather than a distinctive concept or named method, making it difficult to create five meaningful, discriminative MCQA options.",Target remains too generic or low-information for restoration.,"According to the paper ""Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning"", by incorporating a task description and few examples into prompts, LLMs can understand the task context and attend to",important features and examples.,"According to the paper ""Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning"", by incorporating a task description and few examples into prompts, LLMs can understand the task context and attend to important features and examples.","Particularly, by incorporating a task description and few examples into prompts, LLMs can understand the context of a task and ``attend"" to important features and examples~\cite{brown2020language,zhao2023survey}.",Introduction
21,22,keep_rejected,too_generic_target|weak_distractor_space,"Unsuitable under criterion 3 because the target 'analyze data' is a very generic, low-specificity phrase, making it hard to create five meaningful, discriminative answer options.",Target remains too generic or low-information for restoration.,"According to the paper ""Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning"", the demonstrated capability of LLMs that highlights their potential to perform as an expert feature engineer is to",analyze data.,"According to the paper ""Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning"", the demonstrated capability of LLMs that highlights their potential to perform as an expert feature engineer is to analyze data.","This demonstrates the capability of LLMs to analyze data, highlighting their potential to perform as an expert feature engineer.",Introduction
31,32,restore,numeric_memorization|filter_overstrict,"Unsuitable under criterion 4 because the target is a minimal quantitative phrase ('at least one'), making it hard to create five natural, meaningful distractors rather than arbitrary numeric variants.",Minimum LLM-inference count per sample is an exact source-backed computational detail.,"According to the paper ""Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning"", for end-to-end predictions in LLM-based tabular learning, the number of LLM inferences required per sample, making the method computationally expensive, is",at least one,"According to the paper ""Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning"", for end-to-end predictions in LLM-based tabular learning, the number of LLM inferences required per sample, making the method computationally expensive, is at least one","For end-to-end predictions, at least one LLM inference per sample is required, making it computationally expensive.",Introduction
36,37,keep_rejected,tautological_stem|weak_distractor_space,"It fails criterion 1 because the target 'lengthy prompts' is essentially just a paraphrase of the probe’s own wording that the serialized text becomes long, making the completion tautological rather than a distinct concept.",Visible stem makes the completion too easy or too weakly distractible.,"According to the paper ""Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning"", most approaches are not suitable when the number of features in tabular data makes the serialized text long, resulting in",lengthy prompts.,"According to the paper ""Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning"", most approaches are not suitable when the number of features in tabular data makes the serialized text long, resulting in lengthy prompts.","In addition, most approaches are not suitable with lengthy prompts~\cite{liu2023lost} -- when the number of features in tabular data grows to the point where the serialized text length becomes long, the approach often turns infeasible or experiences a decline in performance.",Introduction
38,39,keep_rejected,too_generic_target|weak_distractor_space,"Unsuitable under criterion 4 because the target is a generic outcome statement ('turns infeasible or experiences a decline in performance') rather than a distinct concept or named method, making it hard to create five meaningful, field-specific distractors.",Target remains too generic or low-information for restoration.,"In the paper ""Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning"", as the number of features in tabular data grows and the serialized text length and prompt become long, most approaches reach a point where the method",turns infeasible or experiences a decline in performance.,"In the paper ""Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning"", as the number of features in tabular data grows and the serialized text length and prompt become long, most approaches reach a point where the method turns infeasible or experiences a decline in performance.","In addition, most approaches are not suitable with lengthy prompts~\cite{liu2023lost} -- when the number of features in tabular data grows to the point where the serialized text length becomes long, the approach often turns infeasible or experiences a decline in performance.",Introduction
