domain,probe_index,target_words,probe,target,fact,raw_knowledge_statement,contextualized_question
America_First_Legal_Foundation_v_Jamieson_Greer,14,15,"According to the opinion in ""America First Legal Foundation v. Jamieson Greer,"" after analyzing AFL’s first informational-injury theory, the court said AFL could not establish", standing based on its interest in the information that it requested from DOJ through FOIA.,"According to the opinion in ""America First Legal Foundation v. Jamieson Greer,"" after analyzing AFL’s first informational-injury theory, the court said AFL could not establish standing based on its interest in the information that it requested from DOJ through FOIA.","For these reasons, AFL cannot establish standing based on its interest in the information that it requested from DOJ through FOIA.","According to the opinion in ""America First Legal Foundation v. Jamieson Greer,"" after the court analyzed AFL’s theory that OSC’s failure to investigate prevented AFL from obtaining records it had requested from DOJ through FOIA, what did the court say AFL could not establish based on that interest in the requested information?"
America_First_Legal_Foundation_v_Jamieson_Greer,20,9,"According to the opinion in ""America First Legal Foundation v. Jamieson Greer,"" Section 1214 includes provisions for notifying", the complaining party about the progress of an investigation.,"According to the opinion in ""America First Legal Foundation v. Jamieson Greer,"" Section 1214 includes provisions for notifying the complaining party about the progress of an investigation.","Section 1214 sets forth procedures to govern corrective actions for prohibited personnel practices, including provisions for notifying the complaining party about the progress of an investigation.","According to the opinion in ""America First Legal Foundation v. Jamieson Greer,"" Section 1214 of the Civil Service Reform Act governs corrective actions for prohibited personnel practices. Under those procedures, who is to be notified about the progress of an investigation?"
America_First_Legal_Foundation_v_Jamieson_Greer,22,10,"According to the opinion in ""America First Legal Foundation v. Jamieson Greer,"" the court explained that 5 U.S.C. § 1216 requires the Office of Special Counsel to investigate an allegation of", arbitrary or capricious withholding of information prohibited under section 552,"According to the opinion in ""America First Legal Foundation v. Jamieson Greer,"" the court explained that 5 U.S.C. § 1216 requires the Office of Special Counsel to investigate an allegation of arbitrary or capricious withholding of information prohibited under section 552","As relevant here, it provides that OSC “shall … conduct an investigation of any allegation concerning arbitrary or capricious withholding of information prohibited under section 552”—in other words, withholdings prohibited by the Freedom of Information Act.","According to the opinion in ""America First Legal Foundation v. Jamieson Greer,"" what type of allegation does 5 U.S.C. § 1216 require the Office of Special Counsel to investigate when the alleged withholding is prohibited under 5 U.S.C. § 552, the Freedom of Information Act?"
America_First_Legal_Foundation_v_Jamieson_Greer,25,9,"According to the opinion in ""America First Legal Foundation v. Jamieson Greer,"" FOIA includes a separate enforcement provision involving the Office of Special Counsel, and under that provision a court must specifically question whether the agency"," “acted arbitrarily or capriciously with respect to the withholding,”","According to the opinion in ""America First Legal Foundation v. Jamieson Greer,"" FOIA includes a separate enforcement provision involving the Office of Special Counsel, and under that provision a court must specifically question whether the agency “acted arbitrarily or capriciously with respect to the withholding,”","It states that if a court (1) orders production of agency records improperly withheld under FOIA, (2) awards attorneys’ fees against the agency, and (3) specifically questions whether the agency “acted arbitrarily or capriciously with respect to the withholding,” then OSC “shall promptly initiate a proceeding to determine whether disciplinary action is warranted against the officer or employee who was primarily responsible for the withholding.”","According to the opinion in ""America First Legal Foundation v. Jamieson Greer,"" FOIA includes a separate enforcement provision involving the Office of Special Counsel. Under that provision, what must a court specifically question about the agency's conduct in order to trigger OSC's duty to promptly initiate a proceeding?"
America_First_Legal_Foundation_v_Jamieson_Greer,26,11,"According to the opinion in ""America First Legal Foundation v. Jamieson Greer,"" FOIA contains a separate enforcement provision involving the Office of Special Counsel, under which, if a court orders production of improperly withheld agency records, awards attorneys’ fees against the agency, and specifically questions whether the agency acted arbitrarily or capriciously in withholding the records, OSC must determine whether disciplinary action is warranted against", the officer or employee who was primarily responsible for the withholding,"According to the opinion in ""America First Legal Foundation v. Jamieson Greer,"" FOIA contains a separate enforcement provision involving the Office of Special Counsel, under which, if a court orders production of improperly withheld agency records, awards attorneys’ fees against the agency, and specifically questions whether the agency acted arbitrarily or capriciously in withholding the records, OSC must determine whether disciplinary action is warranted against the officer or employee who was primarily responsible for the withholding","It states that if a court (1) orders production of agency records improperly withheld under FOIA, (2) awards attorneys’ fees against the agency, and (3) specifically questions whether the agency “acted arbitrarily or capriciously with respect to the withholding,” then OSC “shall promptly initiate a proceeding to determine whether disciplinary action is warranted against the officer or employee who was primarily responsible for the withholding.”","According to the opinion in ""America First Legal Foundation v. Jamieson Greer,"" FOIA contains a separate enforcement provision involving the Office of Special Counsel. If a court orders production of improperly withheld agency records, awards attorneys’ fees against the agency, and specifically questions whether the agency acted arbitrarily or capriciously in withholding the records, against whom must OSC determine whether disciplinary action is warranted?"
America_First_Legal_Foundation_v_Jamieson_Greer,33,9,"According to the opinion in ""America First Legal Foundation v. Jamieson Greer,"" although the district court ruled in part for AFL, it ultimately", dismissed its case for failure to state a claim,"According to the opinion in ""America First Legal Foundation v. Jamieson Greer,"" although the district court ruled in part for AFL, it ultimately dismissed its case for failure to state a claim",The district court ruled in part for AFL but nonetheless dismissed its case for failure to state a claim.,"In the case ""America First Legal Foundation v. Jamieson Greer,"" what did the district court ultimately do to AFL's case, even though it ruled in part for AFL?"
America_First_Legal_Foundation_v_Jamieson_Greer,62,9,"According to the opinion in ""America First Legal Foundation v. Jamieson Greer,"" when the court rejected AFL’s Article III standing theory based on OSC’s failure to investigate under 5 U.S.C. § 1216, the court said that accepting the theory would require speculation about", how OSC might choose to exercise its enforcement discretion,"According to the opinion in ""America First Legal Foundation v. Jamieson Greer,"" when the court rejected AFL’s Article III standing theory based on OSC’s failure to investigate under 5 U.S.C. § 1216, the court said that accepting the theory would require speculation about how OSC might choose to exercise its enforcement discretion","And it requires speculation about how OSC might choose to exercise its enforcement discretion, which the courts generally may not compel.","According to the opinion in ""America First Legal Foundation v. Jamieson Greer,"" when the court rejected AFL’s Article III standing theory based on OSC’s failure to investigate under 5 U.S.C. § 1216, what did the court say it would require speculation about OSC choosing to exercise?"
America_First_Legal_Foundation_v_Jamieson_Greer,68,15,"According to the opinion in ""America First Legal Foundation v. Jamieson Greer,"" when discussing Article III standing and informational standing, a plaintiff suffers", a concrete injury if he is denied information that a “statute entitled him to receive.”,"According to the opinion in ""America First Legal Foundation v. Jamieson Greer,"" when discussing Article III standing and informational standing, a plaintiff suffers a concrete injury if he is denied information that a “statute entitled him to receive.”",A plaintiff claiming informational standing suffers a concrete injury if he is denied information that a “statute entitled him to receive.”,"According to the opinion in ""America First Legal Foundation v. Jamieson Greer,"" when discussing Article III standing and informational standing, what does a plaintiff suffer if he is denied information that a statute entitled him to receive?"
America_First_Legal_Foundation_v_Jamieson_Greer,76,11,"According to the opinion in ""America First Legal Foundation v. Jamieson Greer,"" while evaluating AFL’s second standing theory based on alleged informational injury from an OSC investigation, the court explained that because OSC need not provide section 1214 notice requirements in a section 1216 investigation, a judicial order mandating such an investigation", would not be reasonably likely to redress AFL’s second alleged injury.,"According to the opinion in ""America First Legal Foundation v. Jamieson Greer,"" while evaluating AFL’s second standing theory based on alleged informational injury from an OSC investigation, the court explained that because OSC need not provide section 1214 notice requirements in a section 1216 investigation, a judicial order mandating such an investigation would not be reasonably likely to redress AFL’s second alleged injury.","Likewise, insofar as OSC need not provide section 1214 notice requirements in a section 1216 investigation, a judicial order mandating such an investigation would not be reasonably likely to redress AFL’s second alleged injury.","According to the opinion in ""America First Legal Foundation v. Jamieson Greer,"" the court was evaluating AFL’s second standing theory based on alleged informational injury from an OSC investigation. In that context, what did the court say would not be reasonably likely to redress AFL’s second alleged injury, given that OSC need not provide section 1214 notice requirements in a section 1216 investigation?"
Apex_Bank_v_Cc_Serve_Corp,3,10,"According to the opinion in ""Apex Bank v. CC Serve Corp."", where CC Serve opposed Apex’s ASPIRE BANK mark applications before the Board, the Board sustained that opposition under"," Section 2(d) of the Lanham Act, 15 U.S.C. § 1052(d)","According to the opinion in ""Apex Bank v. CC Serve Corp."", where CC Serve opposed Apex’s ASPIRE BANK mark applications before the Board, the Board sustained that opposition under Section 2(d) of the Lanham Act, 15 U.S.C. § 1052(d)","The Board sustained the opposition under Section 2(d) of the Lanham Act, 15 U.S.C. § 1052(d), concluding that consumer confusion between the marks was likely.","In the case ""Apex Bank v. CC Serve Corp."", CC Serve opposed Apex’s ASPIRE BANK mark applications before the Board. According to the opinion, under what provision did the Board sustain that opposition?"
