domain,probe_index,decision,split_word_index,new_target,reason
America_First_Legal_Foundation_v_Jamieson_Greer,14,ACCEPT,3,its interest in the information that it requested from DOJ through FOIA.,Clean suffix remains specific basis
America_First_Legal_Foundation_v_Jamieson_Greer,20,ACCEPT,1,complaining party about the progress of an investigation.,Removes article and preserves coherent target
America_First_Legal_Foundation_v_Jamieson_Greer,22,ACCEPT,3,withholding of information prohibited under section 552,Clean suffix preserves legal object
America_First_Legal_Foundation_v_Jamieson_Greer,25,REJECT,,,No safe coherent suffix-only shortening from review.
America_First_Legal_Foundation_v_Jamieson_Greer,26,ACCEPT,1,officer or employee who was primarily responsible for the withholding,Removes article and preserves coherent target
America_First_Legal_Foundation_v_Jamieson_Greer,33,ACCEPT,4,failure to state a claim,Clean suffix preserves dismissal ground
America_First_Legal_Foundation_v_Jamieson_Greer,62,ACCEPT,6,its enforcement discretion,Clean suffix preserves object of speculation
America_First_Legal_Foundation_v_Jamieson_Greer,68,ACCEPT,1,concrete injury if he is denied information that a “statute entitled him to receive.”,Removes article and preserves coherent target
America_First_Legal_Foundation_v_Jamieson_Greer,76,ACCEPT,6,redress AFL’s second alleged injury.,Clean suffix preserves redress conclusion
Apex_Bank_v_Cc_Serve_Corp,3,ACCEPT,3,"the Lanham Act, 15 U.S.C. § 1052(d)",Clean suffix preserves statutory source
Apex_Bank_v_Cc_Serve_Corp,27,ACCEPT,1,letter of protest asserting that Apex’s proposed marks were confusingly similar to CC Serve’s mark.,Removes article and preserves coherent target
Apex_Bank_v_Cc_Serve_Corp,29,ACCEPT,1,examining attorney approved the ASPIRE BANK word and design marks for publication,Removes article and preserves coherent target
Apex_Bank_v_Cc_Serve_Corp,35,ACCEPT,6,"findings of relevant underlying facts, namely findings under the DuPont factors.",Clean suffix preserves basis
Apex_Bank_v_Cc_Serve_Corp,41,ACCEPT,4,did not weigh in favor of Apex.,Clean suffix preserves conclusion
Apex_Bank_v_Cc_Serve_Corp,43,ACCEPT,4,they emanate from the same source.,Clean suffix preserves mistaken-belief content
Apex_Bank_v_Cc_Serve_Corp,46,ACCEPT,4,(1) credit card and (2) banking and financing services,Clean suffix preserves registration coverage
Apex_Bank_v_Cc_Serve_Corp,48,ACCEPT,3,the Board’s finding that the parties’ services are highly similar.,Clean suffix preserves supported finding
Apex_Bank_v_Cc_Serve_Corp,52,ACCEPT,7,third-party uses of marks including the word “Aspire”.,Clean suffix preserves evidence content
Apex_Bank_v_Cc_Serve_Corp,58,REJECT,,,No safe coherent suffix-only shortening from review.
Apex_Bank_v_Cc_Serve_Corp,69,ACCEPT,3,the source of the services offered under the respective marks is likely to result.,Clean suffix preserves confusion focus
Apex_Bank_v_Cc_Serve_Corp,73,ACCEPT,5,similar marks used on similar goods,Clean suffix preserves remand consideration
