domain,probe_index,old_target_words,new_target_words,decision,accepted,validation_status,split_word_index,old_probe,old_target,new_probe,new_target,fact,reason
America_First_Legal_Foundation_v_Jamieson_Greer,25,9,9,REJECT,False,rejected,,"According to the opinion in ""America First Legal Foundation v. Jamieson Greer,"" FOIA includes a separate enforcement provision involving the Office of Special Counsel, and under that provision a court must specifically question whether the agency"," “acted arbitrarily or capriciously with respect to the withholding,”","According to the opinion in ""America First Legal Foundation v. Jamieson Greer,"" FOIA includes a separate enforcement provision involving the Office of Special Counsel, and under that provision a court must specifically question whether the agency"," “acted arbitrarily or capriciously with respect to the withholding,”","According to the opinion in ""America First Legal Foundation v. Jamieson Greer,"" FOIA includes a separate enforcement provision involving the Office of Special Counsel, and under that provision a court must specifically question whether the agency “acted arbitrarily or capriciously with respect to the withholding,”",No safe coherent suffix-only shortening from review.
Apex_Bank_v_Cc_Serve_Corp,58,15,15,REJECT,False,rejected,,"According to the opinion in ""Apex Bank v. CC Serve Corp."", after evaluating third-party uses of Aspire-formative marks under the sixth DuPont factor, the Trademark Trial and Appeal Board concluded that CC Serve’s mark was entitled to the normal scope of protection accorded inherently distinctive marks because Apex failed to show that CC Serve’s mark was", commercially or conceptually weak such that it is entitled to a narrow scope of protection,"According to the opinion in ""Apex Bank v. CC Serve Corp."", after evaluating third-party uses of Aspire-formative marks under the sixth DuPont factor, the Trademark Trial and Appeal Board concluded that CC Serve’s mark was entitled to the normal scope of protection accorded inherently distinctive marks because Apex failed to show that CC Serve’s mark was", commercially or conceptually weak such that it is entitled to a narrow scope of protection,"According to the opinion in ""Apex Bank v. CC Serve Corp."", after evaluating third-party uses of Aspire-formative marks under the sixth DuPont factor, the Trademark Trial and Appeal Board concluded that CC Serve’s mark was entitled to the normal scope of protection accorded inherently distinctive marks because Apex failed to show that CC Serve’s mark was commercially or conceptually weak such that it is entitled to a narrow scope of protection",No safe coherent suffix-only shortening from review.
Finesse_Wireless_LLC_v_Att_Mobility_LLC,51,9,9,REJECT,False,rejected,,"In the case ""Finesse Wireless LLC v. AT&T Mobility LLC,"" even after Dr. Jonathan Wells did not testify that x1 and x2 mapped onto the claimed ""signals of interest"" and ""interference generating signals,"" he continued to identify as ""the two signals"" on the red path", the downlink TX reference and the modeled PIM path.,"In the case ""Finesse Wireless LLC v. AT&T Mobility LLC,"" even after Dr. Jonathan Wells did not testify that x1 and x2 mapped onto the claimed ""signals of interest"" and ""interference generating signals,"" he continued to identify as ""the two signals"" on the red path", the downlink TX reference and the modeled PIM path.,"In the case ""Finesse Wireless LLC v. AT&T Mobility LLC,"" even after Dr. Jonathan Wells did not testify that x1 and x2 mapped onto the claimed ""signals of interest"" and ""interference generating signals,"" he continued to identify as ""the two signals"" on the red path the downlink TX reference and the modeled PIM path.",No safe coherent suffix-only shortening from review.
Finesse_Wireless_LLC_v_Att_Mobility_LLC,53,17,17,REJECT,False,rejected,,"In the case ""Finesse Wireless LLC v. AT&T Mobility LLC,"" during cross-examination of Dr. Jonathan Wells about his infringement mapping of the Nokia technical document, when he was asked to clarify whether he was testifying that ""x1 is the modeled PIM path,"" he said x1 and x2 are", the two inputs here that are represented by those two signals that are on the red path.,"In the case ""Finesse Wireless LLC v. AT&T Mobility LLC,"" during cross-examination of Dr. Jonathan Wells about his infringement mapping of the Nokia technical document, when he was asked to clarify whether he was testifying that ""x1 is the modeled PIM path,"" he said x1 and x2 are", the two inputs here that are represented by those two signals that are on the red path.,"In the case ""Finesse Wireless LLC v. AT&T Mobility LLC,"" during cross-examination of Dr. Jonathan Wells about his infringement mapping of the Nokia technical document, when he was asked to clarify whether he was testifying that ""x1 is the modeled PIM path,"" he said x1 and x2 are the two inputs here that are represented by those two signals that are on the red path.",No safe coherent suffix-only shortening from review.
Finesse_Wireless_LLC_v_Att_Mobility_LLC,59,10,10,REJECT,False,rejected,,"In the case ""Finesse Wireless LLC v. AT&T Mobility LLC,"" the court held there was sufficient evidence for the jury to find the RF ADC in the accused radios sampled both the “signals of interest” and “interference generating signals” because it was persuaded by Finesse’s argument that", the modeled PIM path is not the “interference generating signals.”,"In the case ""Finesse Wireless LLC v. AT&T Mobility LLC,"" the court held there was sufficient evidence for the jury to find the RF ADC in the accused radios sampled both the “signals of interest” and “interference generating signals” because it was persuaded by Finesse’s argument that", the modeled PIM path is not the “interference generating signals.”,"In the case ""Finesse Wireless LLC v. AT&T Mobility LLC,"" the court held there was sufficient evidence for the jury to find the RF ADC in the accused radios sampled both the “signals of interest” and “interference generating signals” because it was persuaded by Finesse’s argument that the modeled PIM path is not the “interference generating signals.”",No safe coherent suffix-only shortening from review.
Finesse_Wireless_LLC_v_Att_Mobility_LLC,66,9,9,REJECT,False,rejected,,"In the Federal Circuit’s opinion in Finesse Wireless LLC v. AT&T Mobility LLC, the court said Dr. Jonathan Wells offered testimony about whether x1 and x2, or instead the DL(TX) reference and modeled PIM path, corresponded to the claimed signals, with", no clear or detailed explanation for his contradictory testimony.,"In the Federal Circuit’s opinion in Finesse Wireless LLC v. AT&T Mobility LLC, the court said Dr. Jonathan Wells offered testimony about whether x1 and x2, or instead the DL(TX) reference and modeled PIM path, corresponded to the claimed signals, with", no clear or detailed explanation for his contradictory testimony.,"In the Federal Circuit’s opinion in Finesse Wireless LLC v. AT&T Mobility LLC, the court said Dr. Jonathan Wells offered testimony about whether x1 and x2, or instead the DL(TX) reference and modeled PIM path, corresponded to the claimed signals, with no clear or detailed explanation for his contradictory testimony.",No safe coherent suffix-only shortening from review.
Finesse_Wireless_LLC_v_Att_Mobility_LLC,69,10,10,REJECT,False,rejected,,"In the case ""Finesse Wireless LLC v. AT&T Mobility LLC,"" the opinion’s description of the ’775 patent at the Abstract states that the claimed method for reducing IMP interference in a receiver digitally multiplies", three signals in seven multiplications to generate IMP cancellation signals,"In the case ""Finesse Wireless LLC v. AT&T Mobility LLC,"" the opinion’s description of the ’775 patent at the Abstract states that the claimed method for reducing IMP interference in a receiver digitally multiplies", three signals in seven multiplications to generate IMP cancellation signals,"In the case ""Finesse Wireless LLC v. AT&T Mobility LLC,"" the opinion’s description of the ’775 patent at the Abstract states that the claimed method for reducing IMP interference in a receiver digitally multiplies three signals in seven multiplications to generate IMP cancellation signals",No safe coherent suffix-only shortening from review.
Finesse_Wireless_LLC_v_Att_Mobility_LLC,82,13,13,REJECT,False,rejected,,"In the case ""Finesse Wireless LLC v. AT&T Mobility LLC,"" Appellants argued that during prosecution of the ’775 patent, Finesse amended the claims to require “three signals” rather than “two or three signals” in order to overcome", the Filipovic prior art reference that teaches generating cancellation signals using two inputs.,"In the case ""Finesse Wireless LLC v. AT&T Mobility LLC,"" Appellants argued that during prosecution of the ’775 patent, Finesse amended the claims to require “three signals” rather than “two or three signals” in order to overcome", the Filipovic prior art reference that teaches generating cancellation signals using two inputs.,"In the case ""Finesse Wireless LLC v. AT&T Mobility LLC,"" Appellants argued that during prosecution of the ’775 patent, Finesse amended the claims to require “three signals” rather than “two or three signals” in order to overcome the Filipovic prior art reference that teaches generating cancellation signals using two inputs.",No safe coherent suffix-only shortening from review.
Foad_Farahi_v_FBI,9,9,9,REJECT,False,rejected,,"According to the opinion in ""Foad Farahi v. Federal Bureau of Investigation"", the FBI publicly alleged in Farahi's immigration proceedings that he supported charities that financed terrorism, and the charities identified were", the Holy Land Foundation and the Global Relief Foundation.,"According to the opinion in ""Foad Farahi v. Federal Bureau of Investigation"", the FBI publicly alleged in Farahi's immigration proceedings that he supported charities that financed terrorism, and the charities identified were", the Holy Land Foundation and the Global Relief Foundation.,"According to the opinion in ""Foad Farahi v. Federal Bureau of Investigation"", the FBI publicly alleged in Farahi's immigration proceedings that he supported charities that financed terrorism, and the charities identified were the Holy Land Foundation and the Global Relief Foundation.",No safe coherent suffix-only shortening from review.
Foad_Farahi_v_FBI,17,9,9,REJECT,False,rejected,,"In the case ""Foad Farahi v. Federal Bureau of Investigation"", the D.C. Circuit cited the holding that, under FOIA Exemption 7(A), enforcement proceedings must be ""pending or reasonably anticipated"" in", Citizens for Resp. & Ethics in Wash. v. DOJ,"In the case ""Foad Farahi v. Federal Bureau of Investigation"", the D.C. Circuit cited the holding that, under FOIA Exemption 7(A), enforcement proceedings must be ""pending or reasonably anticipated"" in", Citizens for Resp. & Ethics in Wash. v. DOJ,"In the case ""Foad Farahi v. Federal Bureau of Investigation"", the D.C. Circuit cited the holding that, under FOIA Exemption 7(A), enforcement proceedings must be ""pending or reasonably anticipated"" in Citizens for Resp. & Ethics in Wash. v. DOJ",No safe coherent suffix-only shortening from review.
Foad_Farahi_v_FBI,79,16,16,REJECT,False,rejected,,"According to the opinion in ""Foad Farahi v. Federal Bureau of Investigation"", when an agency withholds documents on a category-by-category basis, it must use categories that are", “sufficiently distinct to allow a court to determine whether the specific claimed exemptions are properly applied”,"According to the opinion in ""Foad Farahi v. Federal Bureau of Investigation"", when an agency withholds documents on a category-by-category basis, it must use categories that are", “sufficiently distinct to allow a court to determine whether the specific claimed exemptions are properly applied”,"According to the opinion in ""Foad Farahi v. Federal Bureau of Investigation"", when an agency withholds documents on a category-by-category basis, it must use categories that are “sufficiently distinct to allow a court to determine whether the specific claimed exemptions are properly applied”",No safe coherent suffix-only shortening from review.
