index	decision	reason
0	keep	Retained after manual review.
1	keep	Retained after manual review.
2	keep	Retained after manual review.
3	keep	Retained after manual review.
4	keep	Retained after manual review.
5	keep	Retained after manual review.
6	keep	Retained after manual review.
7	keep	Retained after manual review.
8	keep	Retained after manual review.
9	keep	Retained after manual review.
10	keep	Retained after manual review.
11	keep	Retained after manual review.
12	keep	Retained after manual review.
13	keep	Retained after manual review.
14	keep	Retained after manual review.
15	keep	Retained after manual review.
16	keep	Retained after manual review.
17	keep	Retained after manual review.
18	keep	Retained after manual review.
19	keep	Retained after manual review.
20	keep	Retained after manual review.
21	keep	Retained after manual review.
22	keep	Retained after manual review.
23	keep	Retained after manual review.
24	keep	Retained after manual review.
25	keep	Retained after manual review.
26	keep	Retained after manual review.
27	keep	Retained after manual review.
28	keep	Retained after manual review.
29	keep	Retained after manual review.
30	keep	Retained after manual review.
31	keep	Retained after manual review.
32	drop	Dropped after final review: factual mismatch; the source says the variant segregates with diabetes in the family, not that LP classification is of diabetes.
33	keep	Retained after manual review.
34	drop	Dropped after final review: factual error; the source says some variants are unable to cause MODY alone, not that this phenomenon is called MODY.
35	keep	Retained after manual review.
36	keep	Retained after manual review.
37	keep	Retained after manual review.
38	keep	Retained after manual review.
39	keep	Retained after manual review.
40	keep	Retained after manual review.
41	keep	Retained after manual review.
42	keep	Retained after manual review.
43	keep	Retained after manual review.
44	keep	Retained after manual review.
45	keep	Retained after manual review.
46	keep	Retained after manual review.
47	keep	Retained after manual review.
48	keep	Retained after manual review.
49	keep	Retained after manual review.
50	keep	Retained after manual review.
51	keep	Retained after manual review.
52	keep	Retained after manual review.
53	keep	Retained after manual review.
54	keep	Retained after manual review.
55	keep	Retained after manual review.
56	keep	Retained after manual review.
57	keep	Retained after manual review.
58	keep	Retained after manual review.
59	keep	Retained after manual review.
60	keep	Retained after manual review.
61	keep	Retained after manual review.
62	keep	Retained after manual review.
63	keep	Retained after manual review.
64	keep	Retained after manual review.
65	keep	Retained after manual review.
66	keep	Retained after manual review.
67	keep	Retained after manual review.
68	keep	Retained after manual review.
69	keep	Retained after manual review.
70	keep	Retained after manual review.
71	keep	Retained after manual review.
72	keep	Retained after manual review.
73	keep	Retained after manual review.
74	keep	Retained after manual review.
75	keep	Retained after manual review.
76	keep	Retained after manual review.
77	keep	Retained after manual review.
78	keep	Retained after manual review.
79	keep	Retained after manual review.
80	keep	Retained after manual review.
81	keep	Retained after manual review.
82	keep	Retained after manual review.
83	keep	Retained after manual review.
84	keep	Retained after manual review.
85	keep	Retained after manual review.
86	keep	Retained after manual review.
87	keep	Retained after manual review.
88	keep	Retained after manual review.
89	keep	Retained after manual review.
90	keep	Retained after manual review.
91	keep	Retained after manual review.
92	keep	Retained after manual review.
93	keep	Retained after manual review.
94	keep	Retained after manual review.
95	keep	Retained after manual review.
96	keep	Retained after manual review.
97	keep	Retained after manual review.
98	keep	Retained after manual review.
99	keep	Retained after manual review.
100	keep	Retained after manual review.
101	keep	Retained after manual review.
102	keep	Retained after manual review.
103	keep	Retained after manual review.
104	keep	Retained after manual review.
105	keep	Retained after manual review.
106	keep	Retained after manual review.
107	keep	Retained after manual review.
108	keep	Retained after manual review.
109	keep	Retained after manual review.
110	keep	Retained after manual review.
111	keep	Retained after manual review.
112	keep	Retained after manual review.
113	keep	Retained after manual review.
114	keep	Retained after manual review.
115	keep	Retained after manual review.
116	keep	Retained after manual review.
117	keep	Retained after manual review.
118	keep	Retained after manual review.
119	keep	Retained after manual review.
120	keep	Retained after manual review.
121	keep	Retained after manual review.
122	keep	Retained after manual review.
123	keep	Retained after manual review.
124	keep	Retained after manual review.
125	keep	Retained after manual review.
126	keep	Retained after manual review.
127	keep	Retained after manual review.
128	keep	Retained after manual review.
129	keep	Retained after manual review.
130	keep	Retained after manual review.
131	keep	Retained after manual review.
132	keep	Retained after manual review.
133	keep	Retained after manual review.
