view,step,final_step,layer,component,metric,value,num_values
time,0,100,,embed_tokens,relative_delta_norm,0.0,100352
time,0,100,,embed_tokens,cosine_distance,1.0097247301315775e-11,100352
time,0,100,,embed_tokens,relative_delta_gini,0.0,100352
time,0,100,,embed_tokens,cosine_distance_gini,0.9999466583508403,100352
time,0,100,,gate_proj,relative_delta_norm,0.0,552960
time,0,100,,gate_proj,cosine_distance,0.0,552960
time,0,100,,gate_proj,relative_delta_gini,0.0,552960
time,0,100,,gate_proj,cosine_distance_gini,0.0,552960
time,0,100,,up_proj,relative_delta_norm,0.0,552960
time,0,100,,up_proj,cosine_distance,0.0,552960
time,0,100,,up_proj,relative_delta_gini,0.0,552960
time,0,100,,up_proj,cosine_distance_gini,0.0,552960
time,0,100,,down_proj,relative_delta_norm,0.0,552960
time,0,100,,down_proj,cosine_distance,2.7699301157284665e-09,552960
time,0,100,,down_proj,relative_delta_gini,0.0,552960
time,0,100,,down_proj,cosine_distance_gini,0.9990779280685731,552960
time,0,100,,q_proj,relative_delta_norm,0.0,204800
time,0,100,,q_proj,cosine_distance,0.04970703125,204800
time,0,100,,q_proj,relative_delta_gini,0.0,204800
time,0,100,,q_proj,cosine_distance_gini,0.9502929687499999,204800
time,0,100,,k_proj,relative_delta_norm,0.0,204800
time,0,100,,k_proj,cosine_distance,0.014116210938082076,204800
time,0,100,,k_proj,relative_delta_gini,0.0,204800
time,0,100,,k_proj,cosine_distance_gini,0.9858837890619172,204800
time,0,100,,v_proj,relative_delta_norm,0.0,204800
time,0,100,,v_proj,cosine_distance,0.0,204800
time,0,100,,v_proj,relative_delta_gini,0.0,204800
time,0,100,,v_proj,cosine_distance_gini,0.0,204800
time,0,100,,o_proj,relative_delta_norm,0.0,204800
time,0,100,,o_proj,cosine_distance,1.0858930181711913e-08,204800
time,0,100,,o_proj,relative_delta_gini,0.0,204800
time,0,100,,o_proj,cosine_distance_gini,0.9960224140344418,204800
time,5,100,,embed_tokens,relative_delta_norm,5.334902315749291e-06,100352
time,5,100,,embed_tokens,cosine_distance,1.3067025919349826e-11,100352
time,5,100,,embed_tokens,relative_delta_gini,0.7170704923516158,100352
time,5,100,,embed_tokens,cosine_distance_gini,0.9999619521103895,100352
time,5,100,,gate_proj,relative_delta_norm,0.00043105473169806043,552960
time,5,100,,gate_proj,cosine_distance,1.1178026734678833e-10,552960
time,5,100,,gate_proj,relative_delta_gini,0.133467911109576,552960
time,5,100,,gate_proj,cosine_distance_gini,0.9999159760030492,552960
time,5,100,,up_proj,relative_delta_norm,0.0005147127516025307,552960
time,5,100,,up_proj,cosine_distance,2.975058224466112e-11,552960
time,5,100,,up_proj,relative_delta_gini,0.08441106625484185,552960
time,5,100,,up_proj,cosine_distance_gini,0.999968692863493,552960
time,5,100,,down_proj,relative_delta_norm,0.0005532635921531542,552960
time,5,100,,down_proj,cosine_distance,3.2224407833483486e-09,552960
time,5,100,,down_proj,relative_delta_gini,0.09917474832921913,552960
time,5,100,,down_proj,cosine_distance_gini,0.9989836359525894,552960
time,5,100,,q_proj,relative_delta_norm,5.714278213991947,204800
time,5,100,,q_proj,cosine_distance,0.050698149209783876,204800
time,5,100,,q_proj,relative_delta_gini,0.9995812000758606,204800
time,5,100,,q_proj,cosine_distance_gini,0.9490809216934695,204800
time,5,100,,k_proj,relative_delta_norm,0.015477810468500443,204800
time,5,100,,k_proj,cosine_distance,0.01423090724652866,204800
time,5,100,,k_proj,relative_delta_gini,0.8774747392113111,204800
