v13_row_0based,v13_row_1based,decision,issue_type,filter_reason,review_reason,probe,target,fact,raw_knowledge_statement,section
1,2,keep_rejected,too_generic_target|weak_distractor_space,"It fails criterion 3 because the target is just a generic descriptive phrase ('prohibitively expensive') rather than a distinctive concept or term, making it hard to create five meaningful, field-relevant distractors.",Target remains too generic or low-information for restoration.,"According to the paper ""Parameter-Efficient Orthogonal Finetuning via Factorization"", training large foundation models from scratch is described as",prohibitively expensive.,"According to the paper ""Parameter-Efficient Orthogonal Finetuning via Factorization"", training large foundation models from scratch is described as prohibitively expensive.","Large foundation models are becoming ubiquitous, but training them from scratch is prohibitively expensive.",Title/Abstract
17,18,keep_rejected,too_generic_target|weak_distractor_space,"It fails criterion 3 because the target, ""researchers,"" is a single generic common noun with little conceptual depth, making it hard to create five meaningful distractors.",Target remains too generic or low-information for restoration.,"According to the paper ""Parameter-Efficient Orthogonal Finetuning via Factorization"", it has become increasingly challenging to train a foundation model from scratch for",researchers.,"According to the paper ""Parameter-Efficient Orthogonal Finetuning via Factorization"", it has become increasingly challenging to train a foundation model from scratch for researchers.","As a result, it has become increasingly challenging for researchers to train a foundation model from scratch.",Introduction
20,21,keep_rejected,too_generic_target|weak_distractor_space,"The target ""downstream tasks"" is a very generic, obvious phrase with little conceptual depth, making it difficult to create five meaningful discriminative options (criterion 3).",Target remains too generic or low-information for restoration.,"According to the paper ""Parameter-Efficient Orthogonal Finetuning via Factorization"", existing foundation models must be efficiently adapted to",downstream tasks.,"According to the paper ""Parameter-Efficient Orthogonal Finetuning via Factorization"", existing foundation models must be efficiently adapted to downstream tasks.","That is, we must be able to efficiently adapt existing foundation models to downstream tasks.",Introduction
33,34,keep_rejected,too_generic_target|weak_distractor_space,"It is unsuitable because the target is a generic short phrase ('the number of parameters') with little conceptual specificity, making it hard to construct five meaningful, discriminative distractors (criteria 3 and 4).",Target remains too generic or low-information for restoration.,"In the paper ""Parameter-Efficient Orthogonal Finetuning via Factorization"", OFT introduces a block-diagonal structure to reduce",the number of parameters.,"In the paper ""Parameter-Efficient Orthogonal Finetuning via Factorization"", OFT introduces a block-diagonal structure to reduce the number of parameters.","To address this, OFT introduces a block-diagonal structure to reduce the number of parameters.",Introduction
35,36,keep_rejected,tautological_stem|weak_distractor_space,"It is unsuitable because the target is essentially tautological with the probe: once the question says OFT uses a block-diagonal structure, completing it with 'different blocks' just restates that setup rather than testing a distinct concept (criterion 1).",Visible stem makes the completion too easy or too weakly distractible.,"According to the paper ""Parameter-Efficient Orthogonal Finetuning via Factorization"", when OFT uses a block-diagonal structure to improve parameter efficiency, the orthogonal matrix has a fixed sparsity pattern and the orthogonal transformation is applied independently in",different blocks.,"According to the paper ""Parameter-Efficient Orthogonal Finetuning via Factorization"", when OFT uses a block-diagonal structure to improve parameter efficiency, the orthogonal matrix has a fixed sparsity pattern and the orthogonal transformation is applied independently in different blocks.","However, the parameter efficiency also comes at a price -- the orthogonal matrix has a fixed sparsity pattern and the orthogonal transformation is applied independently in different blocks.",Introduction
42,43,keep_rejected,weak_distractor_space,"Unsuitable under criterion 3 because the target is a short, highly predictable phrase completion ('computation time') from the common expression 'trading space for time,' so it does not support a meaningful 5-option knowledge-based MCQ.",No strong restoration rationale under the restoration rubric.,"According to the paper ""Parameter-Efficient Orthogonal Finetuning via Factorization"", the authors explain that their approach to generating a dense orthogonal matrix is guided by the insight that the number of trainable parameters can be reduced by trading space for",computation time.,"According to the paper ""Parameter-Efficient Orthogonal Finetuning via Factorization"", the authors explain that their approach to generating a dense orthogonal matrix is guided by the insight that the number of trainable parameters can be reduced by trading space for computation time.",This approach is guided by the insight that the number of trainable parameters can be reduced by trading computation time for space.,Introduction
45,46,keep_rejected,tautological_stem|weak_distractor_space,"It is unsuitable because the target is a trivially short phrase already strongly implied by the probe wording itself ('what has to be performed repeatedly...'), making it effectively tautological and hard to build meaningful 5-way distractors (criteria 1 and 3).",Visible stem makes the completion too easy or too weakly distractible.,"According to the paper ""Parameter-Efficient Orthogonal Finetuning via Factorization"", when the orthogonal matrix is represented as a product of sparse matrices, what has to be performed repeatedly in each training iteration is",the multiplication.,"According to the paper ""Parameter-Efficient Orthogonal Finetuning via Factorization"", when the orthogonal matrix is represented as a product of sparse matrices, what has to be performed repeatedly in each training iteration is the multiplication.","Since we represent the orthogonal matrix with the multiplication of sparse matrices, the multiplication has to be performed repeatedly in each training iteration.",Introduction
54,55,keep_rejected,too_generic_target|weak_distractor_space,"It fails criterion 3 because the target, ""nodes,"" is a single generic common word with little conceptual specificity, making it hard to create five meaningful distinguishable answer options.",Target remains too generic or low-information for restoration.,"According to the paper ""Parameter-Efficient Orthogonal Finetuning via Factorization"", when the authors draw inspiration from the butterfly structures in the Cooley-Tukey fast Fourier transform algorithm to achieve parameter efficiency in their information transmission framework, information can be exchanged efficiently from different",nodes.,"According to the paper ""Parameter-Efficient Orthogonal Finetuning via Factorization"", when the authors draw inspiration from the butterfly structures in the Cooley-Tukey fast Fourier transform algorithm to achieve parameter efficiency in their information transmission framework, information can be exchanged efficiently from different nodes.","To achieve parameter efficiency in our information transmission framework, we draw inspiration from the butterfly structures in the Cooley-Tukey fast Fourier transform algorithm~\cite{cooley1965algorithm} in which information from different nodes can be exchanged efficiently~\cite{klasing1994broadcasting}.",Introduction
59,60,keep_rejected,too_generic_target|weak_distractor_space,"It fails criterion 3 because the target is a generic, low-content phrase ('a significant reduction') rather than a distinct concept or method, making it difficult to create five meaningful and discriminative answer options.",Target remains too generic or low-information for restoration.,"According to the paper ""Parameter-Efficient Orthogonal Finetuning via Factorization"", in the discussion of butterfly factorization and orthogonal parameterization, the resulting efficient orthogonal parameterization is described relative to the original parameterization as",a significant reduction.,"According to the paper ""Parameter-Efficient Orthogonal Finetuning via Factorization"", in the discussion of butterfly factorization and orthogonal parameterization, the resulting efficient orthogonal parameterization is described relative to the original parameterization as a significant reduction.","By ensuring that each sparse matrix is orthogonal, we arrive at an efficient orthogonal parameterization with only $\mathcal{O}(d\log d)$  parameters, which is a significant reduction from the original parameterization.",Introduction
73,74,keep_rejected,too_generic_target|weak_distractor_space,"It fails criterion 3 because the target ""downstream tasks"" is a generic, low-information phrase that would not support five meaningful, conceptually distinct answer choices.",Target remains too generic or low-information for restoration.,"In the paper ""Parameter-Efficient Orthogonal Finetuning via Factorization"", the butterfly-structured BOFT approach enables the authors to find a smaller hypothesis class within the orthogonal group for",downstream tasks.,"In the paper ""Parameter-Efficient Orthogonal Finetuning via Factorization"", the butterfly-structured BOFT approach enables the authors to find a smaller hypothesis class within the orthogonal group for downstream tasks.",This enables us to find a smaller hypothesis class within the orthogonal group for downstream tasks.,Introduction
