v13_row_0based,v13_row_1based,decision,issue_type,filter_reason,review_reason,probe,target,fact,raw_knowledge_statement,section
1,2,keep_rejected,tautological_stem|weak_distractor_space,Trivial phrase completion; weak distractor space,Stem makes the answer too easy or leaves weak distractor space.,"According to the paper ""LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens"", one reason current extended context windows are limited to around 128k tokens is the scarcity of",long texts.,"According to the paper ""LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens"", one reason current extended context windows are limited to around 128k tokens is the scarcity of long texts.","However, due to high fine-tuning costs, scarcity of long texts, and catastrophic values introduced by new token positions, current extended context windows are limited to around 128k tokens.",Title/Abstract
3,4,restore,numeric_memorization|filter_overstrict|strong_distractor_space,Target strongly implied by question wording,"Exact 2048k context-window claim is source-backed, not leaked, and supports plausible numeric distractors.","According to the paper ""LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens"", LongRoPE extends the context window of pre-trained LLMs for the first time to",\textbf{2048k} tokens,"According to the paper ""LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens"", LongRoPE extends the context window of pre-trained LLMs for the first time to \textbf{2048k} tokens","This paper introduces LongRoPE that,  for the first time, extends the context window of pre-trained LLMs to an impressive  \textbf{2048k} tokens,  with up to only 1k fine-tuning steps at within 256k training lengths, while maintaining performance at the original short context window.",Title/Abstract
5,6,keep_rejected,tautological_stem|weak_distractor_space,Target phrase-completes question; too trivial,Stem makes the answer too easy or leaves weak distractor space.,"According to the paper ""LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens"", while extending pre-trained LLMs to 2048k tokens with up to only 1k fine-tuning steps at within 256k training lengths, performance is maintained at",the original short context window.,"According to the paper ""LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens"", while extending pre-trained LLMs to 2048k tokens with up to only 1k fine-tuning steps at within 256k training lengths, performance is maintained at the original short context window.","This paper introduces LongRoPE that,  for the first time, extends the context window of pre-trained LLMs to an impressive  \textbf{2048k} tokens,  with up to only 1k fine-tuning steps at within 256k training lengths, while maintaining performance at the original short context window.",Title/Abstract
10,11,keep_rejected,tautological_stem|weak_distractor_space,Tautological phrase completion; target strongly implied,Stem makes the answer too easy or leaves weak distractor space.,"According to the paper ""LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens"", models extended via LongRoPE retain, even though the method makes minor modifications to the positional embedding,",the original architecture.,"According to the paper ""LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens"", models extended via LongRoPE retain, even though the method makes minor modifications to the positional embedding, the original architecture.","Models extended via LongRoPE retain the original architecture with minor modifications to the positional embedding,  and can reuse most pre-existing optimizations.",Title/Abstract
16,17,keep_rejected,tautological_stem|weak_distractor_space,Trivial phrase completion; weak distractor space,Stem makes the answer too easy or leaves weak distractor space.,"According to the paper ""LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens"", the LLM's performance declines because of additional positions that the model has not been trained on beyond",the context window.,"According to the paper ""LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens"", the LLM's performance declines because of additional positions that the model has not been trained on beyond the context window.","Beyond the context window, LLM's performance declines due to the additional positions that the model has not been trained on.",Introduction
20,21,keep_rejected,too_generic_target|weak_distractor_space,Too trivial generic phrase completion,Target is too generic or low-information for a strong five-option MCQA.,"According to the paper ""LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens"", a pre-trained LLM context window can be extended to around 128k by fine-tuning on",longer texts,"According to the paper ""LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens"", a pre-trained LLM context window can be extended to around 128k by fine-tuning on longer texts","Recent works show that a pre-trained LLM context window can be extended to around 128k by fine-tuning on longer texts~\cite{longlora,pi,yarn,zhang2024soaring,liu2023scaling}.",Introduction
21,22,keep_rejected,too_generic_target|weak_distractor_space,Generic phrase completion; weak distractor space,Target is too generic or low-information for a strong five-option MCQA.,"According to the paper ""LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens"", untrained new position indices introduce many out-of-distribution issues and make fine-tuning difficult to converge because they produce",many catastrophic values,"According to the paper ""LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens"", untrained new position indices introduce many out-of-distribution issues and make fine-tuning difficult to converge because they produce many catastrophic values","First, untrained new position indices introduce many catastrophic values, leading to out-of-distribution issues and  making fine-tuning difficult to converge~\cite{pi}.",Introduction
22,23,keep_rejected,too_generic_target|weak_distractor_space,Too trivial generic verb completion,Target is too generic or low-information for a strong five-option MCQA.,"According to the paper ""LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens"", in the authors’ discussion of the first obstacle to extending the context window, untrained new position indices make fine-tuning difficult to do because they make it difficult to",converge.,"According to the paper ""LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens"", in the authors’ discussion of the first obstacle to extending the context window, untrained new position indices make fine-tuning difficult to do because they make it difficult to converge.","First, untrained new position indices introduce many catastrophic values, leading to out-of-distribution issues and  making fine-tuning difficult to converge~\cite{pi}.",Introduction
24,25,keep_rejected,too_generic_target|weak_distractor_space,Generic phrase completion; weak distractor space,Target is too generic or low-information for a strong five-option MCQA.,"In the paper ""LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens"", the authors say that extending the context window from 4k to >1000k is particularly challenging because it introduces more than 90% of",new positions.,"In the paper ""LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens"", the authors say that extending the context window from 4k to >1000k is particularly challenging because it introduces more than 90% of new positions.",This is particularly challenging when an extension from 4k to  $>$1000k introduces more than 90\% new positions.,Introduction
25,26,keep_rejected,too_generic_target|weak_distractor_space,Generic phrase completion; weak distractor space,Target is too generic or low-information for a strong five-option MCQA.,"According to the paper ""LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens"", the type of training that is computationally expensive and requires prohibitively extensive training hours and GPU resources is",extra-long texts.,"According to the paper ""LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens"", the type of training that is computationally expensive and requires prohibitively extensive training hours and GPU resources is extra-long texts.","Moreover, training on extra-long texts is computationally expensive, requiring prohibitively extensive training hours and GPU resources.",Introduction
