step,probe_index,mcqa_accuracy,predicted_idx,predicted_label,correct_idx
0,0,0.0,1,B,0
0,1,1.0,2,C,2
0,2,0.0,0,A,3
0,3,1.0,2,C,2
0,4,1.0,1,B,1
0,5,0.0,0,A,4
0,6,0.0,2,C,3
0,7,0.0,4,E,2
4,0,0.0,1,B,0
4,1,1.0,2,C,2
4,2,0.0,0,A,3
4,3,1.0,2,C,2
4,4,1.0,1,B,1
4,5,0.0,0,A,4
4,6,0.0,2,C,3
4,7,0.0,4,E,2
8,0,0.0,2,C,0
8,1,1.0,2,C,2
8,2,0.0,0,A,3
8,3,0.0,4,E,2
8,4,1.0,1,B,1
8,5,0.0,0,A,4
8,6,0.0,4,E,3
8,7,0.0,4,E,2
12,0,0.0,2,C,0
12,1,1.0,2,C,2
12,2,0.0,0,A,3
12,3,0.0,4,E,2
12,4,1.0,1,B,1
12,5,0.0,2,C,4
12,6,0.0,4,E,3
12,7,0.0,4,E,2
16,0,0.0,2,C,0
16,1,1.0,2,C,2
16,2,0.0,0,A,3
16,3,1.0,2,C,2
16,4,1.0,1,B,1
16,5,0.0,2,C,4
16,6,0.0,4,E,3
16,7,0.0,4,E,2
20,0,0.0,2,C,0
20,1,1.0,2,C,2
20,2,0.0,4,E,3
20,3,1.0,2,C,2
20,4,1.0,1,B,1
20,5,0.0,2,C,4
20,6,0.0,4,E,3
20,7,0.0,4,E,2
24,0,0.0,2,C,0
24,1,1.0,2,C,2
24,2,0.0,4,E,3
24,3,1.0,2,C,2
24,4,1.0,1,B,1
24,5,0.0,2,C,4
24,6,0.0,4,E,3
24,7,0.0,4,E,2
28,0,0.0,2,C,0
28,1,1.0,2,C,2
28,2,0.0,4,E,3
28,3,1.0,2,C,2
28,4,1.0,1,B,1
28,5,0.0,2,C,4
28,6,0.0,4,E,3
28,7,0.0,4,E,2
32,0,0.0,2,C,0
32,1,1.0,2,C,2
32,2,0.0,4,E,3
32,3,1.0,2,C,2
32,4,1.0,1,B,1
32,5,0.0,2,C,4
32,6,0.0,4,E,3
32,7,0.0,4,E,2
36,0,0.0,2,C,0
36,1,1.0,2,C,2
36,2,0.0,4,E,3
36,3,1.0,2,C,2
36,4,1.0,1,B,1
36,5,0.0,2,C,4
36,6,0.0,4,E,3
36,7,0.0,4,E,2
40,0,0.0,2,C,0
40,1,1.0,2,C,2
40,2,0.0,4,E,3
40,3,1.0,2,C,2
40,4,1.0,1,B,1
40,5,0.0,2,C,4
40,6,0.0,4,E,3
40,7,0.0,4,E,2
44,0,0.0,2,C,0
44,1,1.0,2,C,2
44,2,0.0,4,E,3
44,3,1.0,2,C,2
44,4,1.0,1,B,1
44,5,0.0,2,C,4
44,6,0.0,4,E,3
44,7,0.0,4,E,2
48,0,0.0,2,C,0
48,1,1.0,2,C,2
48,2,0.0,4,E,3
48,3,1.0,2,C,2
48,4,1.0,1,B,1
48,5,0.0,2,C,4
48,6,0.0,4,E,3
48,7,0.0,4,E,2
52,0,0.0,2,C,0
52,1,1.0,2,C,2
52,2,0.0,4,E,3
52,3,1.0,2,C,2
52,4,1.0,1,B,1
52,5,0.0,2,C,4
52,6,0.0,4,E,3
52,7,0.0,4,E,2
56,0,0.0,2,C,0
56,1,1.0,2,C,2
56,2,0.0,4,E,3
56,3,1.0,2,C,2
56,4,1.0,1,B,1
56,5,0.0,2,C,4
56,6,0.0,4,E,3
56,7,0.0,4,E,2
60,0,0.0,2,C,0
60,1,1.0,2,C,2
60,2,0.0,4,E,3
60,3,1.0,2,C,2
60,4,1.0,1,B,1
