probe,target,correct_label,formatted_question,option_a,option_b,option_c,option_d,option_e,distractors,fact,raw_knowledge_statement,section,formatted_question_5shot
"According to the case report ""Pancreatopleural fistula in childhood"", a boy with recurrent right-sided pleural effusions was treated with nil per oral status, total parenteral nutrition, and octreotide after a chest tube was placed. Over what period did the drainage decrease before the chest tube was removed and the child was discharged?",10 days.,(E),"According to the case report ""Pancreatopleural fistula in childhood"", a boy with recurrent right-sided pleural effusions was treated with nil per oral status, total parenteral nutrition, and octreotide after a chest tube was placed. Over what period did the drainage decrease before the chest tube was removed and the child was discharged?
(A) 4–6 weeks.
(B) 2 weeks.
(C) 7 days.
(D) 72 hours.
(E) 10 days.",4–6 weeks.,2 weeks.,7 days.,72 hours.,10 days.,"[""4–6 weeks."", ""2 weeks."", ""7 days."", ""72 hours.""]","According to the case report ""Pancreatopleural fistula in childhood"", after a chest tube was placed and the boy with recurrent right-sided pleural effusions was treated with nil per oral status, total parenteral nutrition, and octreotide, the drainage decreased over 10 days.","Over a period of 10 days, drainage decreased, the chest tube was removed, and the child was discharged.",Abstract,"Question: Which city is the capital of France?
(A) Paris
(B) Berlin
(C) Madrid
(D) Rome
(E) Lisbon
Answer: (A)

Question: Which planet is the largest in the Solar System?
(A) Earth
(B) Jupiter
(C) Saturn
(D) Venus
(E) Mars
Answer: (B)

Question: What is the chemical formula for water?
(A) CO2
(B) O2
(C) H2O
(D) NaCl
(E) CH4
Answer: (C)

Question: What process do plants use to convert sunlight into chemical energy?
(A) Respiration
(B) Fermentation
(C) Evaporation
(D) Photosynthesis
(E) Condensation
Answer: (D)

Question: What is the primary function of red blood cells?
(A) Transmit nerve signals
(B) Produce bile
(C) Filter lymph
(D) Digest proteins
(E) Carry oxygen
Answer: (E)

Question: According to the case report ""Pancreatopleural fistula in childhood"", a boy with recurrent right-sided pleural effusions was treated with nil per oral status, total parenteral nutrition, and octreotide after a chest tube was placed. Over what period did the drainage decrease before the chest tube was removed and the child was discharged?
(A) 4–6 weeks.
(B) 2 weeks.
(C) 7 days.
(D) 72 hours.
(E) 10 days."
"According to the case report ""Pancreatopleural fistula in childhood"", the boy with recurrent right-sided pleural effusions was managed with nil per oral status and total parenteral nutrition. Which medication was added to his treatment?",Octreotide.,(D),"According to the case report ""Pancreatopleural fistula in childhood"", the boy with recurrent right-sided pleural effusions was managed with nil per oral status and total parenteral nutrition. Which medication was added to his treatment?
(A) Somatostatin infusion.
(B) Endoscopic pancreatic duct stenting.
(C) Pleurodesis.
(D) Octreotide.
(E) Broad-spectrum intravenous antibiotics.",Somatostatin infusion.,Endoscopic pancreatic duct stenting.,Pleurodesis.,Octreotide.,Broad-spectrum intravenous antibiotics.,"[""Somatostatin infusion."", ""Endoscopic pancreatic duct stenting."", ""Pleurodesis."", ""Broad-spectrum intravenous antibiotics.""]","According to the case report ""Pancreatopleural fistula in childhood"", the boy with recurrent right-sided pleural effusions was managed with nil per oral status and total parenteral nutrition, and his treatment included Octreotide.","The patient was treated with nil per oral status, total parenteral nutrition and Octreotide.",Abstract,"Question: Which city is the capital of France?
(A) Paris
(B) Berlin
(C) Madrid
(D) Rome
(E) Lisbon
Answer: (A)

Question: Which planet is the largest in the Solar System?
(A) Earth
(B) Jupiter
(C) Saturn
(D) Venus
(E) Mars
Answer: (B)

Question: What is the chemical formula for water?
(A) CO2
(B) O2
(C) H2O
(D) NaCl
(E) CH4
Answer: (C)

Question: What process do plants use to convert sunlight into chemical energy?
(A) Respiration
(B) Fermentation
(C) Evaporation
(D) Photosynthesis
(E) Condensation
Answer: (D)

Question: What is the primary function of red blood cells?
(A) Transmit nerve signals
(B) Produce bile
(C) Filter lymph
(D) Digest proteins
(E) Carry oxygen
Answer: (E)

Question: According to the case report ""Pancreatopleural fistula in childhood"", the boy with recurrent right-sided pleural effusions was managed with nil per oral status and total parenteral nutrition. Which medication was added to his treatment?
(A) Somatostatin infusion.
(B) Endoscopic pancreatic duct stenting.
(C) Pleurodesis.
(D) Octreotide.
(E) Broad-spectrum intravenous antibiotics."
"In the case report ""Pancreatopleural fistula in childhood"", a boy in late childhood with recurrent right-sided pleural effusions and confirmed pancreatopleural fistulas was treated with nil per oral status, total parenteral nutrition, and Octreotide. What nutritional support was included in his treatment?",total parenteral nutrition.,(D),"In the case report ""Pancreatopleural fistula in childhood"", a boy in late childhood with recurrent right-sided pleural effusions and confirmed pancreatopleural fistulas was treated with nil per oral status, total parenteral nutrition, and Octreotide. What nutritional support was included in his treatment?
(A) a clear liquid diet.
(B) peripheral parenteral nutrition.
(C) pancreatic enzyme supplementation.
(D) total parenteral nutrition.
(E) nasojejunal enteral feeding.",a clear liquid diet.,peripheral parenteral nutrition.,pancreatic enzyme supplementation.,total parenteral nutrition.,nasojejunal enteral feeding.,"[""a clear liquid diet."", ""peripheral parenteral nutrition."", ""pancreatic enzyme supplementation."", ""nasojejunal enteral feeding.""]","In the case report ""Pancreatopleural fistula in childhood"", the boy in late childhood with recurrent right-sided pleural effusions and confirmed pancreatopleural fistulas was treated with nil per oral status and Octreotide. His nutritional support included total parenteral nutrition.","The patient was treated with nil per oral status, total parenteral nutrition and Octreotide.",Abstract,"Question: Which city is the capital of France?
(A) Paris
(B) Berlin
(C) Madrid
(D) Rome
(E) Lisbon
Answer: (A)

Question: Which planet is the largest in the Solar System?
(A) Earth
(B) Jupiter
(C) Saturn
(D) Venus
(E) Mars
Answer: (B)

Question: What is the chemical formula for water?
(A) CO2
(B) O2
(C) H2O
(D) NaCl
(E) CH4
Answer: (C)

Question: What process do plants use to convert sunlight into chemical energy?
(A) Respiration
(B) Fermentation
(C) Evaporation
(D) Photosynthesis
(E) Condensation
Answer: (D)

Question: What is the primary function of red blood cells?
(A) Transmit nerve signals
(B) Produce bile
(C) Filter lymph
(D) Digest proteins
(E) Carry oxygen
Answer: (E)

Question: In the case report ""Pancreatopleural fistula in childhood"", a boy in late childhood with recurrent right-sided pleural effusions and confirmed pancreatopleural fistulas was treated with nil per oral status, total parenteral nutrition, and Octreotide. What nutritional support was included in his treatment?
(A) a clear liquid diet.
(B) peripheral parenteral nutrition.
(C) pancreatic enzyme supplementation.
(D) total parenteral nutrition.
(E) nasojejunal enteral feeding."
"In the case report ""Pancreatopleural fistula in childhood"", a chest CT was performed after a boy in late childhood presented with recurrent right-sided pleural effusions and respiratory distress. The scan showed right patchy consolidation, hydropneumothorax, and a multiloculated hypodense collection. To what part of the pancreas was that collection tracking?",the tail of the pancreas.,(A),"In the case report ""Pancreatopleural fistula in childhood"", a chest CT was performed after a boy in late childhood presented with recurrent right-sided pleural effusions and respiratory distress. The scan showed right patchy consolidation, hydropneumothorax, and a multiloculated hypodense collection. To what part of the pancreas was that collection tracking?
(A) the tail of the pancreas.
(B) the posterior mediastinum.
(C) the body of the pancreas.
(D) the splenic hilum.
(E) the head of the pancreas.",the tail of the pancreas.,the posterior mediastinum.,the body of the pancreas.,the splenic hilum.,the head of the pancreas.,"[""the posterior mediastinum."", ""the body of the pancreas."", ""the splenic hilum."", ""the head of the pancreas.""]","In the case report ""Pancreatopleural fistula in childhood,"" the chest CT performed after the boy in late childhood presented with recurrent right-sided pleural effusions and respiratory distress showed right patchy consolidation, hydropneumothorax, and a multiloculated hypodense collection tracking to the tail of the pancreas.","A CT scan of the chest showed right patchy consolidation, hydropneumothorax and a multiloculated hypodense collection tracking from the right paraesophageal region to the tail of the pancreas.",Abstract,"Question: Which city is the capital of France?
(A) Paris
(B) Berlin
(C) Madrid
(D) Rome
(E) Lisbon
Answer: (A)

Question: Which planet is the largest in the Solar System?
(A) Earth
(B) Jupiter
(C) Saturn
(D) Venus
(E) Mars
Answer: (B)

Question: What is the chemical formula for water?
(A) CO2
(B) O2
(C) H2O
(D) NaCl
(E) CH4
Answer: (C)

Question: What process do plants use to convert sunlight into chemical energy?
(A) Respiration
(B) Fermentation
(C) Evaporation
(D) Photosynthesis
(E) Condensation
Answer: (D)

Question: What is the primary function of red blood cells?
(A) Transmit nerve signals
(B) Produce bile
(C) Filter lymph
(D) Digest proteins
(E) Carry oxygen
Answer: (E)

Question: In the case report ""Pancreatopleural fistula in childhood"", a chest CT was performed after a boy in late childhood presented with recurrent right-sided pleural effusions and respiratory distress. The scan showed right patchy consolidation, hydropneumothorax, and a multiloculated hypodense collection. To what part of the pancreas was that collection tracking?
(A) the tail of the pancreas.
(B) the posterior mediastinum.
(C) the body of the pancreas.
(D) the splenic hilum.
(E) the head of the pancreas."
"According to the case report ""Pancreatopleural fistula in childhood"", what type of pleural effusion is described as the typical presentation of pancreatopleural fistula (PPF)?","recurrent, massive, blood-stained pleural effusion.",(A),"According to the case report ""Pancreatopleural fistula in childhood"", what type of pleural effusion is described as the typical presentation of pancreatopleural fistula (PPF)?
(A) recurrent, massive, blood-stained pleural effusion.
(B) recurrent, small, straw-coloured pleural effusion
(C) severe epigastric pain radiating to the back with persistent vomiting
(D) recurrent, massive, enzyme-rich ascites with abdominal distension
(E) progressive, painless obstructive jaundice with marked weight loss","recurrent, massive, blood-stained pleural effusion.","recurrent, small, straw-coloured pleural effusion",severe epigastric pain radiating to the back with persistent vomiting,"recurrent, massive, enzyme-rich ascites with abdominal distension","progressive, painless obstructive jaundice with marked weight loss","[""recurrent, small, straw-coloured pleural effusion"", ""severe epigastric pain radiating to the back with persistent vomiting"", ""recurrent, massive, enzyme-rich ascites with abdominal distension"", ""progressive, painless obstructive jaundice with marked weight loss""]","According to the case report ""Pancreatopleural fistula in childhood"", the typical presentation of pancreatopleural fistula (PPF) is recurrent, massive, blood-stained pleural effusion.","Pancreatopleural fistula (PPF) is an extremely rare entity, which presents with recurrent, massive, blood-stained pleural effusion.",Background,"Question: Which city is the capital of France?
(A) Paris
(B) Berlin
(C) Madrid
(D) Rome
(E) Lisbon
Answer: (A)

Question: Which planet is the largest in the Solar System?
(A) Earth
(B) Jupiter
(C) Saturn
(D) Venus
(E) Mars
Answer: (B)

Question: What is the chemical formula for water?
(A) CO2
(B) O2
(C) H2O
(D) NaCl
(E) CH4
Answer: (C)

Question: What process do plants use to convert sunlight into chemical energy?
(A) Respiration
(B) Fermentation
(C) Evaporation
(D) Photosynthesis
(E) Condensation
Answer: (D)

Question: What is the primary function of red blood cells?
(A) Transmit nerve signals
(B) Produce bile
(C) Filter lymph
(D) Digest proteins
(E) Carry oxygen
Answer: (E)

Question: According to the case report ""Pancreatopleural fistula in childhood"", what type of pleural effusion is described as the typical presentation of pancreatopleural fistula (PPF)?
(A) recurrent, massive, blood-stained pleural effusion.
(B) recurrent, small, straw-coloured pleural effusion
(C) severe epigastric pain radiating to the back with persistent vomiting
(D) recurrent, massive, enzyme-rich ascites with abdominal distension
(E) progressive, painless obstructive jaundice with marked weight loss"
"In the case report ""Pancreatopleural fistula in childhood"", during the child's physical examination for 1 week of progressive dyspnea and right-sided chest pain, stony dull percussion was noted over which right-sided chest regions?","right subscapular, right infra-axillary and axillary regions",(E),"In the case report ""Pancreatopleural fistula in childhood"", during the child's physical examination for 1 week of progressive dyspnea and right-sided chest pain, stony dull percussion was noted over which right-sided chest regions?
(A) bilateral basal, posterior and lower axillary regions
(B) right supraclavicular, mammary and inframammary regions
(C) right infrascapular, right infra-axillary and interscapular regions
(D) left subscapular, left infra-axillary and axillary regions
(E) right subscapular, right infra-axillary and axillary regions","bilateral basal, posterior and lower axillary regions","right supraclavicular, mammary and inframammary regions","right infrascapular, right infra-axillary and interscapular regions","left subscapular, left infra-axillary and axillary regions","right subscapular, right infra-axillary and axillary regions","[""bilateral basal, posterior and lower axillary regions"", ""right supraclavicular, mammary and inframammary regions"", ""right infrascapular, right infra-axillary and interscapular regions"", ""left subscapular, left infra-axillary and axillary regions""]","In the case report ""Pancreatopleural fistula in childhood"", during the child's physical examination for 1 week of progressive dyspnea and right-sided chest pain, stony dull percussion was noted over the right subscapular, right infra-axillary and axillary regions","Stony dull percussion was present on the right subscapular, right infra-axillary and axillary regions.",Case presentation,"Question: Which city is the capital of France?
(A) Paris
(B) Berlin
(C) Madrid
(D) Rome
(E) Lisbon
Answer: (A)

Question: Which planet is the largest in the Solar System?
(A) Earth
(B) Jupiter
(C) Saturn
(D) Venus
(E) Mars
Answer: (B)

Question: What is the chemical formula for water?
(A) CO2
(B) O2
(C) H2O
(D) NaCl
(E) CH4
Answer: (C)

Question: What process do plants use to convert sunlight into chemical energy?
(A) Respiration
(B) Fermentation
(C) Evaporation
(D) Photosynthesis
(E) Condensation
Answer: (D)

Question: What is the primary function of red blood cells?
(A) Transmit nerve signals
(B) Produce bile
(C) Filter lymph
(D) Digest proteins
(E) Carry oxygen
Answer: (E)

Question: In the case report ""Pancreatopleural fistula in childhood"", during the child's physical examination for 1 week of progressive dyspnea and right-sided chest pain, stony dull percussion was noted over which right-sided chest regions?
(A) bilateral basal, posterior and lower axillary regions
(B) right supraclavicular, mammary and inframammary regions
(C) right infrascapular, right infra-axillary and interscapular regions
(D) left subscapular, left infra-axillary and axillary regions
(E) right subscapular, right infra-axillary and axillary regions"
"According to the case report ""Pancreatopleural fistula in childhood"", a child with tachypnoea and respiratory distress was shifted to the Pediatric Intensive Care Unit and started on oxygen by mask. At what flow rate was the oxygen administered by mask?",5 l/min.,(C),"According to the case report ""Pancreatopleural fistula in childhood"", a child with tachypnoea and respiratory distress was shifted to the Pediatric Intensive Care Unit and started on oxygen by mask. At what flow rate was the oxygen administered by mask?
(A) 2 l/min.
(B) 4 l/min.
(C) 5 l/min.
(D) 8–9 l/min.
(E) 6 l/min.",2 l/min.,4 l/min.,5 l/min.,8–9 l/min.,6 l/min.,"[""2 l/min."", ""4 l/min."", ""8–9 l/min."", ""6 l/min.""]","According to the case report ""Pancreatopleural fistula in childhood"", a child with tachypnoea and respiratory distress was shifted to the Pediatric Intensive Care Unit and started on oxygen by mask at a flow rate of 5 l/min.","In view of tachypnoea and respiratory distress, the child was shifted to the Pediatric Intensive Care Unit and was started on oxygen by mask @5 l/min.",Case presentation,"Question: Which city is the capital of France?
(A) Paris
(B) Berlin
(C) Madrid
(D) Rome
(E) Lisbon
Answer: (A)

Question: Which planet is the largest in the Solar System?
(A) Earth
(B) Jupiter
(C) Saturn
(D) Venus
(E) Mars
Answer: (B)

Question: What is the chemical formula for water?
(A) CO2
(B) O2
(C) H2O
(D) NaCl
(E) CH4
Answer: (C)

Question: What process do plants use to convert sunlight into chemical energy?
(A) Respiration
(B) Fermentation
(C) Evaporation
(D) Photosynthesis
(E) Condensation
Answer: (D)

Question: What is the primary function of red blood cells?
(A) Transmit nerve signals
(B) Produce bile
(C) Filter lymph
(D) Digest proteins
(E) Carry oxygen
Answer: (E)

Question: According to the case report ""Pancreatopleural fistula in childhood"", a child with tachypnoea and respiratory distress was shifted to the Pediatric Intensive Care Unit and started on oxygen by mask. At what flow rate was the oxygen administered by mask?
(A) 2 l/min.
(B) 4 l/min.
(C) 5 l/min.
(D) 8–9 l/min.
(E) 6 l/min."
"According to the case report ""Pancreatopleural fistula in childhood"", a boy in late childhood presented with progressive difficulty breathing and right-sided chest pain, and bedside lung ultrasound was performed during this evaluation. What did the ultrasound reveal?",pleural effusion.,(C),"According to the case report ""Pancreatopleural fistula in childhood"", a boy in late childhood presented with progressive difficulty breathing and right-sided chest pain, and bedside lung ultrasound was performed during this evaluation. What did the ultrasound reveal?
(A) pneumothorax.
(B) right-sided costophrenic angle blunting.
(C) pleural effusion.
(D) pericardial effusion.
(E) lung consolidation.",pneumothorax.,right-sided costophrenic angle blunting.,pleural effusion.,pericardial effusion.,lung consolidation.,"[""pneumothorax."", ""right-sided costophrenic angle blunting."", ""pericardial effusion."", ""lung consolidation.""]","According to the case report ""Pancreatopleural fistula in childhood"", during the evaluation of a boy in late childhood who presented with progressive difficulty breathing and right-sided chest pain, bedside lung ultrasound revealed pleural effusion.",Bedside lung ultrasound was done which revealed pleural effusion of around one litre (figure 2) (Table 2).,Case presentation,"Question: Which city is the capital of France?
(A) Paris
(B) Berlin
(C) Madrid
(D) Rome
(E) Lisbon
Answer: (A)

Question: Which planet is the largest in the Solar System?
(A) Earth
(B) Jupiter
(C) Saturn
(D) Venus
(E) Mars
Answer: (B)

Question: What is the chemical formula for water?
(A) CO2
(B) O2
(C) H2O
(D) NaCl
(E) CH4
Answer: (C)

Question: What process do plants use to convert sunlight into chemical energy?
(A) Respiration
(B) Fermentation
(C) Evaporation
(D) Photosynthesis
(E) Condensation
Answer: (D)

Question: What is the primary function of red blood cells?
(A) Transmit nerve signals
(B) Produce bile
(C) Filter lymph
(D) Digest proteins
(E) Carry oxygen
Answer: (E)

Question: According to the case report ""Pancreatopleural fistula in childhood"", a boy in late childhood presented with progressive difficulty breathing and right-sided chest pain, and bedside lung ultrasound was performed during this evaluation. What did the ultrasound reveal?
(A) pneumothorax.
(B) right-sided costophrenic angle blunting.
(C) pleural effusion.
(D) pericardial effusion.
(E) lung consolidation."
"In the case report ""Pancreatopleural fistula in childhood"", a boy presented with 1 week of progressive dyspnea and right-sided chest pain, and his chest X-ray was obtained during the initial workup for respiratory distress. What did the chest X-ray reveal on the right side?",right-sided pleural effusion.,(D),"In the case report ""Pancreatopleural fistula in childhood"", a boy presented with 1 week of progressive dyspnea and right-sided chest pain, and his chest X-ray was obtained during the initial workup for respiratory distress. What did the chest X-ray reveal on the right side?
(A) right-sided pneumothorax.
(B) left-sided pleural effusion.
(C) cardiomegaly with bilateral pulmonary edema.
(D) right-sided pleural effusion.
(E) blunting of the left-sided costophrenic angle.",right-sided pneumothorax.,left-sided pleural effusion.,cardiomegaly with bilateral pulmonary edema.,right-sided pleural effusion.,blunting of the left-sided costophrenic angle.,"[""right-sided pneumothorax."", ""left-sided pleural effusion."", ""cardiomegaly with bilateral pulmonary edema."", ""blunting of the left-sided costophrenic angle.""]","In the case report ""Pancreatopleural fistula in childhood,"" during the initial workup for respiratory distress in a boy who presented with 1 week of progressive dyspnea and right-sided chest pain, the chest X-ray revealed right-sided pleural effusion.",Chest X-ray revealed right-sided pleural effusion with blunting of right-sided costophrenic angle (figure 1) (Table 2).,Case presentation,"Question: Which city is the capital of France?
(A) Paris
(B) Berlin
(C) Madrid
(D) Rome
(E) Lisbon
Answer: (A)

Question: Which planet is the largest in the Solar System?
(A) Earth
(B) Jupiter
(C) Saturn
(D) Venus
(E) Mars
Answer: (B)

Question: What is the chemical formula for water?
(A) CO2
(B) O2
(C) H2O
(D) NaCl
(E) CH4
Answer: (C)

Question: What process do plants use to convert sunlight into chemical energy?
(A) Respiration
(B) Fermentation
(C) Evaporation
(D) Photosynthesis
(E) Condensation
Answer: (D)

Question: What is the primary function of red blood cells?
(A) Transmit nerve signals
(B) Produce bile
(C) Filter lymph
(D) Digest proteins
(E) Carry oxygen
Answer: (E)

Question: In the case report ""Pancreatopleural fistula in childhood"", a boy presented with 1 week of progressive dyspnea and right-sided chest pain, and his chest X-ray was obtained during the initial workup for respiratory distress. What did the chest X-ray reveal on the right side?
(A) right-sided pneumothorax.
(B) left-sided pleural effusion.
(C) cardiomegaly with bilateral pulmonary edema.
(D) right-sided pleural effusion.
(E) blunting of the left-sided costophrenic angle."
"According to the case report ""Pancreatopleural fistula in childhood"", pancreatopleural fistula is described as being observed in acute pancreatitis, chronic pancreatitis, and which other condition?",pancreatic trauma.,(D),"According to the case report ""Pancreatopleural fistula in childhood"", pancreatopleural fistula is described as being observed in acute pancreatitis, chronic pancreatitis, and which other condition?
(A) pleural effusion
(B) pancreatic carcinoma
(C) biliary obstruction
(D) pancreatic trauma.
(E) pancreatic ascites",pleural effusion,pancreatic carcinoma,biliary obstruction,pancreatic trauma.,pancreatic ascites,"[""pleural effusion"", ""pancreatic carcinoma"", ""biliary obstruction"", ""pancreatic ascites""]","According to the case report ""Pancreatopleural fistula in childhood"", pancreatopleural fistula is described as being observed in cases of acute pancreatitis, chronic pancreatitis, and pancreatic trauma.","It is observed in cases of acute pancreatitis, chronic pancreatitis and pancreatic trauma.",Background,"Question: Which city is the capital of France?
(A) Paris
(B) Berlin
(C) Madrid
(D) Rome
(E) Lisbon
Answer: (A)

Question: Which planet is the largest in the Solar System?
(A) Earth
(B) Jupiter
(C) Saturn
(D) Venus
(E) Mars
Answer: (B)

Question: What is the chemical formula for water?
(A) CO2
(B) O2
(C) H2O
(D) NaCl
(E) CH4
Answer: (C)

Question: What process do plants use to convert sunlight into chemical energy?
(A) Respiration
(B) Fermentation
(C) Evaporation
(D) Photosynthesis
(E) Condensation
Answer: (D)

Question: What is the primary function of red blood cells?
(A) Transmit nerve signals
(B) Produce bile
(C) Filter lymph
(D) Digest proteins
(E) Carry oxygen
Answer: (E)

Question: According to the case report ""Pancreatopleural fistula in childhood"", pancreatopleural fistula is described as being observed in acute pancreatitis, chronic pancreatitis, and which other condition?
(A) pleural effusion
(B) pancreatic carcinoma
(C) biliary obstruction
(D) pancreatic trauma.
(E) pancreatic ascites"
