row_1based,decision,issue_type,reason,old_target,new_target,old_probe,new_probe,old_fact,new_fact
1,keep,,"Retained: source-framed, meaningful, source-backed target with no v13 repair needed.", symptoms., symptoms.,"In the case report ""Multiphasic anaphylaxis in the emergency and intensive care setting,"" the abstract notes that anaphylaxis can have a subset of cases in which there is recurrence after adequate care and a full clinical response, and the recurrence may involve","In the case report ""Multiphasic anaphylaxis in the emergency and intensive care setting,"" the abstract notes that anaphylaxis can have a subset of cases in which there is recurrence after adequate care and a full clinical response, and the recurrence may involve","In the case report ""Multiphasic anaphylaxis in the emergency and intensive care setting,"" the abstract notes that anaphylaxis can have a subset of cases in which there is recurrence after adequate care and a full clinical response, and the recurrence may involve symptoms.","In the case report ""Multiphasic anaphylaxis in the emergency and intensive care setting,"" the abstract notes that anaphylaxis can have a subset of cases in which there is recurrence after adequate care and a full clinical response, and the recurrence may involve symptoms."
2,repair,poor_wording,Old fact/probe misleadingly treated the abstract-level statement about a subset of cases as a patient-specific fact; repaired to preserve the source-backed generic statement., full clinical response., full clinical response.,"According to the case report ""Multiphasic anaphylaxis in the emergency and intensive care setting"", the patient had achieved","According to the case report ""Multiphasic anaphylaxis in the emergency and intensive care setting"", the abstract notes that a subset of anaphylaxis cases can have symptom recurrence despite adequate care and","According to the case report ""Multiphasic anaphylaxis in the emergency and intensive care setting"", the patient had achieved full clinical response.","According to the case report ""Multiphasic anaphylaxis in the emergency and intensive care setting"", the abstract notes that a subset of anaphylaxis cases can have symptom recurrence despite adequate care and full clinical response."
3,keep,,"Retained: source-framed, meaningful, source-backed target with no v13 repair needed.", epinephrine., epinephrine.,"In the case report ""Multiphasic anaphylaxis in the emergency and intensive care setting,"" multiple relapses occurred despite an initial adequate response. The standard treatment mentioned for this multiphasic anaphylaxis was","In the case report ""Multiphasic anaphylaxis in the emergency and intensive care setting,"" multiple relapses occurred despite an initial adequate response. The standard treatment mentioned for this multiphasic anaphylaxis was","In the case report ""Multiphasic anaphylaxis in the emergency and intensive care setting,"" multiple relapses occurred despite an initial adequate response. The standard treatment mentioned for this multiphasic anaphylaxis was epinephrine.","In the case report ""Multiphasic anaphylaxis in the emergency and intensive care setting,"" multiple relapses occurred despite an initial adequate response. The standard treatment mentioned for this multiphasic anaphylaxis was epinephrine."
4,keep,,"Retained: source-framed, meaningful, source-backed target with no v13 repair needed.", clarithromycin., clarithromycin.,"In the case report ""Multiphasic anaphylaxis in the emergency and intensive care setting"", a woman in her 60s developed multiphasic anaphylaxis after receiving this medication,","In the case report ""Multiphasic anaphylaxis in the emergency and intensive care setting"", a woman in her 60s developed multiphasic anaphylaxis after receiving this medication,","In the case report ""Multiphasic anaphylaxis in the emergency and intensive care setting"", a woman in her 60s developed multiphasic anaphylaxis after receiving this medication, clarithromycin.","In the case report ""Multiphasic anaphylaxis in the emergency and intensive care setting"", a woman in her 60s developed multiphasic anaphylaxis after receiving this medication, clarithromycin."
5,keep,,"Retained: source-framed, meaningful, source-backed target with no v13 repair needed.", to emergency care., to emergency care.,"According to the case report ""Multiphasic anaphylaxis in the emergency and intensive care setting"", anaphylaxis is described as a severe, potentially life-threatening allergic reaction, especially in anaphylactic shock, and it is also noted to be a common cause of presentation","According to the case report ""Multiphasic anaphylaxis in the emergency and intensive care setting"", anaphylaxis is described as a severe, potentially life-threatening allergic reaction, especially in anaphylactic shock, and it is also noted to be a common cause of presentation","According to the case report ""Multiphasic anaphylaxis in the emergency and intensive care setting"", anaphylaxis is described as a severe, potentially life-threatening allergic reaction, especially in anaphylactic shock, and it is also noted to be a common cause of presentation to emergency care.","According to the case report ""Multiphasic anaphylaxis in the emergency and intensive care setting"", anaphylaxis is described as a severe, potentially life-threatening allergic reaction, especially in anaphylactic shock, and it is also noted to be a common cause of presentation to emergency care."
6,keep,,"Retained: source-framed, meaningful, source-backed target with no v13 repair needed.", 0.4% to 23.3%, 0.4% to 23.3%,"According to the case report ""Multiphasic anaphylaxis in the emergency and intensive care setting"", the reported incidence of biphasic anaphylaxis in the literature has ranged from","According to the case report ""Multiphasic anaphylaxis in the emergency and intensive care setting"", the reported incidence of biphasic anaphylaxis in the literature has ranged from","According to the case report ""Multiphasic anaphylaxis in the emergency and intensive care setting"", the reported incidence of biphasic anaphylaxis in the literature has ranged from 0.4% to 23.3%","According to the case report ""Multiphasic anaphylaxis in the emergency and intensive care setting"", the reported incidence of biphasic anaphylaxis in the literature has ranged from 0.4% to 23.3%"
7,keep,,"Retained: source-framed, meaningful, source-backed target with no v13 repair needed.", 4% and 6%, 4% and 6%,"According to the case report ""Multiphasic anaphylaxis in the emergency and intensive care setting"", most data suggest that the incidence range for biphasic anaphylaxis is","According to the case report ""Multiphasic anaphylaxis in the emergency and intensive care setting"", most data suggest that the incidence range for biphasic anaphylaxis is","According to the case report ""Multiphasic anaphylaxis in the emergency and intensive care setting"", most data suggest that the incidence range for biphasic anaphylaxis is 4% and 6%","According to the case report ""Multiphasic anaphylaxis in the emergency and intensive care setting"", most data suggest that the incidence range for biphasic anaphylaxis is 4% and 6%"
8,repair,source_framing_issue,Added the required case-report title to the otherwise source-backed probe., anaphylaxis., anaphylaxis.,"According to the case report, a period of observation is commonly advised after symptoms initially resolve fully because of possible relapse in","According to the case report ""Multiphasic anaphylaxis in the emergency and intensive care setting"", a period of observation is commonly advised after symptoms initially resolve fully because of possible relapse in","According to the case report, a period of observation is commonly advised after symptoms initially resolve fully because of possible relapse in anaphylaxis.","According to the case report ""Multiphasic anaphylaxis in the emergency and intensive care setting"", a period of observation is commonly advised after symptoms initially resolve fully because of possible relapse in anaphylaxis."
9,keep,,"Retained: source-framed, meaningful, source-backed target with no v13 repair needed.", treatment and observation protocols., treatment and observation protocols.,"According to the case report ""Multiphasic anaphylaxis in the emergency and intensive care setting"", multiphasic anaphylaxis, which is described as presenting with multiple episodes of symptom recurrence, makes it a special challenge with regard to","According to the case report ""Multiphasic anaphylaxis in the emergency and intensive care setting"", multiphasic anaphylaxis, which is described as presenting with multiple episodes of symptom recurrence, makes it a special challenge with regard to","According to the case report ""Multiphasic anaphylaxis in the emergency and intensive care setting"", multiphasic anaphylaxis, which is described as presenting with multiple episodes of symptom recurrence, makes it a special challenge with regard to treatment and observation protocols.","According to the case report ""Multiphasic anaphylaxis in the emergency and intensive care setting"", multiphasic anaphylaxis, which is described as presenting with multiple episodes of symptom recurrence, makes it a special challenge with regard to treatment and observation protocols."
10,keep,,"Retained: source-framed, meaningful, source-backed target with no v13 repair needed.", clarithromycin., clarithromycin.,"According to the case report ""Multiphasic anaphylaxis in the emergency and intensive care setting"", a woman in her 60s had a multiphasic anaphylactic reaction that was attributed to","According to the case report ""Multiphasic anaphylaxis in the emergency and intensive care setting"", a woman in her 60s had a multiphasic anaphylactic reaction that was attributed to","According to the case report ""Multiphasic anaphylaxis in the emergency and intensive care setting"", a woman in her 60s had a multiphasic anaphylactic reaction that was attributed to clarithromycin.","According to the case report ""Multiphasic anaphylaxis in the emergency and intensive care setting"", a woman in her 60s had a multiphasic anaphylactic reaction that was attributed to clarithromycin."
