row_index,keep,drop_reason,review_notes,replacement_probe,replacement_target,duplicate_of
0,false,duplicate,Coronary-obstruction/no-protection concept is covered more precisely by row 2.,,,2
1,true,keep,Combines extensive prior valve fixation with the likely surgical consequence.,,,
2,true,keep,Uses CT assessment and adequate clearance to explain why coronary protection could be omitted.,,,
3,true,keep,Correctly identifies the paired haemodynamic and coronary-access goals served by high implantation.,,,
4,false,recall_not_composition,The target phrase is directly stated in the source and largely restates row 3 at a higher level.,,,
5,false,duplicate,"Same omitted-coronary-protection concept as row 2, but less compositional.",,,2
6,true,keep,Compares immediate severe PPM with 1-month haemodynamic improvement and residual stenosis category.,,,
7,false,duplicate,Duplicates the severe-PPM improvement concept captured more fully in row 6.,,,6
8,false,duplicate,"Overlaps with row 10 on infection resolution as the prerequisite, while relying on a nearly verbatim source sentence.",,,10
9,true,keep,Combines serial follow-up findings with the authors' durability conclusion.,,,
10,true,keep,"Combines clinical, microbiological and imaging confirmation to identify infection resolution as prerequisite.",,,
11,true,keep,Contrasts recovered EF with persistent/worsening prosthetic valve dysfunction as the reintervention driver.,,,
12,false,duplicate,Coronary-obstruction avoidance is already covered by row 2 with clearer planning logic.,,,2
13,true,keep,Combines Acurate neo2 design features into the dual goals of haemodynamics and coronary access.,,,
14,true,keep,Synthesizes early EF improvement with rapid subsequent restenosis/PVE to characterize limited durability.,,,
15,false,duplicate,Duplicates row 10 on resolution of infection as the key prerequisite.,,,10
16,true,keep,Uses the residual cumulative mesh-burden concern after attempted alignment to infer impaired future coronary access.,,,
17,false,duplicate,Future coronary-access difficulty is already addressed by row 16 and the high-implantation/alignment probes.,,,16
18,false,duplicate,"Immediate severe PPM is already retained in row 6, which better tests change over time.",,,6
19,false,duplicate,Choice of third TAVI is captured more comprehensively by the combined-justification probe in row 24.,,,24
20,false,recall_not_composition,The proposed mechanism is taken from one source sentence and the derivation largely restates it.,,,
21,true,keep,Combines growing serial-intervention complexity with scarce future rescue options to infer long-term planning.,,,
22,true,keep,Combines the evidence gap with this patient's course to identify the rarely documented scenario.,,,
23,false,bad_target,The completion is awkward and ungrammatical after the probe; the source phrasing would require a different target shape.,,,
24,true,keep,"Compresses the resolved infection, prohibitive surgical risk and CT feasibility factors into the 2024 intervention rationale.",,,
