probe,target,correct_label,formatted_question,option_a,option_b,option_c,option_d,option_e,distractors,fact,raw_knowledge_statement,section
"According to the case report ""Dermatomyositis masquerading as angioedema: a crucial differential not to overlook"", dermatomyositis has a bimodal age distribution, with peak onset in adults at",45–64 years.,(A),"According to the case report ""Dermatomyositis masquerading as angioedema: a crucial differential not to overlook"", dermatomyositis has a bimodal age distribution, with peak onset in adults at
(A) 45–64 years.
(B) 20–39 years.
(C) 25–44 years.
(D) 5–14 years.
(E) 65–84 years.",45–64 years.,20–39 years.,25–44 years.,5–14 years.,65–84 years.,"[""5\u201314 years."", ""20\u201339 years."", ""25\u201344 years."", ""65\u201384 years.""]","According to the case report ""Dermatomyositis masquerading as angioedema: a crucial differential not to overlook"", dermatomyositis has a bimodal age distribution, with peak onset in adults at 45–64 years.","It has a bimodal distribution, with a peak onset in children aged 5–14 years and in adults aged 45–64 years.",Background
"According to the case report ""Dermatomyositis masquerading as angioedema: a crucial differential not to overlook"", a previously well man in his 40s initially came to the emergency department before any diagnosis was made because of",severe neck swelling.,(B),"According to the case report ""Dermatomyositis masquerading as angioedema: a crucial differential not to overlook"", a previously well man in his 40s initially came to the emergency department before any diagnosis was made because of
(A) an acute anaphylactic reaction
(B) severe neck swelling.
(C) a suspected deep neck space infection
(D) progressive proximal muscle weakness
(E) a heliotrope rash with periorbital oedema",an acute anaphylactic reaction,severe neck swelling.,a suspected deep neck space infection,progressive proximal muscle weakness,a heliotrope rash with periorbital oedema,"[""progressive proximal muscle weakness"", ""a suspected deep neck space infection"", ""a heliotrope rash with periorbital oedema"", ""an acute anaphylactic reaction""]","According to the case report ""Dermatomyositis masquerading as angioedema: a crucial differential not to overlook"", a previously well man in his 40s initially came to the emergency department before any diagnosis was made because of severe neck swelling.",A previously well male in his 40s initially presented to an emergency department with severe neck swelling.,Abstract
"According to the case report ""Dermatomyositis masquerading as angioedema: a crucial differential not to overlook"", a cited study found that pseudoangioedema was present in",8 out of 121,(D),"According to the case report ""Dermatomyositis masquerading as angioedema: a crucial differential not to overlook"", a cited study found that pseudoangioedema was present in
(A) 10 out of 121
(B) 8 out of 100
(C) 8 out of 112
(D) 8 out of 121
(E) 12 out of 121",10 out of 121,8 out of 100,8 out of 112,8 out of 121,12 out of 121,"[""10 out of 121"", ""8 out of 112"", ""12 out of 121"", ""8 out of 100""]","According to the case report ""Dermatomyositis masquerading as angioedema: a crucial differential not to overlook"", a cited study found that pseudoangioedema was present in 8 out of 121","Pseudoangioedema is uncommon in dermatomyositis, with one study finding it was present in only 8 out of 121 patients diagnosed with dermatomyositis.",Background
"In the case report ""Dermatomyositis masquerading as angioedema: a crucial differential not to overlook"", the reported patient had non-histamine and non-bradykinin-mediated neck swelling accompanied by significant muscle involvement and",dysphagia.,(D),"In the case report ""Dermatomyositis masquerading as angioedema: a crucial differential not to overlook"", the reported patient had non-histamine and non-bradykinin-mediated neck swelling accompanied by significant muscle involvement and
(A) stridor.
(B) odynophagia.
(C) dysphonia.
(D) dysphagia.
(E) urticaria.",stridor.,odynophagia.,dysphonia.,dysphagia.,urticaria.,"[""odynophagia."", ""dysphonia."", ""urticaria."", ""stridor.""]","In the case report ""Dermatomyositis masquerading as angioedema: a crucial differential not to overlook"", the reported patient had non-histamine and non-bradykinin-mediated neck swelling accompanied by significant muscle involvement and dysphagia.",This case highlights non-histamine and non-bradykinin-mediated neck swelling as an unusual presentation of dermatomyositis that manifested with dysphagia and significant muscle involvement requiring prompt treatment.,Abstract
"According to the case report ""Dermatomyositis masquerading as angioedema: a crucial differential not to overlook"", during the investigation for suspected angioedema, the patient's C1 esterase function and C1 esterase quantification were",within the normal range.,(C),"According to the case report ""Dermatomyositis masquerading as angioedema: a crucial differential not to overlook"", during the investigation for suspected angioedema, the patient's C1 esterase function and C1 esterase quantification were
(A) normal in function but reduced in quantification.
(B) below the normal range.
(C) within the normal range.
(D) elevated, in keeping with the positive ANA titre.
(E) indeterminate, necessitating repeat testing for hereditary angioedema.",normal in function but reduced in quantification.,below the normal range.,within the normal range.,"elevated, in keeping with the positive ANA titre.","indeterminate, necessitating repeat testing for hereditary angioedema.","[""below the normal range."", ""normal in function but reduced in quantification."", ""elevated, in keeping with the positive ANA titre."", ""indeterminate, necessitating repeat testing for hereditary angioedema.""]","According to the case report ""Dermatomyositis masquerading as angioedema: a crucial differential not to overlook"", during the investigation for suspected angioedema, the patient's C1 esterase function and C1 esterase quantification were within the normal range.",His C3 and C4 complement levels were normal and the C1 esterase function and quantification were within the normal range.,Investigations
"According to the case report ""Dermatomyositis masquerading as angioedema: a crucial differential not to overlook"", a myositis antibody panel consisting of 16 antigens linked to autoimmune inflammatory myopathy was performed during the patient’s investigation using a",Euroimmun Euroline immunoassay,(C),"According to the case report ""Dermatomyositis masquerading as angioedema: a crucial differential not to overlook"", a myositis antibody panel consisting of 16 antigens linked to autoimmune inflammatory myopathy was performed during the patient’s investigation using a
(A) enzyme-linked immunosorbent assay
(B) HEp-2 cell indirect immunofluorescence assay
(C) Euroimmun Euroline immunoassay
(D) C1 esterase inhibitor functional assay
(E) multiplex bead-based immunoassay",enzyme-linked immunosorbent assay,HEp-2 cell indirect immunofluorescence assay,Euroimmun Euroline immunoassay,C1 esterase inhibitor functional assay,multiplex bead-based immunoassay,"[""HEp-2 cell indirect immunofluorescence assay"", ""enzyme-linked immunosorbent assay"", ""multiplex bead-based immunoassay"", ""C1 esterase inhibitor functional assay""]","According to the case report ""Dermatomyositis masquerading as angioedema: a crucial differential not to overlook"", a myositis antibody panel consisting of 16 antigens linked to autoimmune inflammatory myopathy was performed during the patient’s investigation using a Euroimmun Euroline immunoassay",A myositis antibody panel consisting of 16 antigens linked to autoimmune inflammatory myopathy was performed via Euroimmun Euroline immunoassay.,Investigations
"According to the case report ""Dermatomyositis masquerading as angioedema: a crucial differential not to overlook"", a previously well man in his 40s presented with severe neck swelling and was first reviewed by ear, nose and throat surgeons, who were considering a probable diagnosis of",deep neck space infection.,(E),"According to the case report ""Dermatomyositis masquerading as angioedema: a crucial differential not to overlook"", a previously well man in his 40s presented with severe neck swelling and was first reviewed by ear, nose and throat surgeons, who were considering a probable diagnosis of
(A) cervical cellulitis.
(B) hereditary angioedema.
(C) superior vena cava syndrome.
(D) idiopathic angioedema.
(E) deep neck space infection.",cervical cellulitis.,hereditary angioedema.,superior vena cava syndrome.,idiopathic angioedema.,deep neck space infection.,"[""idiopathic angioedema."", ""cervical cellulitis."", ""superior vena cava syndrome."", ""hereditary angioedema.""]","According to the case report ""Dermatomyositis masquerading as angioedema: a crucial differential not to overlook"", a previously well man in his 40s presented with severe neck swelling and was first reviewed by ear, nose and throat surgeons, who were considering a probable diagnosis of deep neck space infection.","He was reviewed initially by ear, nose and throat surgeons for a probable deep neck space infection.",Abstract
"According to the case report ""Dermatomyositis masquerading as angioedema: a crucial differential not to overlook"", pulmonary function testing performed during the evaluation of the patient's progressive neck swelling and muscle weakness showed",no significant bronchodilator response.,(C),"According to the case report ""Dermatomyositis masquerading as angioedema: a crucial differential not to overlook"", pulmonary function testing performed during the evaluation of the patient's progressive neck swelling and muscle weakness showed
(A) an obstructive ventilatory pattern with marked reversibility.
(B) a significant bronchodilator response.
(C) no significant bronchodilator response.
(D) an isolated reduction in diffusing capacity consistent with interstitial lung disease.
(E) normal spirometry without evidence of restriction or obstruction.",an obstructive ventilatory pattern with marked reversibility.,a significant bronchodilator response.,no significant bronchodilator response.,an isolated reduction in diffusing capacity consistent with interstitial lung disease.,normal spirometry without evidence of restriction or obstruction.,"[""a significant bronchodilator response."", ""an obstructive ventilatory pattern with marked reversibility."", ""an isolated reduction in diffusing capacity consistent with interstitial lung disease."", ""normal spirometry without evidence of restriction or obstruction.""]","According to the case report ""Dermatomyositis masquerading as angioedema: a crucial differential not to overlook"", pulmonary function testing performed during the evaluation of the patient's progressive neck swelling and muscle weakness showed no significant bronchodilator response.","Pulmonary function tests revealed an extrathoracic restrictive pattern, with no significant bronchodilator response.",Investigations
"According to the case report ""Dermatomyositis masquerading as angioedema: a crucial differential not to overlook"", the patient with significant airway muscle involvement was treated with 3 days of intravenous methylprednisolone at a daily dose of",1000 mg daily.,(E),"According to the case report ""Dermatomyositis masquerading as angioedema: a crucial differential not to overlook"", the patient with significant airway muscle involvement was treated with 3 days of intravenous methylprednisolone at a daily dose of
(A) 250 mg daily.
(B) 500 mg daily.
(C) 60 mg daily.
(D) 125 mg daily.
(E) 1000 mg daily.",250 mg daily.,500 mg daily.,60 mg daily.,125 mg daily.,1000 mg daily.,"[""60\u2009mg daily."", ""500\u2009mg daily."", ""125\u2009mg daily."", ""250\u2009mg daily.""]","According to the case report ""Dermatomyositis masquerading as angioedema: a crucial differential not to overlook"", the patient with significant airway muscle involvement was treated with 3 days of intravenous methylprednisolone at a daily dose of 1000 mg daily.","Due to significant airway muscle involvement, the patient underwent 3 days of intravenous methylprednisolone treatment, at a dose of 1000 mg daily.",Treatment
"In the case report ""Dermatomyositis masquerading as angioedema: a crucial differential not to overlook"", after the patient completed 3 days of intravenous methylprednisolone for significant airway muscle involvement, the starting dose of the prednisone tapering regimen was",60 mg daily,(B),"In the case report ""Dermatomyositis masquerading as angioedema: a crucial differential not to overlook"", after the patient completed 3 days of intravenous methylprednisolone for significant airway muscle involvement, the starting dose of the prednisone tapering regimen was
(A) 50 mg daily
(B) 60 mg daily
(C) 1000 mg daily
(D) 1 mg/kg daily
(E) 40 mg daily",50 mg daily,60 mg daily,1000 mg daily,1 mg/kg daily,40 mg daily,"[""50\u2009mg daily"", ""40\u2009mg daily"", ""1\u2009mg/kg daily"", ""1000\u2009mg daily""]","In the case report ""Dermatomyositis masquerading as angioedema: a crucial differential not to overlook"", after the patient completed 3 days of intravenous methylprednisolone for significant airway muscle involvement, the starting dose of the prednisone tapering regimen was 60 mg daily","He was then stepped down to a prednisone tapering regimen starting at 60 mg daily, weaned by 5 mg every 2 to 3 weeks.",Treatment
