v13_row_0based,v13_row_1based,decision,issue_type,filter_reason,review_reason,probe,target,fact,raw_knowledge_statement,section
11,12,keep_rejected,too_generic_target|weak_distractor_space,"It fails criterion 3 because the target, ""state-of-the-art results,"" is a generic evaluative phrase with little conceptual depth, making it hard to create five meaningful, discriminative answer choices.",Target remains too generic or low-information for restoration.,"According to the paper ""QLoRA: Efficient Finetuning of Quantized LLMs"", QLoRA finetuning on a small high-quality dataset achieves, even when using smaller models than previous methods,",state-of-the-art results.,"According to the paper ""QLoRA: Efficient Finetuning of Quantized LLMs"", QLoRA finetuning on a small high-quality dataset achieves, even when using smaller models than previous methods, state-of-the-art results.","Our results show that QLoRA finetuning on a small high-quality dataset leads to state-of-the-art results, even when using smaller models than the previous SoTA.",Title/Abstract
15,16,keep_rejected,unsupported_or_unclear,"It is incorrectly formulated (criterion 5) because the source says the benchmarks are not trustworthy for accurately evaluating the performance levels of chatbots, not simply for assessing 'chatbots,' and the target is also too generic to support strong distractors.","Question or target is malformed, incomplete, ambiguous, or not source-faithful enough to restore.","According to the paper ""QLoRA: Efficient Finetuning of Quantized LLMs"", the authors find that current benchmark evaluations are not trustworthy for accurately assessing",chatbots.,"According to the paper ""QLoRA: Efficient Finetuning of Quantized LLMs"", the authors find that current benchmark evaluations are not trustworthy for accurately assessing chatbots.","Furthermore, we find that current chatbot benchmarks are not trustworthy to accurately evaluate the performance levels of chatbots.",Title/Abstract
16,17,keep_rejected,tautological_stem|weak_distractor_space,"It fails criterion 1 because the target simply restates the probe’s wording ('a highly effective way to improve the performance of LLMs and add/remove behaviors is...'), making the answer essentially tautological.",Visible stem makes the completion too easy or too weakly distractible.,"According to the paper ""QLoRA: Efficient Finetuning of Quantized LLMs"", a highly effective way to improve the performance of large language models (LLMs) and to add desirable or remove undesirable behaviors is",Finetuning large language models (LLMs).,"According to the paper ""QLoRA: Efficient Finetuning of Quantized LLMs"", a highly effective way to improve the performance of large language models (LLMs) and to add desirable or remove undesirable behaviors is Finetuning large language models (LLMs).","Finetuning large language models (LLMs) is a highly effective way to improve their performance, \citep{min2021metaicl, wei2021finetuned, ouyang2022training, wang2022super, wang2022self, liu2022few} and to add desirable or remove undesirable behaviors \citep{ouyang2022training,askell2021general,bai2022training}.",Introduction
18,19,keep_rejected,unsupported_or_unclear,"It fails criterion 5 because the probe asks for an exact memory requirement, but the source fact states it requires more than 780 GB, so the provided target '780 GB' is not precisely formulated.","Question or target is malformed, incomplete, ambiguous, or not source-faithful enough to restore.","According to the paper ""QLoRA: Efficient Finetuning of Quantized LLMs"", regular 16-bit finetuning of a LLaMA 65B parameter model requires",780 GB.,"According to the paper ""QLoRA: Efficient Finetuning of Quantized LLMs"", regular 16-bit finetuning of a LLaMA 65B parameter model requires 780 GB.","However, finetuning very large models is prohibitively expensive; regular 16-bit finetuning of a LLaMA 65B parameter model~\citep{touvron2023llama} requires more than 780 GB of GPU memory.",Introduction
20,21,keep_rejected,near_binary_answer_space,"It fails criterion 4 because the completion is essentially a binary contrast ('inference' vs. training), making it hard to construct five natural, meaningful distractors.",Answer space is too narrow for robust five-option MCQA.,"According to the paper ""QLoRA: Efficient Finetuning of Quantized LLMs"", recent quantization methods that reduce the memory footprint of LLMs are said to work only for",inference.,"According to the paper ""QLoRA: Efficient Finetuning of Quantized LLMs"", recent quantization methods that reduce the memory footprint of LLMs are said to work only for inference.","While recent quantization methods can reduce the memory footprint of LLMs \citep{dettmers2022llm, dettmers2022case, frantar2022gptq, xiao2022smoothquant}, such techniques only work for inference and break down during training \citep{wortsman2023stable}.",Introduction
44,45,keep_rejected,too_generic_target|weak_distractor_space,"Fails criterion 3: the target 'the best response' is a trivially short, generic phrase that offers little conceptual depth and would make it hard to create five meaningful distractors.",Target remains too generic or low-information for restoration.,"According to the paper ""QLoRA: Efficient Finetuning of Quantized LLMs"", in the tournament-style benchmarking used to evaluate chatbot performance, models compete against each other in matches to determine",the best response.,"According to the paper ""QLoRA: Efficient Finetuning of Quantized LLMs"", in the tournament-style benchmarking used to evaluate chatbot performance, models compete against each other in matches to determine the best response.",We use tournament-style benchmarking where models compete against each other in matches to produce the best response for a given prompt.,Introduction
48,49,keep_rejected,unsupported_or_unclear,"It is incorrectly formulated (criterion 5) because the source fact says model-based evaluation provides a cheap alternative to human annotation, while the probe truncates that relation and leaves an overly vague target phrase.","Question or target is malformed, incomplete, ambiguous, or not source-faithful enough to restore.","According to the paper ""QLoRA: Efficient Finetuning of Quantized LLMs"", in the authors' discussion of chatbot benchmark evaluation, model-based evaluation provides",a cheap alternative.,"According to the paper ""QLoRA: Efficient Finetuning of Quantized LLMs"", in the authors' discussion of chatbot benchmark evaluation, model-based evaluation provides a cheap alternative.","As such, we highlight that model-based evaluation while providing a cheap alternative to human-annotation also has its uncertainties.",Introduction
49,50,keep_rejected,too_generic_target|weak_distractor_space,"It is unsuitable under criterion 3 because the target ""its uncertainties"" is a generic, low-information phrase rather than a distinct concept or named entity, making it hard to build five meaningful options.",Target remains too generic or low-information for restoration.,"According to the paper ""QLoRA: Efficient Finetuning of Quantized LLMs"", besides being a cheap alternative to human annotation in the chatbot benchmark tournaments evaluated by GPT-4 or human annotators, model-based evaluation also has",its uncertainties,"According to the paper ""QLoRA: Efficient Finetuning of Quantized LLMs"", besides being a cheap alternative to human annotation in the chatbot benchmark tournaments evaluated by GPT-4 or human annotators, model-based evaluation also has its uncertainties","As such, we highlight that model-based evaluation while providing a cheap alternative to human-annotation also has its uncertainties.",Introduction
57,58,keep_rejected,tautological_stem|weak_distractor_space,"It fails criterion 1 because the completion is essentially tautological from the probe itself—'from a representation that holds more information to' directly cues 'a representation with less information,' making meaningful 5-way distractors unnatural.",Visible stem makes the completion too easy or too weakly distractible.,"According to the paper ""QLoRA: Efficient Finetuning of Quantized LLMs"", in the paragraph on block-wise k-bit quantization, quantization is described as discretizing an input from a representation that holds more information to",a representation with less information.,"According to the paper ""QLoRA: Efficient Finetuning of Quantized LLMs"", in the paragraph on block-wise k-bit quantization, quantization is described as discretizing an input from a representation that holds more information to a representation with less information.",\paragraph{Block-wise k-bit Quantization} Quantization is the process of discretizing an input from a representation that holds more information to a representation with less information.,Background
58,59,keep_rejected,tautological_stem|weak_distractor_space,"Unsuitable under criterion 1 because the target is just the obvious completion of the probe’s own phrasing (“taking a data type with more bits and ...”), making it essentially tautological rather than a distinct concept with meaningful distractors.",Visible stem makes the completion too easy or too weakly distractible.,"According to the paper ""QLoRA: Efficient Finetuning of Quantized LLMs"", quantization often means taking a data type with more bits and",converting it to fewer bits.,"According to the paper ""QLoRA: Efficient Finetuning of Quantized LLMs"", quantization often means taking a data type with more bits and converting it to fewer bits.","It often means taking a data type with more bits and converting it to fewer bits, for example from 32-bit floats to 8-bit Integers.",Background
