target,probe,fact,inference_type,source_fact(s),derivation,question,answer,source_facts,text_sentences
 post-traumatic pancreatitis,"According to the case report 'Pancreatopleural fistula in childhood', after other causes of pleural effusion were excluded and abdominal trauma was established, the cause that remained was","According to the case report 'Pancreatopleural fistula in childhood', after other causes of pleural effusion were excluded and abdominal trauma was established, the cause that remained was post-traumatic pancreatitis",Synthesized Insight,"['Other than post-traumatic pancreatitis, we had ruled out other causes of pleural effusion.', 'The patient presented with pleural effusion and chest pain with a definite history of abdominal trauma 1\u2009month back.']","After alternative causes were excluded and a definite trauma history was present, the remaining explanation was post-traumatic pancreatitis.","After other causes of pleural effusion were excluded and abdominal trauma was established, what cause remained?",post-traumatic pancreatitis,"['Other than post-traumatic pancreatitis, we had ruled out other causes of pleural effusion.', 'The patient presented with pleural effusion and chest pain with a definite history of abdominal trauma 1\u2009month back.']","['Other than post-traumatic pancreatitis, we had ruled out other causes of pleural effusion.', 'The patient presented with pleural effusion and chest pain with a definite history of abdominal trauma 1\u2009month back.']"
 ascites,"According to the case report 'Pancreatopleural fistula in childhood', if this child's pancreatic rupture had been anterior rather than the posterior route shown on imaging, the discussion would predict a collection of pancreatic fluid in the abdominal cavity, resulting in","According to the case report 'Pancreatopleural fistula in childhood', if this child's pancreatic rupture had been anterior rather than the posterior route shown on imaging, the discussion would predict a collection of pancreatic fluid in the abdominal cavity, resulting in ascites",Reasoning Step,"['If the rupture occurs in the anterior part of the pancreas, pancreatic fluid will leak into the abdominal cavity, resulting in ascites.']","Applying the report’s own counterfactual rule, an anterior rather than posterior rupture would produce abdominal fluid accumulation instead of pleural effusion.","If this child’s pancreatic rupture had been anterior rather than the posterior route shown on imaging, what fluid complication would the discussion predict instead of pleural effusion?",ascites,"['If the rupture occurs in the anterior part of the pancreas, pancreatic fluid will leak into the abdominal cavity, resulting in ascites.']","['If the rupture occurs in the anterior part of the pancreas, pancreatic fluid will leak into the abdominal cavity, resulting in ascites.']"
 delayed pancreatic diagnosis,"According to the case report 'Pancreatopleural fistula in childhood', the diagnostic consequence that follows from describing PPF as having a “Pulmonary mask” is","According to the case report 'Pancreatopleural fistula in childhood', the diagnostic consequence that follows from describing PPF as having a “Pulmonary mask” is delayed pancreatic diagnosis",Reasoning Step,"['It can be a confusing entity to deal with as it presents with signs of respiratory distress due to recurrent pleural effusions; however, the pathology lies in the pancreas, thereby delaying its diagnosis as all efforts go into finding a thoracic pathology.', 'Thus, this disease entity can have a ‘Pulmonary mask’ and can misguide the treating physician to a completely different diagnosis unless we take a detailed history and get relevant imaging.']","If clinicians focus on the chest because of the presentation while the real disease is pancreatic, the pancreatic diagnosis will logically be delayed.",What diagnostic consequence follows from the report’s description of PPF as having a “Pulmonary mask”?,delayed pancreatic diagnosis,"['It can be a confusing entity to deal with as it presents with signs of respiratory distress due to recurrent pleural effusions; however, the pathology lies in the pancreas, thereby delaying its diagnosis as all efforts go into finding a thoracic pathology.', 'Thus, this disease entity can have a ‘Pulmonary mask’ and can misguide the treating physician to a completely different diagnosis unless we take a detailed history and get relevant imaging.']","['It can be a confusing entity to deal with as it presents with signs of respiratory distress due to recurrent pleural effusions; however, the pathology lies in the pancreas, thereby delaying its diagnosis as all efforts go into finding a thoracic pathology.', 'Thus, this disease entity can have a ‘Pulmonary mask’ and can misguide the treating physician to a completely different diagnosis unless we take a detailed history and get relevant imaging.']"
 abdominal trauma,"According to the case report 'Pancreatopleural fistula in childhood', after alternative causes of pleural effusion were excluded, the underlying cause that remained for this child's PPF was","According to the case report 'Pancreatopleural fistula in childhood', after alternative causes of pleural effusion were excluded, the underlying cause that remained for this child's PPF was abdominal trauma",Synthesized Insight,"['The patient presented with pleural effusion and chest pain with a definite history of abdominal trauma 1\u2009month back. Other than post-traumatic pancreatitis, we had ruled out other causes of pleural effusion.', 'MRCP confirmed the diagnosis of PPF, which developed after abdominal trauma.']","After other pleural effusion causes were excluded and PPF was confirmed, the remaining stated cause was the earlier abdominal trauma.","After alternative causes of pleural effusion were excluded, what underlying cause remained for this child's PPF?",abdominal trauma,"['The patient presented with pleural effusion and chest pain with a definite history of abdominal trauma 1\u2009month back. Other than post-traumatic pancreatitis, we had ruled out other causes of pleural effusion.', 'MRCP confirmed the diagnosis of PPF, which developed after abdominal trauma.']","['The patient presented with pleural effusion and chest pain with a definite history of abdominal trauma 1\u2009month back. Other than post-traumatic pancreatitis, we had ruled out other causes of pleural effusion.', 'MRCP confirmed the diagnosis of PPF, which developed after abdominal trauma.']"
 pancreatic rest,"According to the case report 'Pancreatopleural fistula in childhood', nil per oral status and Octreotide were linked by the shared therapeutic aim of","According to the case report 'Pancreatopleural fistula in childhood', nil per oral status and Octreotide were linked by the shared therapeutic aim of pancreatic rest",Synthesized Insight,"['Octreotide administration suppresses exocrine function and bowel rest allows the pancreas to rest and close the fistulous tract.', 'Antitubercular drugs were stopped, and the child was put on nil per oral and total parenteral nutrition. Octreotide infusion was started in the dose of 30\u2009µg/kg/day (10–40\u2009µg/kg/day).']",The report states that both bowel rest and Octreotide were used to reduce pancreatic activity so the fistula could close.,What shared therapeutic aim linked nil per oral status and Octreotide in this case?,pancreatic rest,"['Octreotide administration suppresses exocrine function and bowel rest allows the pancreas to rest and close the fistulous tract.', 'Antitubercular drugs were stopped, and the child was put on nil per oral and total parenteral nutrition. Octreotide infusion was started in the dose of 30\u2009µg/kg/day (10–40\u2009µg/kg/day).']","['Octreotide administration suppresses exocrine function and bowel rest allows the pancreas to rest and close the fistulous tract.', 'Antitubercular drugs were stopped, and the child was put on nil per oral and total parenteral nutrition. Octreotide infusion was started in the dose of 30\u2009µg/kg/day (10–40\u2009µg/kg/day).']"
 MRCP,"According to the case report 'Pancreatopleural fistula in childhood', once CT had suggested a pancreatic connection, the imaging study that logically gave the stronger confirmation of the fistula in this child was","According to the case report 'Pancreatopleural fistula in childhood', once CT had suggested a pancreatic connection, the imaging study that logically gave the stronger confirmation of the fistula in this child was MRCP",Multi-Fact Integration,"['A contrast-enhanced CT of the chest was ordered before inserting an intercostal drainage (ICD). CT was suggestive of patchy areas of air space consolidation in the right lung with right-sided hydropneumothorax and elongated lobulated multiloculated hypodense collection extending from the right pleural space, tracking from the right paraoesophageal level to the upper left-sided retroperitoneum till the tail of pancreas (Table 2).', 'MRCP pointed towards the diagnosis of PPF (figures 4-6) (table 1).', 'MRCP offers 70%–80%\u2009sensitivity for visualisation of the fistula and duct anatomy. CT reliably shows pancreatic calcifications, pseudocysts or ductal dilation but depicts the actual fistula in only 33%–47%.']","CT raised suspicion, but the report states MRCP visualises fistula anatomy more sensitively and in this case it pointed to the diagnosis.","Once CT had suggested a pancreatic connection, which imaging study logically gave the stronger confirmation of the fistula in this child?",MRCP,"['A contrast-enhanced CT of the chest was ordered before inserting an intercostal drainage (ICD). CT was suggestive of patchy areas of air space consolidation in the right lung with right-sided hydropneumothorax and elongated lobulated multiloculated hypodense collection extending from the right pleural space, tracking from the right paraoesophageal level to the upper left-sided retroperitoneum till the tail of pancreas (Table 2).', 'MRCP pointed towards the diagnosis of PPF (figures 4-6) (table 1).', 'MRCP offers 70%–80%\u2009sensitivity for visualisation of the fistula and duct anatomy. CT reliably shows pancreatic calcifications, pseudocysts or ductal dilation but depicts the actual fistula in only 33%–47%.']","['A contrast-enhanced CT of the chest was ordered before inserting an intercostal drainage (ICD). CT was suggestive of patchy areas of air space consolidation in the right lung with right-sided hydropneumothorax and elongated lobulated multiloculated hypodense collection extending from the right pleural space, tracking from the right paraoesophageal level to the upper left-sided retroperitoneum till the tail of pancreas (Table 2).', 'MRCP pointed towards the diagnosis of PPF (figures 4-6) (table 1).', 'MRCP offers 70%–80%\u2009sensitivity for visualisation of the fistula and duct anatomy. CT reliably shows pancreatic calcifications, pseudocysts or ductal dilation but depicts the actual fistula in only 33%–47%.']"
 Boerhaave’s syndrome,"In the case report 'Pancreatopleural fistula in childhood', the alternative cause of amylase-rich pleural fluid that was excluded by the absence of vomiting and the fact that he was passing stools normally was","In the case report 'Pancreatopleural fistula in childhood', the alternative cause of amylase-rich pleural fluid that was excluded by the absence of vomiting and the fact that he was passing stools normally was Boerhaave’s syndrome",Multi-Fact Integration,"['Boerhaave’s syndrome (oesophageal perforation) can also have amylase-rich pleural fluid.', 'This condition was ruled out as the child was passing stools normally and did not have any history of chest pain or vomiting.']",The report explicitly uses those absent features to reject oesophageal perforation as the source of the amylase-rich effusion.,Which alternative cause of amylase-rich pleural fluid was excluded by the absence of vomiting and the fact that he was passing stools normally?,Boerhaave’s syndrome,"['Boerhaave’s syndrome (oesophageal perforation) can also have amylase-rich pleural fluid.', 'This condition was ruled out as the child was passing stools normally and did not have any history of chest pain or vomiting.']","['Boerhaave’s syndrome (oesophageal perforation) can also have amylase-rich pleural fluid.', 'This condition was ruled out as the child was passing stools normally and did not have any history of chest pain or vomiting.']"
 pathognomonic for PPF,"According to the case report 'Pancreatopleural fistula in childhood', using the report’s own diagnostic threshold, a pleural fluid amylase of 6118	U/L was","According to the case report 'Pancreatopleural fistula in childhood', using the report’s own diagnostic threshold, a pleural fluid amylase of 6118	U/L was pathognomonic for PPF",Multi-Fact Integration,"['Pleural fluid analysis revealed significantly elevated amylase (6118\u2009U/L) and lipase (7211\u2009U/L) concentrations (table 2), supporting the diagnosis of PPF.', 'Pleural fluid amylase ≥1000\u2009IU/L is pathognomonic for PPF.']","The reported pleural amylase of 6118 U/L is far above the stated ≥1000 IU/L threshold, so it meets the report’s pathognomonic criterion.","Using the report’s own diagnostic threshold, what interpretation follows from a pleural fluid amylase of 6118 U/L?",pathognomonic for PPF,"['Pleural fluid analysis revealed significantly elevated amylase (6118\u2009U/L) and lipase (7211\u2009U/L) concentrations (table 2), supporting the diagnosis of PPF.', 'Pleural fluid amylase ≥1000\u2009IU/L is pathognomonic for PPF.']","['Pleural fluid analysis revealed significantly elevated amylase (6118\u2009U/L) and lipase (7211\u2009U/L) concentrations (table 2), supporting the diagnosis of PPF.', 'Pleural fluid amylase ≥1000\u2009IU/L is pathognomonic for PPF.']"
 bicycle-handle trauma,"According to the case report 'Pancreatopleural fistula in childhood', the previously missed detail that redirected the team away from a purely pulmonary explanation was","According to the case report 'Pancreatopleural fistula in childhood', the previously missed detail that redirected the team away from a purely pulmonary explanation was bicycle-handle trauma",Multi-Fact Integration,"['We again reviewed the history from the child and he told us that he had suffered blunt abdominal trauma from the bicycle handle 1\u2009month back.', 'The history of abdominal trauma came out after repeated sessions of history from the boy and MRCP findings guided us towards a pancreatic pathology.']",The later-disclosed trauma history was the key missing fact that redirected the team from a chest-only explanation toward pancreatic disease.,What previously missed detail redirected the team away from a purely pulmonary explanation?,bicycle-handle trauma,"['We again reviewed the history from the child and he told us that he had suffered blunt abdominal trauma from the bicycle handle 1\u2009month back.', 'The history of abdominal trauma came out after repeated sessions of history from the boy and MRCP findings guided us towards a pancreatic pathology.']","['We again reviewed the history from the child and he told us that he had suffered blunt abdominal trauma from the bicycle handle 1\u2009month back.', 'The history of abdominal trauma came out after repeated sessions of history from the boy and MRCP findings guided us towards a pancreatic pathology.']"
 fistulous communication,"According to the case report 'Pancreatopleural fistula in childhood', after CT had only pointed toward PPF, MRCP demonstrated a","According to the case report 'Pancreatopleural fistula in childhood', after CT had only pointed toward PPF, MRCP demonstrated a fistulous communication",Multi-Fact Integration,"['CT findings, along with a dark red coloured pleural aspirate and history of abdominal trauma, pointed us towards the diagnosis of a PPF.', 'MRCP was thus planned the same day, which revealed pancreatitis with tubular cystic collection seen in the distal body and tail of pancreas extending posteriorly in the retroperitoneum and then tracking superiorly through the oesophageal hiatus into the right pleural cavity. A narrow communication with the left pleural cavity was also seen.', 'MRCP pointed towards the diagnosis of PPF (figures 4-6) (table 1).']","CT raised suspicion, but MRCP directly showed the tracking collection and pleural communications, giving the missing anatomic confirmation.",What did MRCP add after CT had only pointed toward PPF?,fistulous communication,"['CT findings, along with a dark red coloured pleural aspirate and history of abdominal trauma, pointed us towards the diagnosis of a PPF.', 'MRCP was thus planned the same day, which revealed pancreatitis with tubular cystic collection seen in the distal body and tail of pancreas extending posteriorly in the retroperitoneum and then tracking superiorly through the oesophageal hiatus into the right pleural cavity. A narrow communication with the left pleural cavity was also seen.', 'MRCP pointed towards the diagnosis of PPF (figures 4-6) (table 1).']","['CT findings, along with a dark red coloured pleural aspirate and history of abdominal trauma, pointed us towards the diagnosis of a PPF.', 'MRCP was thus planned the same day, which revealed pancreatitis with tubular cystic collection seen in the distal body and tail of pancreas extending posteriorly in the retroperitoneum and then tracking superiorly through the oesophageal hiatus into the right pleural cavity. A narrow communication with the left pleural cavity was also seen.', 'MRCP pointed towards the diagnosis of PPF (figures 4-6) (table 1).']"
