section,subsection,section_text,subsection_text,raw_knowledge_statement,paragraph,is_knowledge
Header,No Subsection,"Title: United States v. Constantinescu
Court: United States Court of Appeals for the Fifth Circuit
Date: October 2, 2025
Docket: No. 24-20143
Author: Kurt D. Engelhardt, Circuit Judge

Defendants were indicted for securities fraud for their involvement in a “pump and dump” scheme. The superseding indictment alleges that defendants induced their social-media followers to purchase securities through posts misrepresenting their trading positions and the potential price of securities, artificially inflating the securities’ prices and allowing defendants to profit. The district court dismissed the indictment, concluding that it failed to state an offense by merely alleging that defendants sought to deprive their followers of potentially valuable economic information instead of a traditional property interest. Because we conclude that the indictment sufficiently alleges a scheme and intent to defraud, we REVERSE the district court’s dismissal of the indictment.
","Title: United States v. Constantinescu
Court: United States Court of Appeals for the Fifth Circuit
Date: October 2, 2025
Docket: No. 24-20143
Author: Kurt D. Engelhardt, Circuit Judge

Defendants were indicted for securities fraud for their involvement in a “pump and dump” scheme. The superseding indictment alleges that defendants induced their social-media followers to purchase securities through posts misrepresenting their trading positions and the potential price of securities, artificially inflating the securities’ prices and allowing defendants to profit. The district court dismissed the indictment, concluding that it failed to state an offense by merely alleging that defendants sought to deprive their followers of potentially valuable economic information instead of a traditional property interest. Because we conclude that the indictment sufficiently alleges a scheme and intent to defraud, we REVERSE the district court’s dismissal of the indictment.
",Defendants were indicted for securities fraud for their involvement in a “pump and dump” scheme.,"Title: United States v. Constantinescu
Court: United States Court of Appeals for the Fifth Circuit
Date: October 2, 2025
Docket: No. 24-20143
Author: Kurt D. Engelhardt, Circuit Judge

Defendants were indicted for securities fraud for their involvement in a “pump and dump” scheme. The superseding indictment alleges that defendants induced their social-media followers to purchase securities through posts misrepresenting their trading positions and the potential price of securities, artificially inflating the securities’ prices and allowing defendants to profit. The district court dismissed the indictment, concluding that it failed to state an offense by merely alleging that defendants sought to deprive their followers of potentially valuable economic information instead of a traditional property interest. Because we conclude that the indictment sufficiently alleges a scheme and intent to defraud, we REVERSE the district court’s dismissal of the indictment.
",True
Header,No Subsection,"Title: United States v. Constantinescu
Court: United States Court of Appeals for the Fifth Circuit
Date: October 2, 2025
Docket: No. 24-20143
Author: Kurt D. Engelhardt, Circuit Judge

Defendants were indicted for securities fraud for their involvement in a “pump and dump” scheme. The superseding indictment alleges that defendants induced their social-media followers to purchase securities through posts misrepresenting their trading positions and the potential price of securities, artificially inflating the securities’ prices and allowing defendants to profit. The district court dismissed the indictment, concluding that it failed to state an offense by merely alleging that defendants sought to deprive their followers of potentially valuable economic information instead of a traditional property interest. Because we conclude that the indictment sufficiently alleges a scheme and intent to defraud, we REVERSE the district court’s dismissal of the indictment.
","Title: United States v. Constantinescu
Court: United States Court of Appeals for the Fifth Circuit
Date: October 2, 2025
Docket: No. 24-20143
Author: Kurt D. Engelhardt, Circuit Judge

Defendants were indicted for securities fraud for their involvement in a “pump and dump” scheme. The superseding indictment alleges that defendants induced their social-media followers to purchase securities through posts misrepresenting their trading positions and the potential price of securities, artificially inflating the securities’ prices and allowing defendants to profit. The district court dismissed the indictment, concluding that it failed to state an offense by merely alleging that defendants sought to deprive their followers of potentially valuable economic information instead of a traditional property interest. Because we conclude that the indictment sufficiently alleges a scheme and intent to defraud, we REVERSE the district court’s dismissal of the indictment.
","The superseding indictment alleges that defendants induced their social-media followers to purchase securities through posts misrepresenting their trading positions and the potential price of securities, artificially inflating the securities’ prices and allowing defendants to profit.","Title: United States v. Constantinescu
Court: United States Court of Appeals for the Fifth Circuit
Date: October 2, 2025
Docket: No. 24-20143
Author: Kurt D. Engelhardt, Circuit Judge

Defendants were indicted for securities fraud for their involvement in a “pump and dump” scheme. The superseding indictment alleges that defendants induced their social-media followers to purchase securities through posts misrepresenting their trading positions and the potential price of securities, artificially inflating the securities’ prices and allowing defendants to profit. The district court dismissed the indictment, concluding that it failed to state an offense by merely alleging that defendants sought to deprive their followers of potentially valuable economic information instead of a traditional property interest. Because we conclude that the indictment sufficiently alleges a scheme and intent to defraud, we REVERSE the district court’s dismissal of the indictment.
",True
Header,No Subsection,"Title: United States v. Constantinescu
Court: United States Court of Appeals for the Fifth Circuit
Date: October 2, 2025
Docket: No. 24-20143
Author: Kurt D. Engelhardt, Circuit Judge

Defendants were indicted for securities fraud for their involvement in a “pump and dump” scheme. The superseding indictment alleges that defendants induced their social-media followers to purchase securities through posts misrepresenting their trading positions and the potential price of securities, artificially inflating the securities’ prices and allowing defendants to profit. The district court dismissed the indictment, concluding that it failed to state an offense by merely alleging that defendants sought to deprive their followers of potentially valuable economic information instead of a traditional property interest. Because we conclude that the indictment sufficiently alleges a scheme and intent to defraud, we REVERSE the district court’s dismissal of the indictment.
","Title: United States v. Constantinescu
Court: United States Court of Appeals for the Fifth Circuit
Date: October 2, 2025
Docket: No. 24-20143
Author: Kurt D. Engelhardt, Circuit Judge

Defendants were indicted for securities fraud for their involvement in a “pump and dump” scheme. The superseding indictment alleges that defendants induced their social-media followers to purchase securities through posts misrepresenting their trading positions and the potential price of securities, artificially inflating the securities’ prices and allowing defendants to profit. The district court dismissed the indictment, concluding that it failed to state an offense by merely alleging that defendants sought to deprive their followers of potentially valuable economic information instead of a traditional property interest. Because we conclude that the indictment sufficiently alleges a scheme and intent to defraud, we REVERSE the district court’s dismissal of the indictment.
","The district court dismissed the indictment, concluding that it failed to state an offense by merely alleging that defendants sought to deprive their followers of potentially valuable economic information instead of a traditional property interest.","Title: United States v. Constantinescu
Court: United States Court of Appeals for the Fifth Circuit
Date: October 2, 2025
Docket: No. 24-20143
Author: Kurt D. Engelhardt, Circuit Judge

Defendants were indicted for securities fraud for their involvement in a “pump and dump” scheme. The superseding indictment alleges that defendants induced their social-media followers to purchase securities through posts misrepresenting their trading positions and the potential price of securities, artificially inflating the securities’ prices and allowing defendants to profit. The district court dismissed the indictment, concluding that it failed to state an offense by merely alleging that defendants sought to deprive their followers of potentially valuable economic information instead of a traditional property interest. Because we conclude that the indictment sufficiently alleges a scheme and intent to defraud, we REVERSE the district court’s dismissal of the indictment.
",True
Header,No Subsection,"Title: United States v. Constantinescu
Court: United States Court of Appeals for the Fifth Circuit
Date: October 2, 2025
Docket: No. 24-20143
Author: Kurt D. Engelhardt, Circuit Judge

Defendants were indicted for securities fraud for their involvement in a “pump and dump” scheme. The superseding indictment alleges that defendants induced their social-media followers to purchase securities through posts misrepresenting their trading positions and the potential price of securities, artificially inflating the securities’ prices and allowing defendants to profit. The district court dismissed the indictment, concluding that it failed to state an offense by merely alleging that defendants sought to deprive their followers of potentially valuable economic information instead of a traditional property interest. Because we conclude that the indictment sufficiently alleges a scheme and intent to defraud, we REVERSE the district court’s dismissal of the indictment.
","Title: United States v. Constantinescu
Court: United States Court of Appeals for the Fifth Circuit
Date: October 2, 2025
Docket: No. 24-20143
Author: Kurt D. Engelhardt, Circuit Judge

Defendants were indicted for securities fraud for their involvement in a “pump and dump” scheme. The superseding indictment alleges that defendants induced their social-media followers to purchase securities through posts misrepresenting their trading positions and the potential price of securities, artificially inflating the securities’ prices and allowing defendants to profit. The district court dismissed the indictment, concluding that it failed to state an offense by merely alleging that defendants sought to deprive their followers of potentially valuable economic information instead of a traditional property interest. Because we conclude that the indictment sufficiently alleges a scheme and intent to defraud, we REVERSE the district court’s dismissal of the indictment.
","Because we conclude that the indictment sufficiently alleges a scheme and intent to defraud, we REVERSE the district court’s dismissal of the indictment.","Title: United States v. Constantinescu
Court: United States Court of Appeals for the Fifth Circuit
Date: October 2, 2025
Docket: No. 24-20143
Author: Kurt D. Engelhardt, Circuit Judge

Defendants were indicted for securities fraud for their involvement in a “pump and dump” scheme. The superseding indictment alleges that defendants induced their social-media followers to purchase securities through posts misrepresenting their trading positions and the potential price of securities, artificially inflating the securities’ prices and allowing defendants to profit. The district court dismissed the indictment, concluding that it failed to state an offense by merely alleging that defendants sought to deprive their followers of potentially valuable economic information instead of a traditional property interest. Because we conclude that the indictment sufficiently alleges a scheme and intent to defraud, we REVERSE the district court’s dismissal of the indictment.
",True
I,No Subsection,"The government alleges that Edward Constantinescu, Perry “PJ” Matlock, John Rybarczyk, Gary Deel, Stefan Hrvatin, Tom Cooperman, Mitchell Hennessey, and Daniel Knight engaged in a scheme to “pump and dump” securities. Defendants each had large social media followings across various platforms. They held themselves out to be skilled stock traders and frequently posted their trading activities on social media. To carry out their “pump and dump” scheme, the government alleges that defendants would purchase a security, “‘pump’ the price of that security by posting false and misleading information about the security on [social media] so that other investors were induced to purchase the security and artificially increase its price,” and “dump” by secretly selling the security for a profit. Indictment ¶¶ 13–14. The indictment alleges that defendants profited $114 million from their scheme. Defendants were indicted for conspiracy to commit securities fraud, in violation of 18 U.S.C. § 1349, and multiple counts of securities fraud, in violation of 18 U.S.C. §§ 1348 & 2. Knight pleaded guilty, and the remaining defendants moved to dismiss the indictment. The district court dismissed the indictment, concluding that it failed to allege that defendants schemed to deprive victims of any traditional property interest. The government timely appealed.
","The government alleges that Edward Constantinescu, Perry “PJ” Matlock, John Rybarczyk, Gary Deel, Stefan Hrvatin, Tom Cooperman, Mitchell Hennessey, and Daniel Knight engaged in a scheme to “pump and dump” securities. Defendants each had large social media followings across various platforms. They held themselves out to be skilled stock traders and frequently posted their trading activities on social media. To carry out their “pump and dump” scheme, the government alleges that defendants would purchase a security, “‘pump’ the price of that security by posting false and misleading information about the security on [social media] so that other investors were induced to purchase the security and artificially increase its price,” and “dump” by secretly selling the security for a profit. Indictment ¶¶ 13–14. The indictment alleges that defendants profited $114 million from their scheme. Defendants were indicted for conspiracy to commit securities fraud, in violation of 18 U.S.C. § 1349, and multiple counts of securities fraud, in violation of 18 U.S.C. §§ 1348 & 2. Knight pleaded guilty, and the remaining defendants moved to dismiss the indictment. The district court dismissed the indictment, concluding that it failed to allege that defendants schemed to deprive victims of any traditional property interest. The government timely appealed.
","The government alleges that Edward Constantinescu, Perry “PJ” Matlock, John Rybarczyk, Gary Deel, Stefan Hrvatin, Tom Cooperman, Mitchell Hennessey, and Daniel Knight engaged in a scheme to “pump and dump” securities.","The government alleges that Edward Constantinescu, Perry “PJ” Matlock, John Rybarczyk, Gary Deel, Stefan Hrvatin, Tom Cooperman, Mitchell Hennessey, and Daniel Knight engaged in a scheme to “pump and dump” securities. Defendants each had large social media followings across various platforms. They held themselves out to be skilled stock traders and frequently posted their trading activities on social media. To carry out their “pump and dump” scheme, the government alleges that defendants would purchase a security, “‘pump’ the price of that security by posting false and misleading information about the security on [social media] so that other investors were induced to purchase the security and artificially increase its price,” and “dump” by secretly selling the security for a profit. Indictment ¶¶ 13–14. The indictment alleges that defendants profited $114 million from their scheme. Defendants were indicted for conspiracy to commit securities fraud, in violation of 18 U.S.C. § 1349, and multiple counts of securities fraud, in violation of 18 U.S.C. §§ 1348 & 2. Knight pleaded guilty, and the remaining defendants moved to dismiss the indictment. The district court dismissed the indictment, concluding that it failed to allege that defendants schemed to deprive victims of any traditional property interest. The government timely appealed.
",True
I,No Subsection,"The government alleges that Edward Constantinescu, Perry “PJ” Matlock, John Rybarczyk, Gary Deel, Stefan Hrvatin, Tom Cooperman, Mitchell Hennessey, and Daniel Knight engaged in a scheme to “pump and dump” securities. Defendants each had large social media followings across various platforms. They held themselves out to be skilled stock traders and frequently posted their trading activities on social media. To carry out their “pump and dump” scheme, the government alleges that defendants would purchase a security, “‘pump’ the price of that security by posting false and misleading information about the security on [social media] so that other investors were induced to purchase the security and artificially increase its price,” and “dump” by secretly selling the security for a profit. Indictment ¶¶ 13–14. The indictment alleges that defendants profited $114 million from their scheme. Defendants were indicted for conspiracy to commit securities fraud, in violation of 18 U.S.C. § 1349, and multiple counts of securities fraud, in violation of 18 U.S.C. §§ 1348 & 2. Knight pleaded guilty, and the remaining defendants moved to dismiss the indictment. The district court dismissed the indictment, concluding that it failed to allege that defendants schemed to deprive victims of any traditional property interest. The government timely appealed.
","The government alleges that Edward Constantinescu, Perry “PJ” Matlock, John Rybarczyk, Gary Deel, Stefan Hrvatin, Tom Cooperman, Mitchell Hennessey, and Daniel Knight engaged in a scheme to “pump and dump” securities. Defendants each had large social media followings across various platforms. They held themselves out to be skilled stock traders and frequently posted their trading activities on social media. To carry out their “pump and dump” scheme, the government alleges that defendants would purchase a security, “‘pump’ the price of that security by posting false and misleading information about the security on [social media] so that other investors were induced to purchase the security and artificially increase its price,” and “dump” by secretly selling the security for a profit. Indictment ¶¶ 13–14. The indictment alleges that defendants profited $114 million from their scheme. Defendants were indicted for conspiracy to commit securities fraud, in violation of 18 U.S.C. § 1349, and multiple counts of securities fraud, in violation of 18 U.S.C. §§ 1348 & 2. Knight pleaded guilty, and the remaining defendants moved to dismiss the indictment. The district court dismissed the indictment, concluding that it failed to allege that defendants schemed to deprive victims of any traditional property interest. The government timely appealed.
",They held themselves out to be skilled stock traders and frequently posted their trading activities on social media.,"The government alleges that Edward Constantinescu, Perry “PJ” Matlock, John Rybarczyk, Gary Deel, Stefan Hrvatin, Tom Cooperman, Mitchell Hennessey, and Daniel Knight engaged in a scheme to “pump and dump” securities. Defendants each had large social media followings across various platforms. They held themselves out to be skilled stock traders and frequently posted their trading activities on social media. To carry out their “pump and dump” scheme, the government alleges that defendants would purchase a security, “‘pump’ the price of that security by posting false and misleading information about the security on [social media] so that other investors were induced to purchase the security and artificially increase its price,” and “dump” by secretly selling the security for a profit. Indictment ¶¶ 13–14. The indictment alleges that defendants profited $114 million from their scheme. Defendants were indicted for conspiracy to commit securities fraud, in violation of 18 U.S.C. § 1349, and multiple counts of securities fraud, in violation of 18 U.S.C. §§ 1348 & 2. Knight pleaded guilty, and the remaining defendants moved to dismiss the indictment. The district court dismissed the indictment, concluding that it failed to allege that defendants schemed to deprive victims of any traditional property interest. The government timely appealed.
",True
I,No Subsection,"The government alleges that Edward Constantinescu, Perry “PJ” Matlock, John Rybarczyk, Gary Deel, Stefan Hrvatin, Tom Cooperman, Mitchell Hennessey, and Daniel Knight engaged in a scheme to “pump and dump” securities. Defendants each had large social media followings across various platforms. They held themselves out to be skilled stock traders and frequently posted their trading activities on social media. To carry out their “pump and dump” scheme, the government alleges that defendants would purchase a security, “‘pump’ the price of that security by posting false and misleading information about the security on [social media] so that other investors were induced to purchase the security and artificially increase its price,” and “dump” by secretly selling the security for a profit. Indictment ¶¶ 13–14. The indictment alleges that defendants profited $114 million from their scheme. Defendants were indicted for conspiracy to commit securities fraud, in violation of 18 U.S.C. § 1349, and multiple counts of securities fraud, in violation of 18 U.S.C. §§ 1348 & 2. Knight pleaded guilty, and the remaining defendants moved to dismiss the indictment. The district court dismissed the indictment, concluding that it failed to allege that defendants schemed to deprive victims of any traditional property interest. The government timely appealed.
","The government alleges that Edward Constantinescu, Perry “PJ” Matlock, John Rybarczyk, Gary Deel, Stefan Hrvatin, Tom Cooperman, Mitchell Hennessey, and Daniel Knight engaged in a scheme to “pump and dump” securities. Defendants each had large social media followings across various platforms. They held themselves out to be skilled stock traders and frequently posted their trading activities on social media. To carry out their “pump and dump” scheme, the government alleges that defendants would purchase a security, “‘pump’ the price of that security by posting false and misleading information about the security on [social media] so that other investors were induced to purchase the security and artificially increase its price,” and “dump” by secretly selling the security for a profit. Indictment ¶¶ 13–14. The indictment alleges that defendants profited $114 million from their scheme. Defendants were indicted for conspiracy to commit securities fraud, in violation of 18 U.S.C. § 1349, and multiple counts of securities fraud, in violation of 18 U.S.C. §§ 1348 & 2. Knight pleaded guilty, and the remaining defendants moved to dismiss the indictment. The district court dismissed the indictment, concluding that it failed to allege that defendants schemed to deprive victims of any traditional property interest. The government timely appealed.
","To carry out their “pump and dump” scheme, the government alleges that defendants would purchase a security, “‘pump’ the price of that security by posting false and misleading information about the security on [social media] so that other investors were induced to purchase the security and artificially increase its price,” and “dump” by secretly selling the security for a profit.","The government alleges that Edward Constantinescu, Perry “PJ” Matlock, John Rybarczyk, Gary Deel, Stefan Hrvatin, Tom Cooperman, Mitchell Hennessey, and Daniel Knight engaged in a scheme to “pump and dump” securities. Defendants each had large social media followings across various platforms. They held themselves out to be skilled stock traders and frequently posted their trading activities on social media. To carry out their “pump and dump” scheme, the government alleges that defendants would purchase a security, “‘pump’ the price of that security by posting false and misleading information about the security on [social media] so that other investors were induced to purchase the security and artificially increase its price,” and “dump” by secretly selling the security for a profit. Indictment ¶¶ 13–14. The indictment alleges that defendants profited $114 million from their scheme. Defendants were indicted for conspiracy to commit securities fraud, in violation of 18 U.S.C. § 1349, and multiple counts of securities fraud, in violation of 18 U.S.C. §§ 1348 & 2. Knight pleaded guilty, and the remaining defendants moved to dismiss the indictment. The district court dismissed the indictment, concluding that it failed to allege that defendants schemed to deprive victims of any traditional property interest. The government timely appealed.
",True
I,No Subsection,"The government alleges that Edward Constantinescu, Perry “PJ” Matlock, John Rybarczyk, Gary Deel, Stefan Hrvatin, Tom Cooperman, Mitchell Hennessey, and Daniel Knight engaged in a scheme to “pump and dump” securities. Defendants each had large social media followings across various platforms. They held themselves out to be skilled stock traders and frequently posted their trading activities on social media. To carry out their “pump and dump” scheme, the government alleges that defendants would purchase a security, “‘pump’ the price of that security by posting false and misleading information about the security on [social media] so that other investors were induced to purchase the security and artificially increase its price,” and “dump” by secretly selling the security for a profit. Indictment ¶¶ 13–14. The indictment alleges that defendants profited $114 million from their scheme. Defendants were indicted for conspiracy to commit securities fraud, in violation of 18 U.S.C. § 1349, and multiple counts of securities fraud, in violation of 18 U.S.C. §§ 1348 & 2. Knight pleaded guilty, and the remaining defendants moved to dismiss the indictment. The district court dismissed the indictment, concluding that it failed to allege that defendants schemed to deprive victims of any traditional property interest. The government timely appealed.
","The government alleges that Edward Constantinescu, Perry “PJ” Matlock, John Rybarczyk, Gary Deel, Stefan Hrvatin, Tom Cooperman, Mitchell Hennessey, and Daniel Knight engaged in a scheme to “pump and dump” securities. Defendants each had large social media followings across various platforms. They held themselves out to be skilled stock traders and frequently posted their trading activities on social media. To carry out their “pump and dump” scheme, the government alleges that defendants would purchase a security, “‘pump’ the price of that security by posting false and misleading information about the security on [social media] so that other investors were induced to purchase the security and artificially increase its price,” and “dump” by secretly selling the security for a profit. Indictment ¶¶ 13–14. The indictment alleges that defendants profited $114 million from their scheme. Defendants were indicted for conspiracy to commit securities fraud, in violation of 18 U.S.C. § 1349, and multiple counts of securities fraud, in violation of 18 U.S.C. §§ 1348 & 2. Knight pleaded guilty, and the remaining defendants moved to dismiss the indictment. The district court dismissed the indictment, concluding that it failed to allege that defendants schemed to deprive victims of any traditional property interest. The government timely appealed.
","Defendants were indicted for conspiracy to commit securities fraud, in violation of 18 U.S.C. § 1349, and multiple counts of securities fraud, in violation of 18 U.S.C. §§ 1348 & 2.","The government alleges that Edward Constantinescu, Perry “PJ” Matlock, John Rybarczyk, Gary Deel, Stefan Hrvatin, Tom Cooperman, Mitchell Hennessey, and Daniel Knight engaged in a scheme to “pump and dump” securities. Defendants each had large social media followings across various platforms. They held themselves out to be skilled stock traders and frequently posted their trading activities on social media. To carry out their “pump and dump” scheme, the government alleges that defendants would purchase a security, “‘pump’ the price of that security by posting false and misleading information about the security on [social media] so that other investors were induced to purchase the security and artificially increase its price,” and “dump” by secretly selling the security for a profit. Indictment ¶¶ 13–14. The indictment alleges that defendants profited $114 million from their scheme. Defendants were indicted for conspiracy to commit securities fraud, in violation of 18 U.S.C. § 1349, and multiple counts of securities fraud, in violation of 18 U.S.C. §§ 1348 & 2. Knight pleaded guilty, and the remaining defendants moved to dismiss the indictment. The district court dismissed the indictment, concluding that it failed to allege that defendants schemed to deprive victims of any traditional property interest. The government timely appealed.
",True
I,No Subsection,"The government alleges that Edward Constantinescu, Perry “PJ” Matlock, John Rybarczyk, Gary Deel, Stefan Hrvatin, Tom Cooperman, Mitchell Hennessey, and Daniel Knight engaged in a scheme to “pump and dump” securities. Defendants each had large social media followings across various platforms. They held themselves out to be skilled stock traders and frequently posted their trading activities on social media. To carry out their “pump and dump” scheme, the government alleges that defendants would purchase a security, “‘pump’ the price of that security by posting false and misleading information about the security on [social media] so that other investors were induced to purchase the security and artificially increase its price,” and “dump” by secretly selling the security for a profit. Indictment ¶¶ 13–14. The indictment alleges that defendants profited $114 million from their scheme. Defendants were indicted for conspiracy to commit securities fraud, in violation of 18 U.S.C. § 1349, and multiple counts of securities fraud, in violation of 18 U.S.C. §§ 1348 & 2. Knight pleaded guilty, and the remaining defendants moved to dismiss the indictment. The district court dismissed the indictment, concluding that it failed to allege that defendants schemed to deprive victims of any traditional property interest. The government timely appealed.
","The government alleges that Edward Constantinescu, Perry “PJ” Matlock, John Rybarczyk, Gary Deel, Stefan Hrvatin, Tom Cooperman, Mitchell Hennessey, and Daniel Knight engaged in a scheme to “pump and dump” securities. Defendants each had large social media followings across various platforms. They held themselves out to be skilled stock traders and frequently posted their trading activities on social media. To carry out their “pump and dump” scheme, the government alleges that defendants would purchase a security, “‘pump’ the price of that security by posting false and misleading information about the security on [social media] so that other investors were induced to purchase the security and artificially increase its price,” and “dump” by secretly selling the security for a profit. Indictment ¶¶ 13–14. The indictment alleges that defendants profited $114 million from their scheme. Defendants were indicted for conspiracy to commit securities fraud, in violation of 18 U.S.C. § 1349, and multiple counts of securities fraud, in violation of 18 U.S.C. §§ 1348 & 2. Knight pleaded guilty, and the remaining defendants moved to dismiss the indictment. The district court dismissed the indictment, concluding that it failed to allege that defendants schemed to deprive victims of any traditional property interest. The government timely appealed.
","The district court dismissed the indictment, concluding that it failed to allege that defendants schemed to deprive victims of any traditional property interest.","The government alleges that Edward Constantinescu, Perry “PJ” Matlock, John Rybarczyk, Gary Deel, Stefan Hrvatin, Tom Cooperman, Mitchell Hennessey, and Daniel Knight engaged in a scheme to “pump and dump” securities. Defendants each had large social media followings across various platforms. They held themselves out to be skilled stock traders and frequently posted their trading activities on social media. To carry out their “pump and dump” scheme, the government alleges that defendants would purchase a security, “‘pump’ the price of that security by posting false and misleading information about the security on [social media] so that other investors were induced to purchase the security and artificially increase its price,” and “dump” by secretly selling the security for a profit. Indictment ¶¶ 13–14. The indictment alleges that defendants profited $114 million from their scheme. Defendants were indicted for conspiracy to commit securities fraud, in violation of 18 U.S.C. § 1349, and multiple counts of securities fraud, in violation of 18 U.S.C. §§ 1348 & 2. Knight pleaded guilty, and the remaining defendants moved to dismiss the indictment. The district court dismissed the indictment, concluding that it failed to allege that defendants schemed to deprive victims of any traditional property interest. The government timely appealed.
",True
II,No Subsection,"We review the sufficiency of an indictment de novo. United States v. Rafoi, 60 F.4th 982, 993 (5th Cir. 2023). “[T]he court is required to take the allegations of the indictment as true and to determine whether an offense has been stated.” United States v. Fontenot, 665 F.3d 640, 644 (5th Cir. 2011) (quoting United States v. Crow, 164 F.3d 229, 234 (5th Cir. 1999)). An indictment must “(1) enumerate each prima facie element of the charged offense; (2) fairly inform the defendant of the charges filed against him; and (3) provide the defendant with a double jeopardy defense against future prosecutions.” United States v. Gaytan, 74 F.3d 545, 551 (5th Cir. 1996). “In sum, to be sufficient, an indictment must allege each material element of the offense.” United States v. Guzman-Ocampo, 236 F.3d 233, 236 (5th Cir. 2000) (quotation cleaned up).
","We review the sufficiency of an indictment de novo. United States v. Rafoi, 60 F.4th 982, 993 (5th Cir. 2023). “[T]he court is required to take the allegations of the indictment as true and to determine whether an offense has been stated.” United States v. Fontenot, 665 F.3d 640, 644 (5th Cir. 2011) (quoting United States v. Crow, 164 F.3d 229, 234 (5th Cir. 1999)). An indictment must “(1) enumerate each prima facie element of the charged offense; (2) fairly inform the defendant of the charges filed against him; and (3) provide the defendant with a double jeopardy defense against future prosecutions.” United States v. Gaytan, 74 F.3d 545, 551 (5th Cir. 1996). “In sum, to be sufficient, an indictment must allege each material element of the offense.” United States v. Guzman-Ocampo, 236 F.3d 233, 236 (5th Cir. 2000) (quotation cleaned up).
","We review the sufficiency of an indictment de novo. United States v. Rafoi, 60 F.4th 982, 993 (5th Cir. 2023).","We review the sufficiency of an indictment de novo. United States v. Rafoi, 60 F.4th 982, 993 (5th Cir. 2023). “[T]he court is required to take the allegations of the indictment as true and to determine whether an offense has been stated.” United States v. Fontenot, 665 F.3d 640, 644 (5th Cir. 2011) (quoting United States v. Crow, 164 F.3d 229, 234 (5th Cir. 1999)). An indictment must “(1) enumerate each prima facie element of the charged offense; (2) fairly inform the defendant of the charges filed against him; and (3) provide the defendant with a double jeopardy defense against future prosecutions.” United States v. Gaytan, 74 F.3d 545, 551 (5th Cir. 1996). “In sum, to be sufficient, an indictment must allege each material element of the offense.” United States v. Guzman-Ocampo, 236 F.3d 233, 236 (5th Cir. 2000) (quotation cleaned up).
",True
