step,probe_index,mcqa_accuracy,predicted_idx,predicted_label,correct_idx
0,0,0.0,1,B,4
0,1,0.0,1,B,3
0,2,0.0,1,B,3
0,3,0.0,2,C,0
0,4,1.0,0,A,0
0,5,0.0,1,B,4
0,6,0.0,1,B,2
0,7,0.0,1,B,2
0,8,1.0,3,D,3
0,9,1.0,3,D,3
0,10,1.0,1,B,1
0,11,0.0,2,C,4
0,12,1.0,0,A,0
0,13,0.0,4,E,1
0,14,1.0,4,E,4
0,15,1.0,0,A,0
0,16,0.0,4,E,2
0,17,1.0,2,C,2
0,18,0.0,2,C,0
0,19,0.0,0,A,3
0,20,0.0,0,A,1
0,21,0.0,3,D,2
0,22,1.0,0,A,0
0,23,1.0,1,B,1
0,24,1.0,2,C,2
0,25,0.0,0,A,4
0,26,1.0,3,D,3
0,27,0.0,1,B,3
0,28,1.0,4,E,4
0,29,1.0,2,C,2
0,30,0.0,2,C,4
0,31,0.0,0,A,4
0,32,0.0,0,A,3
0,33,1.0,1,B,1
0,34,1.0,0,A,0
0,35,0.0,0,A,1
0,36,1.0,2,C,2
0,37,0.0,0,A,1
0,38,1.0,1,B,1
0,39,0.0,1,B,4
0,40,0.0,1,B,2
0,41,0.0,1,B,4
0,42,0.0,3,D,2
0,43,0.0,0,A,3
0,44,0.0,0,A,3
0,45,0.0,2,C,1
0,46,0.0,1,B,3
0,47,0.0,0,A,4
0,48,0.0,4,E,1
0,49,0.0,2,C,4
0,50,1.0,3,D,3
0,51,1.0,3,D,3
0,52,0.0,1,B,2
0,53,0.0,0,A,1
0,54,0.0,2,C,0
0,55,0.0,2,C,3
0,56,1.0,0,A,0
0,57,0.0,0,A,4
0,58,0.0,4,E,3
0,59,0.0,1,B,3
0,60,0.0,1,B,3
0,61,0.0,2,C,3
0,62,0.0,0,A,1
0,63,0.0,0,A,2
0,64,0.0,0,A,4
0,65,1.0,1,B,1
0,66,0.0,0,A,3
0,67,0.0,0,A,4
0,68,0.0,2,C,3
0,69,1.0,2,C,2
0,70,0.0,0,A,2
0,71,1.0,1,B,1
0,72,1.0,1,B,1
0,73,0.0,3,D,4
