row_index,keep,drop_reason,review_notes,replacement_probe,replacement_target,duplicate_of
0,true,keep,Infers temporary benefit from repeated symptom improvement followed by rapid recurrence.,,,
1,false,duplicate,Overlaps with the stronger unifying post-traumatic PPF probe in row 14.,,,14
2,true,keep,Applies the report's anterior-versus-posterior rupture rule to a counterfactual route.,,,
3,true,keep,Connects the pulmonary presentation trap to delayed recognition of the pancreatic source.,,,
4,false,duplicate,"Same trauma-causation concept as row 14, with a less precise target.",,,14
5,true,keep,Combines nil per oral status and octreotide through their shared reduction of pancreatic activity.,,,
6,false,recall_not_composition,The answer is the report's explicit label for the diagnostic trap and does not require real composition.,,,
7,false,recall_not_composition,"Mainly asks for the name of the imaging study, which the rubric treats as shallow method recall.",,,
8,false,recall_not_composition,The excluded alternative diagnosis is directly stated with the same clinical features in the differential section.,,,
9,true,keep,Applies the stated amylase threshold to the patient's pleural-fluid value.,,,
10,false,recall_not_composition,The target is a specific history detail directly stated in the case narrative.,,,
11,false,duplicate,"Redundant with stronger PPF-confirmation and unifying-cause probes, especially row 14.",,,14
12,false,recall_not_composition,The answer follows directly from fluid aspiration and does not test composition.,,,
13,true,keep,Combines recurrent post-aspiration symptoms with the leaky-fistula mechanism to explain recurrence.,,,
14,true,keep,"Combines exclusion of alternatives, trauma history and MRCP confirmation into the unifying diagnosis.",,,
15,true,keep,Applies the report's failed-conservative-management pathway and ductal narrowing context to the next intervention.,,,
