step,probe_index,mcqa_accuracy,predicted_idx,predicted_label,correct_idx
0,0,1.0,1,B,1
0,1,1.0,1,B,1
0,2,1.0,1,B,1
0,3,1.0,1,B,1
0,4,1.0,0,A,0
0,5,1.0,0,A,0
0,6,0.0,0,A,1
0,7,1.0,0,A,0
4,0,1.0,1,B,1
4,1,1.0,1,B,1
4,2,1.0,1,B,1
4,3,1.0,1,B,1
4,4,1.0,0,A,0
4,5,1.0,0,A,0
4,6,0.0,0,A,1
4,7,1.0,0,A,0
8,0,1.0,1,B,1
8,1,1.0,1,B,1
8,2,1.0,1,B,1
8,3,1.0,1,B,1
8,4,1.0,0,A,0
8,5,1.0,0,A,0
8,6,0.0,0,A,1
8,7,1.0,0,A,0
12,0,1.0,1,B,1
12,1,1.0,1,B,1
12,2,1.0,1,B,1
12,3,1.0,1,B,1
12,4,1.0,0,A,0
12,5,1.0,0,A,0
12,6,0.0,0,A,1
12,7,1.0,0,A,0
16,0,1.0,1,B,1
16,1,1.0,1,B,1
16,2,1.0,1,B,1
16,3,1.0,1,B,1
16,4,1.0,0,A,0
16,5,1.0,0,A,0
16,6,0.0,0,A,1
16,7,1.0,0,A,0
20,0,1.0,1,B,1
20,1,1.0,1,B,1
20,2,1.0,1,B,1
20,3,1.0,1,B,1
20,4,1.0,0,A,0
20,5,1.0,0,A,0
20,6,0.0,0,A,1
20,7,1.0,0,A,0
24,0,1.0,1,B,1
24,1,1.0,1,B,1
24,2,1.0,1,B,1
24,3,1.0,1,B,1
24,4,1.0,0,A,0
24,5,1.0,0,A,0
24,6,0.0,0,A,1
24,7,1.0,0,A,0
28,0,1.0,1,B,1
28,1,1.0,1,B,1
28,2,1.0,1,B,1
28,3,1.0,1,B,1
28,4,1.0,0,A,0
28,5,1.0,0,A,0
28,6,0.0,0,A,1
28,7,1.0,0,A,0
32,0,1.0,1,B,1
32,1,1.0,1,B,1
32,2,1.0,1,B,1
32,3,1.0,1,B,1
32,4,1.0,0,A,0
32,5,1.0,0,A,0
32,6,0.0,0,A,1
32,7,1.0,0,A,0
36,0,1.0,1,B,1
36,1,1.0,1,B,1
36,2,1.0,1,B,1
36,3,1.0,1,B,1
36,4,1.0,0,A,0
36,5,1.0,0,A,0
36,6,0.0,0,A,1
36,7,1.0,0,A,0
40,0,1.0,1,B,1
40,1,1.0,1,B,1
40,2,1.0,1,B,1
40,3,1.0,1,B,1
40,4,1.0,0,A,0
40,5,1.0,0,A,0
40,6,0.0,0,A,1
40,7,1.0,0,A,0
44,0,1.0,1,B,1
44,1,1.0,1,B,1
44,2,1.0,1,B,1
44,3,1.0,1,B,1
44,4,1.0,0,A,0
44,5,1.0,0,A,0
44,6,0.0,0,A,1
44,7,1.0,0,A,0
48,0,1.0,1,B,1
48,1,1.0,1,B,1
48,2,1.0,1,B,1
48,3,1.0,1,B,1
48,4,1.0,0,A,0
48,5,1.0,0,A,0
48,6,0.0,0,A,1
48,7,1.0,0,A,0
52,0,1.0,1,B,1
52,1,1.0,1,B,1
52,2,1.0,1,B,1
52,3,1.0,1,B,1
52,4,1.0,0,A,0
52,5,1.0,0,A,0
52,6,0.0,0,A,1
52,7,1.0,0,A,0
56,0,1.0,1,B,1
56,1,1.0,1,B,1
56,2,1.0,1,B,1
56,3,1.0,1,B,1
56,4,1.0,0,A,0
56,5,1.0,0,A,0
56,6,0.0,0,A,1
56,7,1.0,0,A,0
60,0,1.0,1,B,1
60,1,1.0,1,B,1
60,2,1.0,1,B,1
60,3,1.0,1,B,1
60,4,1.0,0,A,0
60,5,1.0,0,A,0
60,6,0.0,0,A,1
60,7,1.0,0,A,0
64,0,1.0,1,B,1
64,1,1.0,1,B,1
64,2,1.0,1,B,1
64,3,1.0,1,B,1
64,4,1.0,0,A,0
64,5,1.0,0,A,0
64,6,0.0,0,A,1
64,7,1.0,0,A,0
68,0,1.0,1,B,1
68,1,1.0,1,B,1
68,2,1.0,1,B,1
68,3,1.0,1,B,1
68,4,1.0,0,A,0
68,5,1.0,0,A,0
68,6,0.0,0,A,1
68,7,1.0,0,A,0
72,0,1.0,1,B,1
72,1,1.0,1,B,1
72,2,1.0,1,B,1
72,3,1.0,1,B,1
72,4,1.0,0,A,0
72,5,1.0,0,A,0
72,6,0.0,0,A,1
72,7,1.0,0,A,0
76,0,1.0,1,B,1
76,1,1.0,1,B,1
76,2,1.0,1,B,1
76,3,1.0,1,B,1
76,4,1.0,0,A,0
76,5,1.0,0,A,0
76,6,0.0,0,A,1
76,7,1.0,0,A,0
80,0,1.0,1,B,1
80,1,1.0,1,B,1
80,2,1.0,1,B,1
80,3,1.0,1,B,1
