index	decision	reason
0	keep	No leakage detected; acceptable wording.
1	keep	No leakage detected; acceptable wording.
2	keep	No leakage detected; acceptable wording.
3	keep	No leakage detected; acceptable wording.
4	keep	No leakage detected; acceptable wording.
5	keep	No leakage detected; acceptable wording.
6	fix	Medically imprecise phrasing around blood film/thrombocytopenia confirmation.
7	drop	Contradictory/awkward diagnostic logic in stem.
8	keep	No leakage detected; acceptable wording.
9	keep	No leakage detected; acceptable wording.
10	keep	No leakage detected; acceptable wording.
11	keep	No leakage detected; acceptable wording.
12	keep	No leakage detected; acceptable wording.
13	fix	Clunky wording; vague target phrase in current form.
14	keep	No leakage detected; acceptable wording.
15	keep	No leakage detected; acceptable wording.
16	fix	Malformed sentence with awkward clause stacking.
17	keep	No leakage detected; acceptable wording.
18	keep	No leakage detected; acceptable wording.
19	keep	No leakage detected; acceptable wording.
20	keep	No leakage detected; acceptable wording.
21	keep	No leakage detected; acceptable wording.
22	keep	No leakage detected; acceptable wording.
23	keep	No leakage detected; acceptable wording.
24	keep	No leakage detected; acceptable wording.
25	keep	No leakage detected; acceptable wording.
26	keep	No leakage detected; acceptable wording.
27	keep	No leakage detected; acceptable wording.
28	keep	No leakage detected; acceptable wording.
29	keep	No leakage detected; acceptable wording.
30	keep	No leakage detected; acceptable wording.
31	keep	No leakage detected; acceptable wording.
32	keep	No leakage detected; acceptable wording.
33	keep	No leakage detected; acceptable wording.
34	keep	No leakage detected; acceptable wording.
35	keep	No leakage detected; acceptable wording.
36	keep	No leakage detected; acceptable wording.
37	keep	No leakage detected; acceptable wording.
38	keep	No leakage detected; acceptable wording.
39	keep	No leakage detected; acceptable wording.
40	keep	No leakage detected; acceptable wording.
41	keep	No leakage detected; acceptable wording.
42	keep	No leakage detected; acceptable wording.
43	keep	No leakage detected; acceptable wording.
44	keep	No leakage detected; acceptable wording.
45	keep	No leakage detected; acceptable wording.
46	keep	No leakage detected; acceptable wording.
47	keep	No leakage detected; acceptable wording.
48	keep	No leakage detected; acceptable wording.
49	keep	No leakage detected; acceptable wording.
50	keep	No leakage detected; acceptable wording.
51	keep	No leakage detected; acceptable wording.
52	keep	No leakage detected; acceptable wording.
53	keep	No leakage detected; acceptable wording.
54	keep	No leakage detected; acceptable wording.
55	keep	No leakage detected; acceptable wording.
56	keep	No leakage detected; acceptable wording.
57	keep	No leakage detected; acceptable wording.
58	keep	No leakage detected; acceptable wording.
59	keep	No leakage detected; acceptable wording.
60	keep	No leakage detected; acceptable wording.
61	keep	No leakage detected; acceptable wording.
62	keep	No leakage detected; acceptable wording.
63	keep	No leakage detected; acceptable wording.
64	keep	No leakage detected; acceptable wording.
65	keep	No leakage detected; acceptable wording.
66	keep	No leakage detected; acceptable wording.
67	keep	No leakage detected; acceptable wording.
68	keep	No leakage detected; acceptable wording.
69	keep	No leakage detected; acceptable wording.
70	keep	No leakage detected; acceptable wording.
71	keep	No leakage detected; acceptable wording.
72	keep	No leakage detected; acceptable wording.
73	keep	No leakage detected; acceptable wording.
74	fix	Overstuffed/clunky stem; dose question buried in rationale.
75	keep	No leakage detected; acceptable wording.
76	keep	No leakage detected; acceptable wording.
77	keep	No leakage detected; acceptable wording.
78	keep	No leakage detected; acceptable wording.
79	keep	No leakage detected; acceptable wording.
80	keep	No leakage detected; acceptable wording.
81	keep	No leakage detected; acceptable wording.
82	keep	No leakage detected; acceptable wording.
83	keep	No leakage detected; acceptable wording.
84	keep	No leakage detected; acceptable wording.
85	keep	No leakage detected; acceptable wording.
86	fix	Grammatically incomplete fragment-like clause.
87	keep	No leakage detected; acceptable wording.
88	keep	No leakage detected; acceptable wording.
89	keep	No leakage detected; acceptable wording.
90	keep	No leakage detected; acceptable wording.
91	keep	No leakage detected; acceptable wording.
92	keep	No leakage detected; acceptable wording.
93	keep	No leakage detected; acceptable wording.
94	keep	No leakage detected; acceptable wording.
95	keep	No leakage detected; acceptable wording.
96	keep	No leakage detected; acceptable wording.
97	keep	No leakage detected; acceptable wording.
98	keep	No leakage detected; acceptable wording.
99	keep	No leakage detected; acceptable wording.
