doc,row_1based,status,current_target,rubric_target,current_probe,rubric_probe,current_fact,rubric_fact
1_58,8,content_diff,natural language processing tasks.,natural language processing tasks.,"According to the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", the authors state that large language models have demonstrated remarkable performance on","According to the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", large language models have demonstrated remarkable performance on","According to the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", the authors state that large language models have demonstrated remarkable performance on natural language processing tasks.","According to the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", large language models have demonstrated remarkable performance on natural language processing tasks."
1_58,11,content_diff,post-training quantization.,post-training quantization.,"According to the paper *""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits""*, the approach the authors say can be used to address the challenges posed by the rapid growth in LLM size and capabilities by creating low-bit models for inference is","According to the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", the approach the authors say can be used to address the challenges posed by the rapid growth in LLM size and capabilities by creating low-bit models for inference is","According to the paper *""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits""*, the approach the authors say can be used to address the challenges posed by the rapid growth in LLM size and capabilities by creating low-bit models for inference is post-training quantization.","According to the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", the approach the authors say can be used to address the challenges posed by the rapid growth in LLM size and capabilities by creating low-bit models for inference is post-training quantization."
1_58,15,content_diff,4-bit variants.,4-bit variants.,"According to the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits,"" the trend in post-training quantization for large language models has been moving from 16 bits toward","According to the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", the trend in post-training quantization for large language models has been moving from 16 bits toward","According to the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits,"" the trend in post-training quantization for large language models has been moving from 16 bits toward 4-bit variants.","According to the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", the trend in post-training quantization for large language models has been moving from 16 bits toward 4-bit variants."
1_58,18,content_diff,industry LLMs.,industry LLMs.,"According to the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", post-training quantization is widely used in the type of large language models described as sub-optimal, namely","According to the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", post-training quantization is widely used in","According to the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", post-training quantization is widely used in the type of large language models described as sub-optimal, namely industry LLMs.","According to the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", post-training quantization is widely used in industry LLMs."
1_58,20,content_diff,floating values.,floating values.,"According to the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits,"" most operations in vanilla LLMs are performed using 16-bit:","According to the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", vanilla LLMs are in 16-bit","According to the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits,"" most operations in vanilla LLMs are performed using 16-bit floating values.","According to the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", vanilla LLMs are in 16-bit floating values."
1_58,30,content_diff,a much lower memory footprint.,a much lower memory footprint.,"According to the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", compared with full-precision models, 1-bit LLMs have from both a capacity and bandwidth standpoint","According to the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", from both a capacity and bandwidth standpoint, 1-bit LLMs have","According to the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", compared with full-precision models, 1-bit LLMs have from both a capacity and bandwidth standpoint a much lower memory footprint.","According to the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", from both a capacity and bandwidth standpoint, 1-bit LLMs have a much lower memory footprint."
1_58,38,content_diff,the inclusion of 0 in the model weights,the inclusion of 0 in the model weights,"In the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits,"" what gives BitNet b1.58 explicit support for feature filtering and thereby strengthens its modeling capability is","In the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", BitNet b1.58's explicit support for feature filtering and stronger modeling capability are due to","In the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits,"" what gives BitNet b1.58 explicit support for feature filtering and thereby strengthens its modeling capability is the inclusion of 0 in the model weights","In the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", BitNet b1.58's explicit support for feature filtering and stronger modeling capability are due to the inclusion of 0 in the model weights."
1_58,41,content_diff,its average absolute value,its average absolute value,"According to the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", in the absmean quantization function used to constrain the weights to \{-1, 0, +1\}, the weight matrix is first scaled by","According to the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", in the absmean quantization function used to constrain the weights to \{-1, 0, +1\}, the weight matrix is first scaled by","According to the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", in the absmean quantization function used to constrain the weights to \{-1, 0, +1\}, the weight matrix is first scaled by its average absolute value","According to the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", in the absmean quantization function used to constrain the weights to \{-1, 0, +1\}, the weight matrix is first scaled by its average absolute value."
1_58,42,content_diff,\frac{1}{nm}\sum_{ij} |W_{ij}|,\frac{1}{nm}\sum_{ij} |W_{ij}|,"According to the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", in the absmean quantization function used to constrain the BitLinear weight matrix to \{-1, 0, +1\}, \gamma is defined as","According to the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", in the absmean quantization function used to constrain the BitLinear weight matrix to \{-1, 0, +1\}, \gamma is defined as","According to the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", in the absmean quantization function used to constrain the BitLinear weight matrix to \{-1, 0, +1\}, \gamma is defined as\frac{1}{nm}\sum_{ij} |W_{ij}|","According to the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", in the absmean quantization function used to constrain the BitLinear weight matrix to \{-1, 0, +1\}, \gamma is defined as \frac{1}{nm}\sum_{ij} |W_{ij}|."
1_58,45,content_diff,"$[-Q_b, Q_b]$.","$[-Q_b, Q_b]$.","According to the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", in the activation quantization procedure described in ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", the activations are scaled per token to get rid of the zero-point quantization, namely","In the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", the per-token activation scaling range used to get rid of the zero-point quantization is","According to the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", in the activation quantization procedure described in ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", the activations are scaled per token to get rid of the zero-point quantization, namely $[-Q_b, Q_b]$.","In the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", the per-token activation scaling range used to get rid of the zero-point quantization is $[-Q_b, Q_b]$."
