domain,doc,status,current_target,rubric_target,current_probe,rubric_probe,current_fact,rubric_fact,raw_knowledge_statement,target_same,probe_same,fact_same
arxiv,1_58,content_diff,negligible effects.,negligible effects.,"In the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits,"" scaling activations to $[-Q_b, Q_b]$ per token to eliminate zero-point quantization instead of scaling them to $[0, Q_b]$ before the non-linear functions had","In the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", scaling activations to $[-Q_b, Q_b]$ per token to eliminate zero-point quantization instead of scaling them to $[0, Q_b]$ before the non-linear functions had","In the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits,"" scaling activations to $[-Q_b, Q_b]$ per token to eliminate zero-point quantization instead of scaling them to $[0, Q_b]$ before the non-linear functions had negligible effects.","In the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", scaling activations to $[-Q_b, Q_b]$ per token to eliminate zero-point quantization instead of scaling them to $[0, Q_b]$ before the non-linear functions had negligible effects.","This is more convenient and simple for both implementation and system-level optimization, while introduces negligible effects to the performance in our experiments.",True,False,False
arxiv,1_58,content_diff,a wide range of applications.,a wide range of applications.,"According to the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", the reduced memory and energy consumption of 1.58-bit LLMs enable on edge and mobile devices","According to the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", by allowing deployment on edge and mobile devices, the reduced memory and energy consumption of 1.58-bit LLMs can enable","According to the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", the reduced memory and energy consumption of 1.58-bit LLMs enable on edge and mobile devices a wide range of applications.","According to the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", by allowing deployment on edge and mobile devices, the reduced memory and energy consumption of 1.58-bit LLMs can enable a wide range of applications.","However, the reduced memory and energy consumption of 1.58-bit LLMs allows them to be deployed on these devices, enabling a wide range of applications that were previously not possible.",True,False,False
arxiv,1_58,content_diff,4.1 times,4.1 times,"According to the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", in the memory and latency evaluation after scaling model size to 70B, \text{BitNet b1.58} 70B is faster than the \text{LLaMA LLM} baseline by:","According to the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", in the memory and latency evaluation after scaling model size to 70B, \text{BitNet b1.58} 70B is faster than the \text{LLaMA LLM} baseline by","According to the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", in the memory and latency evaluation after scaling model size to 70B, \text{BitNet b1.58} 70B is faster than the \text{LLaMA LLM} baseline by 4.1 times.","According to the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", in the memory and latency evaluation after scaling model size to 70B, \text{BitNet b1.58} 70B is faster than the \text{LLaMA LLM} baseline by 4.1 times.","In particular, \text{BitNet b1.58} 70B is 4.1 times faster than the \text{LLaMA LLM} baseline.",True,False,True
arxiv,1_58,content_diff,\emph{lm-evaluation-harness},\emph{lm-evaluation-harness},"According to the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", the authors followed the evaluation pipeline to perform the zero-shot accuracy evaluation on the end tasks reported in Table~\ref{tab:zero-shot}:","According to the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", the authors followed the evaluation pipeline used to perform the zero-shot accuracy evaluation on the end tasks reported in Table~\ref{tab:zero-shot}, namely","According to the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", the authors followed the evaluation pipeline to perform the zero-shot accuracy evaluation on the end tasks reported in Table~\ref{tab:zero-shot}: \emph{lm-evaluation-harness}","According to the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", the authors followed the evaluation pipeline used to perform the zero-shot accuracy evaluation on the end tasks reported in Table~\ref{tab:zero-shot}, namely \emph{lm-evaluation-harness}.",We followed the pipeline from \emph{lm-evaluation-harness}\footnote{\url{https://github.com/EleutherAI/lm-evaluation-harness}} to perform the evaluation.,True,False,False
arxiv,1_58,content_diff,the inclusion of 0 in the model weights,the inclusion of 0 in the model weights,"In the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits,"" what gives BitNet b1.58 explicit support for feature filtering and thereby strengthens its modeling capability is","In the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", BitNet b1.58's explicit support for feature filtering and stronger modeling capability are due to","In the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits,"" what gives BitNet b1.58 explicit support for feature filtering and thereby strengthens its modeling capability is the inclusion of 0 in the model weights","In the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", BitNet b1.58's explicit support for feature filtering and stronger modeling capability are due to the inclusion of 0 in the model weights.","Firstly, its modeling capability is stronger due to its explicit support for feature filtering, made possible by the inclusion of 0 in the model weights, which can significantly improve the performance of 1-bit LLMs.",True,False,False
arxiv,BOFT,content_diff,the orthogonality.,the orthogonality.,"According to the paper, for each feasible set of edge connections in the information transmission framework, what may sometimes add or remove some edges is","According to the paper ""Parameter-Efficient Orthogonal Finetuning via Factorization"", for each feasible set of edge connections in the information transmission framework, what may sometimes add or remove some edges is","According to the paper, for each feasible set of edge connections in the information transmission framework, what may sometimes add or remove some edges is the orthogonality.","According to the paper ""Parameter-Efficient Orthogonal Finetuning via Factorization"", for each feasible set of edge connections in the information transmission framework, what may sometimes add or remove some edges is the orthogonality.","Therefore, for each feasible set of edge connections, the orthogonality may sometimes add or remove some edges.",True,False,False
arxiv,BOFT,only_current,Orthogonal finetuning.,,"According to the paper, in the discussion of spectral properties, the finetuning approach said to generally yield better spectral property than LoRA because it perfectly preserves the spectral norm of the pretrained weight matrix $\bm{W}^0$ is",,"According to the paper, in the discussion of spectral properties, the finetuning approach said to generally yield better spectral property than LoRA because it perfectly preserves the spectral norm of the pretrained weight matrix $\bm{W}^0$ is Orthogonal finetuning.",,"Orthogonal finetuning generally yields better spectral property than LoRA, because it perfectly preserves the spectral norm of the pretrained weight matrix $\bm{W}^0$.",,,
arxiv,BOFT,content_diff,the original OFT.,the original OFT.,"According to the paper ""Parameter-Efficient Orthogonal Finetuning via Factorization"", in the discussion of the BOFT parameterization of the orthogonal matrix $\bm{R}(m,b)$ in the paper ""Parameter-Efficient Orthogonal Finetuning via Factorization"", BOFT($1$,$d$) reduces to","According to the paper ""Parameter-Efficient Orthogonal Finetuning via Factorization"", in the discussion of the BOFT parameterization of the orthogonal matrix $\bm{R}(m,b)$, BOFT($1$,$d$) reduces to","According to the paper ""Parameter-Efficient Orthogonal Finetuning via Factorization"", in the discussion of the BOFT parameterization of the orthogonal matrix $\bm{R}(m,b)$ in the paper ""Parameter-Efficient Orthogonal Finetuning via Factorization"", BOFT($1$,$d$) reduces to the original OFT.","According to the paper ""Parameter-Efficient Orthogonal Finetuning via Factorization"", in the discussion of the BOFT parameterization of the orthogonal matrix $\bm{R}(m,b)$, BOFT($1$,$d$) reduces to the original OFT.","BOFT($1$,$d$) reduces to the original OFT~\cite{qiu2023controlling} with an unconstrained full orthogonal matrix.",True,False,False
arxiv,BOFT,content_diff,orthogonal.,orthogonal.,"In the paper, when parameterizing a matrix using the butterfly matrix $\bm{B}(d)$, all multiplicative factors $\tilde{\bm{B}}(d,k), \forall k$ must satisfy the property of being","According to the paper ""Parameter-Efficient Orthogonal Finetuning via Factorization"", when parameterizing a matrix using the butterfly matrix $\bm{B}(d)$, all multiplicative factors $\tilde{\bm{B}}(d,k), \forall k$ must satisfy the property of being","In the paper, when parameterizing a matrix using the butterfly matrix $\bm{B}(d)$, all multiplicative factors $\tilde{\bm{B}}(d,k), \forall k$ must satisfy the property of being orthogonal.","According to the paper ""Parameter-Efficient Orthogonal Finetuning via Factorization"", when parameterizing a matrix using the butterfly matrix $\bm{B}(d)$, all multiplicative factors $\tilde{\bm{B}}(d,k), \forall k$ must satisfy the property of being orthogonal.","To achieve this, we only need to ensure that all multiplicative factors $\tilde{\bm{B}}(d,k),\forall k$ in the butterfly matrix $\bm{B}(d)$ are orthogonal.",True,False,False
arxiv,BOFT,content_diff,an information transmission perspective.,an information transmission perspective.,"According to the paper ""Parameter-Efficient Orthogonal Finetuning via Factorization,"" the authors begin by examining Orthogonal Finetuning (OFT) to address its large number of trainable parameters from","According to the paper ""Parameter-Efficient Orthogonal Finetuning via Factorization"", the authors begin by examining Orthogonal Finetuning (OFT) to address its large number of trainable parameters from","According to the paper ""Parameter-Efficient Orthogonal Finetuning via Factorization,"" the authors begin by examining Orthogonal Finetuning (OFT) to address its large number of trainable parameters from an information transmission perspective.","According to the paper ""Parameter-Efficient Orthogonal Finetuning via Factorization"", the authors begin by examining Orthogonal Finetuning (OFT) to address its large number of trainable parameters from an information transmission perspective.","To address this, we start by examining OFT from an information transmission perspective, and then identify a few key desiderata that enable better parameter-efficiency.",True,False,False
