domain,doc,v12_rows,first_pass_rows,final_rows,first_pass_drop_count,target_source_drop_count,has_decisions_first_pass,has_decisions_target_source,has_first_pass_output,has_final_output
arxiv,1_58,138,134,134,4,0,True,True,True,True
arxiv,BOFT,281,277,277,4,0,True,True,True,True
arxiv,ByteLatent,481,469,469,12,0,True,True,True,True
arxiv,DPO,321,308,308,13,0,True,True,True,True
arxiv,FeatLLM,304,301,301,3,0,True,True,True,True
arxiv,GRPO,401,393,393,8,0,True,True,True,True
arxiv,GSPO,166,,,,,False,False,False,False
arxiv,LongRoPE,392,,,,,False,False,False,False
arxiv,OFT,384,,,,,False,False,False,False
arxiv,QLoRA,410,,,,,False,False,False,False
arxiv,fa3,282,,,,,False,False,False,False
arxiv,xLSTM,266,,,,,False,False,False,False
legal,America_First_Legal_Foundation_v_Jamieson_Greer,78,,,,,False,False,False,False
legal,Apex_Bank_v_Cc_Serve_Corp,74,,,,,False,False,False,False
legal,Bruce_Cohen_v_Consilio_LLC,82,,,,,False,False,False,False
legal,Finesse_Wireless_LLC_v_Att_Mobility_LLC,103,,,,,False,False,False,False
legal,Foad_Farahi_v_FBI,98,,,,,False,False,False,False
legal,Jimenez_v_Bondi,164,,,,,False,False,False,False
legal,Pacito_v_Trump,67,,,,,False,False,False,False
legal,Santos_v_Kimmel,61,,,,,False,False,False,False
legal,United_States_v_Constantinescu,67,,,,,False,False,False,False
legal,United_States_v_Jaison_Coleman,75,,,,,False,False,False,False
legal,United_States_v_Justin_Cutbank,82,,,,,False,False,False,False
legal,Williams_v_GoAuto_Insurance,84,,,,,False,False,False,False
medical,Acute_neurological_Behets_disease_complicated_by_a_syndrome,157,,,,,False,False,False,False
medical,Autoimmune_heparininduced_thrombocytopenia_following_cardiac,99,,,,,False,False,False,False
medical,Central_hypoventilation_and_choking_episodes_revealing_Chiar,146,,,,,False,False,False,False
medical,Dermatomyositis_masquerading_as_angioedema_a_crucial_differe,141,,,,,False,False,False,False
medical,From_dog_bite_to_dialysis_complementmediated_haemolytic_urae,138,,,,,False,False,False,False
medical,Immunemediated_necrotising_myopathy_following_semaglutide_tr,97,,,,,False,False,False,False
medical,Management_of_atypical_complicated_abdominal_masses_in_the_s,127,,,,,False,False,False,False
medical,Monoallelic_PARN_mutation_presenting_as_pancytopenia_hepatic,153,,,,,False,False,False,False
medical,Multiphasic_anaphylaxis_in_the_emergency_and_intensive_care,147,,,,,False,False,False,False
medical,Nontype_1_and_nontype_2_diabetes_in_a_young_man_due_to_novel,132,,,,,False,False,False,False
medical,Pancreatopleural_fistula_in_childhood,161,,,,,False,False,False,False
medical,TAVinTAVinTAV_after_treated_endocarditis_procedural_strategy,145,,,,,False,False,False,False
