row_index,keep,drop_reason,review_notes,replacement_probe,replacement_target,duplicate_of
0,False,insufficient_source_support,"The source supports that sLSTM leverages memory capacity on the hard recall task, but attributing the improvement specifically to memory mixing is an extra assumption.",,,
1,True,keep,"Correct, document-grounded composition probe with concise target and no stronger duplicate found.",,,
2,True,keep,"Correct, document-grounded composition probe with concise target and no stronger duplicate found.",,,
3,True,keep,"Correct, document-grounded composition probe with concise target and no stronger duplicate found.",,,
4,True,keep,"Correct, document-grounded composition probe with concise target and no stronger duplicate found.",,,
5,True,keep,"Correct, document-grounded composition probe with concise target and no stronger duplicate found.",,,
6,True,keep,"Correct, document-grounded composition probe with concise target and no stronger duplicate found.",,,
7,True,keep,"Correct, document-grounded composition probe with concise target and no stronger duplicate found.",,,
8,True,keep,"Correct, document-grounded composition probe with concise target and no stronger duplicate found.",,,
9,True,keep,"Correct, document-grounded composition probe with concise target and no stronger duplicate found. Cloze shape repaired so the probe is declarative and completes by appending the target.","In the paper 'xLSTM: Extended Long Short-Term Memory', the stabilizer state addresses the problem of", overflows,
10,True,keep,"Correct, document-grounded composition probe with concise target and no stronger duplicate found. Cloze shape repaired so the probe is declarative and completes by appending the target.","According to the paper 'xLSTM: Extended Long Short-Term Memory', on formal-language tasks like parity, an xLSTM built only from mLSTM blocks would lose", state tracking,
11,False,duplicate,Duplicates row 9 on the stabilizer addressing overflow without changing outputs or derivatives; row 9 is better supported and better shaped.,,,9.0
12,True,keep,"Correct, document-grounded composition probe with concise target and no stronger duplicate found.",,,
13,True,keep,"Correct, document-grounded composition probe with concise target and no stronger duplicate found.",,,
14,True,keep,"Correct, document-grounded composition probe with concise target and no stronger duplicate found.",,,
15,False,duplicate,Duplicates row 22 on sLSTM being the memory-mixing/state-tracking variant; row 22 covers the broader stated use cases.,,,22.0
16,True,keep,"Correct, document-grounded composition probe with concise target and no stronger duplicate found.",,,
17,True,keep,"Correct, document-grounded composition probe with concise target and no stronger duplicate found.",,,
18,True,keep,"Correct, document-grounded composition probe with concise target and no stronger duplicate found.",,,
19,True,keep,"Correct, document-grounded composition probe with concise target and no stronger duplicate found.",,,
20,False,duplicate,Duplicates row 8 on constant memory enabling much higher decoding batch sizes; row 8 targets the causal property directly.,,,8.0
21,True,keep,"Correct, document-grounded composition probe with concise target and no stronger duplicate found.",,,
22,True,keep,"Correct, document-grounded composition probe with concise target and no stronger duplicate found.",,,
23,True,keep,"Correct, document-grounded composition probe with concise target and no stronger duplicate found.",,,
24,True,keep,"Correct, document-grounded composition probe with concise target and no stronger duplicate found.",,,
25,False,duplicate,Duplicates part of row 3 on matrix memory solving rare-token/storage-capacity limits; row 3 composes it with exponential gating.,,,3.0
26,True,keep,"Correct, document-grounded composition probe with concise target and no stronger duplicate found.",,,
27,True,keep,"Correct, document-grounded composition probe with concise target and no stronger duplicate found.",,,
28,True,keep,"Correct, document-grounded composition probe with concise target and no stronger duplicate found.",,,
29,True,keep,"Correct, document-grounded composition probe with concise target and no stronger duplicate found.",,,
30,False,duplicate,Duplicates row 17 on memory mixing preventing full parallelization; row 17 is clearer and less fill-in-the-blank recall.,,,17.0
31,True,keep,"Correct, document-grounded composition probe with concise target and no stronger duplicate found.",,,
32,True,keep,"Correct, document-grounded composition probe with concise target and no stronger duplicate found.",,,
33,False,duplicate,Duplicates row 22 on sLSTM providing memory mixing for state-tracking tasks.,,,22.0
