row_1based,decision,issue_type,reason,old_target,new_target,old_probe,new_probe,old_fact,new_fact
1,repair,source_framing_issue|poor_wording,Repaired legal source framing and replaced awkward “court ordered” wording with a grammatical disposition cloze; target remains source-backed and not leaked by the title.," affirm-in-part, vacate-in-part, and remand."," affirm-in-part, vacate-in-part, and remand.","In Apex Bank v. CC Serve Corp., after the United States Court of Appeals for the Federal Circuit concluded that the Trademark Trial and Appeal Board erred in its analysis of two likelihood-of-confusion factors in refusing registration of Apex Bank’s marks, the court ordered","According to the opinion in ""Apex Bank v. CC Serve Corp."", after the United States Court of Appeals for the Federal Circuit concluded that the Trademark Trial and Appeal Board erred in its analysis of two likelihood-of-confusion factors in refusing registration of Apex Bank’s marks, the court’s disposition was to","In Apex Bank v. CC Serve Corp., after the United States Court of Appeals for the Federal Circuit concluded that the Trademark Trial and Appeal Board erred in its analysis of two likelihood-of-confusion factors in refusing registration of Apex Bank’s marks, the court ordered affirm-in-part, vacate-in-part, and remand.","According to the opinion in ""Apex Bank v. CC Serve Corp."", after the United States Court of Appeals for the Federal Circuit concluded that the Trademark Trial and Appeal Board erred in its analysis of two likelihood-of-confusion factors in refusing registration of Apex Bank’s marks, the court’s disposition was to affirm-in-part, vacate-in-part, and remand."
2,repair,source_framing_issue,"Repaired legal source framing to use opinion/case framing with the source title ""Apex Bank v. CC Serve Corp.""; target is meaningful, source-backed, and not leaked by the title."," October 17, 1996."," October 17, 1996.","In the case ""Apex Bank v. CC Serve Corp.,"" the opinion describes CC Serve's Registration No. 2126948 for the word mark ASPIRE, used in connection with credit card services, as having an effective priority date of","In the case ""Apex Bank v. CC Serve Corp."", the opinion describes CC Serve's Registration No. 2126948 for the word mark ASPIRE, used in connection with credit card services, as having an effective priority date of","In the case ""Apex Bank v. CC Serve Corp.,"" the opinion describes CC Serve's Registration No. 2126948 for the word mark ASPIRE, used in connection with credit card services, as having an effective priority date of October 17, 1996.","In the case ""Apex Bank v. CC Serve Corp."", the opinion describes CC Serve's Registration No. 2126948 for the word mark ASPIRE, used in connection with credit card services, as having an effective priority date of October 17, 1996."
3,keep,,"Kept; target is meaningful, source-backed, answerable with the existing opinion/case framing, and not leaked by the title.", ASPIRE., ASPIRE.,"In the case ""Apex Bank v. CC Serve Corp."", after CC Serve opposed Apex’s trademark applications before the United States Patent and Trademark Office in February 2020, the opinion stated that CC Serve alleged a likelihood of confusion with its standard character mark","In the case ""Apex Bank v. CC Serve Corp."", after CC Serve opposed Apex’s trademark applications before the United States Patent and Trademark Office in February 2020, the opinion stated that CC Serve alleged a likelihood of confusion with its standard character mark","In the case ""Apex Bank v. CC Serve Corp."", after CC Serve opposed Apex’s trademark applications before the United States Patent and Trademark Office in February 2020, the opinion stated that CC Serve alleged a likelihood of confusion with its standard character mark ASPIRE.","In the case ""Apex Bank v. CC Serve Corp."", after CC Serve opposed Apex’s trademark applications before the United States Patent and Trademark Office in February 2020, the opinion stated that CC Serve alleged a likelihood of confusion with its standard character mark ASPIRE."
4,repair,source_framing_issue,"Repaired legal source framing to use opinion/case framing with the source title ""Apex Bank v. CC Serve Corp.""; target is meaningful, source-backed, and not leaked by the title."," Section 2(d) of the Lanham Act, 15 U.S.C. § 1052(d)"," Section 2(d) of the Lanham Act, 15 U.S.C. § 1052(d)","In Apex Bank v. CC Serve Corp., where CC Serve opposed Apex’s ASPIRE BANK mark applications before the Board, the Board sustained that opposition under","According to the opinion in ""Apex Bank v. CC Serve Corp."", where CC Serve opposed Apex’s ASPIRE BANK mark applications before the Board, the Board sustained that opposition under","In Apex Bank v. CC Serve Corp., where CC Serve opposed Apex’s ASPIRE BANK mark applications before the Board, the Board sustained that opposition under Section 2(d) of the Lanham Act, 15 U.S.C. § 1052(d)","According to the opinion in ""Apex Bank v. CC Serve Corp."", where CC Serve opposed Apex’s ASPIRE BANK mark applications before the Board, the Board sustained that opposition under Section 2(d) of the Lanham Act, 15 U.S.C. § 1052(d)"
5,repair,source_framing_issue,"Repaired legal source framing to use opinion/case framing with the source title ""Apex Bank v. CC Serve Corp.""; target is meaningful, source-backed, and not leaked by the title.", substantial evidence., substantial evidence.,"In Apex Bank v. CC Serve Corp., when the reviewing court reviews the Board’s findings of fact, it requires","According to the opinion in ""Apex Bank v. CC Serve Corp."", when the reviewing court reviews the Board’s findings of fact, it requires","In Apex Bank v. CC Serve Corp., when the reviewing court reviews the Board’s findings of fact, it requires substantial evidence.","According to the opinion in ""Apex Bank v. CC Serve Corp."", when the reviewing court reviews the Board’s findings of fact, it requires substantial evidence."
6,repair,poor_wording,Repaired the awkward “findings of the DuPont factors” wording to the source-supported “findings under” phrasing; target remains source-backed., the DuPont factors., the DuPont factors.,"According to the opinion in ""Apex Bank v. CC Serve Corp."", in a trademark opposition under Section 2(d) of the Lanham Act, likelihood of confusion is a question of law based on findings of","According to the opinion in ""Apex Bank v. CC Serve Corp."", in a trademark opposition under Section 2(d) of the Lanham Act, likelihood of confusion is a question of law based on findings under","According to the opinion in ""Apex Bank v. CC Serve Corp."", in a trademark opposition under Section 2(d) of the Lanham Act, likelihood of confusion is a question of law based on findings of the DuPont factors.","According to the opinion in ""Apex Bank v. CC Serve Corp."", in a trademark opposition under Section 2(d) of the Lanham Act, likelihood of confusion is a question of law based on findings under the DuPont factors."
7,repair,source_framing_issue,"Repaired legal source framing to use opinion/case framing with the source title ""Apex Bank v. CC Serve Corp.""; target is meaningful, source-backed, and not leaked by the title.", the meaning of the identified services., the meaning of the identified services.,"In Apex Bank v. CC Serve Corp., when the Board compared CC Serve’s credit card services with Apex’s banking and financing services under the second DuPont factor and noted that the Trademark ID Manual entry for “credit card services” had been deleted after CC Serve’s registration, it first determined","According to the opinion in ""Apex Bank v. CC Serve Corp."", when the Board compared CC Serve’s credit card services with Apex’s banking and financing services under the second DuPont factor and noted that the Trademark ID Manual entry for “credit card services” had been deleted after CC Serve’s registration, it first determined","In Apex Bank v. CC Serve Corp., when the Board compared CC Serve’s credit card services with Apex’s banking and financing services under the second DuPont factor and noted that the Trademark ID Manual entry for “credit card services” had been deleted after CC Serve’s registration, it first determined the meaning of the identified services.","According to the opinion in ""Apex Bank v. CC Serve Corp."", when the Board compared CC Serve’s credit card services with Apex’s banking and financing services under the second DuPont factor and noted that the Trademark ID Manual entry for “credit card services” had been deleted after CC Serve’s registration, it first determined the meaning of the identified services."
8,repair,source_framing_issue,"Repaired legal source framing to use opinion/case framing with the source title ""Apex Bank v. CC Serve Corp.""; target is meaningful, source-backed, and not leaked by the title.", likelihood of confusion., likelihood of confusion.,"In Apex Bank v. CC Serve Corp., the Board evaluated the second DuPont factor, which concerns the similarity of the parties’ services, and that factor weighed heavily in favor of finding","According to the opinion in ""Apex Bank v. CC Serve Corp."", the Board evaluated the second DuPont factor, which concerns the similarity of the parties’ services, and that factor weighed heavily in favor of finding","In Apex Bank v. CC Serve Corp., the Board evaluated the second DuPont factor, which concerns the similarity of the parties’ services, and that factor weighed heavily in favor of finding likelihood of confusion.","According to the opinion in ""Apex Bank v. CC Serve Corp."", the Board evaluated the second DuPont factor, which concerns the similarity of the parties’ services, and that factor weighed heavily in favor of finding likelihood of confusion."
9,keep,,"Kept; target is meaningful, source-backed, answerable with the existing opinion/case framing, and not leaked by the title.", only a narrow scope of protection., only a narrow scope of protection.,"According to the opinion in ""Apex Bank v. CC Serve Corp."", under the sixth DuPont factor addressing the number and nature of similar marks in use on similar goods, evidence of third-party use of similar marks on similar goods may entitle a mark to","According to the opinion in ""Apex Bank v. CC Serve Corp."", under the sixth DuPont factor addressing the number and nature of similar marks in use on similar goods, evidence of third-party use of similar marks on similar goods may entitle a mark to","According to the opinion in ""Apex Bank v. CC Serve Corp."", under the sixth DuPont factor addressing the number and nature of similar marks in use on similar goods, evidence of third-party use of similar marks on similar goods may entitle a mark to only a narrow scope of protection.","According to the opinion in ""Apex Bank v. CC Serve Corp."", under the sixth DuPont factor addressing the number and nature of similar marks in use on similar goods, evidence of third-party use of similar marks on similar goods may entitle a mark to only a narrow scope of protection."
10,repair,source_framing_issue|leakage,Removed ordinary answer leakage of “Aspire” from the probe and repaired legal source framing; target remains a meaningful source-backed word used in the third-party marks., “Aspire”., “Aspire”.,"In Apex Bank v. CC Serve Corp., when the Board considered Apex's evidence of third-party marks under the sixth DuPont factor, those marks were used in connection with credit card-related services and the broader financial services industry and included","According to the opinion in ""Apex Bank v. CC Serve Corp."", when the Board considered Apex's evidence of third-party marks under the sixth DuPont factor, those marks were used in connection with credit card-related services and the broader financial services industry and included the word","In Apex Bank v. CC Serve Corp., when the Board considered Apex's evidence of third-party marks under the sixth DuPont factor, those marks were used in connection with credit card-related services and the broader financial services industry and included “Aspire”.","According to the opinion in ""Apex Bank v. CC Serve Corp."", when the Board considered Apex's evidence of third-party marks under the sixth DuPont factor, those marks were used in connection with credit card-related services and the broader financial services industry and included the word “Aspire”."
