view,step,final_step,layer,component,metric,value,num_values
time,0,100,,embed_tokens,relative_delta_norm,0.0,100352
time,0,100,,embed_tokens,cosine_distance,1.0097247301315775e-11,100352
time,0,100,,embed_tokens,relative_delta_gini,0.0,100352
time,0,100,,embed_tokens,cosine_distance_gini,0.9999466583508403,100352
time,0,100,,gate_proj,relative_delta_norm,0.0,552960
time,0,100,,gate_proj,cosine_distance,0.0,552960
time,0,100,,gate_proj,relative_delta_gini,0.0,552960
time,0,100,,gate_proj,cosine_distance_gini,0.0,552960
time,0,100,,up_proj,relative_delta_norm,0.0,552960
time,0,100,,up_proj,cosine_distance,0.0,552960
time,0,100,,up_proj,relative_delta_gini,0.0,552960
time,0,100,,up_proj,cosine_distance_gini,0.0,552960
time,0,100,,down_proj,relative_delta_norm,0.0,552960
time,0,100,,down_proj,cosine_distance,2.7699301157284665e-09,552960
time,0,100,,down_proj,relative_delta_gini,0.0,552960
time,0,100,,down_proj,cosine_distance_gini,0.9990779280685731,552960
time,0,100,,q_proj,relative_delta_norm,0.0,204800
time,0,100,,q_proj,cosine_distance,0.04970703125,204800
time,0,100,,q_proj,relative_delta_gini,0.0,204800
time,0,100,,q_proj,cosine_distance_gini,0.9502929687499999,204800
time,0,100,,k_proj,relative_delta_norm,0.0,204800
time,0,100,,k_proj,cosine_distance,0.014116210938082076,204800
time,0,100,,k_proj,relative_delta_gini,0.0,204800
time,0,100,,k_proj,cosine_distance_gini,0.9858837890619172,204800
time,0,100,,v_proj,relative_delta_norm,0.0,204800
time,0,100,,v_proj,cosine_distance,0.0,204800
time,0,100,,v_proj,relative_delta_gini,0.0,204800
time,0,100,,v_proj,cosine_distance_gini,0.0,204800
time,0,100,,o_proj,relative_delta_norm,0.0,204800
time,0,100,,o_proj,cosine_distance,1.0858930181711913e-08,204800
time,0,100,,o_proj,relative_delta_gini,0.0,204800
time,0,100,,o_proj,cosine_distance_gini,0.9960224140344418,204800
time,5,100,,embed_tokens,relative_delta_norm,5.335921776945166e-06,100352
time,5,100,,embed_tokens,cosine_distance,1.4848893090170257e-11,100352
time,5,100,,embed_tokens,relative_delta_gini,0.7171218929224119,100352
time,5,100,,embed_tokens,cosine_distance_gini,0.9999517697704081,100352
time,5,100,,gate_proj,relative_delta_norm,0.00043100337840091326,552960
time,5,100,,gate_proj,cosine_distance,1.1113351555886092e-10,552960
time,5,100,,gate_proj,relative_delta_gini,0.13329269893192963,552960
time,5,100,,gate_proj,cosine_distance_gini,0.9999172025008307,552960
time,5,100,,up_proj,relative_delta_norm,0.000514623062185051,552960
time,5,100,,up_proj,cosine_distance,3.0828501891206814e-11,552960
time,5,100,,up_proj,relative_delta_gini,0.08435010373367113,552960
time,5,100,,up_proj,cosine_distance_gini,0.9999671444007381,552960
time,5,100,,down_proj,relative_delta_norm,0.0005531213072223472,552960
time,5,100,,down_proj,cosine_distance,3.2385017860818794e-09,552960
time,5,100,,down_proj,relative_delta_gini,0.09904584647489179,552960
time,5,100,,down_proj,cosine_distance_gini,0.9989783476229463,552960
time,5,100,,q_proj,relative_delta_norm,5.720267960679211,204800
time,5,100,,q_proj,cosine_distance,0.05068883219733834,204800
time,5,100,,q_proj,relative_delta_gini,0.9995842896153366,204800
time,5,100,,q_proj,cosine_distance_gini,0.9490903647376856,204800
time,5,100,,k_proj,relative_delta_norm,0.015211984562035106,204800
time,5,100,,k_proj,cosine_distance,0.014231294156052171,204800
time,5,100,,k_proj,relative_delta_gini,0.875255934011955,204800
