v13_row_0based,v13_row_1based,decision,issue_type,filter_reason,review_reason,probe,target,fact,raw_knowledge_statement,section
6,7,keep_rejected,too_generic_target|weak_distractor_space,"It is unsuitable under criterion 3 because the target, ""capabilities,"" is a generic single-word completion with little conceptual depth, making it hard to create five meaningful, discriminative options.",Target remains too generic or low-information for restoration.,"According to the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", in recent years, the aspect of Large Language Models (LLMs) that has seen rapid growth along with their size is",capabilities.,"According to the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", in recent years, the aspect of Large Language Models (LLMs) that has seen rapid growth along with their size is capabilities.","In recent years, the field of AI has seen a rapid growth in the size and capabilities of Large Language Models (LLMs).",The Era of 1-bit LLMs
13,14,keep_rejected,visible_target_leak,"It is unsuitable because the probe effectively gives away the answer through the paper title’s explicit mention of Large Language Models, making the target 'LLMs' exposed/tautological rather than a distinct concept to choose among five meaningful options (criteria 1 and 2).",Visible stem leaks the target or an effectively identical phrase.,"According to the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", post-training quantization methods that reduce the precision of weights and activations significantly reduce memory and computational requirements for",LLMs,"According to the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", post-training quantization methods that reduce the precision of weights and activations significantly reduce memory and computational requirements for LLMs","This technique reduces the precision of weights and activations, significantly reducing the memory and computational requirements of LLMs.",The Era of 1-bit LLMs
17,18,keep_rejected,too_generic_target|weak_distractor_space,"It fails criterion 3 because the target, ""industry LLMs,"" is a very short generic phrase with little conceptual depth, making it hard to create five meaningful, discriminative answer options.",Target remains too generic or low-information for restoration.,"According to the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", post-training quantization is widely used in",industry LLMs.,"According to the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", post-training quantization is widely used in industry LLMs.","However, post-training quantization is sub-optimal, even though it is widely used in industry LLMs.",The Era of 1-bit LLMs
19,20,keep_rejected,too_generic_target|weak_distractor_space,"It is unsuitable under criterion 3 because the target 'floating values' is a very generic, obvious completion to '16-bit' with limited conceptual depth, making it hard to distinguish among five meaningful options.",Target remains too generic or low-information for restoration.,"According to the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", most operations in vanilla LLMs are performed using 16-bit",floating values.,"According to the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", most operations in vanilla LLMs are performed using 16-bit floating values.","Vanilla LLMs are in 16-bit floating values (i.e., FP16 or BF16), and the bulk of any LLMs is matrix multiplication.",The Era of 1-bit LLMs
35,36,restore,numeric_memorization|filter_overstrict,"It fails criterion 3 because the target is the trivially short single symbol '0', which offers little conceptual depth and would make it hard to create five meaningful, discriminative answer choices.",Exact ternary value added in BitNet b1.58 is source-backed and supports numeric distractors.,"According to the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", the additional value added to the original 1-bit BitNet, resulting in 1.58 bits in the binary system, was",0,"According to the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", the additional value added to the original 1-bit BitNet, resulting in 1.58 bits in the binary system, was 0","We have added an additional value of 0 to the original 1-bit BitNet, resulting in 1.58 bits in the binary system.",The Era of 1-bit LLMs
37,38,keep_rejected,visible_target_leak,"Unsuitable under criterion 2 because the target '1-bit LLMs' appears verbatim in the probe itself via the paper title, so the answer is already exposed.",Visible stem leaks the target or an effectively identical phrase.,"According to the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", the authors state that BitNet b1.58 has stronger modeling capability because it explicitly supports feature filtering through the inclusion of $0$ in the model weights, which can significantly improve the performance of",1-bit LLMs.,"According to the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", the authors state that BitNet b1.58 has stronger modeling capability because it explicitly supports feature filtering through the inclusion of $0$ in the model weights, which can significantly improve the performance of 1-bit LLMs.","Firstly, its modeling capability is stronger due to its explicit support for feature filtering, made possible by the inclusion of 0 in the model weights, which can significantly improve the performance of 1-bit LLMs.",The Era of 1-bit LLMs
45,46,keep_rejected,too_generic_target|weak_distractor_space,"It is unsuitable because the target is a generic evaluative phrase ('negligible effects') rather than a distinct concept or named entity, making it hard to construct five meaningful, discriminative options (criterion 3).",Target remains too generic or low-information for restoration.,"In the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits,"" scaling activations to $[-Q_b, Q_b]$ per token to eliminate zero-point quantization instead of scaling them to $[0, Q_b]$ before the non-linear functions had",negligible effects.,"In the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits,"" scaling activations to $[-Q_b, Q_b]$ per token to eliminate zero-point quantization instead of scaling them to $[0, Q_b]$ before the non-linear functions had negligible effects.","This is more convenient and simple for both implementation and system-level optimization, while introduces negligible effects to the performance in our experiments.",BitNet b1.58
53,54,keep_rejected,too_generic_target|weak_distractor_space,"Unsuitable under criterion 3 because the target, ""the popular open-source software,"" is a generic descriptive phrase with little conceptual specificity, making it difficult to create five meaningful, distinguishable answer choices.",Target remains too generic or low-information for restoration.,"According to the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", after adopting the LLaMA-alike components, \text{BitNet b1.58} can be integrated with minimal effort into",the popular open-source software.,"According to the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", after adopting the LLaMA-alike components, \text{BitNet b1.58} can be integrated with minimal effort into the popular open-source software.","In this way, \text{BitNet b1.58} can be integrated into the popular open-source software (e.g., Huggingface, vLLM~\cite{vllm}, and llama.cpp\footnote{\url{https://github.com/ggerganov/llama.cpp}}) with minimal efforts.",BitNet b1.58
58,59,keep_rejected,unsupported_or_unclear,"It is incorrectly formulated (criterion 5): the source says the models were evaluated on a range of language tasks including those benchmarks, not that those benchmarks themselves 'were evaluated as language tasks,' making the probe-answer pair awkward and inaccurate.","Question or target is malformed, incomplete, ambiguous, or not source-faithful enough to restore.","According to the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", ARC-Easy, ARC-Challenge, Hellaswag, Winogrande, PIQA, OpenbookQA, and BoolQ were evaluated as",language tasks,"According to the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", ARC-Easy, ARC-Challenge, Hellaswag, Winogrande, PIQA, OpenbookQA, and BoolQ were evaluated as language tasks","We evaluated the zero-shot performance on a range of language tasks, including ARC-Easy~\cite{arc}, ARC-Challenge~\cite{arc}, Hellaswag~\cite{hellaswag}, Winogrande~\cite{winoGrande}, PIQA~\cite{piqa}, OpenbookQA~\cite{openbookqa}, and BoolQ~\cite{boolq}.",Results
73,74,keep_rejected,tautological_stem|weak_distractor_space,"Unsuitable under criterion 4 because the target is a simple directional change ('narrows'), making it hard to create five natural, meaningful distractors beyond opposites like widens or stays the same.",Visible stem makes the completion too easy or too weakly distractible.,"According to the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", the performance gap between \text{BitNet b1.58} and \text{LLaMA LLM} as the model size increases",narrows,"According to the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", the performance gap between \text{BitNet b1.58} and \text{LLaMA LLM} as the model size increases narrows",The results show that the performance gap between \text{BitNet b1.58} and \text{LLaMA LLM} narrows as the model size increases.,Results
