domain_group,document,rows,distractors_judged,flagged_equivalent,regenerated_ok,regenerated_failed,out_path
arxiv,1_58,106,424,13,13,0,probes/arxiv/1_58/facts/probes_v16_mcqa.csv
arxiv,BOFT,206,824,22,22,0,probes/arxiv/BOFT/facts/probes_v16_mcqa.csv
arxiv,ByteLatent,378,1512,31,30,1,probes/arxiv/ByteLatent/facts/probes_v16_mcqa.csv
arxiv,DPO,234,936,25,25,0,probes/arxiv/DPO/facts/probes_v16_mcqa.csv
arxiv,FeatLLM,211,844,24,23,1,probes/arxiv/FeatLLM/facts/probes_v16_mcqa.csv
arxiv,GRPO,313,1252,25,25,0,probes/arxiv/GRPO/facts/probes_v16_mcqa.csv
arxiv,GSPO,121,484,16,16,0,probes/arxiv/GSPO/facts/probes_v16_mcqa.csv
arxiv,LongRoPE,231,924,33,27,6,probes/arxiv/LongRoPE/facts/probes_v16_mcqa.csv
arxiv,OFT,270,1080,23,23,0,probes/arxiv/OFT/facts/probes_v16_mcqa.csv
arxiv,QLoRA,298,1192,19,19,0,probes/arxiv/QLoRA/facts/probes_v16_mcqa.csv
arxiv,fa3,203,812,26,23,3,probes/arxiv/fa3/facts/probes_v16_mcqa.csv
arxiv,xLSTM,163,652,6,6,0,probes/arxiv/xLSTM/facts/probes_v16_mcqa.csv
legal,America_First_Legal_Foundation_v_Jamieson_Greer,49,196,3,3,0,probes/legal/America_First_Legal_Foundation_v_Jamieson_Greer/facts/probes_v16_mcqa.csv
legal,Apex_Bank_v_Cc_Serve_Corp,56,224,7,7,0,probes/legal/Apex_Bank_v_Cc_Serve_Corp/facts/probes_v16_mcqa.csv
legal,Bruce_Cohen_v_Consilio_LLC,50,200,2,2,0,probes/legal/Bruce_Cohen_v_Consilio_LLC/facts/probes_v16_mcqa.csv
legal,Finesse_Wireless_LLC_v_Att_Mobility_LLC,61,244,3,3,0,probes/legal/Finesse_Wireless_LLC_v_Att_Mobility_LLC/facts/probes_v16_mcqa.csv
legal,Foad_Farahi_v_FBI,62,248,2,2,0,probes/legal/Foad_Farahi_v_FBI/facts/probes_v16_mcqa.csv
legal,Jimenez_v_Bondi,100,400,9,8,1,probes/legal/Jimenez_v_Bondi/facts/probes_v16_mcqa.csv
legal,Pacito_v_Trump,41,164,3,3,0,probes/legal/Pacito_v_Trump/facts/probes_v16_mcqa.csv
legal,Santos_v_Kimmel,37,148,6,4,2,probes/legal/Santos_v_Kimmel/facts/probes_v16_mcqa.csv
legal,United_States_v_Constantinescu,38,152,6,3,3,probes/legal/United_States_v_Constantinescu/facts/probes_v16_mcqa.csv
legal,United_States_v_Jaison_Coleman,53,212,2,2,0,probes/legal/United_States_v_Jaison_Coleman/facts/probes_v16_mcqa.csv
legal,United_States_v_Justin_Cutbank,51,204,4,4,0,probes/legal/United_States_v_Justin_Cutbank/facts/probes_v16_mcqa.csv
legal,Williams_v_GoAuto_Insurance,49,196,5,5,0,probes/legal/Williams_v_GoAuto_Insurance/facts/probes_v16_mcqa.csv
medical,Acute_neurological_Behets_disease_complicated_by_a_syndrome,92,368,4,4,0,probes/medical/Acute_neurological_Behets_disease_complicated_by_a_syndrome/facts/probes_v16_mcqa.csv
medical,Autoimmune_heparininduced_thrombocytopenia_following_cardiac,78,312,3,3,0,probes/medical/Autoimmune_heparininduced_thrombocytopenia_following_cardiac/facts/probes_v16_mcqa.csv
medical,Central_hypoventilation_and_choking_episodes_revealing_Chiar,101,404,4,4,0,probes/medical/Central_hypoventilation_and_choking_episodes_revealing_Chiar/facts/probes_v16_mcqa.csv
medical,Dermatomyositis_masquerading_as_angioedema_a_crucial_differe,93,372,5,5,0,probes/medical/Dermatomyositis_masquerading_as_angioedema_a_crucial_differe/facts/probes_v16_mcqa.csv
medical,From_dog_bite_to_dialysis_complementmediated_haemolytic_urae,103,412,10,10,0,probes/medical/From_dog_bite_to_dialysis_complementmediated_haemolytic_urae/facts/probes_v16_mcqa.csv
medical,Immunemediated_necrotising_myopathy_following_semaglutide_tr,65,260,12,12,0,probes/medical/Immunemediated_necrotising_myopathy_following_semaglutide_tr/facts/probes_v16_mcqa.csv
medical,Management_of_atypical_complicated_abdominal_masses_in_the_s,90,360,16,16,0,probes/medical/Management_of_atypical_complicated_abdominal_masses_in_the_s/facts/probes_v16_mcqa.csv
medical,Monoallelic_PARN_mutation_presenting_as_pancytopenia_hepatic,96,384,21,21,0,probes/medical/Monoallelic_PARN_mutation_presenting_as_pancytopenia_hepatic/facts/probes_v16_mcqa.csv
medical,Multiphasic_anaphylaxis_in_the_emergency_and_intensive_care,112,448,7,7,0,probes/medical/Multiphasic_anaphylaxis_in_the_emergency_and_intensive_care/facts/probes_v16_mcqa.csv
medical,Nontype_1_and_nontype_2_diabetes_in_a_young_man_due_to_novel,87,348,12,12,0,probes/medical/Nontype_1_and_nontype_2_diabetes_in_a_young_man_due_to_novel/facts/probes_v16_mcqa.csv
medical,Pancreatopleural_fistula_in_childhood,112,448,8,7,1,probes/medical/Pancreatopleural_fistula_in_childhood/facts/probes_v16_mcqa.csv
medical,TAVinTAVinTAV_after_treated_endocarditis_procedural_strategy,105,420,18,17,1,probes/medical/TAVinTAVinTAV_after_treated_endocarditis_procedural_strategy/facts/probes_v16_mcqa.csv
