row_index,keep,drop_reason,review_notes,replacement_probe,replacement_target,duplicate_of
0,True,keep,Infers from the 7B-versus-540B comparison that high-quality data can partly offset smaller scale,,,
1,True,keep,Contrasts two-stage forgetting with one-stage mixed training preserving coding while improving program-aided math,,,
2,False,recall_not_composition,The same-question comparison answer is stated directly in one source sentence,,,
3,True,keep,Combines the online/offline definitions with the later-stage divergence argument for online sampling,,,
4,True,keep,Links multilingual/high-quality non-English corpus content to Chinese benchmark gains over English-centric corpora,,,
5,True,keep,Combines coding-performance degradation from pure math training with preservation from including code tokens,,,
6,True,keep,Infers the benefit of the larger corpus from the contrast between sustained gains and repeated smaller corpora plateauing,,,
7,True,keep,Applies the zero-shot/few-shot comparison to predict little change from adding worked examples,,,
8,True,keep,Contrasts Online RFT and GRPO update signals to isolate penalization of incorrect responses,,,
9,False,duplicate,Duplicates row 4 on Chinese benchmark gains from multilingual/non-English data,,,4.0
10,False,bad_target,The target out-of-domain improvement is a generated abstraction not used by the paper and is too opaque for cloze completion,,,
11,True,keep,Combines outcome-supervision limits with process-supervision gains to identify step-level rewards as useful,,,
12,True,keep,"Combines code-trained initialization, math improvement with and without tools, and retained coding performance",,,
13,False,duplicate,Duplicates row 5 on code tokens preventing coding-performance loss,,,5.0
14,True,keep,Uses the triangle/ellipse failures to infer the paper’s stated data-selection-bias concern,,,
15,True,keep,Contrasts one-stage mixing with two-stage code-then-math for no-tool mathematical reasoning,,,
16,True,keep,Infers from the 98% already-collected fourth iteration that another iteration would add little new data Cloze shape repaired so the probe is declarative and completes by appending the target.,"According to the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', if the authors had run a fifth data-collection iteration, their stopping criterion would imply", little new data,
17,True,keep,Uses the paper’s conjecture to identify limited model scale as the cause of mixed-training no-tool degradation,,,
18,False,bad_target,The target the advantage is vague and the answer is directly stated as avoiding complication of A-hat calculation,,,
19,False,duplicate,Duplicates row 4 on multilingual English/Chinese data explaining Chinese benchmark gains,,,4.0
20,False,insufficient_source_support,"The source supports math solving without tool use, but the target step-by-step reasoning overstates the cited wording",,,
21,False,recall_not_composition,The ineffective arXiv-only corpus answer is stated directly by the source,,,
22,True,keep,Combines reward-model staleness during RL with iterative GRPO refreshing reward-model data from current policy samples,,,
23,True,keep,Contrasts code-token and general-token first stages to infer the downstream program-aided reasoning ability at risk,,,
24,True,keep,Uses the Pass@K versus Maj@K pattern to infer that correct existing TopK responses are ranked higher,,,
25,True,keep,Applies the exact 10-gram contamination rule to the counterfactual 9-gram overlap case,,,
26,True,keep,Applies the process-supervision advantage sum over following steps to compare earlier and later tokens Cloze shape repaired so the probe is declarative and completes by appending the target.,"According to the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', under process supervision, the part of a solution that can receive accumulated reward from more reasoning steps is", earlier tokens,
27,False,duplicate,Duplicates row 4 on English-only data reducing Chinese benchmark advantage,,,4.0
