row_1based,decision,issue_type,reason,old_target,new_target,old_probe,new_probe,old_fact,new_fact
1,keep,,"Source-backed, meaningful target with acceptable medical case-report framing; no v13 repair needed.", recurrent right-sided pleural effusions, recurrent right-sided pleural effusions,"In the case report ""Pancreatopleural fistula in childhood,"" a boy in late childhood presented with chest pain and respiratory distress. Temporary improvement followed aspiration, and he later developed","In the case report ""Pancreatopleural fistula in childhood,"" a boy in late childhood presented with chest pain and respiratory distress. Temporary improvement followed aspiration, and he later developed","In the case report ""Pancreatopleural fistula in childhood,"" a boy in late childhood presented with chest pain and respiratory distress. Temporary improvement followed aspiration, and he later developed recurrent right-sided pleural effusions","In the case report ""Pancreatopleural fistula in childhood,"" a boy in late childhood presented with chest pain and respiratory distress. Temporary improvement followed aspiration, and he later developed recurrent right-sided pleural effusions"
2,keep,,"Source-backed, meaningful target with acceptable medical case-report framing; no v13 repair needed.", aspiration., aspiration.,"In the case report ""Pancreatopleural fistula in childhood"", a boy in late childhood presented with recurrent right-sided pleural effusions, chest pain, and respiratory distress, which temporarily improved after","In the case report ""Pancreatopleural fistula in childhood"", a boy in late childhood presented with recurrent right-sided pleural effusions, chest pain, and respiratory distress, which temporarily improved after","In the case report ""Pancreatopleural fistula in childhood"", a boy in late childhood presented with recurrent right-sided pleural effusions, chest pain, and respiratory distress, which temporarily improved after aspiration.","In the case report ""Pancreatopleural fistula in childhood"", a boy in late childhood presented with recurrent right-sided pleural effusions, chest pain, and respiratory distress, which temporarily improved after aspiration."
3,keep,,"Source-backed, meaningful target with acceptable medical case-report framing; no v13 repair needed.", the tail of the pancreas., the tail of the pancreas.,"In the case report ""Pancreatopleural fistula in childhood,"" the chest CT performed after the boy in late childhood presented with recurrent right-sided pleural effusions and respiratory distress showed right patchy consolidation, hydropneumothorax, and a multiloculated hypodense collection tracking to","In the case report ""Pancreatopleural fistula in childhood,"" the chest CT performed after the boy in late childhood presented with recurrent right-sided pleural effusions and respiratory distress showed right patchy consolidation, hydropneumothorax, and a multiloculated hypodense collection tracking to","In the case report ""Pancreatopleural fistula in childhood,"" the chest CT performed after the boy in late childhood presented with recurrent right-sided pleural effusions and respiratory distress showed right patchy consolidation, hydropneumothorax, and a multiloculated hypodense collection tracking to the tail of the pancreas.","In the case report ""Pancreatopleural fistula in childhood,"" the chest CT performed after the boy in late childhood presented with recurrent right-sided pleural effusions and respiratory distress showed right patchy consolidation, hydropneumothorax, and a multiloculated hypodense collection tracking to the tail of the pancreas."
4,keep,,"Source-backed, meaningful target with acceptable medical case-report framing; no v13 repair needed.", total parenteral nutrition., total parenteral nutrition.,"In the case report ""Pancreatopleural fistula in childhood"", the boy in late childhood with recurrent right-sided pleural effusions and confirmed pancreatopleural fistulas was treated with nil per oral status and Octreotide. His nutritional support included","In the case report ""Pancreatopleural fistula in childhood"", the boy in late childhood with recurrent right-sided pleural effusions and confirmed pancreatopleural fistulas was treated with nil per oral status and Octreotide. His nutritional support included","In the case report ""Pancreatopleural fistula in childhood"", the boy in late childhood with recurrent right-sided pleural effusions and confirmed pancreatopleural fistulas was treated with nil per oral status and Octreotide. His nutritional support included total parenteral nutrition.","In the case report ""Pancreatopleural fistula in childhood"", the boy in late childhood with recurrent right-sided pleural effusions and confirmed pancreatopleural fistulas was treated with nil per oral status and Octreotide. His nutritional support included total parenteral nutrition."
5,keep,,"Source-backed, meaningful target with acceptable medical case-report framing; no v13 repair needed.", Octreotide., Octreotide.,"According to the case report ""Pancreatopleural fistula in childhood"", the boy with recurrent right-sided pleural effusions was managed with nil per oral status and total parenteral nutrition, and his treatment included","According to the case report ""Pancreatopleural fistula in childhood"", the boy with recurrent right-sided pleural effusions was managed with nil per oral status and total parenteral nutrition, and his treatment included","According to the case report ""Pancreatopleural fistula in childhood"", the boy with recurrent right-sided pleural effusions was managed with nil per oral status and total parenteral nutrition, and his treatment included Octreotide.","According to the case report ""Pancreatopleural fistula in childhood"", the boy with recurrent right-sided pleural effusions was managed with nil per oral status and total parenteral nutrition, and his treatment included Octreotide."
6,keep,,"Source-backed, meaningful target with acceptable medical case-report framing; no v13 repair needed.", 10 days., 10 days.,"According to the case report ""Pancreatopleural fistula in childhood"", after a chest tube was placed and the boy with recurrent right-sided pleural effusions was treated with nil per oral status, total parenteral nutrition, and octreotide, the drainage decreased over","According to the case report ""Pancreatopleural fistula in childhood"", after a chest tube was placed and the boy with recurrent right-sided pleural effusions was treated with nil per oral status, total parenteral nutrition, and octreotide, the drainage decreased over","According to the case report ""Pancreatopleural fistula in childhood"", after a chest tube was placed and the boy with recurrent right-sided pleural effusions was treated with nil per oral status, total parenteral nutrition, and octreotide, the drainage decreased over 10 days.","According to the case report ""Pancreatopleural fistula in childhood"", after a chest tube was placed and the boy with recurrent right-sided pleural effusions was treated with nil per oral status, total parenteral nutrition, and octreotide, the drainage decreased over 10 days."
7,keep,,"Source-backed, meaningful target with acceptable medical case-report framing; no v13 repair needed."," recurrent, massive, blood-stained pleural effusion."," recurrent, massive, blood-stained pleural effusion.","According to the case report ""Pancreatopleural fistula in childhood"", the typical presentation of pancreatopleural fistula (PPF) is","According to the case report ""Pancreatopleural fistula in childhood"", the typical presentation of pancreatopleural fistula (PPF) is","According to the case report ""Pancreatopleural fistula in childhood"", the typical presentation of pancreatopleural fistula (PPF) is recurrent, massive, blood-stained pleural effusion.","According to the case report ""Pancreatopleural fistula in childhood"", the typical presentation of pancreatopleural fistula (PPF) is recurrent, massive, blood-stained pleural effusion."
8,keep,,"Source-backed, meaningful target with acceptable medical case-report framing; no v13 repair needed.", pancreatic trauma., pancreatic trauma.,"According to the case report ""Pancreatopleural fistula in childhood"", pancreatopleural fistula is described as being observed in cases of acute pancreatitis, chronic pancreatitis, and","According to the case report ""Pancreatopleural fistula in childhood"", pancreatopleural fistula is described as being observed in cases of acute pancreatitis, chronic pancreatitis, and","According to the case report ""Pancreatopleural fistula in childhood"", pancreatopleural fistula is described as being observed in cases of acute pancreatitis, chronic pancreatitis, and pancreatic trauma.","According to the case report ""Pancreatopleural fistula in childhood"", pancreatopleural fistula is described as being observed in cases of acute pancreatitis, chronic pancreatitis, and pancreatic trauma."
9,keep,,"Source-backed, meaningful target with acceptable medical case-report framing; no v13 repair needed.", difficulty in breathing., difficulty in breathing.,"According to the case report ""Pancreatopleural fistula in childhood"", a child was brought to the outpatient department with his mother after 1 week of symptoms, including right-sided chest pain and a respiratory complaint of","According to the case report ""Pancreatopleural fistula in childhood"", a child was brought to the outpatient department with his mother after 1 week of symptoms, including right-sided chest pain and a respiratory complaint of","According to the case report ""Pancreatopleural fistula in childhood"", a child was brought to the outpatient department with his mother after 1 week of symptoms, including right-sided chest pain and a respiratory complaint of difficulty in breathing.","According to the case report ""Pancreatopleural fistula in childhood"", a child was brought to the outpatient department with his mother after 1 week of symptoms, including right-sided chest pain and a respiratory complaint of difficulty in breathing."
10,keep,,"Source-backed, meaningful target with acceptable medical case-report framing; no v13 repair needed."," right subscapular, right infra-axillary and axillary regions"," right subscapular, right infra-axillary and axillary regions","In the case report ""Pancreatopleural fistula in childhood"", during the child's physical examination for 1 week of progressive dyspnea and right-sided chest pain, stony dull percussion was noted over the","In the case report ""Pancreatopleural fistula in childhood"", during the child's physical examination for 1 week of progressive dyspnea and right-sided chest pain, stony dull percussion was noted over the","In the case report ""Pancreatopleural fistula in childhood"", during the child's physical examination for 1 week of progressive dyspnea and right-sided chest pain, stony dull percussion was noted over the right subscapular, right infra-axillary and axillary regions","In the case report ""Pancreatopleural fistula in childhood"", during the child's physical examination for 1 week of progressive dyspnea and right-sided chest pain, stony dull percussion was noted over the right subscapular, right infra-axillary and axillary regions"
